id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
11467840,MDEwOlJlcG9zaXRvcnkxMTQ2Nzg0MA==,api.data.gov,18F/api.data.gov,False,https://github.com/18F/api.data.gov,"A hosted, shared-service that provides an API key, analytics, and proxy solution for government web services.",False,https://api.github.com/repos/18F/api.data.gov,2013-07-17T05:21:11Z,2024-12-02T00:21:59Z,2024-12-02T00:21:56Z,https://api.data.gov,2978,98,98,JavaScript,True,True,True,True,False,False,43,,False,False,29,True,False,False,[],public,43,29,98,main,18F,6233994,MDEyOk9yZ2FuaXphdGlvbjYyMzM5OTQ=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
11765414,MDEwOlJlcG9zaXRvcnkxMTc2NTQxNA==,omniauth-myusa,18F/omniauth-myusa,False,https://github.com/18F/omniauth-myusa,OmniAuth strategy for MyUSA,False,https://api.github.com/repos/18F/omniauth-myusa,2013-07-30T13:15:25Z,2023-01-28T21:27:47Z,2016-03-18T00:47:59Z,,24,6,6,Ruby,True,True,True,True,False,False,10,,True,False,1,True,False,False,[],public,10,1,6,master,18F,6233994,MDEyOk9yZ2FuaXphdGlvbjYyMzM5OTQ=,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
12350032,MDEwOlJlcG9zaXRvcnkxMjM1MDAzMg==,PriceHistoryAPI,18F/PriceHistoryAPI,False,https://github.com/18F/PriceHistoryAPI,"Backend and web service for searching a database imported from CSV files (someday generally, but Prices Paid for now.)",False,https://api.github.com/repos/18F/PriceHistoryAPI,2013-08-24T21:16:08Z,2024-07-09T12:01:39Z,2014-07-30T18:59:22Z,,7862,11,11,Python,True,True,True,True,False,False,10,,True,False,4,True,False,False,[],public,10,4,11,master,18F,6233994,MDEyOk9yZ2FuaXphdGlvbjYyMzM5OTQ=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
13688666,MDEwOlJlcG9zaXRvcnkxMzY4ODY2Ng==,MorrisDataDecorator,18F/MorrisDataDecorator,False,https://github.com/18F/MorrisDataDecorator,"Python web app that let's you upload URLs, tag, collect into portfolios, vote, and export the results as .csv files.",False,https://api.github.com/repos/18F/MorrisDataDecorator,2013-10-18T20:41:03Z,2024-03-12T12:37:52Z,2014-07-30T19:24:13Z,,2464,2,2,Python,True,True,True,True,False,False,5,,True,False,2,True,False,False,[],public,5,2,2,master,18F,6233994,MDEyOk9yZ2FuaXphdGlvbjYyMzM5OTQ=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
14497372,MDEwOlJlcG9zaXRvcnkxNDQ5NzM3Mg==,fbopen,18F/fbopen,False,https://github.com/18F/fbopen,"[DEPRECATED] An open API server, data import tools, and sample apps to help small businesses search for opportunities to work with the U.S. government.",False,https://api.github.com/repos/18F/fbopen,2013-11-18T16:01:26Z,2023-01-28T21:23:31Z,2017-11-20T21:20:57Z,,21031,101,101,JavaScript,True,True,True,False,True,False,45,,True,False,79,True,False,False,[],public,45,79,101,cloud_foundry,18F,6233994,MDEyOk9yZ2FuaXphdGlvbjYyMzM5OTQ=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
14905214,MDEwOlJlcG9zaXRvcnkxNDkwNTIxNA==,fbopen-widget,18F/fbopen-widget,False,https://github.com/18F/fbopen-widget,Generates a JavaScript snippet for searching FBOpen,False,https://api.github.com/repos/18F/fbopen-widget,2013-12-03T20:40:43Z,2023-01-28T17:26:01Z,2014-07-30T19:15:40Z,https://18f.github.io/fbopen-widget,515,2,2,CSS,True,True,True,False,True,False,7,,True,False,6,True,False,False,[],public,7,6,2,master,18F,6233994,MDEyOk9yZ2FuaXphdGlvbjYyMzM5OTQ=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
15568043,MDEwOlJlcG9zaXRvcnkxNTU2ODA0Mw==,xavier,18F/xavier,False,https://github.com/18F/xavier,[DEPRECATED] (Visit https://github.com/18f/myusa)  Original description: MyUSA - reimagine how citizens interact with government through an experience designed around their needs rather than a confusing and fragmented bureaucracy.,True,https://api.github.com/repos/18F/xavier,2014-01-01T18:21:56Z,2023-01-28T21:27:48Z,2015-06-29T16:55:50Z,https://my.usa.gov,3802,2,2,Ruby,False,True,True,True,False,False,5,,True,False,0,True,False,False,[],public,5,0,2,master,18F,6233994,MDEyOk9yZ2FuaXphdGlvbjYyMzM5OTQ=,Organization,public,False,,,,,,False,False,False,False,True,
15573632,MDEwOlJlcG9zaXRvcnkxNTU3MzYzMg==,PriceHistoryGUI,18F/PriceHistoryGUI,False,https://github.com/18F/PriceHistoryGUI,GUI for the PricesPaid market research,False,https://api.github.com/repos/18F/PriceHistoryGUI,2014-01-02T02:00:33Z,2024-03-12T12:38:01Z,2014-07-30T19:11:22Z,,6176,6,6,Python,True,True,True,True,False,False,8,,True,False,8,True,False,False,[],public,8,8,6,master,18F,6233994,MDEyOk9yZ2FuaXphdGlvbjYyMzM5OTQ=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
16152203,MDEwOlJlcG9zaXRvcnkxNjE1MjIwMw==,PriceHistoryAuth,18F/PriceHistoryAuth,False,https://github.com/18F/PriceHistoryAuth,Simple Authentication module used by PricesPaidGUI and PricesPaidAPI,False,https://api.github.com/repos/18F/PriceHistoryAuth,2014-01-22T20:51:11Z,2023-01-28T21:23:31Z,2014-07-30T19:13:16Z,,395,1,1,Python,True,True,True,True,False,False,5,,True,False,3,True,False,False,[],public,5,3,1,master,18F,6233994,MDEyOk9yZ2FuaXphdGlvbjYyMzM5OTQ=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
16158751,MDEwOlJlcG9zaXRvcnkxNjE1ODc1MQ==,MicroP3ApiUser,18F/MicroP3ApiUser,False,https://github.com/18F/MicroP3ApiUser,Very simple code to demonstrate how to use the PricesPaidAPI (P3),False,https://api.github.com/repos/18F/MicroP3ApiUser,2014-01-23T01:40:53Z,2023-01-28T21:23:31Z,2014-07-30T19:20:19Z,,173,1,1,,True,True,True,True,False,False,5,,True,False,0,True,False,False,[],public,5,0,1,master,18F,6233994,MDEyOk9yZ2FuaXphdGlvbjYyMzM5OTQ=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
