id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
7674226,MDEwOlJlcG9zaXRvcnk3Njc0MjI2,notebooks,ANL-DIGR/notebooks,False,https://github.com/ANL-DIGR/notebooks,,False,https://api.github.com/repos/ANL-DIGR/notebooks,2013-01-17T21:01:46Z,2021-04-22T08:06:07Z,2015-03-17T15:04:31Z,,12051,12,12,,True,True,True,True,False,False,13,,False,False,0,,True,False,False,[],public,13,0,12,master,ANL-DIGR,16880732,MDEyOk9yZ2FuaXphdGlvbjE2ODgwNzMy,Organization,public,False,False,False,False,False,True,,,,,
11456384,MDEwOlJlcG9zaXRvcnkxMTQ1NjM4NA==,openvap,ANL-DIGR/openvap,False,https://github.com/ANL-DIGR/openvap,,False,https://api.github.com/repos/ANL-DIGR/openvap,2013-07-16T18:04:37Z,2020-03-17T18:44:13Z,2016-07-29T19:16:01Z,,33654,2,2,Jupyter Notebook,True,True,True,True,False,False,5,,False,False,1,,True,False,False,[],public,5,1,2,master,ANL-DIGR,16880732,MDEyOk9yZ2FuaXphdGlvbjE2ODgwNzMy,Organization,public,False,False,False,False,False,True,,,,,
50354671,MDEwOlJlcG9zaXRvcnk1MDM1NDY3MQ==,Private_Notes,ANL-DIGR/Private_Notes,False,https://github.com/ANL-DIGR/Private_Notes,"Notes, presentations and correspondence that are private to the MODAL project",False,https://api.github.com/repos/ANL-DIGR/Private_Notes,2016-01-25T14:11:03Z,2023-06-14T00:46:57Z,2016-10-01T16:35:10Z,,8580,0,0,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,1,,True,False,False,[],public,0,1,0,master,ANL-DIGR,16880732,MDEyOk9yZ2FuaXphdGlvbjE2ODgwNzMy,Organization,public,False,False,False,False,False,True,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=
50370461,MDEwOlJlcG9zaXRvcnk1MDM3MDQ2MQ==,Open_Notes,ANL-DIGR/Open_Notes,False,https://github.com/ANL-DIGR/Open_Notes,Materials for open dissemination for the MODAL project,False,https://api.github.com/repos/ANL-DIGR/Open_Notes,2016-01-25T18:12:53Z,2016-01-25T18:12:53Z,2016-01-25T18:12:53Z,,1,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ANL-DIGR,16880732,MDEyOk9yZ2FuaXphdGlvbjE2ODgwNzMy,Organization,public,False,False,False,False,False,True,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=
58650559,MDEwOlJlcG9zaXRvcnk1ODY1MDU1OQ==,ANL-Practice-Tasks,ANL-DIGR/ANL-Practice-Tasks,False,https://github.com/ANL-DIGR/ANL-Practice-Tasks,,True,https://api.github.com/repos/ANL-DIGR/ANL-Practice-Tasks,2016-05-12T14:49:26Z,2016-05-12T14:49:28Z,2016-05-11T18:53:36Z,,878,0,0,Jupyter Notebook,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ANL-DIGR,16880732,MDEyOk9yZ2FuaXphdGlvbjE2ODgwNzMy,Organization,public,False,False,False,False,False,True,,,,,
64677818,MDEwOlJlcG9zaXRvcnk2NDY3NzgxOA==,pyart-roadmap,ANL-DIGR/pyart-roadmap,False,https://github.com/ANL-DIGR/pyart-roadmap,,False,https://api.github.com/repos/ANL-DIGR/pyart-roadmap,2016-08-01T15:16:35Z,2020-03-17T17:08:46Z,2017-10-18T15:18:00Z,,4470,1,1,TeX,True,True,True,True,False,False,5,,False,False,3,,True,False,False,[],public,5,3,1,master,ANL-DIGR,16880732,MDEyOk9yZ2FuaXphdGlvbjE2ODgwNzMy,Organization,public,False,False,False,False,False,True,,,,,
138319672,MDEwOlJlcG9zaXRvcnkxMzgzMTk2NzI=,arm-summer-2018,ANL-DIGR/arm-summer-2018,False,https://github.com/ANL-DIGR/arm-summer-2018,A repository for code and notebooks for the 2018 ARM summer workshop in Norman Oklahoma,False,https://api.github.com/repos/ANL-DIGR/arm-summer-2018,2018-06-22T15:36:49Z,2018-07-12T21:05:57Z,2018-07-12T21:05:55Z,,5367,0,0,Jupyter Notebook,True,True,True,True,False,False,6,,False,False,1,,True,False,False,[],public,6,1,0,master,ANL-DIGR,16880732,MDEyOk9yZ2FuaXphdGlvbjE2ODgwNzMy,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
147375834,MDEwOlJlcG9zaXRvcnkxNDczNzU4MzQ=,mmcg,ANL-DIGR/mmcg,False,https://github.com/ANL-DIGR/mmcg,Mapped Moments to a Cartesian Grid (MMCG). The mapping of data from radar spherical coordinates to a Cartesian grid.,False,https://api.github.com/repos/ANL-DIGR/mmcg,2018-09-04T16:28:36Z,2020-06-26T11:14:43Z,2019-06-11T17:12:48Z,,22,1,1,Python,True,True,True,True,False,False,2,,False,False,0,,True,False,False,[],public,2,0,1,master,ANL-DIGR,16880732,MDEyOk9yZ2FuaXphdGlvbjE2ODgwNzMy,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
147376365,MDEwOlJlcG9zaXRvcnkxNDczNzYzNjU=,mmcg-optimization,ANL-DIGR/mmcg-optimization,False,https://github.com/ANL-DIGR/mmcg-optimization,Mapped Moments to a Cartesian Grid (MMCG) Optimization. Notes and notebooks on observations of parameter scans.,False,https://api.github.com/repos/ANL-DIGR/mmcg-optimization,2018-09-04T16:32:20Z,2020-06-26T11:15:01Z,2019-01-24T19:18:07Z,,702,1,1,Jupyter Notebook,True,True,True,True,False,False,2,,False,False,0,,True,False,False,[],public,2,0,1,master,ANL-DIGR,16880732,MDEyOk9yZ2FuaXphdGlvbjE2ODgwNzMy,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
160551254,MDEwOlJlcG9zaXRvcnkxNjA1NTEyNTQ=,pchangetools,ANL-DIGR/pchangetools,False,https://github.com/ANL-DIGR/pchangetools,,False,https://api.github.com/repos/ANL-DIGR/pchangetools,2018-12-05T17:02:42Z,2018-12-07T14:40:46Z,2018-12-07T14:42:42Z,,5861,0,0,Python,True,True,True,True,True,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,ANL-DIGR,16880732,MDEyOk9yZ2FuaXphdGlvbjE2ODgwNzMy,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
