id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
94449482,MDEwOlJlcG9zaXRvcnk5NDQ0OTQ4Mg==,planning,APS-USAXS/planning,False,https://github.com/APS-USAXS/planning,"administrative, discussions, and plans about the APS USAXS instrument, mostly for the instrument team",False,https://api.github.com/repos/APS-USAXS/planning,2017-06-15T14:48:53Z,2022-08-12T15:44:05Z,2022-08-12T15:50:04Z,,3,0,0,,True,True,True,True,False,False,0,,False,False,4,,True,False,False,[],public,0,4,0,master,APS-USAXS,17553406,MDEyOk9yZ2FuaXphdGlvbjE3NTUzNDA2,Organization,public,False,False,False,False,False,True,,,,,
103167391,MDEwOlJlcG9zaXRvcnkxMDMxNjczOTE=,caQtDM-screens,APS-USAXS/caQtDM-screens,False,https://github.com/APS-USAXS/caQtDM-screens,.ui files - screens and scripts for the caQtDM program,False,https://api.github.com/repos/APS-USAXS/caQtDM-screens,2017-09-11T17:35:35Z,2024-12-12T20:41:28Z,2024-12-12T20:41:24Z,,965,0,0,Shell,True,True,True,True,False,False,0,,False,False,2,,True,False,False,[],public,0,2,0,master,APS-USAXS,17553406,MDEyOk9yZ2FuaXphdGlvbjE3NTUzNDA2,Organization,public,False,False,False,False,False,True,,,,,
116710572,MDEwOlJlcG9zaXRvcnkxMTY3MTA1NzI=,usaxs-bluesky-ended-2023,APS-USAXS/usaxs-bluesky-ended-2023,False,https://github.com/APS-USAXS/usaxs-bluesky-ended-2023,Bluesky instrument for USAXS,False,https://api.github.com/repos/APS-USAXS/usaxs-bluesky-ended-2023,2018-01-08T18:05:37Z,2024-04-19T14:42:02Z,2023-08-07T22:17:34Z,,2078,0,0,Python,True,True,True,True,False,False,0,,True,False,60,,True,False,False,"['hacktoberfest', 'hacktoberfest2021']",public,0,60,0,master,APS-USAXS,17553406,MDEyOk9yZ2FuaXphdGlvbjE3NTUzNDA2,Organization,public,False,False,False,False,False,True,,,,,
124925375,MDEwOlJlcG9zaXRvcnkxMjQ5MjUzNzU=,scanLog,APS-USAXS/scanLog,False,https://github.com/APS-USAXS/scanLog,,False,https://api.github.com/repos/APS-USAXS/scanLog,2018-03-12T17:22:37Z,2021-10-04T16:10:15Z,2021-09-13T21:15:35Z,,2412,0,0,Python,True,True,True,True,False,False,0,,False,False,2,,True,False,False,"['hacktoberfest', 'hacktoberfest2021']",public,0,2,0,master,APS-USAXS,17553406,MDEyOk9yZ2FuaXphdGlvbjE3NTUzNDA2,Organization,public,False,False,False,False,False,True,,,,,
124926409,MDEwOlJlcG9zaXRvcnkxMjQ5MjY0MDk=,tools,APS-USAXS/tools,False,https://github.com/APS-USAXS/tools,,False,https://api.github.com/repos/APS-USAXS/tools,2018-03-12T17:31:07Z,2020-07-22T20:54:53Z,2020-07-22T20:54:51Z,,1869,0,0,Python,True,True,True,True,False,False,0,,False,False,1,,True,False,False,[],public,0,1,0,master,APS-USAXS,17553406,MDEyOk9yZ2FuaXphdGlvbjE3NTUzNDA2,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
124927246,MDEwOlJlcG9zaXRvcnkxMjQ5MjcyNDY=,livedata,APS-USAXS/livedata,False,https://github.com/APS-USAXS/livedata,live data from the APS USAXS instrument,False,https://api.github.com/repos/APS-USAXS/livedata,2018-03-12T17:38:13Z,2024-10-18T21:00:46Z,2024-10-18T21:00:42Z,https://usaxslive.xray.aps.anl.gov/,32979,0,0,Python,True,True,True,True,False,False,0,,False,False,14,,True,False,False,"['hacktoberfest', 'hacktoberfest2021']",public,0,14,0,master,APS-USAXS,17553406,MDEyOk9yZ2FuaXphdGlvbjE3NTUzNDA2,Organization,public,False,False,False,False,False,True,,,,,
177195969,MDEwOlJlcG9zaXRvcnkxNzcxOTU5Njk=,AreaDetectorConfig,APS-USAXS/AreaDetectorConfig,False,https://github.com/APS-USAXS/AreaDetectorConfig,XML configuration of the EPICS area detector,False,https://api.github.com/repos/APS-USAXS/AreaDetectorConfig,2019-03-22T19:09:50Z,2022-02-01T21:48:21Z,2022-02-01T21:48:17Z,,101,0,0,Python,True,True,True,True,False,False,0,,False,False,1,,True,False,False,[],public,0,1,0,master,APS-USAXS,17553406,MDEyOk9yZ2FuaXphdGlvbjE3NTUzNDA2,Organization,public,False,False,False,False,False,True,,,,,
241456817,MDEwOlJlcG9zaXRvcnkyNDE0NTY4MTc=,wxmtusaxs,APS-USAXS/wxmtusaxs,False,https://github.com/APS-USAXS/wxmtusaxs,wxPython-based motor tool for USAXS,False,https://api.github.com/repos/APS-USAXS/wxmtusaxs,2020-02-18T20:08:55Z,2020-03-11T16:30:17Z,2020-02-18T20:57:51Z,,574,1,1,HTML,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,APS-USAXS,17553406,MDEyOk9yZ2FuaXphdGlvbjE3NTUzNDA2,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
241462050,MDEwOlJlcG9zaXRvcnkyNDE0NjIwNTA=,wxmtxy,APS-USAXS/wxmtxy,False,https://github.com/APS-USAXS/wxmtxy,wxPython-based Motor Tool XY,False,https://api.github.com/repos/APS-USAXS/wxmtxy,2020-02-18T20:37:13Z,2020-03-11T16:30:25Z,2020-02-18T20:57:02Z,,559,1,1,HTML,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,APS-USAXS,17553406,MDEyOk9yZ2FuaXphdGlvbjE3NTUzNDA2,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
569897687,R_kgDOIffy1w,tiled,APS-USAXS/tiled,False,https://github.com/APS-USAXS/tiled,tiled data server,False,https://api.github.com/repos/APS-USAXS/tiled,2022-11-23T21:45:00Z,2022-11-23T22:31:14Z,2022-11-23T22:31:09Z,,14,0,0,Python,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,main,APS-USAXS,17553406,MDEyOk9yZ2FuaXphdGlvbjE3NTUzNDA2,Organization,public,False,False,False,False,False,True,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=
789018310,R_kgDOLwd2xg,bluesky,APS-USAXS/bluesky,False,https://github.com/APS-USAXS/bluesky,USAXS Bluesky instrument for APS-U era,False,https://api.github.com/repos/APS-USAXS/bluesky,2024-04-19T14:43:10Z,2024-12-19T19:20:33Z,2024-12-19T19:20:29Z,,405,0,0,Python,True,True,True,True,False,False,0,,False,False,7,,True,False,False,[],public,0,7,0,main,APS-USAXS,17553406,MDEyOk9yZ2FuaXphdGlvbjE3NTUzNDA2,Organization,public,False,False,False,False,False,True,,,,,
