id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
19359323,MDEwOlJlcG9zaXRvcnkxOTM1OTMyMw==,Query-GS,ARS-SWRC/Query-GS,False,https://github.com/ARS-SWRC/Query-GS,Programmatically query Google Scholar based on the scholar.py script,False,https://api.github.com/repos/ARS-SWRC/Query-GS,2014-05-01T22:10:53Z,2018-11-27T17:53:08Z,2014-05-01T22:10:53Z,,0,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ARS-SWRC,31905082,MDEyOk9yZ2FuaXphdGlvbjMxOTA1MDgy,Organization,public,False,False,False,False,False,True,,,,,
25661807,MDEwOlJlcG9zaXRvcnkyNTY2MTgwNw==,DAP-Vector-Data,ARS-SWRC/DAP-Vector-Data,False,https://github.com/ARS-SWRC/DAP-Vector-Data,GIS data used for DAP,False,https://api.github.com/repos/ARS-SWRC/DAP-Vector-Data,2014-10-23T23:06:27Z,2018-10-23T23:35:39Z,2014-10-23T23:06:33Z,,232,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ARS-SWRC,31905082,MDEyOk9yZ2FuaXphdGlvbjMxOTA1MDgy,Organization,public,False,False,False,False,False,True,,,,,
56809327,MDEwOlJlcG9zaXRvcnk1NjgwOTMyNw==,ge-queries,ARS-SWRC/ge-queries,False,https://github.com/ARS-SWRC/ge-queries,Python scripts to query Google Earth Engine,False,https://api.github.com/repos/ARS-SWRC/ge-queries,2016-04-21T22:26:33Z,2018-10-23T23:37:08Z,2017-11-06T18:43:39Z,,18,0,0,Python,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,ARS-SWRC,31905082,MDEyOk9yZ2FuaXphdGlvbjMxOTA1MDgy,Organization,public,False,False,False,False,False,True,,,,,
89535809,MDEwOlJlcG9zaXRvcnk4OTUzNTgwOQ==,GIS-Scripts,ARS-SWRC/GIS-Scripts,False,https://github.com/ARS-SWRC/GIS-Scripts,General GIS Scripts,False,https://api.github.com/repos/ARS-SWRC/GIS-Scripts,2017-04-26T23:34:37Z,2019-12-03T16:54:06Z,2019-12-03T16:54:04Z,,6,0,0,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ARS-SWRC,31905082,MDEyOk9yZ2FuaXphdGlvbjMxOTA1MDgy,Organization,public,False,False,False,False,False,True,,,,,
110167251,MDEwOlJlcG9zaXRvcnkxMTAxNjcyNTE=,ltar_website_local,ARS-SWRC/ltar_website_local,False,https://github.com/ARS-SWRC/ltar_website_local,A static version of the LTAR website,False,https://api.github.com/repos/ARS-SWRC/ltar_website_local,2017-11-09T21:17:13Z,2019-02-01T21:52:08Z,2019-02-01T21:52:07Z,,238032,0,0,HTML,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ARS-SWRC,31905082,MDEyOk9yZ2FuaXphdGlvbjMxOTA1MDgy,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
154581002,MDEwOlJlcG9zaXRvcnkxNTQ1ODEwMDI=,rhem_batch_csip,ARS-SWRC/rhem_batch_csip,False,https://github.com/ARS-SWRC/rhem_batch_csip,Runs the RHEM model in batch mode using the CSIP service hosted by CSU,False,https://api.github.com/repos/ARS-SWRC/rhem_batch_csip,2018-10-24T23:13:04Z,2023-05-31T21:38:20Z,2022-12-08T04:25:03Z,,5974,2,2,Python,True,True,True,True,False,False,0,,False,False,2,,True,False,False,[],public,0,2,2,master,ARS-SWRC,31905082,MDEyOk9yZ2FuaXphdGlvbjMxOTA1MDgy,Organization,public,False,False,False,False,False,True,,,,,
169313579,MDEwOlJlcG9zaXRvcnkxNjkzMTM1Nzk=,swrc_photoscan_ua_hpc,ARS-SWRC/swrc_photoscan_ua_hpc,False,https://github.com/ARS-SWRC/swrc_photoscan_ua_hpc,Documenting the processing of drone imagery using Photoscan Pro at the UA-HPC,False,https://api.github.com/repos/ARS-SWRC/swrc_photoscan_ua_hpc,2019-02-05T21:11:56Z,2022-11-10T22:44:04Z,2019-10-19T01:33:29Z,,95750,1,1,HTML,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,1,master,ARS-SWRC,31905082,MDEyOk9yZ2FuaXphdGlvbjMxOTA1MDgy,Organization,public,False,False,False,False,False,True,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=
179555355,MDEwOlJlcG9zaXRvcnkxNzk1NTUzNTU=,basecamp_ltar_membership,ARS-SWRC/basecamp_ltar_membership,False,https://github.com/ARS-SWRC/basecamp_ltar_membership,Query the LTAR membership by project or team.,False,https://api.github.com/repos/ARS-SWRC/basecamp_ltar_membership,2019-04-04T18:37:54Z,2019-04-04T18:37:57Z,2019-04-04T18:37:55Z,,1,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ARS-SWRC,31905082,MDEyOk9yZ2FuaXphdGlvbjMxOTA1MDgy,Organization,public,False,False,False,False,False,True,,,,,
194312201,MDEwOlJlcG9zaXRvcnkxOTQzMTIyMDE=,swrc_phenocam_installation,ARS-SWRC/swrc_phenocam_installation,False,https://github.com/ARS-SWRC/swrc_phenocam_installation,Instructions to add phenocams to the Phenocam network,False,https://api.github.com/repos/ARS-SWRC/swrc_phenocam_installation,2019-06-28T17:41:35Z,2019-06-28T18:34:14Z,2019-06-28T18:34:13Z,,3,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,ARS-SWRC,31905082,MDEyOk9yZ2FuaXphdGlvbjMxOTA1MDgy,Organization,public,False,False,False,False,False,True,,,,,
232441804,MDEwOlJlcG9zaXRvcnkyMzI0NDE4MDQ=,MX.5P-Temporal-Downscaling,ARS-SWRC/MX.5P-Temporal-Downscaling,False,https://github.com/ARS-SWRC/MX.5P-Temporal-Downscaling,,False,https://api.github.com/repos/ARS-SWRC/MX.5P-Temporal-Downscaling,2020-01-08T00:12:35Z,2020-01-16T23:35:45Z,2020-01-16T23:35:43Z,,341,0,0,Python,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,ARS-SWRC,31905082,MDEyOk9yZ2FuaXphdGlvbjMxOTA1MDgy,Organization,public,False,False,False,False,False,True,,,,,
