id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
228897557,MDEwOlJlcG9zaXRvcnkyMjg4OTc1NTc=,autochem,Auto-Mech/autochem,False,https://github.com/Auto-Mech/autochem,A library for manipulating molecular descriptors,False,https://api.github.com/repos/Auto-Mech/autochem,2019-12-18T18:18:54Z,2024-12-19T18:39:42Z,2024-12-19T18:39:38Z,,7633,5,5,Python,True,True,True,True,False,False,17,,False,False,1,True,False,False,[],public,17,1,5,dev,Auto-Mech,58831646,MDEyOk9yZ2FuaXphdGlvbjU4ODMxNjQ2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
228899549,MDEwOlJlcG9zaXRvcnkyMjg4OTk1NDk=,mechdriver,Auto-Mech/mechdriver,False,https://github.com/Auto-Mech/mechdriver,Automated workflow routines for calculating theoretical data for reaction mechanisms,False,https://api.github.com/repos/Auto-Mech/mechdriver,2019-12-18T18:32:50Z,2024-12-18T17:55:31Z,2024-12-18T17:55:27Z,,29232,4,4,Python,True,True,True,True,False,False,16,,False,False,1,True,False,False,[],public,16,1,4,dev,Auto-Mech,58831646,MDEyOk9yZ2FuaXphdGlvbjU4ODMxNjQ2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
228901266,MDEwOlJlcG9zaXRvcnkyMjg5MDEyNjY=,MESS,Auto-Mech/MESS,False,https://github.com/Auto-Mech/MESS,"Master Equation system solver for determining (P,T)-dependent phenomenological rate constants",False,https://api.github.com/repos/Auto-Mech/MESS,2019-12-18T18:43:54Z,2024-11-15T15:11:44Z,2024-11-15T15:11:32Z,,69476,19,19,C++,True,True,True,True,False,False,14,,False,False,3,True,False,False,[],public,14,3,19,master,Auto-Mech,58831646,MDEyOk9yZ2FuaXphdGlvbjU4ODMxNjQ2,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
229999878,MDEwOlJlcG9zaXRvcnkyMjk5OTk4Nzg=,autofile,Auto-Mech/autofile,False,https://github.com/Auto-Mech/autofile,Filesystem database manager for AutoMech,False,https://api.github.com/repos/Auto-Mech/autofile,2019-12-24T20:23:19Z,2024-10-15T19:30:46Z,2024-10-15T19:30:42Z,,2149,1,1,Python,True,True,True,True,False,False,16,,False,False,1,True,False,False,[],public,16,1,1,dev,Auto-Mech,58831646,MDEyOk9yZ2FuaXphdGlvbjU4ODMxNjQ2,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
239196670,MDEwOlJlcG9zaXRvcnkyMzkxOTY2NzA=,DiNT,Auto-Mech/DiNT,False,https://github.com/Auto-Mech/DiNT,Simulates classical and semiclassical trajectories of electronically adiabatic and non-adiabatic processes,False,https://api.github.com/repos/Auto-Mech/DiNT,2020-02-08T20:02:15Z,2022-02-07T17:53:55Z,2023-08-08T19:46:17Z,,10489,0,0,Fortran,True,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,0,master,Auto-Mech,58831646,MDEyOk9yZ2FuaXphdGlvbjU4ODMxNjQ2,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
239196731,MDEwOlJlcG9zaXRvcnkyMzkxOTY3MzE=,NST,Auto-Mech/NST,False,https://github.com/Auto-Mech/NST,Optimizes geometries for use in non-adiabatic kinetic treatments and calculates the corresponding reactive flux,False,https://api.github.com/repos/Auto-Mech/NST,2020-02-08T20:02:47Z,2023-02-17T01:55:38Z,2023-08-08T19:49:06Z,,2938,1,1,Fortran,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,1,master,Auto-Mech,58831646,MDEyOk9yZ2FuaXphdGlvbjU4ODMxNjQ2,Organization,public,False,,,,,,False,False,False,False,True,
239196852,MDEwOlJlcG9zaXRvcnkyMzkxOTY4NTI=,VaReCoF,Auto-Mech/VaReCoF,False,https://github.com/Auto-Mech/VaReCoF,Performs sampling and flux calculations for use in variable reaction-coordinate transition state theory (VRC-TST),False,https://api.github.com/repos/Auto-Mech/VaReCoF,2020-02-08T20:03:55Z,2024-11-23T18:54:11Z,2021-10-24T18:42:44Z,,188,2,2,C++,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,2,master,Auto-Mech,58831646,MDEyOk9yZ2FuaXphdGlvbjU4ODMxNjQ2,Organization,public,False,,,,,,False,False,False,False,True,
239197845,MDEwOlJlcG9zaXRvcnkyMzkxOTc4NDU=,OneDMin,Auto-Mech/OneDMin,False,https://github.com/Auto-Mech/OneDMin,Calculates Lennard-Jones interaction parameters from intermolecular potentials via 1D minimizations,False,https://api.github.com/repos/Auto-Mech/OneDMin,2020-02-08T20:11:47Z,2024-11-21T16:41:39Z,2023-08-08T19:33:51Z,,2167,1,1,Fortran,True,True,True,True,False,False,1,,False,False,1,True,False,False,[],public,1,1,1,master,Auto-Mech,58831646,MDEyOk9yZ2FuaXphdGlvbjU4ODMxNjQ2,Organization,public,False,,,,,,False,False,False,False,True,
246321192,MDEwOlJlcG9zaXRvcnkyNDYzMjExOTI=,x2z,Auto-Mech/x2z,False,https://github.com/Auto-Mech/x2z,Converts Cartesian geometries to  a Z-Matrix and identifies dihedrals corresponding to axes of internal rotation,False,https://api.github.com/repos/Auto-Mech/x2z,2020-03-10T14:21:15Z,2024-06-18T14:34:06Z,2021-10-24T18:54:53Z,,154,0,0,C++,True,True,True,True,False,False,1,,True,False,0,True,False,False,[],public,1,0,0,master,Auto-Mech,58831646,MDEyOk9yZ2FuaXphdGlvbjU4ODMxNjQ2,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
305777585,MDEwOlJlcG9zaXRvcnkzMDU3Nzc1ODU=,PIPPy,Auto-Mech/PIPPy,False,https://github.com/Auto-Mech/PIPPy,Fits potentials to permutationally invariant polynomials (PIPs),False,https://api.github.com/repos/Auto-Mech/PIPPy,2020-10-20T17:02:12Z,2024-07-22T16:42:27Z,2021-10-21T18:39:04Z,,26166,4,4,Fortran,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,4,main,Auto-Mech,58831646,MDEyOk9yZ2FuaXphdGlvbjU4ODMxNjQ2,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
