id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
4822061,MDEwOlJlcG9zaXRvcnk0ODIyMDYx,Secret-Smithsonian,BBGInnovate/Secret-Smithsonian,False,https://github.com/BBGInnovate/Secret-Smithsonian,Secret Smithsonian,False,https://api.github.com/repos/BBGInnovate/Secret-Smithsonian,2012-06-28T15:13:47Z,2024-05-30T16:02:23Z,2012-06-28T20:15:43Z,,1452,5,5,JavaScript,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,5,master,BBGInnovate,1682153,MDEyOk9yZ2FuaXphdGlvbjE2ODIxNTM=,Organization,public,False,False,False,False,False,True,,,,,
5418321,MDEwOlJlcG9zaXRvcnk1NDE4MzIx,Storify-Plugin-for-PopcornJS,BBGInnovate/Storify-Plugin-for-PopcornJS,False,https://github.com/BBGInnovate/Storify-Plugin-for-PopcornJS,Display Storify content inside PopcornJS,False,https://api.github.com/repos/BBGInnovate/Storify-Plugin-for-PopcornJS,2012-08-14T20:37:39Z,2015-08-12T16:50:04Z,2012-08-14T21:29:26Z,,132,2,2,,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,2,master,BBGInnovate,1682153,MDEyOk9yZ2FuaXphdGlvbjE2ODIxNTM=,Organization,public,False,False,False,False,False,True,,,,,
5632363,MDEwOlJlcG9zaXRvcnk1NjMyMzYz,News-On-Location,BBGInnovate/News-On-Location,False,https://github.com/BBGInnovate/News-On-Location,,False,https://api.github.com/repos/BBGInnovate/News-On-Location,2012-08-31T18:26:03Z,2014-05-05T21:18:38Z,2013-01-10T16:34:44Z,,524,0,0,JavaScript,True,True,True,True,True,False,4,,False,False,0,,True,False,False,[],public,4,0,0,master,BBGInnovate,1682153,MDEyOk9yZ2FuaXphdGlvbjE2ODIxNTM=,Organization,public,False,False,False,False,False,True,,,,,
10387283,MDEwOlJlcG9zaXRvcnkxMDM4NzI4Mw==,butter,BBGInnovate/butter,False,https://github.com/BBGInnovate/butter,Popcorn Authoring Library,True,https://api.github.com/repos/BBGInnovate/butter,2013-05-30T16:36:42Z,2024-05-30T16:01:24Z,2014-02-18T14:54:08Z,http://mozillapopcorn.org,123016,12,12,JavaScript,False,True,True,True,False,False,6,,False,False,0,,True,False,False,[],public,6,0,12,master,BBGInnovate,1682153,MDEyOk9yZ2FuaXphdGlvbjE2ODIxNTM=,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
11128071,MDEwOlJlcG9zaXRvcnkxMTEyODA3MQ==,Ourblock-Stations-Frontend,BBGInnovate/Ourblock-Stations-Frontend,False,https://github.com/BBGInnovate/Ourblock-Stations-Frontend,A simple php site for Ourblock Community Radio station player/page,False,https://api.github.com/repos/BBGInnovate/Ourblock-Stations-Frontend,2013-07-02T15:31:11Z,2019-01-14T18:04:57Z,2013-07-03T16:47:39Z,,548,3,3,PHP,True,True,True,True,False,False,5,,False,False,0,,True,False,False,[],public,5,0,3,master,BBGInnovate,1682153,MDEyOk9yZ2FuaXphdGlvbjE2ODIxNTM=,Organization,public,False,False,False,False,False,True,,,,,
11255916,MDEwOlJlcG9zaXRvcnkxMTI1NTkxNg==,Airtime,BBGInnovate/Airtime,False,https://github.com/BBGInnovate/Airtime,"Airtime is Sourcefabric’s open source radio software for scheduling and remote station management. Airtime provides a reliable audio playout with sub-second precision, an improved interface with modern usability features, advanced user management supporting roles and a Google-style calendar to schedule and move shows and playlists.",True,https://api.github.com/repos/BBGInnovate/Airtime,2013-07-08T14:11:55Z,2024-05-26T03:37:06Z,2013-11-06T18:26:56Z,http://airtime.sourcefabric.org,329581,1,1,PHP,False,True,True,False,False,False,3,,False,False,0,,True,False,False,[],public,3,0,1,master,BBGInnovate,1682153,MDEyOk9yZ2FuaXphdGlvbjE2ODIxNTM=,Organization,public,False,False,False,False,False,True,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=
12628204,MDEwOlJlcG9zaXRvcnkxMjYyODIwNA==,LSAP,BBGInnovate/LSAP,False,https://github.com/BBGInnovate/LSAP,BBG Live Streaming Audio Player,False,https://api.github.com/repos/BBGInnovate/LSAP,2013-09-05T20:31:05Z,2013-11-21T21:05:09Z,2013-11-21T21:05:06Z,,2976,3,3,CSS,True,True,True,True,False,False,6,,False,False,0,,True,False,False,[],public,6,0,3,master,BBGInnovate,1682153,MDEyOk9yZ2FuaXphdGlvbjE2ODIxNTM=,Organization,public,False,False,False,False,False,True,,,,,
12809292,MDEwOlJlcG9zaXRvcnkxMjgwOTI5Mg==,Project-Relay,BBGInnovate/Project-Relay,False,https://github.com/BBGInnovate/Project-Relay,Relay is a mobile first experience that allows journalists to report on breaking news situations in real time.  Users can follow updates through Email and SMS alerts and can catch up on coverage by using the timeline based interface.,False,https://api.github.com/repos/BBGInnovate/Project-Relay,2013-09-13T12:46:10Z,2024-05-30T16:01:35Z,2014-08-26T12:31:18Z,,61553,11,11,JavaScript,True,True,True,True,False,False,7,,False,False,0,,True,False,False,[],public,7,0,11,master,BBGInnovate,1682153,MDEyOk9yZ2FuaXphdGlvbjE2ODIxNTM=,Organization,public,False,False,False,False,False,True,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=
14627122,MDEwOlJlcG9zaXRvcnkxNDYyNzEyMg==,rIvr,BBGInnovate/rIvr,False,https://github.com/BBGInnovate/rIvr,Responsive Interactive Voice Response (rivr),False,https://api.github.com/repos/BBGInnovate/rIvr,2013-11-22T19:19:07Z,2014-12-12T20:24:16Z,2014-03-11T12:35:59Z,,5052,1,1,Ruby,True,True,True,True,False,False,5,,False,False,0,,True,False,False,[],public,5,0,1,master,BBGInnovate,1682153,MDEyOk9yZ2FuaXphdGlvbjE2ODIxNTM=,Organization,public,False,False,False,False,False,True,,,,,
23327787,MDEwOlJlcG9zaXRvcnkyMzMyNzc4Nw==,Relay-Classic,BBGInnovate/Relay-Classic,False,https://github.com/BBGInnovate/Relay-Classic,,False,https://api.github.com/repos/BBGInnovate/Relay-Classic,2014-08-25T20:34:07Z,2017-12-03T02:17:46Z,2014-09-03T14:44:52Z,,17684,1,1,PHP,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,1,master,BBGInnovate,1682153,MDEyOk9yZ2FuaXphdGlvbjE2ODIxNTM=,Organization,public,False,False,False,False,False,True,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=
23439990,MDEwOlJlcG9zaXRvcnkyMzQzOTk5MA==,Sports-Data-Application-Suite,BBGInnovate/Sports-Data-Application-Suite,False,https://github.com/BBGInnovate/Sports-Data-Application-Suite,A suite of Node.js applications that provides push (realtime) sports information,False,https://api.github.com/repos/BBGInnovate/Sports-Data-Application-Suite,2014-08-28T19:18:24Z,2024-05-30T16:01:05Z,2015-07-02T01:01:18Z,,5972,18,18,JavaScript,True,True,True,True,False,False,11,,False,False,0,,True,False,False,[],public,11,0,18,master,BBGInnovate,1682153,MDEyOk9yZ2FuaXphdGlvbjE2ODIxNTM=,Organization,public,False,False,False,False,False,True,,,,,
27488565,MDEwOlJlcG9zaXRvcnkyNzQ4ODU2NQ==,CxpbbgRest,BBGInnovate/CxpbbgRest,False,https://github.com/BBGInnovate/CxpbbgRest,A Ruby Gem API Client Library for the CXP API,False,https://api.github.com/repos/BBGInnovate/CxpbbgRest,2014-12-03T13:32:35Z,2015-08-29T23:26:57Z,2015-08-07T18:43:25Z,,236,2,2,Ruby,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,2,master,BBGInnovate,1682153,MDEyOk9yZ2FuaXphdGlvbjE2ODIxNTM=,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
30542888,MDEwOlJlcG9zaXRvcnkzMDU0Mjg4OA==,CXP-Documentation-DEPRECATED,BBGInnovate/CXP-Documentation-DEPRECATED,False,https://github.com/BBGInnovate/CXP-Documentation-DEPRECATED,DEPRECATED - this project is no longer active. Documentation pages and API Explorer for the BBG Content Exchange Platform,False,https://api.github.com/repos/BBGInnovate/CXP-Documentation-DEPRECATED,2015-02-09T15:35:34Z,2017-05-11T03:17:09Z,2017-05-08T15:42:32Z,,1654,1,1,HTML,True,True,True,True,False,False,3,,False,False,1,,True,False,False,[],public,3,1,1,master,BBGInnovate,1682153,MDEyOk9yZ2FuaXphdGlvbjE2ODIxNTM=,Organization,public,False,False,False,False,False,True,,,,,
30719819,MDEwOlJlcG9zaXRvcnkzMDcxOTgxOQ==,GovDash,BBGInnovate/GovDash,False,https://github.com/BBGInnovate/GovDash,USG Socialmedia Monitoring Dashboard,False,https://api.github.com/repos/BBGInnovate/GovDash,2015-02-12T19:34:51Z,2016-07-05T13:24:49Z,2016-06-16T19:21:27Z,,6341,2,2,Ruby,True,True,True,True,False,False,5,,False,False,0,,True,False,False,[],public,5,0,2,master,BBGInnovate,1682153,MDEyOk9yZ2FuaXphdGlvbjE2ODIxNTM=,Organization,public,False,False,False,False,False,True,,,,,
32543393,MDEwOlJlcG9zaXRvcnkzMjU0MzM5Mw==,CXP-demo-DEPRECATED,BBGInnovate/CXP-demo-DEPRECATED,False,https://github.com/BBGInnovate/CXP-demo-DEPRECATED,"CXP ""Executive Dashboard"" demo app",False,https://api.github.com/repos/BBGInnovate/CXP-demo-DEPRECATED,2015-03-19T20:02:20Z,2017-05-11T03:17:32Z,2016-08-15T15:26:12Z,,2222,0,0,JavaScript,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,0,master,BBGInnovate,1682153,MDEyOk9yZ2FuaXphdGlvbjE2ODIxNTM=,Organization,public,False,False,False,False,False,True,,,,,
