id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
26256827,MDEwOlJlcG9zaXRvcnkyNjI1NjgyNw==,pvMail,BCDA-APS/pvMail,False,https://github.com/BCDA-APS/pvMail,Watch an EPICS PV. Send email when it changes from 0 to 1.,False,https://api.github.com/repos/BCDA-APS/pvMail,2014-11-06T06:17:54Z,2024-10-07T17:52:06Z,2024-10-07T17:52:05Z,http://bcda-aps.github.io/pvMail/,2212,1,1,Python,True,True,True,True,True,False,2,,False,False,7,,True,False,False,[],public,2,7,1,main,BCDA-APS,12432586,MDEyOk9yZ2FuaXphdGlvbjEyNDMyNTg2,Organization,public,False,False,False,False,False,True,,,,,
29024258,MDEwOlJlcG9zaXRvcnkyOTAyNDI1OA==,pvWebMonitor,BCDA-APS/pvWebMonitor,False,https://github.com/BCDA-APS/pvWebMonitor,post EPICS PVs to read-only web page,False,https://api.github.com/repos/BCDA-APS/pvWebMonitor,2015-01-09T16:19:17Z,2022-11-08T16:46:29Z,2022-11-28T02:51:26Z,https://bcda-aps.github.io/pvWebMonitor/,2246,2,2,Python,True,True,True,True,True,False,1,,False,False,9,,True,False,False,[],public,1,9,2,main,BCDA-APS,12432586,MDEyOk9yZ2FuaXphdGlvbjEyNDMyNTg2,Organization,public,False,False,False,False,False,True,,,,,
35744030,MDEwOlJlcG9zaXRvcnkzNTc0NDAzMA==,epicsEdgeRoboArm,BCDA-APS/epicsEdgeRoboArm,False,https://github.com/BCDA-APS/epicsEdgeRoboArm,EPICS support for the OWI Edge Robotic Arm over USB,False,https://api.github.com/repos/BCDA-APS/epicsEdgeRoboArm,2015-05-16T23:23:21Z,2023-04-22T05:44:49Z,2016-05-17T16:14:39Z,https://epicsEdgeRoboArm.readthedocs.org,66802,2,2,C,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,2,master,BCDA-APS,12432586,MDEyOk9yZ2FuaXphdGlvbjEyNDMyNTg2,Organization,public,False,False,False,False,False,True,,,,,
40251809,MDEwOlJlcG9zaXRvcnk0MDI1MTgwOQ==,bcdaqwidgets,BCDA-APS/bcdaqwidgets,False,https://github.com/BCDA-APS/bcdaqwidgets,PyEpics-aware PyQt widgets for the APS,False,https://api.github.com/repos/BCDA-APS/bcdaqwidgets,2015-08-05T15:01:25Z,2022-12-08T21:14:08Z,2019-10-02T01:48:27Z,http://bcdaqwidgets.readthedocs.io,418,0,0,Python,True,True,True,True,False,False,0,,True,False,0,,True,False,False,[],public,0,0,0,master,BCDA-APS,12432586,MDEyOk9yZ2FuaXphdGlvbjEyNDMyNTg2,Organization,public,False,False,False,False,False,True,,,,,
41178187,MDEwOlJlcG9zaXRvcnk0MTE3ODE4Nw==,conversions,BCDA-APS/conversions,False,https://github.com/BCDA-APS/conversions,tools to manage copying synApps from subversion to GitHub,False,https://api.github.com/repos/BCDA-APS/conversions,2015-08-21T21:26:13Z,2023-01-28T18:15:24Z,2015-11-26T16:28:51Z,,24,0,0,Python,True,True,True,True,False,False,0,,True,False,0,,True,False,False,[],public,0,0,0,master,BCDA-APS,12432586,MDEyOk9yZ2FuaXphdGlvbjEyNDMyNTg2,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
45270522,MDEwOlJlcG9zaXRvcnk0NTI3MDUyMg==,Keithley648x,BCDA-APS/Keithley648x,False,https://github.com/BCDA-APS/Keithley648x,EPICS support for Keithley 6485/7 picoammeters,False,https://api.github.com/repos/BCDA-APS/Keithley648x,2015-10-30T18:52:37Z,2021-06-17T06:53:45Z,2020-10-30T22:32:05Z,,47,0,0,C++,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,BCDA-APS,12432586,MDEyOk9yZ2FuaXphdGlvbjEyNDMyNTg2,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
57063629,MDEwOlJlcG9zaXRvcnk1NzA2MzYyOQ==,mda2idd_report,BCDA-APS/mda2idd_report,False,https://github.com/BCDA-APS/mda2idd_report,browse MDA files & report or write ASCII text files,False,https://api.github.com/repos/BCDA-APS/mda2idd_report,2016-04-25T17:55:53Z,2023-07-06T09:25:59Z,2017-09-28T12:53:28Z,http://mda2idd-report.readthedocs.io/,1011,1,1,Python,True,True,True,True,False,False,1,,False,False,3,,True,False,False,[],public,1,3,1,master,BCDA-APS,12432586,MDEyOk9yZ2FuaXphdGlvbjEyNDMyNTg2,Organization,public,False,False,False,False,False,True,,,,,
81590332,MDEwOlJlcG9zaXRvcnk4MTU5MDMzMg==,suitcase,BCDA-APS/suitcase,False,https://github.com/BCDA-APS/suitcase,data export facilities for NSLS-II,True,https://api.github.com/repos/BCDA-APS/suitcase,2017-02-10T17:43:15Z,2019-05-10T13:41:29Z,2017-05-03T16:31:12Z,,1367,0,0,Python,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,BCDA-APS,12432586,MDEyOk9yZ2FuaXphdGlvbjEyNDMyNTg2,Organization,public,False,False,False,False,False,True,,,,,
85615140,MDEwOlJlcG9zaXRvcnk4NTYxNTE0MA==,bcdamenu,BCDA-APS/bcdamenu,False,https://github.com/BCDA-APS/bcdamenu,"GUI menu to beam line software, such as synoptic display",False,https://api.github.com/repos/BCDA-APS/bcdamenu,2017-03-20T19:02:25Z,2021-10-04T16:06:04Z,2020-12-18T20:32:30Z,http://bcdamenu.readthedocs.io,349,1,1,Python,True,True,True,True,False,False,0,,False,False,5,,True,False,False,"['aps', 'bcda', 'hacktoberfest', 'hacktoberfest2021']",public,0,5,1,main,BCDA-APS,12432586,MDEyOk9yZ2FuaXphdGlvbjEyNDMyNTg2,Organization,public,False,False,False,False,False,True,,,,,
86367270,MDEwOlJlcG9zaXRvcnk4NjM2NzI3MA==,use_bluesky,BCDA-APS/use_bluesky,False,https://github.com/BCDA-APS/use_bluesky,Tools to help APS use the Bluesky Framework (https://blueskyproject.io/),False,https://api.github.com/repos/BCDA-APS/use_bluesky,2017-03-27T17:58:44Z,2023-09-18T22:13:12Z,2023-04-23T17:41:05Z,,9106,8,8,Jupyter Notebook,True,True,True,True,False,False,3,,True,False,3,,True,False,False,"['aps', 'bluesky', 'hacktoberfest', 'hacktoberfest2021', 'ipython', 'jupyter']",public,3,3,8,main,BCDA-APS,12432586,MDEyOk9yZ2FuaXphdGlvbjEyNDMyNTg2,Organization,public,False,False,False,False,False,True,,,,,
