id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
189284674,MDEwOlJlcG9zaXRvcnkxODkyODQ2NzQ=,qsearch,BQSKit/qsearch,False,https://github.com/BQSKit/qsearch,A compiler for quantum computers based on A* and numerical optimization.,False,https://api.github.com/repos/BQSKit/qsearch,2019-05-29T19:17:38Z,2023-08-25T03:45:52Z,2022-10-26T16:32:49Z,,939,28,28,Python,True,True,True,True,False,False,9,,True,False,0,True,False,False,"['optimization', 'optimization-algorithms', 'qiskit', 'quantum', 'quantum-computing']",public,9,0,28,master,BQSKit,71353459,MDEyOk9yZ2FuaXphdGlvbjcxMzUzNDU5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
230846587,MDEwOlJlcG9zaXRvcnkyMzA4NDY1ODc=,qfast,BQSKit/qfast,False,https://github.com/BQSKit/qfast,Quantum Fast Approximate Synthesis Tool,False,https://api.github.com/repos/BQSKit/qfast,2019-12-30T04:19:18Z,2023-02-11T21:29:46Z,2023-01-23T15:42:19Z,,2772,17,17,Python,True,True,True,True,False,False,2,,True,False,0,True,False,False,[],public,2,0,17,master,BQSKit,71353459,MDEyOk9yZ2FuaXphdGlvbjcxMzUzNDU5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
249878619,MDEwOlJlcG9zaXRvcnkyNDk4Nzg2MTk=,qfast-uq,BQSKit/qfast-uq,False,https://github.com/BQSKit/qfast-uq,UniversalQ Compiler Plugin for QFAST,False,https://api.github.com/repos/BQSKit/qfast-uq,2020-03-25T03:32:07Z,2023-01-28T11:49:29Z,2020-10-09T17:22:07Z,,81,1,1,Python,True,True,True,True,False,False,0,,True,False,1,True,False,False,[],public,0,1,1,master,BQSKit,71353459,MDEyOk9yZ2FuaXphdGlvbjcxMzUzNDU5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
262142968,MDEwOlJlcG9zaXRvcnkyNjIxNDI5Njg=,qfast-qs,BQSKit/qfast-qs,False,https://github.com/BQSKit/qfast-qs,QSearch Plugin for QFAST,False,https://api.github.com/repos/BQSKit/qfast-qs,2020-05-07T19:42:01Z,2023-01-28T11:49:29Z,2020-11-11T03:03:53Z,,17,2,2,Python,True,True,True,True,False,False,1,,True,False,3,True,False,False,[],public,1,3,2,master,BQSKit,71353459,MDEyOk9yZ2FuaXphdGlvbjcxMzUzNDU5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
305901808,MDEwOlJlcG9zaXRvcnkzMDU5MDE4MDg=,qgo,BQSKit/qgo,False,https://github.com/BQSKit/qgo,,False,https://api.github.com/repos/BQSKit/qgo,2020-10-21T03:51:17Z,2023-02-26T08:49:26Z,2023-01-23T15:51:11Z,,10,4,4,Python,True,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,4,master,BQSKit,71353459,MDEyOk9yZ2FuaXphdGlvbjcxMzUzNDU5,Organization,public,False,,,,,,False,False,False,False,True,
306118052,MDEwOlJlcG9zaXRvcnkzMDYxMTgwNTI=,qfactor,BQSKit/qfactor,False,https://github.com/BQSKit/qfactor,Quantum Circuit Optimizer based on SVD operation,False,https://api.github.com/repos/BQSKit/qfactor,2020-10-21T18:48:06Z,2024-11-16T03:45:43Z,2023-01-23T15:55:40Z,,61,12,12,Python,True,True,True,True,False,False,2,,True,False,0,True,False,False,[],public,2,0,12,master,BQSKit,71353459,MDEyOk9yZ2FuaXphdGlvbjcxMzUzNDU5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
314051684,MDEwOlJlcG9zaXRvcnkzMTQwNTE2ODQ=,qfast-qiskit,BQSKit/qfast-qiskit,False,https://github.com/BQSKit/qfast-qiskit,QISKit plugin for QFAST,False,https://api.github.com/repos/BQSKit/qfast-qiskit,2020-11-18T20:35:58Z,2023-01-23T15:44:49Z,2023-01-23T15:44:18Z,,13,3,3,Python,True,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,3,master,BQSKit,71353459,MDEyOk9yZ2FuaXphdGlvbjcxMzUzNDU5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
331370483,MDEwOlJlcG9zaXRvcnkzMzEzNzA0ODM=,bqskit,BQSKit/bqskit,False,https://github.com/BQSKit/bqskit,Berkeley Quantum Synthesis Toolkit,False,https://api.github.com/repos/BQSKit/bqskit,2021-01-20T16:49:36Z,2024-12-13T08:01:51Z,2024-11-08T15:33:35Z,,3463,128,128,OpenQASM,True,True,True,True,False,False,36,,False,False,34,True,False,False,"['compiler', 'quantum', 'synthesis']",public,36,34,128,main,BQSKit,71353459,MDEyOk9yZ2FuaXphdGlvbjcxMzUzNDU5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
351270270,MDEwOlJlcG9zaXRvcnkzNTEyNzAyNzA=,bqskitrs,BQSKit/bqskitrs,False,https://github.com/BQSKit/bqskitrs,Rust native code for BQSKit,False,https://api.github.com/repos/BQSKit/bqskitrs,2021-03-25T01:13:04Z,2024-11-16T03:46:29Z,2024-08-05T16:59:46Z,,376,9,9,Rust,True,True,True,True,False,False,6,,False,False,3,True,False,False,[],public,6,3,9,main,BQSKit,71353459,MDEyOk9yZ2FuaXphdGlvbjcxMzUzNDU5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
360235367,MDEwOlJlcG9zaXRvcnkzNjAyMzUzNjc=,aide-qc-demo,BQSKit/aide-qc-demo,False,https://github.com/BQSKit/aide-qc-demo,Demo Notebook for the AIDE-QC All Hands,False,https://api.github.com/repos/BQSKit/aide-qc-demo,2021-04-21T16:24:22Z,2023-01-23T15:49:39Z,2023-01-23T15:49:24Z,,3,0,0,Jupyter Notebook,True,True,True,True,False,False,1,,True,False,0,True,False,False,[],public,1,0,0,master,BQSKit,71353459,MDEyOk9yZ2FuaXphdGlvbjcxMzUzNDU5,Organization,public,False,,,,,,False,False,False,False,True,
