id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
60117888,MDEwOlJlcG9zaXRvcnk2MDExNzg4OA==,Global-Feedback-Simulator,BerkeleyLab/Global-Feedback-Simulator,False,https://github.com/BerkeleyLab/Global-Feedback-Simulator,,False,https://api.github.com/repos/BerkeleyLab/Global-Feedback-Simulator,2016-05-31T19:35:39Z,2023-01-25T19:35:19Z,2019-11-18T23:09:36Z,,10253,4,4,Python,True,True,True,True,False,False,2,,False,False,0,,True,False,False,[],public,2,0,4,release,BerkeleyLab,18706005,MDEyOk9yZ2FuaXphdGlvbjE4NzA2MDA1,Organization,public,False,False,False,False,False,True,,,,,
142498553,MDEwOlJlcG9zaXRvcnkxNDI0OTg1NTM=,CMOC,BerkeleyLab/CMOC,False,https://github.com/BerkeleyLab/CMOC,CryoModule-On-Chip Simulation Engine,False,https://api.github.com/repos/BerkeleyLab/CMOC,2018-07-26T22:05:55Z,2023-10-26T06:29:44Z,2018-10-26T19:45:06Z,,1553,6,6,Python,True,True,True,True,True,False,1,,False,False,0,,True,False,False,[],public,1,0,6,master,BerkeleyLab,18706005,MDEyOk9yZ2FuaXphdGlvbjE4NzA2MDA1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
160235112,MDEwOlJlcG9zaXRvcnkxNjAyMzUxMTI=,Marble-Mini,BerkeleyLab/Marble-Mini,False,https://github.com/BerkeleyLab/Marble-Mini,"""Marble-Mini"" Simple FMC carrier board with SFP, 2x FMC, PoE",False,https://api.github.com/repos/BerkeleyLab/Marble-Mini,2018-12-03T18:23:03Z,2024-11-28T08:14:41Z,2021-11-09T23:15:06Z,,70609,18,18,Python,True,True,True,True,False,False,6,,False,False,4,,True,False,False,[],public,6,4,18,master,BerkeleyLab,18706005,MDEyOk9yZ2FuaXphdGlvbjE4NzA2MDA1,Organization,public,False,False,False,False,False,True,,,,,
175274614,MDEwOlJlcG9zaXRvcnkxNzUyNzQ2MTQ=,Zest,BerkeleyLab/Zest,False,https://github.com/BerkeleyLab/Zest,Zest is a FMC mezzanine board with 8 ADC channels and 2 DACs,False,https://api.github.com/repos/BerkeleyLab/Zest,2019-03-12T18:33:49Z,2024-11-06T17:43:11Z,2024-11-06T17:43:07Z,,4211,10,10,Python,True,True,True,True,False,False,3,,False,False,1,,True,False,False,[],public,3,1,10,main,BerkeleyLab,18706005,MDEyOk9yZ2FuaXphdGlvbjE4NzA2MDA1,Organization,public,False,False,False,False,False,True,,,,,
203221974,MDEwOlJlcG9zaXRvcnkyMDMyMjE5NzQ=,Bedrock,BerkeleyLab/Bedrock,False,https://github.com/BerkeleyLab/Bedrock,"LBNL RF controls support HDL libraries. Mirroring LBNL's internal Gitlab repository, which is CI enabled  ",False,https://api.github.com/repos/BerkeleyLab/Bedrock,2019-08-19T17:49:05Z,2024-12-12T17:14:38Z,2024-12-12T17:16:09Z,,32061,53,53,Verilog,True,True,True,True,True,False,13,,False,False,0,,True,False,False,[],public,13,0,53,master,BerkeleyLab,18706005,MDEyOk9yZ2FuaXphdGlvbjE4NzA2MDA1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
224099690,MDEwOlJlcG9zaXRvcnkyMjQwOTk2OTA=,Marble,BerkeleyLab/Marble,False,https://github.com/BerkeleyLab/Marble,Dual FMC FPGA carrier board developed for general purpose use in particle accelerator electronics instrumentation.,False,https://api.github.com/repos/BerkeleyLab/Marble,2019-11-26T04:07:13Z,2024-11-08T05:50:40Z,2024-04-18T18:51:04Z,,191569,23,23,Python,True,True,True,True,False,False,8,,False,False,10,,True,False,False,"['berkeleylab', 'electronics', 'fpga', 'fpga-board', 'marble', 'ucberkeley']",public,8,10,23,main,BerkeleyLab,18706005,MDEyOk9yZ2FuaXphdGlvbjE4NzA2MDA1,Organization,public,False,False,False,False,False,True,,,,,
359948286,MDEwOlJlcG9zaXRvcnkzNTk5NDgyODY=,XVC-FTDI-JTAG,BerkeleyLab/XVC-FTDI-JTAG,False,https://github.com/BerkeleyLab/XVC-FTDI-JTAG,Xilinx virtual cable server for generic FTDI 4232H.,False,https://api.github.com/repos/BerkeleyLab/XVC-FTDI-JTAG,2021-04-20T20:53:43Z,2024-12-04T02:26:56Z,2024-02-09T18:30:50Z,,68,52,52,C,True,True,True,True,False,False,15,,False,False,2,,True,False,False,[],public,15,2,52,master,BerkeleyLab,18706005,MDEyOk9yZ2FuaXphdGlvbjE4NzA2MDA1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
370513124,MDEwOlJlcG9zaXRvcnkzNzA1MTMxMjQ=,CAL-BPM,BerkeleyLab/CAL-BPM,False,https://github.com/BerkeleyLab/CAL-BPM,LBNL Beam Position Monitor (BPM) Electronics Firmware (CAL-BPM),False,https://api.github.com/repos/BerkeleyLab/CAL-BPM,2021-05-24T23:47:21Z,2021-09-28T23:42:36Z,2021-09-28T23:42:32Z,,2028,0,0,C,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,main,BerkeleyLab,18706005,MDEyOk9yZ2FuaXphdGlvbjE4NzA2MDA1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
370513684,MDEwOlJlcG9zaXRvcnkzNzA1MTM2ODQ=,LBNL-Cell-controller,BerkeleyLab/LBNL-Cell-controller,False,https://github.com/BerkeleyLab/LBNL-Cell-controller,LBNL Fast Orbit Feedback (FOB) Cell controller firmware and software,False,https://api.github.com/repos/BerkeleyLab/LBNL-Cell-controller,2021-05-24T23:50:58Z,2024-08-15T21:37:13Z,2024-12-19T01:45:43Z,,5872,2,2,Verilog,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,2,master,BerkeleyLab,18706005,MDEyOk9yZ2FuaXphdGlvbjE4NzA2MDA1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
386084926,MDEwOlJlcG9zaXRvcnkzODYwODQ5MjY=,Marble-MMC,BerkeleyLab/Marble-MMC,False,https://github.com/BerkeleyLab/Marble-MMC,,False,https://api.github.com/repos/BerkeleyLab/Marble-MMC,2021-07-14T21:52:03Z,2024-11-27T23:40:19Z,2024-12-19T01:33:27Z,,14854,1,1,C,True,True,True,True,False,False,3,,False,False,2,,True,False,False,[],public,3,2,1,master,BerkeleyLab,18706005,MDEyOk9yZ2FuaXphdGlvbjE4NzA2MDA1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
