id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
59439089,MDEwOlJlcG9zaXRvcnk1OTQzOTA4OQ==,pylearn2,BouchardLab/pylearn2,False,https://github.com/BouchardLab/pylearn2,Copy of pylearn2,False,https://api.github.com/repos/BouchardLab/pylearn2,2016-05-22T23:25:27Z,2019-03-20T17:43:17Z,2019-04-11T19:11:33Z,,11928,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,ecog,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
78498213,MDEwOlJlcG9zaXRvcnk3ODQ5ODIxMw==,process_ecog,BouchardLab/process_ecog,False,https://github.com/BouchardLab/process_ecog,,False,https://api.github.com/repos/BouchardLab/process_ecog,2017-01-10T04:41:30Z,2024-09-15T13:13:39Z,2019-07-02T17:08:17Z,,398,2,2,Jupyter Notebook,True,True,True,True,False,False,6,,True,False,3,True,False,False,[],public,6,3,2,master,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,,,,,,False,False,False,False,True,
84607038,MDEwOlJlcG9zaXRvcnk4NDYwNzAzOA==,pyuoi,BouchardLab/pyuoi,False,https://github.com/BouchardLab/pyuoi,The Union of Intersections Framework in Python,False,https://api.github.com/repos/BouchardLab/pyuoi,2017-03-10T22:46:47Z,2024-10-25T16:36:27Z,2023-10-18T21:45:21Z,https://pyuoi.readthedocs.io,2432,13,13,Python,True,True,True,True,False,False,16,,False,False,8,True,False,False,[],public,16,8,13,main,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
100411398,MDEwOlJlcG9zaXRvcnkxMDA0MTEzOTg=,cv_paper_plots,BouchardLab/cv_paper_plots,False,https://github.com/BouchardLab/cv_paper_plots,Code for create plots for cv paper.,False,https://api.github.com/repos/BouchardLab/cv_paper_plots,2017-08-15T19:30:01Z,2019-09-17T19:58:37Z,2019-06-12T18:37:49Z,,38755,1,1,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,,,,,,False,False,False,False,True,
103780734,MDEwOlJlcG9zaXRvcnkxMDM3ODA3MzQ=,distributed-UoI_VAR,BouchardLab/distributed-UoI_VAR,False,https://github.com/BouchardLab/distributed-UoI_VAR,,False,https://api.github.com/repos/BouchardLab/distributed-UoI_VAR,2017-09-16T20:08:50Z,2017-09-16T20:15:14Z,2018-02-26T23:12:49Z,,2637,0,0,Assembly,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,,,,,,False,False,False,False,True,
106583355,MDEwOlJlcG9zaXRvcnkxMDY1ODMzNTU=,TTF-to-PNG,BouchardLab/TTF-to-PNG,False,https://github.com/BouchardLab/TTF-to-PNG,Generate PNGs from true-type-font,True,https://api.github.com/repos/BouchardLab/TTF-to-PNG,2017-10-11T16:58:01Z,2017-10-11T16:58:02Z,2017-10-17T18:59:08Z,,5,0,0,Python,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
121416849,MDEwOlJlcG9zaXRvcnkxMjE0MTY4NDk=,noise_correlations,BouchardLab/noise_correlations,False,https://github.com/BouchardLab/noise_correlations,Noise correlation metrics and null models,False,https://api.github.com/repos/BouchardLab/noise_correlations,2018-02-13T18:03:23Z,2024-12-09T21:10:02Z,2023-09-07T02:37:11Z,,24686,0,0,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,,,,,,False,False,False,False,True,
131057294,MDEwOlJlcG9zaXRvcnkxMzEwNTcyOTQ=,info_measures,BouchardLab/info_measures,False,https://github.com/BouchardLab/info_measures,Python implementations of information theoretic measures,False,https://api.github.com/repos/BouchardLab/info_measures,2018-04-25T20:01:45Z,2024-07-16T06:01:06Z,2022-03-14T17:13:23Z,,1490,4,4,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,4,master,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,,,,,,False,False,False,False,True,
138204167,MDEwOlJlcG9zaXRvcnkxMzgyMDQxNjc=,pykCSD,BouchardLab/pykCSD,False,https://github.com/BouchardLab/pykCSD,Object oriented Python kernel current source density toolbox,True,https://api.github.com/repos/BouchardLab/pykCSD,2018-06-21T17:48:56Z,2018-06-21T17:48:58Z,2015-05-04T16:15:47Z,,2261,0,0,Python,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,,,,,,False,False,False,False,True,
141598552,MDEwOlJlcG9zaXRvcnkxNDE1OTg1NTI=,neuropacks,BouchardLab/neuropacks,False,https://github.com/BouchardLab/neuropacks,A set of classes to parse various neuroscience datasets.,False,https://api.github.com/repos/BouchardLab/neuropacks,2018-07-19T15:29:00Z,2023-09-03T19:50:08Z,2023-03-20T18:30:09Z,,2865,2,2,Python,True,True,True,True,False,False,2,,False,False,1,True,False,False,[],public,2,1,2,main,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,,,,,,False,False,False,False,True,
142217895,MDEwOlJlcG9zaXRvcnkxNDIyMTc4OTU=,PR_practice,BouchardLab/PR_practice,False,https://github.com/BouchardLab/PR_practice,Test repo for creating pull requests,False,https://api.github.com/repos/BouchardLab/PR_practice,2018-07-24T22:12:00Z,2018-07-24T23:15:22Z,2018-07-24T23:15:20Z,,5,0,0,,True,True,True,True,False,False,5,,False,False,1,True,False,False,[],public,5,1,0,master,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,,,,,,False,False,False,False,True,
148823385,MDEwOlJlcG9zaXRvcnkxNDg4MjMzODU=,fooof,BouchardLab/fooof,False,https://github.com/BouchardLab/fooof,Parameterizing neural power spectra - fitting oscillatory peaks and 1/f background. ,True,https://api.github.com/repos/BouchardLab/fooof,2018-09-14T17:51:12Z,2018-11-03T15:36:18Z,2018-09-12T23:20:34Z,,98043,0,0,Jupyter Notebook,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
166108277,MDEwOlJlcG9zaXRvcnkxNjYxMDgyNzc=,DynamicalComponentsAnalysis,BouchardLab/DynamicalComponentsAnalysis,False,https://github.com/BouchardLab/DynamicalComponentsAnalysis,Dynamical Components Analysis,False,https://api.github.com/repos/BouchardLab/DynamicalComponentsAnalysis,2019-01-16T20:37:39Z,2024-12-10T18:32:06Z,2023-07-06T16:44:00Z,https://dynamicalcomponentsanalysis.readthedocs.io/en/latest/index.html,30906,31,31,Python,True,True,True,True,False,False,11,,False,False,8,True,False,False,"['algorithms', 'dimensionality-reduction', 'machine-learning', 'pytorch']",public,11,8,31,main,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
185876291,MDEwOlJlcG9zaXRvcnkxODU4NzYyOTE=,ReachMaster,BouchardLab/ReachMaster,False,https://github.com/BouchardLab/ReachMaster,A pneumatically-actuated robotic system for complex rodent reaching tasks,False,https://api.github.com/repos/BouchardLab/ReachMaster,2019-05-09T21:48:57Z,2023-08-10T13:51:43Z,2023-03-23T00:04:53Z,https://reachmaster.readthedocs.io/en/latest/,777700,3,3,Jupyter Notebook,True,True,True,True,False,False,4,,False,False,0,True,False,False,[],public,4,0,3,master,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
187428501,MDEwOlJlcG9zaXRvcnkxODc0Mjg1MDE=,nwb_hackathons,BouchardLab/nwb_hackathons,False,https://github.com/BouchardLab/nwb_hackathons,Repository for collecting materials from nwb hackathons,True,https://api.github.com/repos/BouchardLab/nwb_hackathons,2019-05-19T03:13:16Z,2019-05-19T03:17:39Z,2019-05-19T03:17:37Z,https://neurodatawithoutborders.github.io/nwb_hackathons,74411,0,0,HTML,False,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,,,,,,False,False,False,False,True,
190291971,MDEwOlJlcG9zaXRvcnkxOTAyOTE5NzE=,process_nwb,BouchardLab/process_nwb,False,https://github.com/BouchardLab/process_nwb,Functions for preprocessing timeseries data stored in the NWB format,False,https://api.github.com/repos/BouchardLab/process_nwb,2019-06-04T23:11:37Z,2024-01-02T06:14:14Z,2022-06-24T18:09:35Z,https://process-nwb.readthedocs.io/en/latest/,730,4,4,Python,True,True,True,True,False,False,6,,False,False,5,True,False,False,"['data-analysis', 'ecog', 'neuroscience', 'nwb-format']",public,6,5,4,main,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,,,,,,False,False,False,False,True,
191262698,MDEwOlJlcG9zaXRvcnkxOTEyNjI2OTg=,mpi_utils,BouchardLab/mpi_utils,False,https://github.com/BouchardLab/mpi_utils,mpi4py array utilities,False,https://api.github.com/repos/BouchardLab/mpi_utils,2019-06-11T00:06:30Z,2022-08-10T09:43:34Z,2019-10-13T04:59:26Z,,15,1,1,Python,True,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,1,master,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,,,,,,False,False,False,False,True,
212627285,MDEwOlJlcG9zaXRvcnkyMTI2MjcyODU=,staged-recipes,BouchardLab/staged-recipes,False,https://github.com/BouchardLab/staged-recipes,A place to submit conda recipes before they become fully fledged conda-forge feedstocks,True,https://api.github.com/repos/BouchardLab/staged-recipes,2019-10-03T16:32:36Z,2019-10-03T16:32:37Z,2019-10-08T18:43:06Z,https://conda-forge.org,33993,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,BouchardLab,19174823,MDEyOk9yZ2FuaXphdGlvbjE5MTc0ODIz,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
