id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
34013523,MDEwOlJlcG9zaXRvcnkzNDAxMzUyMw==,CCBR-Commons,CCBR/CCBR-Commons,False,https://github.com/CCBR/CCBR-Commons,,False,https://api.github.com/repos/CCBR/CCBR-Commons,2015-04-15T19:15:25Z,2018-11-05T18:19:43Z,2017-04-28T04:19:37Z,,61758,0,0,HTML,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,CCBR,10426639,MDEyOk9yZ2FuaXphdGlvbjEwNDI2NjM5,Organization,public,False,False,False,False,False,True,,,,,
35234303,MDEwOlJlcG9zaXRvcnkzNTIzNDMwMw==,Maggie,CCBR/Maggie,False,https://github.com/CCBR/Maggie,,False,https://api.github.com/repos/CCBR/Maggie,2015-05-07T17:42:15Z,2021-03-10T22:06:08Z,2021-03-10T22:06:01Z,,626558,0,0,HTML,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,CCBR,10426639,MDEyOk9yZ2FuaXphdGlvbjEwNDI2NjM5,Organization,public,False,False,False,False,False,True,,,,,
64246358,MDEwOlJlcG9zaXRvcnk2NDI0NjM1OA==,Pipeliner,CCBR/Pipeliner,False,https://github.com/CCBR/Pipeliner,An open-source and scalable solution to NGS analysis powered by the NIH's Biowulf cluster.,False,https://api.github.com/repos/CCBR/Pipeliner,2016-07-26T18:54:00Z,2023-10-23T14:42:14Z,2023-07-13T12:51:33Z,,21218,4,4,Python,True,True,True,True,True,False,0,,True,False,24,,True,False,False,"['chip-seq', 'mirna-seq', 'quality-control', 'rna-seq', 'single-cell-rna-seq', 'whole-exome-sequencing', 'whole-genome-sequencing']",public,0,24,4,master,CCBR,10426639,MDEyOk9yZ2FuaXphdGlvbjEwNDI2NjM5,Organization,public,False,False,False,False,False,True,,,,,
70185180,MDEwOlJlcG9zaXRvcnk3MDE4NTE4MA==,MAAPster,CCBR/MAAPster,False,https://github.com/CCBR/MAAPster,MAAPster is a comprehensive tool to perform transcriptome analysis of human or mouse Affymetrix gene expression data,False,https://api.github.com/repos/CCBR/MAAPster,2016-10-06T19:16:08Z,2024-01-16T18:23:18Z,2024-01-23T21:50:32Z,,52959,9,9,R,True,True,True,True,True,False,6,,False,False,0,,True,False,False,"['batch-correction', 'differential-expression', 'microarray-data-analysis', 'pathway-analysis', 'quality-control', 'transcriptomics']",public,6,0,9,master,CCBR,10426639,MDEyOk9yZ2FuaXphdGlvbjEwNDI2NjM5,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
146903444,MDEwOlJlcG9zaXRvcnkxNDY5MDM0NDQ=,CRISPR-tools,CCBR/CRISPR-tools,False,https://github.com/CCBR/CRISPR-tools,,False,https://api.github.com/repos/CCBR/CRISPR-tools,2018-08-31T14:35:28Z,2022-06-07T16:22:28Z,2018-10-22T19:01:11Z,,21,2,2,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,2,master,CCBR,10426639,MDEyOk9yZ2FuaXphdGlvbjEwNDI2NjM5,Organization,public,False,False,False,False,False,True,,,,,
149651059,MDEwOlJlcG9zaXRvcnkxNDk2NTEwNTk=,Tools,CCBR/Tools,False,https://github.com/CCBR/Tools,Utilities for CCBR Bioinformatics Software ⚒️,False,https://api.github.com/repos/CCBR/Tools,2018-09-20T18:12:27Z,2024-12-02T17:38:12Z,2024-12-18T15:59:54Z,https://ccbr.github.io/Tools/,4415,1,1,Python,True,True,True,True,True,False,4,,False,False,9,,True,False,False,[],public,4,9,1,main,CCBR,10426639,MDEyOk9yZ2FuaXphdGlvbjEwNDI2NjM5,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
152794987,MDEwOlJlcG9zaXRvcnkxNTI3OTQ5ODc=,NIAID,CCBR/NIAID,False,https://github.com/CCBR/NIAID,,False,https://api.github.com/repos/CCBR/NIAID,2018-10-12T18:53:23Z,2023-05-26T13:58:10Z,2019-11-20T21:21:06Z,,448,0,0,Python,True,True,True,True,False,False,5,,True,False,1,,True,False,False,[],public,5,1,0,master,CCBR,10426639,MDEyOk9yZ2FuaXphdGlvbjEwNDI2NjM5,Organization,public,False,False,False,False,False,True,,,,,
153456532,MDEwOlJlcG9zaXRvcnkxNTM0NTY1MzI=,Dockers,CCBR/Dockers,False,https://github.com/CCBR/Dockers,A collection of Dockerfiles to facilitate reproducibility across computing environments.,False,https://api.github.com/repos/CCBR/Dockers,2018-10-17T12:53:30Z,2024-12-03T21:59:49Z,2024-12-03T21:59:32Z,,979488,11,11,Dockerfile,True,True,True,False,False,False,3,,False,False,2,,True,False,False,"['biowulf', 'dnanexus', 'docker', 'sbg', 'singularity']",public,3,2,11,master,CCBR,10426639,MDEyOk9yZ2FuaXphdGlvbjEwNDI2NjM5,Organization,public,False,False,False,False,False,True,,,,,
153457884,MDEwOlJlcG9zaXRvcnkxNTM0NTc4ODQ=,DNAnexus,CCBR/DNAnexus,False,https://github.com/CCBR/DNAnexus,DNAnexus custom applets and workflows,False,https://api.github.com/repos/CCBR/DNAnexus,2018-10-17T13:03:08Z,2020-05-06T23:37:22Z,2024-01-23T21:27:46Z,,95918,2,2,Shell,True,True,True,True,True,False,1,,False,False,2,,True,False,False,[],public,1,2,2,master,CCBR,10426639,MDEyOk9yZ2FuaXphdGlvbjEwNDI2NjM5,Organization,public,False,False,False,False,False,True,,,,,
164483194,MDEwOlJlcG9zaXRvcnkxNjQ0ODMxOTQ=,l2p,CCBR/l2p,False,https://github.com/CCBR/l2p,"List to pathway, or l2p, is an R package for gene set enrichment analysis that is optimized for speed.",False,https://api.github.com/repos/CCBR/l2p,2019-01-07T19:39:25Z,2024-08-23T14:55:12Z,2024-08-23T14:55:08Z,https://ccbr.github.io/l2p/,1451135,0,0,C,True,True,True,True,True,False,2,,False,False,0,,True,False,False,"['c', 'functional-enrichment-analysis', 'l2p', 'over-representation-analysis', 'r-package']",public,2,0,0,master,CCBR,10426639,MDEyOk9yZ2FuaXphdGlvbjEwNDI2NjM5,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
