id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
349100722,MDEwOlJlcG9zaXRvcnkzNDkxMDA3MjI=,ngs_pipeline-v3.2.2,CCRGeneticsBranch/ngs_pipeline-v3.2.2,False,https://github.com/CCRGeneticsBranch/ngs_pipeline-v3.2.2,,False,https://api.github.com/repos/CCRGeneticsBranch/ngs_pipeline-v3.2.2,2021-03-18T14:17:54Z,2021-03-26T19:16:06Z,2021-03-26T19:16:03Z,,48908,0,0,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
351549947,MDEwOlJlcG9zaXRvcnkzNTE1NDk5NDc=,khanlab_pipeline,CCRGeneticsBranch/khanlab_pipeline,False,https://github.com/CCRGeneticsBranch/khanlab_pipeline,Bioinformatics pipeline,True,https://api.github.com/repos/CCRGeneticsBranch/khanlab_pipeline,2021-03-25T19:18:11Z,2024-10-25T08:55:15Z,2024-06-10T14:35:57Z,,25268,2,2,Python,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,2,master,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
374741889,MDEwOlJlcG9zaXRvcnkzNzQ3NDE4ODk=,ervTelescope,CCRGeneticsBranch/ervTelescope,False,https://github.com/CCRGeneticsBranch/ervTelescope,,False,https://api.github.com/repos/CCRGeneticsBranch/ervTelescope,2021-06-07T17:04:04Z,2022-07-25T19:33:55Z,2023-10-25T17:41:53Z,,256,1,1,Shell,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
382197498,MDEwOlJlcG9zaXRvcnkzODIxOTc0OTg=,RNAseqLandscape,CCRGeneticsBranch/RNAseqLandscape,False,https://github.com/CCRGeneticsBranch/RNAseqLandscape,"R code for paper ""Immuno-Transcriptomic Profiling of Extracranial Pediatric Solid Malignancies""",False,https://api.github.com/repos/CCRGeneticsBranch/RNAseqLandscape,2021-07-02T01:24:37Z,2022-08-10T15:33:20Z,2022-08-10T15:33:06Z,,388799,0,0,R,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,main,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
392484693,MDEwOlJlcG9zaXRvcnkzOTI0ODQ2OTM=,CITEseq_Screening_CARs,CCRGeneticsBranch/CITEseq_Screening_CARs,False,https://github.com/CCRGeneticsBranch/CITEseq_Screening_CARs,using CITEseq to screen optimal CARs,True,https://api.github.com/repos/CCRGeneticsBranch/CITEseq_Screening_CARs,2021-08-03T23:29:30Z,2021-08-04T18:21:20Z,2021-08-04T18:21:17Z,,284,0,0,R,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
400329949,MDEwOlJlcG9zaXRvcnk0MDAzMjk5NDk=,fusionTools,CCRGeneticsBranch/fusionTools,False,https://github.com/CCRGeneticsBranch/fusionTools,Python scripts processing fusion breakpoints and visualize them with D3.js,False,https://api.github.com/repos/CCRGeneticsBranch/fusionTools,2021-08-26T23:17:20Z,2024-03-20T01:40:51Z,2024-04-12T01:12:51Z,,301639,0,0,Perl,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
404757603,MDEwOlJlcG9zaXRvcnk0MDQ3NTc2MDM=,ngs_pipeline_4.1,CCRGeneticsBranch/ngs_pipeline_4.1,False,https://github.com/CCRGeneticsBranch/ngs_pipeline_4.1,,False,https://api.github.com/repos/CCRGeneticsBranch/ngs_pipeline_4.1,2021-09-09T14:38:46Z,2021-09-09T15:14:33Z,2021-10-08T12:19:20Z,,48926,0,0,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
411402620,R_kgDOGIWBfA,khanlab_ngs_pipeline,CCRGeneticsBranch/khanlab_ngs_pipeline,False,https://github.com/CCRGeneticsBranch/khanlab_ngs_pipeline,,False,https://api.github.com/repos/CCRGeneticsBranch/khanlab_ngs_pipeline,2021-09-28T18:49:12Z,2023-03-24T12:49:45Z,2023-06-02T01:12:39Z,,49613,0,0,Python,True,True,True,True,False,False,1,,False,False,6,,True,False,False,[],public,1,6,0,main,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
451519050,R_kgDOGumiSg,ngs_pipeline.hg38_v1,CCRGeneticsBranch/ngs_pipeline.hg38_v1,False,https://github.com/CCRGeneticsBranch/ngs_pipeline.hg38_v1,https://CCRGeneticsBranch.github.io/ngs_pipeline.hg38_v1/,False,https://api.github.com/repos/CCRGeneticsBranch/ngs_pipeline.hg38_v1,2022-01-24T15:26:37Z,2022-08-16T18:57:34Z,2022-11-10T15:08:07Z,,49784,0,0,Python,True,True,True,True,True,False,0,,False,False,8,,True,False,False,[],public,0,8,0,main,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
457493027,R_kgDOG0TKIw,oncogenomics,CCRGeneticsBranch/oncogenomics,False,https://github.com/CCRGeneticsBranch/oncogenomics,Oncogenomics web site,False,https://api.github.com/repos/CCRGeneticsBranch/oncogenomics,2022-02-09T19:06:43Z,2022-02-09T19:25:38Z,2022-09-15T00:02:07Z,,20381,0,0,JavaScript,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
498086441,R_kgDOHbAyKQ,AWS_MVP_HPC,CCRGeneticsBranch/AWS_MVP_HPC,False,https://github.com/CCRGeneticsBranch/AWS_MVP_HPC,Details about the MVP effort for testing AWS as HPC for a simple RNAseq pipeline.,False,https://api.github.com/repos/CCRGeneticsBranch/AWS_MVP_HPC,2022-05-30T20:22:31Z,2022-07-13T20:16:01Z,2022-10-06T18:08:10Z,https://ccrgeneticsbranch.github.io/AWS_MVP_HPC/,1567,0,0,Shell,True,True,True,True,True,False,2,,False,False,5,,True,False,False,[],public,2,5,0,main,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
523388653,R_kgDOHzJG7Q,Dockers,CCRGeneticsBranch/Dockers,False,https://github.com/CCRGeneticsBranch/Dockers,,False,https://api.github.com/repos/CCRGeneticsBranch/Dockers,2022-08-10T15:02:53Z,2023-08-04T15:28:51Z,2023-08-04T15:30:52Z,,31916,0,0,Roff,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
549691115,R_kgDOIMOe6w,Oncogenomics_NF_WF,CCRGeneticsBranch/Oncogenomics_NF_WF,False,https://github.com/CCRGeneticsBranch/Oncogenomics_NF_WF,,False,https://api.github.com/repos/CCRGeneticsBranch/Oncogenomics_NF_WF,2022-10-11T15:26:36Z,2024-10-16T18:38:50Z,2024-10-16T18:44:04Z,https://ccrgeneticsbranch.github.io/Oncogenomics_NF_WF/,3676,0,0,Nextflow,True,True,True,True,True,False,1,,False,False,2,,True,False,False,[],public,1,2,0,main,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
553131610,R_kgDOIPgeWg,AWS_POC_Snakemake,CCRGeneticsBranch/AWS_POC_Snakemake,False,https://github.com/CCRGeneticsBranch/AWS_POC_Snakemake,,False,https://api.github.com/repos/CCRGeneticsBranch/AWS_POC_Snakemake,2022-10-17T19:08:11Z,2022-10-17T19:09:26Z,2022-11-09T16:27:05Z,,1084,0,0,Shell,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,main,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
585324754,R_kgDOIuNY0g,Oncogenomics_v2,CCRGeneticsBranch/Oncogenomics_v2,False,https://github.com/CCRGeneticsBranch/Oncogenomics_v2,Oncogenomics portal version 2,False,https://api.github.com/repos/CCRGeneticsBranch/Oncogenomics_v2,2023-01-04T22:09:04Z,2024-12-06T22:59:38Z,2024-12-06T22:59:35Z,,40777,0,0,JavaScript,True,True,True,True,False,False,0,,False,False,34,,True,False,False,[],public,0,34,0,main,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
624182855,R_kgDOJTRGRw,Khanlab_CITEseq_Tumor-Infiltrating-CART,CCRGeneticsBranch/Khanlab_CITEseq_Tumor-Infiltrating-CART,False,https://github.com/CCRGeneticsBranch/Khanlab_CITEseq_Tumor-Infiltrating-CART,Multimodal single-cell profiling reveals the enhanced antitumor activity of FGFR4/CD276 BiCisCAR T cells in rhabdomyosarcoma,False,https://api.github.com/repos/CCRGeneticsBranch/Khanlab_CITEseq_Tumor-Infiltrating-CART,2023-04-05T23:24:41Z,2023-06-29T01:52:25Z,2023-04-05T23:44:27Z,,20,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
641479536,R_kgDOJjwzcA,meltzer_cloud_migration,CCRGeneticsBranch/meltzer_cloud_migration,False,https://github.com/CCRGeneticsBranch/meltzer_cloud_migration,,False,https://api.github.com/repos/CCRGeneticsBranch/meltzer_cloud_migration,2023-05-16T14:53:34Z,2023-05-16T16:07:49Z,2023-05-16T15:09:15Z,,2,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,,,,,
685629504,R_kgDOKN3gQA,MeltzerLab_Nextflow_pipeline,CCRGeneticsBranch/MeltzerLab_Nextflow_pipeline,False,https://github.com/CCRGeneticsBranch/MeltzerLab_Nextflow_pipeline,MeltzerLab data processing Nextflow pipeline,False,https://api.github.com/repos/CCRGeneticsBranch/MeltzerLab_Nextflow_pipeline,2023-08-31T16:49:52Z,2024-09-06T15:42:18Z,2024-05-12T21:36:25Z,,663,0,0,Nextflow,True,True,True,True,False,False,0,,False,False,5,,True,False,False,[],public,0,5,0,main,CCRGeneticsBranch,80335617,MDEyOk9yZ2FuaXphdGlvbjgwMzM1NjE3,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
