id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
6660536,MDEwOlJlcG9zaXRvcnk2NjYwNTM2,cdat,CDAT/cdat,False,https://github.com/CDAT/cdat,Community Data Analysis Tools,False,https://api.github.com/repos/CDAT/cdat,2012-11-12T20:58:18Z,2024-12-14T12:27:14Z,2022-05-18T22:31:18Z,,313700,176,176,Fortran,True,True,True,True,False,False,68,,False,False,279,True,False,False,[],public,68,279,176,master,CDAT,2781444,MDEyOk9yZ2FuaXphdGlvbjI3ODE0NDQ=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
6677240,MDEwOlJlcG9zaXRvcnk2Njc3MjQw,parallel,CDAT/parallel,False,https://github.com/CDAT/parallel,Parallel Processing with UV-CDAT,False,https://api.github.com/repos/CDAT/parallel,2012-11-13T20:34:25Z,2020-05-26T20:16:50Z,2020-05-26T20:16:47Z,,21,1,1,Python,True,True,True,False,False,False,1,,False,False,0,True,False,False,[],public,1,0,1,master,CDAT,2781444,MDEyOk9yZ2FuaXphdGlvbjI3ODE0NDQ=,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
6692399,MDEwOlJlcG9zaXRvcnk2NjkyMzk5,EzGet,CDAT/EzGet,False,https://github.com/CDAT/EzGet,EzGet Fortran library,False,https://api.github.com/repos/CDAT/EzGet,2012-11-14T18:15:13Z,2022-05-18T22:46:20Z,2022-05-18T22:46:19Z,,8870,0,0,Fortran,True,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,CDAT,2781444,MDEyOk9yZ2FuaXphdGlvbjI3ODE0NDQ=,Organization,public,False,,,,,,False,False,False,False,True,
6692494,MDEwOlJlcG9zaXRvcnk2NjkyNDk0,libdrs,CDAT/libdrs,False,https://github.com/CDAT/libdrs,Source Code For PCMDI's old DRS format implementation,False,https://api.github.com/repos/CDAT/libdrs,2012-11-14T18:20:36Z,2020-08-27T15:53:47Z,2021-08-06T20:43:46Z,,107508,0,0,Fortran,True,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,CDAT,2781444,MDEyOk9yZ2FuaXphdGlvbjI3ODE0NDQ=,Organization,public,False,,,,,,False,False,False,False,True,
7414735,MDEwOlJlcG9zaXRvcnk3NDE0NzM1,uvdjango,CDAT/uvdjango,False,https://github.com/CDAT/uvdjango,UV-CDAT over django,False,https://api.github.com/repos/CDAT/uvdjango,2013-01-02T22:50:22Z,2019-03-28T15:38:28Z,2013-11-09T00:49:51Z,,1307,3,3,Python,True,True,True,False,False,False,2,,False,False,0,True,False,False,[],public,2,0,3,master,CDAT,2781444,MDEyOk9yZ2FuaXphdGlvbjI3ODE0NDQ=,Organization,public,False,,,,,,False,False,False,False,True,
8168162,MDEwOlJlcG9zaXRvcnk4MTY4MTYy,usage,CDAT/usage,False,https://github.com/CDAT/usage,Helps us keep track of UVCDAT usage,False,https://api.github.com/repos/CDAT/usage,2013-02-12T21:51:51Z,2020-05-26T17:24:47Z,2022-12-08T00:35:46Z,,23685,1,1,TSQL,True,True,True,False,False,False,3,,False,False,6,True,False,False,[],public,3,6,1,master,CDAT,2781444,MDEyOk9yZ2FuaXphdGlvbjI3ODE0NDQ=,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
10205621,MDEwOlJlcG9zaXRvcnkxMDIwNTYyMQ==,imageloader.js,CDAT/imageloader.js,False,https://github.com/CDAT/imageloader.js,"Small JavaScript snippet which takes a DOM ID and an image URL. Repeatedly tries loading the image URL and placing the contents into the indicated DOM element. It retries for a while, then gives up and shows an error message in place of the image.",False,https://api.github.com/repos/CDAT/imageloader.js,2013-05-21T21:13:33Z,2019-03-28T15:38:20Z,2013-05-21T21:26:09Z,,101,3,3,JavaScript,True,True,True,False,False,False,3,,False,False,0,True,False,False,[],public,3,0,3,master,CDAT,2781444,MDEyOk9yZ2FuaXphdGlvbjI3ODE0NDQ=,Organization,public,False,,,,,,False,False,False,False,True,
11455826,MDEwOlJlcG9zaXRvcnkxMTQ1NTgyNg==,cdat.github.io,CDAT/cdat.github.io,False,https://github.com/CDAT/cdat.github.io,cdat website,False,https://api.github.com/repos/CDAT/cdat.github.io,2013-07-16T17:39:25Z,2024-11-04T21:56:15Z,2024-11-04T21:56:10Z,https://cdat.llnl.gov,424334,7,7,Python,True,True,True,False,True,False,4,,False,False,21,True,False,False,[],public,4,21,7,master,CDAT,2781444,MDEyOk9yZ2FuaXphdGlvbjI3ODE0NDQ=,Organization,public,False,,,,,,False,False,False,False,True,
11669268,MDEwOlJlcG9zaXRvcnkxMTY2OTI2OA==,netcdf,CDAT/netcdf,False,https://github.com/CDAT/netcdf,live clone of netCDF's Subversion repository,False,https://api.github.com/repos/CDAT/netcdf,2013-07-25T19:37:04Z,2022-03-13T14:21:29Z,2015-05-20T21:28:09Z,,21993,0,0,C,False,True,True,False,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,master,CDAT,2781444,MDEyOk9yZ2FuaXphdGlvbjI3ODE0NDQ=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
13357157,MDEwOlJlcG9zaXRvcnkxMzM1NzE1Nw==,ParaView,CDAT/ParaView,False,https://github.com/CDAT/ParaView,VTK-based Data Analysis and Visualization Application,True,https://api.github.com/repos/CDAT/ParaView,2013-10-06T04:30:18Z,2019-03-28T15:38:24Z,2015-02-12T17:24:30Z,http://www.paraview.org,128818,0,0,C++,False,True,False,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,CDAT,2781444,MDEyOk9yZ2FuaXphdGlvbjI3ODE0NDQ=,Organization,public,False,,,,,,False,False,False,False,True,
13934856,MDEwOlJlcG9zaXRvcnkxMzkzNDg1Ng==,VTK,CDAT/VTK,False,https://github.com/CDAT/VTK,Visualization Toolkit,True,https://api.github.com/repos/CDAT/VTK,2013-10-28T18:37:31Z,2019-03-28T15:38:29Z,2020-02-28T07:53:21Z,http://www.vtk.org,219602,1,1,C++,False,True,False,False,False,False,1,,False,False,1,True,False,False,[],public,1,1,1,uvcdat-master,CDAT,2781444,MDEyOk9yZ2FuaXphdGlvbjI3ODE0NDQ=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
14017672,MDEwOlJlcG9zaXRvcnkxNDAxNzY3Mg==,cdatweb,CDAT/cdatweb,False,https://github.com/CDAT/cdatweb,Web visualization framework of UV-CDAT,False,https://api.github.com/repos/CDAT/cdatweb,2013-10-31T13:29:23Z,2019-03-28T15:38:19Z,2021-04-16T20:40:19Z,,3381,6,6,JavaScript,True,True,True,False,False,False,6,,False,False,1,True,False,False,[],public,6,1,6,master,CDAT,2781444,MDEyOk9yZ2FuaXphdGlvbjI3ODE0NDQ=,Organization,public,False,,,,,,False,False,False,False,True,
