id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
21466076,MDEwOlJlcG9zaXRvcnkyMTQ2NjA3Ng==,snp-pipeline,CFSAN-Biostatistics/snp-pipeline,False,https://github.com/CFSAN-Biostatistics/snp-pipeline,SNP Pipeline is a pipeline for the production of SNP matrices from sequence data used in the phylogenetic analysis of pathogenic organisms sequenced from samples of interest to food safety.,False,https://api.github.com/repos/CFSAN-Biostatistics/snp-pipeline,2014-07-03T14:46:19Z,2024-08-05T02:50:04Z,2023-05-05T03:45:41Z,,139175,57,57,Python,True,True,True,True,False,True,31,,False,False,5,True,False,False,[],public,31,5,57,master,CFSAN-Biostatistics,7605009,MDEyOk9yZ2FuaXphdGlvbjc2MDUwMDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
35956644,MDEwOlJlcG9zaXRvcnkzNTk1NjY0NA==,snp-mutator,CFSAN-Biostatistics/snp-mutator,False,https://github.com/CFSAN-Biostatistics/snp-mutator,Generate mutated sequence files from a reference genome.,False,https://api.github.com/repos/CFSAN-Biostatistics/snp-mutator,2015-05-20T15:27:13Z,2024-08-01T06:54:04Z,2022-12-26T19:44:01Z,,84,12,12,Python,True,True,True,True,False,False,4,,False,False,1,True,False,False,[],public,4,1,12,master,CFSAN-Biostatistics,7605009,MDEyOk9yZ2FuaXphdGlvbjc2MDUwMDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
94467834,MDEwOlJlcG9zaXRvcnk5NDQ2NzgzNA==,spades,CFSAN-Biostatistics/spades,False,https://github.com/CFSAN-Biostatistics/spades,SPAdes Genome Assembler http://cab.spbu.ru/spades,True,https://api.github.com/repos/CFSAN-Biostatistics/spades,2017-06-15T18:30:12Z,2022-12-13T14:26:19Z,2017-06-15T18:42:47Z,,47345,0,0,C++,False,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,0,spades_3.10.1,CFSAN-Biostatistics,7605009,MDEyOk9yZ2FuaXphdGlvbjc2MDUwMDk=,Organization,public,False,,,,,,False,False,False,False,True,
104762485,MDEwOlJlcG9zaXRvcnkxMDQ3NjI0ODU=,miso-lims,CFSAN-Biostatistics/miso-lims,False,https://github.com/CFSAN-Biostatistics/miso-lims,MISO: An open-source LIMS for NGS sequencing centres,True,https://api.github.com/repos/CFSAN-Biostatistics/miso-lims,2017-09-25T14:42:35Z,2022-12-13T14:27:11Z,2017-12-08T19:40:44Z,http://tgac.github.io/miso-lims/,108121,0,0,Java,True,True,True,False,False,False,0,,True,False,2,True,False,False,[],public,0,2,0,develop,CFSAN-Biostatistics,7605009,MDEyOk9yZ2FuaXphdGlvbjc2MDUwMDk=,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
107317968,MDEwOlJlcG9zaXRvcnkxMDczMTc5Njg=,tools-devteam,CFSAN-Biostatistics/tools-devteam,False,https://github.com/CFSAN-Biostatistics/tools-devteam,Contains a set of Galaxy Tools mostly written by the Galaxy Team.,True,https://api.github.com/repos/CFSAN-Biostatistics/tools-devteam,2017-10-17T20:03:28Z,2017-10-17T20:03:33Z,2017-10-17T20:05:04Z,,57921,0,0,HTML,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,CFSAN-Biostatistics,7605009,MDEyOk9yZ2FuaXphdGlvbjc2MDUwMDk=,Organization,public,False,,,,,,False,False,False,False,True,
121274248,MDEwOlJlcG9zaXRvcnkxMjEyNzQyNDg=,sra-tools,CFSAN-Biostatistics/sra-tools,False,https://github.com/CFSAN-Biostatistics/sra-tools,SRA Tools,True,https://api.github.com/repos/CFSAN-Biostatistics/sra-tools,2018-02-12T16:51:53Z,2018-02-12T16:51:58Z,2018-02-12T16:06:57Z,,35213,0,0,C,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,CFSAN-Biostatistics,7605009,MDEyOk9yZ2FuaXphdGlvbjc2MDUwMDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
155565909,MDEwOlJlcG9zaXRvcnkxNTU1NjU5MDk=,shigatyper,CFSAN-Biostatistics/shigatyper,False,https://github.com/CFSAN-Biostatistics/shigatyper,CFSAN Shigella Typing Pipeline,False,https://api.github.com/repos/CFSAN-Biostatistics/shigatyper,2018-10-31T13:53:59Z,2024-05-27T14:40:40Z,2023-07-06T00:00:57Z,,5706,14,14,Python,True,True,True,True,False,False,6,,False,False,1,True,False,False,[],public,6,1,14,master,CFSAN-Biostatistics,7605009,MDEyOk9yZ2FuaXphdGlvbjc2MDUwMDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
158434072,MDEwOlJlcG9zaXRvcnkxNTg0MzQwNzI=,vcftoolz,CFSAN-Biostatistics/vcftoolz,False,https://github.com/CFSAN-Biostatistics/vcftoolz,Tools for working with Variant Call Format files.,False,https://api.github.com/repos/CFSAN-Biostatistics/vcftoolz,2018-11-20T18:27:42Z,2024-11-07T13:54:38Z,2023-06-02T03:27:31Z,,288,11,11,Python,True,True,True,True,False,False,4,,False,False,7,True,False,False,[],public,4,7,11,master,CFSAN-Biostatistics,7605009,MDEyOk9yZ2FuaXphdGlvbjc2MDUwMDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
159699069,MDEwOlJlcG9zaXRvcnkxNTk2OTkwNjk=,qarrayrun,CFSAN-Biostatistics/qarrayrun,False,https://github.com/CFSAN-Biostatistics/qarrayrun,A helper tool for running array jobs on an HPC computational node.,False,https://api.github.com/repos/CFSAN-Biostatistics/qarrayrun,2018-11-29T16:53:54Z,2023-01-20T18:56:08Z,2022-12-26T19:45:46Z,,23,1,1,Python,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,1,master,CFSAN-Biostatistics,7605009,MDEyOk9yZ2FuaXphdGlvbjc2MDUwMDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
160257200,MDEwOlJlcG9zaXRvcnkxNjAyNTcyMDA=,jobrunner,CFSAN-Biostatistics/jobrunner,False,https://github.com/CFSAN-Biostatistics/jobrunner,"An abstraction layer to run jobs on HPC clusters using Grid Engine, Torque, or locally.",False,https://api.github.com/repos/CFSAN-Biostatistics/jobrunner,2018-12-03T21:37:10Z,2023-04-22T22:07:15Z,2022-12-26T19:45:47Z,,35,2,2,Python,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,2,master,CFSAN-Biostatistics,7605009,MDEyOk9yZ2FuaXphdGlvbjc2MDUwMDk=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
