id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
200871199,MDEwOlJlcG9zaXRvcnkyMDA4NzExOTk=,SLA,COMPASS-DOE/SLA,False,https://github.com/COMPASS-DOE/SLA,Code and data for PREMIS/COMPASS SLA analysis,False,https://api.github.com/repos/COMPASS-DOE/SLA,2019-08-06T14:47:41Z,2022-09-14T06:57:53Z,2023-09-06T16:47:46Z,,27132,1,1,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,COMPASS-DOE,70294394,MDEyOk9yZ2FuaXphdGlvbjcwMjk0Mzk0,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
290610442,MDEwOlJlcG9zaXRvcnkyOTA2MTA0NDI=,TEMPEST,COMPASS-DOE/TEMPEST,False,https://github.com/COMPASS-DOE/TEMPEST,Terrestrial Ecosystem Manipulation to Probe Effects of Storm Treatments ,False,https://api.github.com/repos/COMPASS-DOE/TEMPEST,2020-08-26T21:40:06Z,2024-11-02T10:02:21Z,2024-11-02T10:02:09Z,,881976,7,7,R,True,True,True,True,False,False,2,,False,False,12,True,False,False,[],public,2,12,7,master,COMPASS-DOE,70294394,MDEyOk9yZ2FuaXphdGlvbjcwMjk0Mzk0,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
322031886,MDEwOlJlcG9zaXRvcnkzMjIwMzE4ODY=,rs-synthesis,COMPASS-DOE/rs-synthesis,False,https://github.com/COMPASS-DOE/rs-synthesis,,False,https://api.github.com/repos/COMPASS-DOE/rs-synthesis,2020-12-16T15:59:16Z,2022-01-10T23:37:55Z,2022-09-06T15:12:24Z,,3985,0,0,R,True,True,True,True,False,False,0,,False,False,12,True,False,False,[],public,0,12,0,main,COMPASS-DOE,70294394,MDEyOk9yZ2FuaXphdGlvbjcwMjk0Mzk0,Organization,public,False,,,,,,False,False,False,False,True,
325812812,MDEwOlJlcG9zaXRvcnkzMjU4MTI4MTI=,TEMPESTX,COMPASS-DOE/TEMPESTX,False,https://github.com/COMPASS-DOE/TEMPESTX,,False,https://api.github.com/repos/COMPASS-DOE/TEMPESTX,2020-12-31T14:09:50Z,2024-12-02T08:09:37Z,2024-12-02T08:08:54Z,,1154315,0,0,R,True,True,True,True,False,False,0,,False,False,2,True,False,False,[],public,0,2,0,master,COMPASS-DOE,70294394,MDEyOk9yZ2FuaXphdGlvbjcwMjk0Mzk0,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
338070207,MDEwOlJlcG9zaXRvcnkzMzgwNzAyMDc=,transplant-analysis,COMPASS-DOE/transplant-analysis,False,https://github.com/COMPASS-DOE/transplant-analysis,PREMIS transplant data and statistical analysis pipeline,False,https://api.github.com/repos/COMPASS-DOE/transplant-analysis,2021-02-11T15:33:50Z,2021-05-01T19:40:52Z,2021-05-01T19:40:50Z,,2278,1,1,,True,True,True,True,False,False,0,,False,False,4,True,False,False,[],public,0,4,1,main,COMPASS-DOE,70294394,MDEyOk9yZ2FuaXphdGlvbjcwMjk0Mzk0,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
371423784,MDEwOlJlcG9zaXRvcnkzNzE0MjM3ODQ=,bgc_synthesis,COMPASS-DOE/bgc_synthesis,False,https://github.com/COMPASS-DOE/bgc_synthesis,BGC synthesis manuscript prep,False,https://api.github.com/repos/COMPASS-DOE/bgc_synthesis,2021-05-27T15:37:28Z,2023-02-03T09:33:22Z,2023-01-25T18:20:30Z,,264861,4,4,R,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,4,main,COMPASS-DOE,70294394,MDEyOk9yZ2FuaXphdGlvbjcwMjk0Mzk0,Organization,public,False,,,,,,False,False,False,False,True,
390851907,MDEwOlJlcG9zaXRvcnkzOTA4NTE5MDc=,xarray-examples,COMPASS-DOE/xarray-examples,False,https://github.com/COMPASS-DOE/xarray-examples,,False,https://api.github.com/repos/COMPASS-DOE/xarray-examples,2021-07-29T21:12:55Z,2021-08-20T13:27:46Z,2021-08-20T13:27:43Z,,5539,0,0,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,COMPASS-DOE,70294394,MDEyOk9yZ2FuaXphdGlvbjcwMjk0Mzk0,Organization,public,False,,,,,,False,False,False,False,True,
398080433,MDEwOlJlcG9zaXRvcnkzOTgwODA0MzM=,EXCHANGE,COMPASS-DOE/EXCHANGE,False,https://github.com/COMPASS-DOE/EXCHANGE,Exploration of Coastal Hydrobiogeochemistry Across a Network of Gradients and Experiments (EXCHANGE),False,https://api.github.com/repos/COMPASS-DOE/EXCHANGE,2021-08-19T21:37:20Z,2024-11-22T20:38:00Z,2024-11-22T20:37:57Z,,89731,3,3,R,True,True,True,True,False,False,0,,False,False,20,True,False,False,[],public,0,20,3,main,COMPASS-DOE,70294394,MDEyOk9yZ2FuaXphdGlvbjcwMjk0Mzk0,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
409198483,R_kgDOGGPfkw,wintertime,COMPASS-DOE/wintertime,False,https://github.com/COMPASS-DOE/wintertime,,False,https://api.github.com/repos/COMPASS-DOE/wintertime,2021-09-22T12:37:06Z,2022-01-05T19:49:46Z,2022-01-05T19:49:43Z,,1822,0,0,,True,True,True,True,False,False,0,,False,False,7,True,False,False,[],public,0,7,0,main,COMPASS-DOE,70294394,MDEyOk9yZ2FuaXphdGlvbjcwMjk0Mzk0,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
442520827,R_kgDOGmBU-w,sensor-data-pipeline,COMPASS-DOE/sensor-data-pipeline,False,https://github.com/COMPASS-DOE/sensor-data-pipeline,Sensor data workflows and processing scripts,False,https://api.github.com/repos/COMPASS-DOE/sensor-data-pipeline,2021-12-28T16:29:32Z,2024-11-13T18:01:22Z,2024-11-13T18:01:16Z,,40238,4,4,R,True,True,True,True,False,False,0,,False,False,24,True,False,False,[],public,0,24,4,main,COMPASS-DOE,70294394,MDEyOk9yZ2FuaXphdGlvbjcwMjk0Mzk0,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
456998912,R_kgDOGz1AAA,tempestdata,COMPASS-DOE/tempestdata,False,https://github.com/COMPASS-DOE/tempestdata,This package provides easy access to observational data from the TEMPEST experiment.,False,https://api.github.com/repos/COMPASS-DOE/tempestdata,2022-02-08T15:50:20Z,2022-02-08T18:03:13Z,2022-02-08T21:56:27Z,,27,0,0,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,COMPASS-DOE,70294394,MDEyOk9yZ2FuaXphdGlvbjcwMjk0Mzk0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
457038732,R_kgDOGz3bjA,methane-synthesis,COMPASS-DOE/methane-synthesis,False,https://github.com/COMPASS-DOE/methane-synthesis,,False,https://api.github.com/repos/COMPASS-DOE/methane-synthesis,2022-02-08T17:39:47Z,2022-02-14T20:08:34Z,2022-05-05T13:20:37Z,,2064,0,0,R,True,True,True,True,False,False,0,,False,False,5,True,False,False,[],public,0,5,0,main,COMPASS-DOE,70294394,MDEyOk9yZ2FuaXphdGlvbjcwMjk0Mzk0,Organization,public,False,,,,,,False,False,False,False,True,
