id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
82714640,MDEwOlJlcG9zaXRvcnk4MjcxNDY0MA==,DARMA-tasking.github.io,DARMA-tasking/DARMA-tasking.github.io,False,https://github.com/DARMA-tasking/DARMA-tasking.github.io,,False,https://api.github.com/repos/DARMA-tasking/DARMA-tasking.github.io,2017-02-21T18:45:58Z,2024-12-18T22:28:07Z,2024-12-18T22:28:02Z,,1482173,0,0,HTML,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,DARMA-tasking,25621677,MDEyOk9yZ2FuaXphdGlvbjI1NjIxNjc3,Organization,public,False,False,False,False,False,True,,,,,
104926650,MDEwOlJlcG9zaXRvcnkxMDQ5MjY2NTA=,vt,DARMA-tasking/vt,False,https://github.com/DARMA-tasking/vt,DARMA/vt => Virtual Transport,False,https://api.github.com/repos/DARMA-tasking/vt,2017-09-26T19:06:38Z,2024-12-11T17:54:33Z,2024-12-18T23:42:40Z,,37389,36,36,C++,True,True,True,True,False,True,9,,False,False,188,,True,False,False,"['concurrency', 'cpp', 'distributed-memory', 'hpc', 'load-balancing', 'overdecomposition', 'parallel-computing', 'parallelism', 'runtime-system', 'virtualization']",public,9,188,36,develop,DARMA-tasking,25621677,MDEyOk9yZ2FuaXphdGlvbjI1NjIxNjc3,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
123187987,MDEwOlJlcG9zaXRvcnkxMjMxODc5ODc=,magistrate,DARMA-tasking/magistrate,False,https://github.com/DARMA-tasking/magistrate,DARMA/magistrate => Serialization and checkpointing library,False,https://api.github.com/repos/DARMA-tasking/magistrate,2018-02-27T21:00:52Z,2024-12-05T18:08:38Z,2024-12-17T16:46:14Z,,1740,12,12,C++,True,True,True,True,False,False,4,,False,False,36,,True,False,False,"['checkpoint', 'concurrency', 'hpc', 'parallelism', 'serialization']",public,4,36,12,develop,DARMA-tasking,25621677,MDEyOk9yZ2FuaXphdGlvbjI1NjIxNjc3,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
127943782,MDEwOlJlcG9zaXRvcnkxMjc5NDM3ODI=,detector,DARMA-tasking/detector,False,https://github.com/DARMA-tasking/detector,DARMA/detector => Minimal C++ detection idiom (DEPRECATED),False,https://api.github.com/repos/DARMA-tasking/detector,2018-04-03T17:26:36Z,2023-03-28T20:33:18Z,2021-08-23T18:06:54Z,,41,1,1,C++,True,True,True,True,False,False,0,,False,False,0,,True,False,False,"['concurrency', 'hpc', 'parallelism']",public,0,0,1,master,DARMA-tasking,25621677,MDEyOk9yZ2FuaXphdGlvbjI1NjIxNjc3,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
137112063,MDEwOlJlcG9zaXRvcnkxMzcxMTIwNjM=,vt-auto-build,DARMA-tasking/vt-auto-build,False,https://github.com/DARMA-tasking/vt-auto-build,,False,https://api.github.com/repos/DARMA-tasking/vt-auto-build,2018-06-12T18:26:38Z,2023-01-28T10:18:28Z,2019-11-22T00:51:07Z,,39,0,0,Perl,True,True,True,True,False,False,0,,True,False,4,,True,False,False,['hpc'],public,0,4,0,master,DARMA-tasking,25621677,MDEyOk9yZ2FuaXphdGlvbjI1NjIxNjc3,Organization,public,False,False,False,False,False,True,,,,,
171534076,MDEwOlJlcG9zaXRvcnkxNzE1MzQwNzY=,LB-analysis-framework,DARMA-tasking/LB-analysis-framework,False,https://github.com/DARMA-tasking/LB-analysis-framework,"Analysis framework for exploring, testing, and comparing load balancing strategies",False,https://api.github.com/repos/DARMA-tasking/LB-analysis-framework,2019-02-19T19:15:05Z,2024-12-18T22:27:13Z,2024-12-18T22:32:28Z,,33836,5,5,Python,True,True,True,True,True,False,1,,False,False,19,,True,False,False,"['concurrency', 'distributed-computing', 'hpc', 'load-balancing', 'parallelism']",public,1,19,5,develop,DARMA-tasking,25621677,MDEyOk9yZ2FuaXphdGlvbjI1NjIxNjc3,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
263758956,MDEwOlJlcG9zaXRvcnkyNjM3NTg5NTY=,serialization-sanitizer,DARMA-tasking/serialization-sanitizer,False,https://github.com/DARMA-tasking/serialization-sanitizer,Compile-time aided sanitizer for serializers to discover missing members and check for correctness.,False,https://api.github.com/repos/DARMA-tasking/serialization-sanitizer,2020-05-13T22:40:01Z,2021-01-21T20:56:07Z,2021-02-24T17:39:11Z,,235,0,0,C++,True,True,True,True,False,False,0,,False,False,6,,True,False,False,[],public,0,6,0,master,DARMA-tasking,25621677,MDEyOk9yZ2FuaXphdGlvbjI1NjIxNjc3,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
275021350,MDEwOlJlcG9zaXRvcnkyNzUwMjEzNTA=,find-trailing-whitespace,DARMA-tasking/find-trailing-whitespace,False,https://github.com/DARMA-tasking/find-trailing-whitespace,No traling whitespace,True,https://api.github.com/repos/DARMA-tasking/find-trailing-whitespace,2020-06-25T21:47:05Z,2020-06-25T22:01:44Z,2020-06-25T22:01:41Z,https://github.com/marketplace/actions/find-trailing-whitespace,22,0,0,Shell,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,DARMA-tasking,25621677,MDEyOk9yZ2FuaXphdGlvbjI1NjIxNjc3,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
275030798,MDEwOlJlcG9zaXRvcnkyNzUwMzA3OTg=,check-commit-format,DARMA-tasking/check-commit-format,False,https://github.com/DARMA-tasking/check-commit-format,GitHub Action to validate commit format for DARMA,False,https://api.github.com/repos/DARMA-tasking/check-commit-format,2020-06-25T22:55:27Z,2020-06-25T23:15:43Z,2020-06-25T23:15:40Z,,8,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,DARMA-tasking,25621677,MDEyOk9yZ2FuaXphdGlvbjI1NjIxNjc3,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
294511167,MDEwOlJlcG9zaXRvcnkyOTQ1MTExNjc=,check-pr-fixes-issue,DARMA-tasking/check-pr-fixes-issue,False,https://github.com/DARMA-tasking/check-pr-fixes-issue,"GitHub Action to validate if PR description contains phrase ""Fixes #issue""",False,https://api.github.com/repos/DARMA-tasking/check-pr-fixes-issue,2020-09-10T20:06:09Z,2024-07-08T16:00:57Z,2024-07-08T16:00:55Z,,604,0,0,JavaScript,True,False,True,False,False,False,1,,False,False,3,,True,False,False,[],public,1,3,0,master,DARMA-tasking,25621677,MDEyOk9yZ2FuaXphdGlvbjI1NjIxNjc3,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
