id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
15290786,MDEwOlJlcG9zaXRvcnkxNTI5MDc4Ng==,cartesianDETECT2,DIDSR/cartesianDETECT2,False,https://github.com/DIDSR/cartesianDETECT2,Monte Carlo optical transport package for modeling pixelated scintillators,False,https://api.github.com/repos/DIDSR/cartesianDETECT2,2013-12-18T18:21:17Z,2023-10-02T14:18:47Z,2013-12-19T20:45:36Z,,512,1,1,C,True,True,True,True,False,False,6,,False,False,0,,True,False,False,[],public,6,0,1,master,DIDSR,13058575,MDEyOk9yZ2FuaXphdGlvbjEzMDU4NTc1,Organization,public,False,False,False,False,False,True,,,,,
16970796,MDEwOlJlcG9zaXRvcnkxNjk3MDc5Ng==,ARTEMIS,DIDSR/ARTEMIS,False,https://github.com/DIDSR/ARTEMIS,"Particle transport, recombination and trapping in semiconductor imaging simulations",False,https://api.github.com/repos/DIDSR/ARTEMIS,2014-02-19T01:58:09Z,2021-12-23T06:06:39Z,2014-02-19T02:32:58Z,,2276,2,2,FORTRAN,True,True,True,True,False,False,7,,False,False,0,,True,False,False,[],public,7,0,2,master,DIDSR,13058575,MDEyOk9yZ2FuaXphdGlvbjEzMDU4NTc1,Organization,public,False,False,False,False,False,True,,,,,
17490456,MDEwOlJlcG9zaXRvcnkxNzQ5MDQ1Ng==,VisualMANTIS-WebMANTIS,DIDSR/VisualMANTIS-WebMANTIS,False,https://github.com/DIDSR/VisualMANTIS-WebMANTIS,Graphical interfaces that use hybridMANTIS to display simulation information and visualizations in a desktop window or through a browser.,False,https://api.github.com/repos/DIDSR/VisualMANTIS-WebMANTIS,2014-03-06T19:52:30Z,2019-06-14T17:04:30Z,2014-03-06T20:26:41Z,,6208,5,5,,True,True,True,True,False,False,5,,False,False,0,,True,False,False,[],public,5,0,5,master,DIDSR,13058575,MDEyOk9yZ2FuaXphdGlvbjEzMDU4NTc1,Organization,public,False,False,False,False,False,True,,,,,
32881732,MDEwOlJlcG9zaXRvcnkzMjg4MTczMg==,LesionBlender,DIDSR/LesionBlender,False,https://github.com/DIDSR/LesionBlender,Repo of m-files allowing automatic seamless insertion of lesions from one image into another for medical images.,False,https://api.github.com/repos/DIDSR/LesionBlender,2015-03-25T18:00:51Z,2024-11-29T20:30:00Z,2015-03-31T18:53:07Z,,1036,11,11,Matlab,True,True,True,True,False,False,7,,False,False,0,,True,False,False,[],public,7,0,11,master,DIDSR,13058575,MDEyOk9yZ2FuaXphdGlvbjEzMDU4NTc1,Organization,public,False,False,False,False,False,True,,,,,
33563278,MDEwOlJlcG9zaXRvcnkzMzU2MzI3OA==,IQmodelo,DIDSR/IQmodelo,False,https://github.com/DIDSR/IQmodelo,Statistical Software for Task-Based Image Quality Assessment with Model (or Human) Observers,False,https://api.github.com/repos/DIDSR/IQmodelo,2015-04-07T19:19:58Z,2024-03-25T02:55:45Z,2016-04-15T21:08:52Z,,925,17,17,Matlab,False,True,True,False,True,False,9,,False,False,0,,True,False,False,[],public,9,0,17,master,DIDSR,13058575,MDEyOk9yZ2FuaXphdGlvbjEzMDU4NTc1,Organization,public,False,False,False,False,False,True,,,,,
35443358,MDEwOlJlcG9zaXRvcnkzNTQ0MzM1OA==,mantismc,DIDSR/mantismc,False,https://github.com/DIDSR/mantismc,Monte carlo x-rAy electroN opTical Imaging Simulation,False,https://api.github.com/repos/DIDSR/mantismc,2015-05-11T18:53:23Z,2024-11-26T06:40:46Z,2015-05-11T19:44:07Z,,22604,5,5,FORTRAN,True,True,False,False,False,False,6,,False,False,4,,True,False,False,[],public,6,4,5,master,DIDSR,13058575,MDEyOk9yZ2FuaXphdGlvbjEzMDU4NTc1,Organization,public,False,False,False,False,False,True,,,,,
36672628,MDEwOlJlcG9zaXRvcnkzNjY3MjYyOA==,iMRMC,DIDSR/iMRMC,False,https://github.com/DIDSR/iMRMC,iMRMC: Software to do multi-reader multi-case analysis of reader studies,False,https://api.github.com/repos/DIDSR/iMRMC,2015-06-01T16:11:29Z,2024-10-25T14:45:40Z,2024-10-25T14:45:36Z,http://didsr.github.io/iMRMC/,207069,22,22,Java,True,True,False,True,True,True,17,,False,False,22,,True,False,False,[],public,17,22,22,master,DIDSR,13058575,MDEyOk9yZ2FuaXphdGlvbjEzMDU4NTc1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
36750822,MDEwOlJlcG9zaXRvcnkzNjc1MDgyMg==,eeDAP,DIDSR/eeDAP,False,https://github.com/DIDSR/eeDAP,Evaluation Environment for Digital and Analog Pathology,False,https://api.github.com/repos/DIDSR/eeDAP,2015-06-02T17:47:29Z,2024-09-09T20:11:26Z,2024-10-30T20:54:42Z,http://didsr.github.io/eeDAP/,1044899,16,16,MATLAB,True,True,False,True,True,False,21,,False,False,22,,True,False,False,[],public,21,22,16,master,DIDSR,13058575,MDEyOk9yZ2FuaXphdGlvbjEzMDU4NTc1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
37280522,MDEwOlJlcG9zaXRvcnkzNzI4MDUyMg==,MSim3V_IA,DIDSR/MSim3V_IA,False,https://github.com/DIDSR/MSim3V_IA,MSim3V_IA is a self-contained computer program that is designed to aid in the development of materials that accurately simulate the x-ray interaction properties of a user-specified target material.,False,https://api.github.com/repos/DIDSR/MSim3V_IA,2015-06-11T19:06:41Z,2019-10-25T18:12:36Z,2015-07-23T15:51:50Z,,3904,2,2,FORTRAN,True,True,True,True,False,False,5,,False,False,0,,True,False,False,[],public,5,0,2,master,DIDSR,13058575,MDEyOk9yZ2FuaXphdGlvbjEzMDU4NTc1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
38055261,MDEwOlJlcG9zaXRvcnkzODA1NTI2MQ==,iMRMC_Binary,DIDSR/iMRMC_Binary,False,https://github.com/DIDSR/iMRMC_Binary,,False,https://api.github.com/repos/DIDSR/iMRMC_Binary,2015-06-25T14:46:07Z,2017-09-27T12:11:40Z,2016-02-08T20:53:14Z,,21501,4,4,Matlab,True,True,True,True,True,False,5,,False,False,0,,True,False,False,[],public,5,0,4,master,DIDSR,13058575,MDEyOk9yZ2FuaXphdGlvbjEzMDU4NTc1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
