id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
38708178,MDEwOlJlcG9zaXRvcnkzODcwODE3OA==,BORWMIS-get_USBR_webdata,DOI-BOR/BORWMIS-get_USBR_webdata,False,https://github.com/DOI-BOR/BORWMIS-get_USBR_webdata,A program to get data from USBR webservice and convert to SHEF data,True,https://api.github.com/repos/DOI-BOR/BORWMIS-get_USBR_webdata,2015-07-07T18:52:09Z,2024-06-28T19:40:58Z,2015-08-01T19:59:16Z,,210,1,1,Python,False,True,True,True,False,True,4,,False,False,0,,True,False,True,[],public,4,0,1,master,DOI-BOR,102251442,O_kgDOBhg7sg,Organization,public,False,False,False,False,False,True,,,,,
82974905,MDEwOlJlcG9zaXRvcnk4Mjk3NDkwNQ==,bmorph,DOI-BOR/bmorph,False,https://github.com/DOI-BOR/bmorph,Bias correction for streamflow time series,True,https://api.github.com/repos/DOI-BOR/bmorph,2017-02-23T21:50:11Z,2024-06-25T19:48:26Z,2017-03-22T19:36:33Z,,22,0,0,Python,False,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,DOI-BOR,102251442,O_kgDOBhg7sg,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
94901249,MDEwOlJlcG9zaXRvcnk5NDkwMTI0OQ==,NWS_hydro_models,DOI-BOR/NWS_hydro_models,False,https://github.com/DOI-BOR/NWS_hydro_models,Hydrology models adapted from NWS conceptual modeling approaches and code. ,True,https://api.github.com/repos/DOI-BOR/NWS_hydro_models,2017-06-20T14:36:50Z,2024-06-25T19:11:34Z,2022-01-20T15:07:38Z,,18663,0,0,Fortran,False,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,DOI-BOR,102251442,O_kgDOBhg7sg,Organization,public,False,False,False,False,False,True,,,,,
96935124,MDEwOlJlcG9zaXRvcnk5NjkzNTEyNA==,et-demands,DOI-BOR/et-demands,False,https://github.com/DOI-BOR/et-demands,Dual crop coefficient crop water demand model,False,https://api.github.com/repos/DOI-BOR/et-demands,2017-07-11T20:36:42Z,2024-10-08T22:08:44Z,2023-01-23T17:07:42Z,,44812,1,1,Python,True,True,True,True,False,False,0,,False,False,21,,True,False,False,[],public,0,21,1,master,DOI-BOR,102251442,O_kgDOBhg7sg,Organization,public,False,False,False,False,False,True,,,,,
167408506,MDEwOlJlcG9zaXRvcnkxNjc0MDg1MDY=,PyForecast,DOI-BOR/PyForecast,False,https://github.com/DOI-BOR/PyForecast,PyForecast is a statistical modeling tool used by Reclamation water managers and reservoir operators to train and build predictive models for seasonal inflows and streamflows. PyForecast allows users to make current water-year forecasts using models developed with the program.,False,https://api.github.com/repos/DOI-BOR/PyForecast,2019-01-24T17:32:26Z,2024-12-04T00:35:42Z,2024-03-05T00:02:42Z,,45204,28,28,Python,True,True,True,True,False,True,12,,False,False,27,,True,False,False,"['forecasting', 'hydrology', 'machine-learning', 'python', 'statistical-models']",public,12,27,28,NextFlow,DOI-BOR,102251442,O_kgDOBhg7sg,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
191582827,MDEwOlJlcG9zaXRvcnkxOTE1ODI4Mjc=,cdss-app-snodas-tools,DOI-BOR/cdss-app-snodas-tools,False,https://github.com/DOI-BOR/cdss-app-snodas-tools,Colorado's Decision Support Systems (CDSS) Snow Data Assimilation System (SNODAS) Tools,True,https://api.github.com/repos/DOI-BOR/cdss-app-snodas-tools,2019-06-12T14:04:03Z,2024-06-25T19:38:46Z,2018-03-29T17:43:50Z,,15283,0,0,Python,False,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,DOI-BOR,102251442,O_kgDOBhg7sg,Organization,public,False,False,False,False,False,True,,,,,
257358970,MDEwOlJlcG9zaXRvcnkyNTczNTg5NzA=,ostrich,DOI-BOR/ostrich,False,https://github.com/DOI-BOR/ostrich,An optimization toolkit for model calibration ,False,https://api.github.com/repos/DOI-BOR/ostrich,2020-04-20T17:42:38Z,2024-08-29T21:02:49Z,2024-07-02T15:13:09Z,,3204,1,1,C++,True,True,True,True,True,False,3,,False,False,14,,True,False,False,[],public,3,14,1,master,DOI-BOR,102251442,O_kgDOBhg7sg,Organization,public,False,False,False,False,False,True,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=
350432395,MDEwOlJlcG9zaXRvcnkzNTA0MzIzOTU=,shread_dash,DOI-BOR/shread_dash,False,https://github.com/DOI-BOR/shread_dash,"dash webapp to plot various snow, flow and met data including SNODAS data from the usbr/SHREAD project",False,https://api.github.com/repos/DOI-BOR/shread_dash,2021-03-22T17:32:13Z,2024-06-25T16:06:51Z,2024-06-05T21:13:47Z,,308700,0,0,Python,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,main,DOI-BOR,102251442,O_kgDOBhg7sg,Organization,public,False,False,False,False,False,True,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=
376882012,MDEwOlJlcG9zaXRvcnkzNzY4ODIwMTI=,minisom,DOI-BOR/minisom,False,https://github.com/DOI-BOR/minisom,:red_circle: MiniSom is a minimalistic implementation of the Self Organizing Maps,True,https://api.github.com/repos/DOI-BOR/minisom,2021-06-14T16:05:07Z,2024-06-25T19:16:06Z,2021-05-17T07:54:32Z,,14314,0,0,,False,True,True,True,False,False,2,,False,False,0,,True,False,False,[],public,2,0,0,master,DOI-BOR,102251442,O_kgDOBhg7sg,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
662829671,R_kgDOJ4H6Zw,SOM-Hydrograph-Classification,DOI-BOR/SOM-Hydrograph-Classification,False,https://github.com/DOI-BOR/SOM-Hydrograph-Classification,Source code and examples for using self-organizing maps to classify hydrographs,False,https://api.github.com/repos/DOI-BOR/SOM-Hydrograph-Classification,2023-07-06T01:34:47Z,2024-10-31T09:51:16Z,2024-09-03T20:34:06Z,,8755,2,2,Python,True,True,True,True,False,False,3,,False,False,2,,True,False,False,[],public,3,2,2,main,DOI-BOR,102251442,O_kgDOBhg7sg,Organization,public,False,False,False,False,False,True,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=
