id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
21627244,MDEwOlJlcG9zaXRvcnkyMTYyNzI0NA==,doi-extractives-data,DOI-ONRR/doi-extractives-data,False,https://github.com/DOI-ONRR/doi-extractives-data,Information on the extractive industries in the U.S. from federal data.,False,https://api.github.com/repos/DOI-ONRR/doi-extractives-data,2014-07-08T19:44:18Z,2024-05-14T00:13:21Z,2020-11-09T16:47:43Z,https://revenuedata.doi.gov/,514655,77,77,JavaScript,True,False,True,True,False,False,41,,True,False,0,True,False,False,"['data-visualization', 'extractive-industries', 'government-data', 'natural-resources', 'revenue-data']",public,41,0,77,dev,DOI-ONRR,102252577,O_kgDOBhhAIQ,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
145586110,MDEwOlJlcG9zaXRvcnkxNDU1ODYxMTA=,onrr-innovation-blog,DOI-ONRR/onrr-innovation-blog,False,https://github.com/DOI-ONRR/onrr-innovation-blog,A blog about open data and user-centered design and development at the Department of the Interior,False,https://api.github.com/repos/DOI-ONRR/onrr-innovation-blog,2018-08-21T15:49:22Z,2023-01-28T19:33:14Z,2018-12-04T17:46:05Z,,3539,0,0,JavaScript,True,True,True,True,False,False,2,,True,False,0,True,False,False,[],public,2,0,0,dev,DOI-ONRR,102252577,O_kgDOBhhAIQ,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
179101164,MDEwOlJlcG9zaXRvcnkxNzkxMDExNjQ=,python-pandas-tutorial,DOI-ONRR/python-pandas-tutorial,False,https://github.com/DOI-ONRR/python-pandas-tutorial,Python Pandas study group,False,https://api.github.com/repos/DOI-ONRR/python-pandas-tutorial,2019-04-02T14:56:38Z,2023-01-31T22:37:21Z,2019-05-02T14:52:48Z,,2629,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,DOI-ONRR,102252577,O_kgDOBhhAIQ,Organization,public,False,,,,,,False,False,False,False,True,
191438749,MDEwOlJlcG9zaXRvcnkxOTE0Mzg3NDk=,Revdoi-Data-Quality,DOI-ONRR/Revdoi-Data-Quality,False,https://github.com/DOI-ONRR/Revdoi-Data-Quality,WIP Data Quality Toolbox,False,https://api.github.com/repos/DOI-ONRR/Revdoi-Data-Quality,2019-06-11T19:43:44Z,2024-05-14T00:14:03Z,2019-09-03T17:09:11Z,,19736,4,4,Python,True,True,True,True,False,False,2,,False,False,3,True,False,False,[],public,2,3,4,master,DOI-ONRR,102252577,O_kgDOBhhAIQ,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
210892300,MDEwOlJlcG9zaXRvcnkyMTA4OTIzMDA=,onrr.gov-site,DOI-ONRR/onrr.gov-site,False,https://github.com/DOI-ONRR/onrr.gov-site,We will use this repo to manage our work on the onrr.gov website,False,https://api.github.com/repos/DOI-ONRR/onrr.gov-site,2019-09-25T16:34:34Z,2024-12-13T20:12:38Z,2024-12-14T02:09:07Z,,172778,11,11,JavaScript,True,True,True,True,False,False,3,,False,False,92,True,False,False,[],public,3,92,11,dev,DOI-ONRR,102252577,O_kgDOBhhAIQ,Organization,public,False,,,,,,False,False,False,False,True,
215585796,MDEwOlJlcG9zaXRvcnkyMTU1ODU3OTY=,nrrd,DOI-ONRR/nrrd,False,https://github.com/DOI-ONRR/nrrd,ONRR open data site hosted on cloud.gov,False,https://api.github.com/repos/DOI-ONRR/nrrd,2019-10-16T15:45:35Z,2024-12-17T14:19:30Z,2024-12-19T02:01:52Z,,1769499,13,13,JavaScript,True,True,True,True,False,True,6,,False,False,128,True,False,False,[],public,6,128,13,dev,DOI-ONRR,102252577,O_kgDOBhhAIQ,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
215892576,MDEwOlJlcG9zaXRvcnkyMTU4OTI1NzY=,writingfortheweb-materials,DOI-ONRR/writingfortheweb-materials,False,https://github.com/DOI-ONRR/writingfortheweb-materials,Materials to support our writing for the web workshop,False,https://api.github.com/repos/DOI-ONRR/writingfortheweb-materials,2019-10-17T21:58:17Z,2022-12-13T17:11:28Z,2020-01-16T21:44:36Z,,653,0,0,HTML,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,DOI-ONRR,102252577,O_kgDOBhhAIQ,Organization,public,False,,,,,,False,False,False,False,True,
237484626,MDEwOlJlcG9zaXRvcnkyMzc0ODQ2MjY=,research,DOI-ONRR/research,False,https://github.com/DOI-ONRR/research,Repository for documentation of user research.,False,https://api.github.com/repos/DOI-ONRR/research,2020-01-31T17:48:07Z,2024-12-02T17:37:03Z,2024-12-02T17:36:59Z,,129091,6,6,HTML,True,True,True,True,False,False,3,,False,False,2,True,False,False,[],public,3,2,6,main,DOI-ONRR,102252577,O_kgDOBhhAIQ,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
279914708,MDEwOlJlcG9zaXRvcnkyNzk5MTQ3MDg=,blog-nrrd,DOI-ONRR/blog-nrrd,False,https://github.com/DOI-ONRR/blog-nrrd,Blog repo for NRRD site. ,False,https://api.github.com/repos/DOI-ONRR/blog-nrrd,2020-07-15T16:04:52Z,2024-12-03T16:47:09Z,2024-12-17T04:30:42Z,,96227,3,3,JavaScript,True,True,True,True,False,False,4,,False,False,11,True,False,False,[],public,4,11,3,dev,DOI-ONRR,102252577,O_kgDOBhhAIQ,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
302125175,MDEwOlJlcG9zaXRvcnkzMDIxMjUxNzU=,nrrd-branch-previews,DOI-ONRR/nrrd-branch-previews,False,https://github.com/DOI-ONRR/nrrd-branch-previews,Preview website for development branches of the nrrd website,False,https://api.github.com/repos/DOI-ONRR/nrrd-branch-previews,2020-10-07T18:25:58Z,2023-01-31T23:39:17Z,2022-09-20T16:38:58Z,,4,0,0,HTML,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,DOI-ONRR,102252577,O_kgDOBhhAIQ,Organization,public,False,,,,,,False,False,False,False,True,
