id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
833828367,R_kgDOMbM2Dw,ECOSTRESS-Single-Cloud-Mask,ECOSTRESS-Tutorials/ECOSTRESS-Single-Cloud-Mask,False,https://github.com/ECOSTRESS-Tutorials/ECOSTRESS-Single-Cloud-Mask,Tutorial for cloud masking a single scene from ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station (ECOSTRESS) imagery.,False,https://api.github.com/repos/ECOSTRESS-Tutorials/ECOSTRESS-Single-Cloud-Mask,2024-07-25T20:53:33Z,2024-11-14T05:32:45Z,2024-11-05T19:05:18Z,,11437,4,4,Jupyter Notebook,True,True,True,True,False,False,4,,False,False,1,True,False,False,"['ecostress', 'jpl', 'nasa', 'remote-sensing']",public,4,1,4,main,ECOSTRESS-Tutorials,176617162,O_kgDOCob2yg,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
833831433,R_kgDOMbNCCQ,ECOSTRESS-Batch-Cloud-Mask,ECOSTRESS-Tutorials/ECOSTRESS-Batch-Cloud-Mask,False,https://github.com/ECOSTRESS-Tutorials/ECOSTRESS-Batch-Cloud-Mask,Tutorial for cloud masking a batch of scenes from ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station (ECOSTRESS) imagery.,False,https://api.github.com/repos/ECOSTRESS-Tutorials/ECOSTRESS-Batch-Cloud-Mask,2024-07-25T21:05:53Z,2024-10-29T17:42:18Z,2024-10-29T17:42:13Z,,8404,2,2,Jupyter Notebook,True,True,True,True,False,False,4,,False,False,0,True,False,False,"['ecostress', 'jpl', 'nasa', 'remote-sensing']",public,4,0,2,main,ECOSTRESS-Tutorials,176617162,O_kgDOCob2yg,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
833832170,R_kgDOMbNE6g,ECOSTRESS-Composite,ECOSTRESS-Tutorials/ECOSTRESS-Composite,False,https://github.com/ECOSTRESS-Tutorials/ECOSTRESS-Composite,Tutorial for creating a composite image from ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station (ECOSTRESS) scenes.,False,https://api.github.com/repos/ECOSTRESS-Tutorials/ECOSTRESS-Composite,2024-07-25T21:08:39Z,2024-10-29T17:51:45Z,2024-10-29T17:51:41Z,,8206,2,2,Jupyter Notebook,True,True,True,True,False,False,4,,False,False,0,True,False,False,"['ecostress', 'jpl', 'nasa', 'remote-sensing']",public,4,0,2,main,ECOSTRESS-Tutorials,176617162,O_kgDOCob2yg,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
833832761,R_kgDOMbNHOQ,ECOSTRESS-Monthly-Composites,ECOSTRESS-Tutorials/ECOSTRESS-Monthly-Composites,False,https://github.com/ECOSTRESS-Tutorials/ECOSTRESS-Monthly-Composites,Tutorial for creating monthly composite images from ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station (ECOSTRESS) scenes.,False,https://api.github.com/repos/ECOSTRESS-Tutorials/ECOSTRESS-Monthly-Composites,2024-07-25T21:10:43Z,2024-10-29T17:54:41Z,2024-10-29T17:54:37Z,,5269,2,2,Jupyter Notebook,True,True,True,True,False,False,3,,False,False,0,True,False,False,"['ecostress', 'jpl', 'nasa', 'remote-sensing']",public,3,0,2,main,ECOSTRESS-Tutorials,176617162,O_kgDOCob2yg,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
833835523,R_kgDOMbNSAw,ECOSTRESS-QC-Flag,ECOSTRESS-Tutorials/ECOSTRESS-QC-Flag,False,https://github.com/ECOSTRESS-Tutorials/ECOSTRESS-QC-Flag,Tutorial for applying QC Flags to scenes from ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station (ECOSTRESS) imagery.,False,https://api.github.com/repos/ECOSTRESS-Tutorials/ECOSTRESS-QC-Flag,2024-07-25T21:20:37Z,2024-10-29T17:47:48Z,2024-10-29T17:47:44Z,,6047,2,2,Jupyter Notebook,True,True,True,True,False,False,4,,False,False,0,True,False,False,"['ecostress', 'jpl', 'nasa', 'remote-sensing']",public,4,0,2,main,ECOSTRESS-Tutorials,176617162,O_kgDOCob2yg,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
833836254,R_kgDOMbNU3g,ECOSTRESS-Filtering-for-Good-Images,ECOSTRESS-Tutorials/ECOSTRESS-Filtering-for-Good-Images,False,https://github.com/ECOSTRESS-Tutorials/ECOSTRESS-Filtering-for-Good-Images,"Tutorial for filtering ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station (ECOSTRESS) scenes for good imagery (low cloud cover, low null pixels, and georeferenced).",False,https://api.github.com/repos/ECOSTRESS-Tutorials/ECOSTRESS-Filtering-for-Good-Images,2024-07-25T21:23:45Z,2024-10-29T17:33:20Z,2024-10-29T17:33:16Z,,4878,2,2,Jupyter Notebook,True,True,True,True,False,False,3,,False,False,0,True,False,False,"['ecostress', 'jpl', 'nasa', 'remote-sensing']",public,3,0,2,main,ECOSTRESS-Tutorials,176617162,O_kgDOCob2yg,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
838461955,R_kgDOMfnqAw,ECOSTRESS-Getting-Started,ECOSTRESS-Tutorials/ECOSTRESS-Getting-Started,False,https://github.com/ECOSTRESS-Tutorials/ECOSTRESS-Getting-Started,Tutorials for getting started to work with ECOsystem Spaceborne Thermal Radiometer Experiment on Space Station (ECOSTRESS) data.,False,https://api.github.com/repos/ECOSTRESS-Tutorials/ECOSTRESS-Getting-Started,2024-08-05T17:30:04Z,2024-12-05T22:41:07Z,2024-12-05T22:41:02Z,,131899,4,4,,True,True,True,True,False,False,4,,False,False,0,True,False,False,"['ecostress', 'jpl', 'nasa', 'remote-sensing']",public,4,0,4,main,ECOSTRESS-Tutorials,176617162,O_kgDOCob2yg,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
843175529,R_kgDOMkHWaQ,.github,ECOSTRESS-Tutorials/.github,False,https://github.com/ECOSTRESS-Tutorials/.github,ECOSTRESS Tutorials,False,https://api.github.com/repos/ECOSTRESS-Tutorials/.github,2024-08-16T00:11:49Z,2024-12-05T23:06:47Z,2024-12-05T23:06:43Z,,11,0,0,,True,True,True,True,False,True,0,,False,False,0,True,False,False,[],public,0,0,0,main,ECOSTRESS-Tutorials,176617162,O_kgDOCob2yg,Organization,public,False,,,,,,False,False,False,False,True,
857130037,R_kgDOMxbENQ,ECOSTRESS-Sharpening-Tutorial,ECOSTRESS-Tutorials/ECOSTRESS-Sharpening-Tutorial,False,https://github.com/ECOSTRESS-Tutorials/ECOSTRESS-Sharpening-Tutorial,Tutorial for sharpening ECOSTRESS surface temperature,False,https://api.github.com/repos/ECOSTRESS-Tutorials/ECOSTRESS-Sharpening-Tutorial,2024-09-13T21:37:55Z,2024-12-05T22:48:23Z,2024-12-05T22:48:19Z,,41427,0,0,Jupyter Notebook,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,main,ECOSTRESS-Tutorials,176617162,O_kgDOCob2yg,Organization,public,False,,,,,,False,False,False,False,True,
881069818,R_kgDONIQO-g,ECOSTRESS-Animations,ECOSTRESS-Tutorials/ECOSTRESS-Animations,False,https://github.com/ECOSTRESS-Tutorials/ECOSTRESS-Animations,Tutorial for creating .gif and .mp4 files using ET data,False,https://api.github.com/repos/ECOSTRESS-Tutorials/ECOSTRESS-Animations,2024-10-30T21:32:35Z,2024-12-10T20:40:21Z,2024-12-10T20:40:17Z,,3873,0,0,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,ECOSTRESS-Tutorials,176617162,O_kgDOCob2yg,Organization,public,False,,,,,,False,False,False,False,True,
