id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
10463246,MDEwOlJlcG9zaXRvcnkxMDQ2MzI0Ng==,CoMD,ECP-copa/CoMD,False,https://github.com/ECP-copa/CoMD,Classical molecular dynamics proxy application.,False,https://api.github.com/repos/ECP-copa/CoMD,2013-06-03T19:57:06Z,2024-10-20T07:28:29Z,2020-06-29T13:37:00Z,,9516,31,31,C,True,True,True,True,True,False,55,,False,False,6,True,False,False,[],public,55,6,31,master,ECP-copa,24921631,MDEyOk9yZ2FuaXphdGlvbjI0OTIxNjMx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
82230582,MDEwOlJlcG9zaXRvcnk4MjIzMDU4Mg==,ExaMiniMD,ECP-copa/ExaMiniMD,False,https://github.com/ECP-copa/ExaMiniMD,Molecular dynamics proxy application based on Kokkos,False,https://api.github.com/repos/ECP-copa/ExaMiniMD,2017-02-16T22:02:23Z,2024-09-21T15:58:44Z,2024-07-11T20:57:57Z,,1016,31,31,C++,True,True,True,True,False,False,20,,False,False,8,True,False,False,"['kokkos', 'lammps', 'molecular-dynamics', 'proxy-application']",public,20,8,31,master,ECP-copa,24921631,MDEyOk9yZ2FuaXphdGlvbjI0OTIxNjMx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
91503244,MDEwOlJlcG9zaXRvcnk5MTUwMzI0NA==,ExaSP2,ECP-copa/ExaSP2,False,https://github.com/ECP-copa/ExaSP2,Second Order Spectral Projection (SP2) for Electronic Structure Calculations.,False,https://api.github.com/repos/ECP-copa/ExaSP2,2017-05-16T20:50:02Z,2021-01-19T10:59:53Z,2020-06-16T22:27:51Z,,50272,3,3,C,True,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,3,master,ECP-copa,24921631,MDEyOk9yZ2FuaXphdGlvbjI0OTIxNjMx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
103458744,MDEwOlJlcG9zaXRvcnkxMDM0NTg3NDQ=,ExaMPM,ECP-copa/ExaMPM,False,https://github.com/ECP-copa/ExaMPM,Material point method proxy application based on Cabana.,False,https://api.github.com/repos/ECP-copa/ExaMPM,2017-09-13T22:35:03Z,2024-11-04T14:57:46Z,2024-11-04T14:57:42Z,,1054,10,10,C++,True,True,True,True,False,False,13,,False,False,5,True,False,False,"['cabana', 'kokkos', 'material-point-method', 'proxy-application']",public,13,5,10,master,ECP-copa,24921631,MDEyOk9yZ2FuaXphdGlvbjI0OTIxNjMx,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
150150681,MDEwOlJlcG9zaXRvcnkxNTAxNTA2ODE=,Cabana,ECP-copa/Cabana,False,https://github.com/ECP-copa/Cabana,Performance-portable library for particle-based simulations,False,https://api.github.com/repos/ECP-copa/Cabana,2018-09-24T18:36:45Z,2024-12-16T02:51:26Z,2024-12-09T16:12:50Z,,240997,218,218,C++,True,True,True,True,True,False,50,,False,False,74,True,False,False,"['co-design', 'exascale', 'exascale-computing', 'high-performance-computing', 'hpc', 'kokkos', 'particles']",public,50,74,218,master,ECP-copa,24921631,MDEyOk9yZ2FuaXphdGlvbjI0OTIxNjMx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
181550061,MDEwOlJlcG9zaXRvcnkxODE1NTAwNjE=,CabanaPIC,ECP-copa/CabanaPIC,False,https://github.com/ECP-copa/CabanaPIC,Structured PIC proxy app based on Cabana,False,https://api.github.com/repos/ECP-copa/CabanaPIC,2019-04-15T19:11:19Z,2024-01-18T00:00:48Z,2024-12-02T18:05:13Z,,8590,13,13,C++,True,True,True,True,False,False,4,,False,False,5,True,False,False,"['cabana', 'kokkos', 'particle-in-cell', 'proxy-application', 'vpic']",public,4,5,13,master,ECP-copa,24921631,MDEyOk9yZ2FuaXphdGlvbjI0OTIxNjMx,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
189618105,MDEwOlJlcG9zaXRvcnkxODk2MTgxMDU=,CabanaMD,ECP-copa/CabanaMD,False,https://github.com/ECP-copa/CabanaMD,Molecular dynamics proxy application based on Cabana,False,https://api.github.com/repos/ECP-copa/CabanaMD,2019-05-31T15:33:05Z,2024-10-09T14:43:55Z,2024-10-09T14:43:43Z,,1994,20,20,C++,True,True,True,True,False,False,14,,False,False,11,True,False,False,"['cabana', 'exascale', 'kokkos', 'lammps', 'molecular-dynamics', 'proxy-application']",public,14,11,20,master,ECP-copa,24921631,MDEyOk9yZ2FuaXphdGlvbjI0OTIxNjMx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
198713318,MDEwOlJlcG9zaXRvcnkxOTg3MTMzMTg=,Cajita,ECP-copa/Cajita,False,https://github.com/ECP-copa/Cajita,An MPI+Kokkos library for logically rectilinear grids,False,https://api.github.com/repos/ECP-copa/Cajita,2019-07-24T21:40:37Z,2021-02-01T08:36:20Z,2020-06-03T22:27:15Z,,470,16,16,C++,True,True,True,True,False,False,7,,False,False,0,True,False,False,[],public,7,0,16,master,ECP-copa,24921631,MDEyOk9yZ2FuaXphdGlvbjI0OTIxNjMx,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
205186866,MDEwOlJlcG9zaXRvcnkyMDUxODY4NjY=,Cabana-fortran-examples,ECP-copa/Cabana-fortran-examples,False,https://github.com/ECP-copa/Cabana-fortran-examples,Fortran examples based on the Cabana library.,False,https://api.github.com/repos/ECP-copa/Cabana-fortran-examples,2019-08-29T14:51:00Z,2021-10-25T15:13:47Z,2021-05-17T21:44:57Z,,47,1,1,C++,True,True,True,True,False,False,4,,False,False,1,True,False,False,[],public,4,1,1,master,ECP-copa,24921631,MDEyOk9yZ2FuaXphdGlvbjI0OTIxNjMx,Organization,public,False,,,,,,False,False,False,False,True,
344958703,MDEwOlJlcG9zaXRvcnkzNDQ5NTg3MDM=,ci-containers,ECP-copa/ci-containers,False,https://github.com/ECP-copa/ci-containers,,False,https://api.github.com/repos/ECP-copa/ci-containers,2021-03-05T23:20:50Z,2021-11-18T23:07:32Z,2024-03-20T22:10:53Z,,47,0,0,,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,master,ECP-copa,24921631,MDEyOk9yZ2FuaXphdGlvbjI0OTIxNjMx,Organization,public,False,,,,,,False,False,False,False,True,
398041585,MDEwOlJlcG9zaXRvcnkzOTgwNDE1ODU=,HACCabana,ECP-copa/HACCabana,False,https://github.com/ECP-copa/HACCabana,N-body cosmology proxy application based on Cabana,False,https://api.github.com/repos/ECP-copa/HACCabana,2021-08-19T18:39:47Z,2024-08-21T05:11:47Z,2023-12-11T15:32:08Z,,37,6,6,C++,True,True,True,True,False,False,2,,False,False,3,True,False,False,"['cabana', 'cosmology', 'hacc', 'kokkos', 'proxy-application']",public,2,3,6,master,ECP-copa,24921631,MDEyOk9yZ2FuaXphdGlvbjI0OTIxNjMx,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
