id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
126405883,MDEwOlJlcG9zaXRvcnkxMjY0MDU4ODM=,OGE-450,EOP-OMB/OGE-450,False,https://github.com/EOP-OMB/OGE-450,OMB created OGE-450 form,False,https://api.github.com/repos/EOP-OMB/OGE-450,2018-03-22T23:16:20Z,2023-01-28T02:07:31Z,2022-03-25T17:36:01Z,,49980,2,2,C#,True,True,True,True,False,False,1,,True,False,36,True,False,False,[],public,1,36,2,master,EOP-OMB,37676455,MDEyOk9yZ2FuaXphdGlvbjM3Njc2NDU1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
133381716,MDEwOlJlcG9zaXRvcnkxMzMzODE3MTY=,code_json,EOP-OMB/code_json,False,https://github.com/EOP-OMB/code_json,,False,https://api.github.com/repos/EOP-OMB/code_json,2018-05-14T15:20:44Z,2018-10-23T17:36:15Z,2018-10-23T17:36:13Z,,7,0,0,,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,EOP-OMB,37676455,MDEyOk9yZ2FuaXphdGlvbjM3Njc2NDU1,Organization,public,False,,,,,,False,False,False,False,True,
349550082,MDEwOlJlcG9zaXRvcnkzNDk1NTAwODI=,opal,EOP-OMB/opal,False,https://github.com/EOP-OMB/opal,OSCAL Policy Administration Library (OPAL) provides a simple web application for managing System Security Plans. The data modle is based on the OSCAL standard.,False,https://api.github.com/repos/EOP-OMB/opal,2021-03-19T20:40:46Z,2024-12-19T00:08:49Z,2024-09-28T02:22:43Z,,74754,29,29,Python,True,True,True,True,False,False,13,,False,False,11,True,False,False,"['oscal', 'security-tools', 'ssp']",public,13,11,29,main,EOP-OMB,37676455,MDEyOk9yZ2FuaXphdGlvbjM3Njc2NDU1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
362910520,MDEwOlJlcG9zaXRvcnkzNjI5MTA1MjA=,CATSV3,EOP-OMB/CATSV3,False,https://github.com/EOP-OMB/CATSV3,,False,https://api.github.com/repos/EOP-OMB/CATSV3,2021-04-29T18:26:16Z,2021-05-24T15:12:39Z,2021-05-24T15:12:37Z,,2237,0,0,C#,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,EOP-OMB,37676455,MDEyOk9yZ2FuaXphdGlvbjM3Njc2NDU1,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
364016323,MDEwOlJlcG9zaXRvcnkzNjQwMTYzMjM=,mod-framework,EOP-OMB/mod-framework,False,https://github.com/EOP-OMB/mod-framework,,False,https://api.github.com/repos/EOP-OMB/mod-framework,2021-05-03T17:57:59Z,2022-03-25T17:35:02Z,2023-12-21T17:26:15Z,,132748,0,0,C#,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,main,EOP-OMB,37676455,MDEyOk9yZ2FuaXphdGlvbjM3Njc2NDU1,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
474072160,R_kgDOHEHEYA,ethics-portal,EOP-OMB/ethics-portal,False,https://github.com/EOP-OMB/ethics-portal,OMB Ethics Portal,False,https://api.github.com/repos/EOP-OMB/ethics-portal,2022-03-25T15:50:14Z,2024-08-08T15:37:11Z,2024-08-08T15:36:42Z,,218568,0,0,C#,True,True,True,True,False,False,0,,False,False,9,True,False,False,[],public,0,9,0,main,EOP-OMB,37676455,MDEyOk9yZ2FuaXphdGlvbjM3Njc2NDU1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
509178170,R_kgDOHllxOg,opal-chart,EOP-OMB/opal-chart,False,https://github.com/EOP-OMB/opal-chart,Helm chart for deploying OPAL,False,https://api.github.com/repos/EOP-OMB/opal-chart,2022-06-30T17:43:48Z,2024-08-05T15:23:05Z,2022-08-12T17:47:14Z,,9,0,0,,True,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,0,main,EOP-OMB,37676455,MDEyOk9yZ2FuaXphdGlvbjM3Njc2NDU1,Organization,public,False,,,,,,False,False,False,False,True,
647764342,R_kgDOJpwZdg,llmqa,EOP-OMB/llmqa,False,https://github.com/EOP-OMB/llmqa,A local QA LLM for asking questions over documents,False,https://api.github.com/repos/EOP-OMB/llmqa,2023-05-31T13:24:37Z,2023-05-31T16:49:52Z,2023-06-09T18:01:40Z,,181697,0,0,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,main,EOP-OMB,37676455,MDEyOk9yZ2FuaXphdGlvbjM3Njc2NDU1,Organization,public,False,,,,,,False,False,False,False,True,
687991444,R_kgDOKQHqlA,federal-program-inventory,EOP-OMB/federal-program-inventory,False,https://github.com/EOP-OMB/federal-program-inventory,"The Federal Program Inventory (FPI) is a comprehensive, searchable tool with critical information about all Federal programs that provide grants, loans, or direct payments to individuals, governments, firms or other organizations. The FPI increases government transparency and accessibility.",False,https://api.github.com/repos/EOP-OMB/federal-program-inventory,2023-09-06T12:30:26Z,2024-12-22T10:51:51Z,2024-11-06T18:02:35Z,https://fpi.omb.gov/,313105,4,4,HTML,False,False,True,False,False,False,1,,False,False,0,True,False,False,[],public,1,0,4,main,EOP-OMB,37676455,MDEyOk9yZ2FuaXphdGlvbjM3Njc2NDU1,Organization,public,False,,,,,,False,False,False,False,True,
846672671,R_kgDOMnczHw,opal-ai,EOP-OMB/opal-ai,False,https://github.com/EOP-OMB/opal-ai,,False,https://api.github.com/repos/EOP-OMB/opal-ai,2024-08-23T17:50:23Z,2024-09-27T03:06:44Z,2024-09-27T03:06:42Z,,14900,0,0,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,EOP-OMB,37676455,MDEyOk9yZ2FuaXphdGlvbjM3Njc2NDU1,Organization,public,False,,,,,,False,False,False,False,True,
