id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
20452931,MDEwOlJlcG9zaXRvcnkyMDQ1MjkzMQ==,HRRR,EVS-ATMOS/HRRR,False,https://github.com/EVS-ATMOS/HRRR,,True,https://api.github.com/repos/EVS-ATMOS/HRRR,2014-06-03T17:45:16Z,2014-06-25T21:29:44Z,2014-09-05T19:19:04Z,,83008,1,1,Python,True,True,True,True,False,False,2,,False,False,2,,True,False,False,[],public,2,2,1,master,EVS-ATMOS,7784059,MDEyOk9yZ2FuaXphdGlvbjc3ODQwNTk=,Organization,public,False,False,False,False,False,True,,,,,
20725003,MDEwOlJlcG9zaXRvcnkyMDcyNTAwMw==,agent-based-analysis,EVS-ATMOS/agent-based-analysis,False,https://github.com/EVS-ATMOS/agent-based-analysis,Collaboration on cell tracking in radar imagery,False,https://api.github.com/repos/EVS-ATMOS/agent-based-analysis,2014-06-11T12:55:51Z,2014-06-11T12:55:51Z,2014-06-11T12:55:51Z,,0,0,0,,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,EVS-ATMOS,7784059,MDEyOk9yZ2FuaXphdGlvbjc3ODQwNTk=,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
20802921,MDEwOlJlcG9zaXRvcnkyMDgwMjkyMQ==,chart_discussion,EVS-ATMOS/chart_discussion,False,https://github.com/EVS-ATMOS/chart_discussion,Chart discussion tools for EVS ATMOS weather discussions.,False,https://api.github.com/repos/EVS-ATMOS/chart_discussion,2014-06-13T12:06:51Z,2014-06-20T13:41:05Z,2018-06-04T15:54:08Z,,4,0,0,,True,True,True,True,True,False,2,,False,False,0,,True,False,False,[],public,2,0,0,master,EVS-ATMOS,7784059,MDEyOk9yZ2FuaXphdGlvbjc3ODQwNTk=,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
21001014,MDEwOlJlcG9zaXRvcnkyMTAwMTAxNA==,summer-reports,EVS-ATMOS/summer-reports,False,https://github.com/EVS-ATMOS/summer-reports,Reports from summer student projects,False,https://api.github.com/repos/EVS-ATMOS/summer-reports,2014-06-19T13:22:41Z,2014-06-19T13:22:41Z,2014-06-19T13:22:41Z,,0,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,EVS-ATMOS,7784059,MDEyOk9yZ2FuaXphdGlvbjc3ODQwNTk=,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
23165247,MDEwOlJlcG9zaXRvcnkyMzE2NTI0Nw==,pyart_short_course,EVS-ATMOS/pyart_short_course,False,https://github.com/EVS-ATMOS/pyart_short_course,Materials for the ERAD short course specific to Py-ART,False,https://api.github.com/repos/EVS-ATMOS/pyart_short_course,2014-08-20T21:42:11Z,2022-12-03T03:45:20Z,2014-08-25T23:04:54Z,,7448,4,4,Shell,True,True,True,True,False,False,5,,False,False,0,,True,False,False,[],public,5,0,4,master,EVS-ATMOS,7784059,MDEyOk9yZ2FuaXphdGlvbjc3ODQwNTk=,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
23228070,MDEwOlJlcG9zaXRvcnkyMzIyODA3MA==,ldm_radar,EVS-ATMOS/ldm_radar,False,https://github.com/EVS-ATMOS/ldm_radar,,False,https://api.github.com/repos/EVS-ATMOS/ldm_radar,2014-08-22T14:27:56Z,2014-08-22T14:27:56Z,2014-08-22T14:27:56Z,,96,0,0,,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,EVS-ATMOS,7784059,MDEyOk9yZ2FuaXphdGlvbjc3ODQwNTk=,Organization,public,False,False,False,False,False,True,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=
36833189,MDEwOlJlcG9zaXRvcnkzNjgzMzE4OQ==,SULI-2015,EVS-ATMOS/SULI-2015,False,https://github.com/EVS-ATMOS/SULI-2015,Summer student 2015 work on HRRR validation and other works,False,https://api.github.com/repos/EVS-ATMOS/SULI-2015,2015-06-03T22:04:18Z,2015-06-10T20:06:30Z,2015-07-29T02:08:31Z,,26813,0,0,Python,True,True,True,True,False,False,3,,False,False,1,,True,False,False,[],public,3,1,0,master,EVS-ATMOS,7784059,MDEyOk9yZ2FuaXphdGlvbjc3ODQwNTk=,Organization,public,False,False,False,False,False,True,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=
37081370,MDEwOlJlcG9zaXRvcnkzNzA4MTM3MA==,high_resolution_hydrology,EVS-ATMOS/high_resolution_hydrology,False,https://github.com/EVS-ATMOS/high_resolution_hydrology,Project in coupling high resolution radar retrievals to hydrological models,False,https://api.github.com/repos/EVS-ATMOS/high_resolution_hydrology,2015-06-08T17:19:31Z,2022-03-10T09:44:38Z,2017-10-07T16:40:20Z,,9997,7,7,Jupyter Notebook,True,True,True,True,False,False,3,,False,False,0,,True,False,False,[],public,3,0,7,master,EVS-ATMOS,7784059,MDEyOk9yZ2FuaXphdGlvbjc3ODQwNTk=,Organization,public,False,False,False,False,False,True,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=
42878641,MDEwOlJlcG9zaXRvcnk0Mjg3ODY0MQ==,Meteocat_ANL_collaboration,EVS-ATMOS/Meteocat_ANL_collaboration,False,https://github.com/EVS-ATMOS/Meteocat_ANL_collaboration,"A collaborative repository between Servei Meteorològic de Catalunya, The Univeristy of Barcelona and Argonne National Laboratory",False,https://api.github.com/repos/EVS-ATMOS/Meteocat_ANL_collaboration,2015-09-21T16:25:50Z,2015-09-21T16:25:50Z,2015-10-19T23:32:16Z,,9791,0,0,,True,True,True,True,False,False,3,,False,False,1,,True,False,False,[],public,3,1,0,master,EVS-ATMOS,7784059,MDEyOk9yZ2FuaXphdGlvbjc3ODQwNTk=,Organization,public,False,False,False,False,False,True,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=
49228574,MDEwOlJlcG9zaXRvcnk0OTIyODU3NA==,demonstration,EVS-ATMOS/demonstration,False,https://github.com/EVS-ATMOS/demonstration,A demonstration to show users the fork and pull methodology,False,https://api.github.com/repos/EVS-ATMOS/demonstration,2016-01-07T20:22:48Z,2016-01-11T19:17:26Z,2016-01-12T14:58:22Z,,653,0,0,Jupyter Notebook,True,True,True,True,False,False,2,,False,False,0,,True,False,False,[],public,2,0,0,master,EVS-ATMOS,7784059,MDEyOk9yZ2FuaXphdGlvbjc3ODQwNTk=,Organization,public,False,False,False,False,False,True,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=
