id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
46751450,MDEwOlJlcG9zaXRvcnk0Njc1MTQ1MA==,ecosheds-home,EcoSHEDS/ecosheds-home,False,https://github.com/EcoSHEDS/ecosheds-home,EcoSHEDS Homepage,False,https://api.github.com/repos/EcoSHEDS/ecosheds-home,2015-11-23T22:17:57Z,2024-10-29T14:52:04Z,2024-10-29T14:52:00Z,https://www.usgs.gov/apps/ecosheds,25689,0,0,Vue,True,True,True,True,False,False,0,,False,False,2,,True,False,False,[],public,0,2,0,master,EcoSHEDS,108948338,O_kgDOBn5rcg,Organization,public,False,False,False,False,False,True,,,,,
67704949,MDEwOlJlcG9zaXRvcnk2NzcwNDk0OQ==,pitdata,EcoSHEDS/pitdata,False,https://github.com/EcoSHEDS/pitdata,Interactive Data Visualizations of PIT Tag Data,False,https://api.github.com/repos/EcoSHEDS/pitdata,2016-09-08T13:21:07Z,2024-03-03T10:15:04Z,2023-12-20T19:26:21Z,https://usgs.gov/apps/ecosheds/pitdata,181740,3,3,JavaScript,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,3,master,EcoSHEDS,108948338,O_kgDOBn5rcg,Organization,public,False,False,False,False,False,True,,,,,
104513540,MDEwOlJlcG9zaXRvcnkxMDQ1MTM1NDA=,northeast-temp-model,EcoSHEDS/northeast-temp-model,False,https://github.com/EcoSHEDS/northeast-temp-model,SHEDS Stream Temperature Model of the Northeast U.S.,False,https://api.github.com/repos/EcoSHEDS/northeast-temp-model,2017-09-22T19:56:16Z,2023-12-11T17:56:37Z,2024-01-16T19:57:47Z,http://ecosheds.org,34181,2,2,R,True,True,True,True,True,False,2,,False,False,0,,True,False,False,[],public,2,0,2,master,EcoSHEDS,108948338,O_kgDOBn5rcg,Organization,public,False,False,False,False,False,True,,,,,
140013095,MDEwOlJlcG9zaXRvcnkxNDAwMTMwOTU=,northeast-bto-model,EcoSHEDS/northeast-bto-model,False,https://github.com/EcoSHEDS/northeast-bto-model,EcoSHEDS Northeast Brook Trout Occupancy Model,False,https://api.github.com/repos/EcoSHEDS/northeast-bto-model,2018-07-06T17:27:48Z,2024-02-06T15:22:08Z,2024-01-04T21:08:53Z,,94395,0,0,TeX,True,True,True,True,True,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,EcoSHEDS,108948338,O_kgDOBn5rcg,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
199453059,MDEwOlJlcG9zaXRvcnkxOTk0NTMwNTk=,tame,EcoSHEDS/tame,False,https://github.com/EcoSHEDS/tame,Tagged Animal Movement Explorer,False,https://api.github.com/repos/EcoSHEDS/tame,2019-07-29T12:56:41Z,2024-07-08T14:24:19Z,2024-07-08T14:24:15Z,https://www.usgs.gov/apps/ecosheds/tame/,8692,1,1,Vue,True,True,True,True,False,False,0,,False,False,5,,True,False,False,[],public,0,5,1,master,EcoSHEDS,108948338,O_kgDOBn5rcg,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
217355018,MDEwOlJlcG9zaXRvcnkyMTczNTUwMTg=,lmg-restore,EcoSHEDS/lmg-restore,False,https://github.com/EcoSHEDS/lmg-restore,USGS LMGWSC RESTORE Data Visualization Tool,False,https://api.github.com/repos/EcoSHEDS/lmg-restore,2019-10-24T17:25:48Z,2024-07-08T14:18:52Z,2024-09-21T06:50:46Z,https://usgs.gov/apps/ecosheds/lmg-restore/,28022,0,0,Vue,True,True,True,True,False,False,0,,False,False,5,,True,False,False,[],public,0,5,0,master,EcoSHEDS,108948338,O_kgDOBn5rcg,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
279915612,MDEwOlJlcG9zaXRvcnkyNzk5MTU2MTI=,fpe,EcoSHEDS/fpe,False,https://github.com/EcoSHEDS/fpe,EcoSHEDS Flow Photo Explorer,False,https://api.github.com/repos/EcoSHEDS/fpe,2020-07-15T16:08:47Z,2024-11-19T18:57:03Z,2024-12-05T23:54:13Z,https://usgs.gov/apps/ecosheds/fpe/,25062,3,3,Vue,True,True,True,True,False,False,0,,False,False,17,,True,False,False,[],public,0,17,3,main,EcoSHEDS,108948338,O_kgDOBn5rcg,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
335041636,MDEwOlJlcG9zaXRvcnkzMzUwNDE2MzY=,ma-coldwater-refugia,EcoSHEDS/ma-coldwater-refugia,False,https://github.com/EcoSHEDS/ma-coldwater-refugia,Massachusetts Coldwater Refugia Tool,True,https://api.github.com/repos/EcoSHEDS/ma-coldwater-refugia,2021-02-01T18:14:55Z,2022-08-25T12:57:11Z,2022-08-25T00:09:54Z,,23116,0,0,JavaScript,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,EcoSHEDS,108948338,O_kgDOBn5rcg,Organization,public,False,False,False,False,False,True,,,,,
516408542,R_kgDOHsfE3g,necd,EcoSHEDS/necd,False,https://github.com/EcoSHEDS/necd,EcoSHEDS Northeast Catchment Delineation (NECD),False,https://api.github.com/repos/EcoSHEDS/necd,2022-07-21T14:39:21Z,2022-07-21T15:29:24Z,2023-12-12T15:54:21Z,https://ecosheds.github.io/necd,17191,0,0,Python,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,EcoSHEDS,108948338,O_kgDOBn5rcg,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
580525258,R_kgDOIpocyg,fpe-model,EcoSHEDS/fpe-model,False,https://github.com/EcoSHEDS/fpe-model,Deep Learning Model to Estimate Streamflow from Timelapse Imagery,False,https://api.github.com/repos/EcoSHEDS/fpe-model,2022-12-20T19:27:58Z,2024-10-01T13:25:43Z,2024-12-09T16:43:44Z,https://www.usgs.gov/apps/ecosheds/fpe/,145490,4,4,R,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,4,main,EcoSHEDS,108948338,O_kgDOBn5rcg,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
