id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
113234315,MDEwOlJlcG9zaXRvcnkxMTMyMzQzMTU=,eAPD,Enterprise-CMCS/eAPD,False,https://github.com/Enterprise-CMCS/eAPD,CMS (Centers for Medicare and Medicaid Services) eAPD - Modernizing the APD experience,False,https://api.github.com/repos/Enterprise-CMCS/eAPD,2017-12-05T21:20:35Z,2024-12-05T16:33:09Z,2024-12-13T23:49:00Z,https://eapd.cms.gov,63572,59,59,JavaScript,True,True,True,True,True,False,25,,False,False,295,True,False,False,"['18f-human-services', 'apd', 'cms', 'eapd', 'hhs', 'hitech', 'medicaid']",public,25,295,59,main,Enterprise-CMCS,102048837,O_kgDOBhUkRQ,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
226399669,MDEwOlJlcG9zaXRvcnkyMjYzOTk2Njk=,macpro-mdct-carts,Enterprise-CMCS/macpro-mdct-carts,False,https://github.com/Enterprise-CMCS/macpro-mdct-carts,"CARTS is the CMCS MDCT application for collecting state data related to coverage of CHIP state plans on an annual basis. The collected data assists CMCS in monitoring, managing, and better understanding Medicaid and CHIP programs.",False,https://api.github.com/repos/Enterprise-CMCS/macpro-mdct-carts,2019-12-06T19:56:57Z,2024-12-18T17:20:20Z,2024-12-18T17:25:42Z,https://mdctcarts.cms.gov,60477,4,4,JavaScript,False,False,True,False,False,False,1,,False,False,135280,True,False,False,[],public,1,135280,4,main,Enterprise-CMCS,102048837,O_kgDOBhUkRQ,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
280883632,MDEwOlJlcG9zaXRvcnkyODA4ODM2MzI=,macpro-terraform-aws-jenkins,Enterprise-CMCS/macpro-terraform-aws-jenkins,False,https://github.com/Enterprise-CMCS/macpro-terraform-aws-jenkins,,False,https://api.github.com/repos/Enterprise-CMCS/macpro-terraform-aws-jenkins,2020-07-19T14:33:50Z,2023-03-14T13:26:52Z,2022-10-18T05:32:24Z,,100,2,2,HCL,True,True,True,True,False,False,0,,True,False,2,True,False,False,[],public,0,2,2,master,Enterprise-CMCS,102048837,O_kgDOBhUkRQ,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
280947015,MDEwOlJlcG9zaXRvcnkyODA5NDcwMTU=,macpro-quickstart,Enterprise-CMCS/macpro-quickstart,False,https://github.com/Enterprise-CMCS/macpro-quickstart,,False,https://api.github.com/repos/Enterprise-CMCS/macpro-quickstart,2020-07-19T20:42:19Z,2024-03-12T12:46:29Z,2023-03-05T10:20:16Z,,1985,3,3,HCL,True,True,True,True,False,False,2,,True,False,27,True,False,False,[],public,2,27,3,master,Enterprise-CMCS,102048837,O_kgDOBhUkRQ,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
282990022,MDEwOlJlcG9zaXRvcnkyODI5OTAwMjI=,managed-care-review,Enterprise-CMCS/managed-care-review,False,https://github.com/Enterprise-CMCS/managed-care-review,,False,https://api.github.com/repos/Enterprise-CMCS/managed-care-review,2020-07-27T19:02:24Z,2024-12-18T20:04:43Z,2024-12-19T02:55:21Z,,83834,10,10,TypeScript,True,True,True,True,False,False,3,,False,False,4,True,False,False,[],public,3,4,10,main,Enterprise-CMCS,102048837,O_kgDOBhUkRQ,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
284713777,MDEwOlJlcG9zaXRvcnkyODQ3MTM3Nzc=,macpro-onemac,Enterprise-CMCS/macpro-onemac,False,https://github.com/Enterprise-CMCS/macpro-onemac,An official submission system for email-based state plan amendments (SPAs) and section 1915 waivers.,False,https://api.github.com/repos/Enterprise-CMCS/macpro-onemac,2020-08-03T13:54:40Z,2024-12-17T20:48:12Z,2024-12-17T20:48:09Z,,90574,4,4,JavaScript,False,True,True,True,False,False,0,,False,False,39,True,False,False,[],public,0,39,4,develop,Enterprise-CMCS,102048837,O_kgDOBhUkRQ,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
290769788,MDEwOlJlcG9zaXRvcnkyOTA3Njk3ODg=,macpro-quickstart-serverless,Enterprise-CMCS/macpro-quickstart-serverless,False,https://github.com/Enterprise-CMCS/macpro-quickstart-serverless,,False,https://api.github.com/repos/Enterprise-CMCS/macpro-quickstart-serverless,2020-08-27T12:30:25Z,2024-07-24T19:21:02Z,2024-12-13T00:45:41Z,,8986,18,18,JavaScript,True,True,True,True,False,True,14,,False,False,26,True,True,False,[],public,14,26,18,master,Enterprise-CMCS,102048837,O_kgDOBhUkRQ,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
295780467,MDEwOlJlcG9zaXRvcnkyOTU3ODA0Njc=,macpro-quickstart-cqrs,Enterprise-CMCS/macpro-quickstart-cqrs,False,https://github.com/Enterprise-CMCS/macpro-quickstart-cqrs,,False,https://api.github.com/repos/Enterprise-CMCS/macpro-quickstart-cqrs,2020-09-15T16:05:22Z,2023-03-14T13:30:43Z,2023-03-10T23:28:34Z,,3485,2,2,JavaScript,True,True,True,True,False,False,0,,True,False,90,True,False,False,[],public,0,90,2,master,Enterprise-CMCS,102048837,O_kgDOBhUkRQ,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
299356439,MDEwOlJlcG9zaXRvcnkyOTkzNTY0Mzk=,cmcs-eregulations,Enterprise-CMCS/cmcs-eregulations,False,https://github.com/Enterprise-CMCS/cmcs-eregulations,Web application for viewing Medicaid and CHIP regulations and related policy information,False,https://api.github.com/repos/Enterprise-CMCS/cmcs-eregulations,2020-09-28T15:44:46Z,2024-12-17T18:02:21Z,2024-12-17T20:15:23Z,,45004,16,16,JavaScript,False,False,True,True,False,False,10,,False,False,2,True,False,False,[],public,10,2,16,main,Enterprise-CMCS,102048837,O_kgDOBhUkRQ,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
318618756,MDEwOlJlcG9zaXRvcnkzMTg2MTg3NTY=,macpro-mdct-seds,Enterprise-CMCS/macpro-mdct-seds,False,https://github.com/Enterprise-CMCS/macpro-mdct-seds,"SEDS is the CMCS MDCT application for collecting state data related to Medicaid and CHIP quarterly enrollment data on a quarterly basis. The collected data assists CMCS in monitoring, managing, and better understanding Medicaid and CHIP programs.",False,https://api.github.com/repos/Enterprise-CMCS/macpro-mdct-seds,2020-12-04T19:41:29Z,2024-12-18T20:08:16Z,2024-12-18T22:33:32Z,https://mdctseds.cms.gov,31120,3,3,JavaScript,False,False,True,False,False,False,4,,False,False,13407,True,False,False,[],public,4,13407,3,master,Enterprise-CMCS,102048837,O_kgDOBhUkRQ,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
