id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
390147877,MDEwOlJlcG9zaXRvcnkzOTAxNDc4Nzc=,Flash-X-docs,Flash-X/Flash-X-docs,False,https://github.com/Flash-X/Flash-X-docs,Documentation for Flash-X,False,https://api.github.com/repos/Flash-X/Flash-X-docs,2021-07-27T22:47:07Z,2024-09-17T19:08:36Z,2024-09-17T19:08:39Z,https://flash-x.github.io/Flash-X-docs/,29370,2,2,TeX,True,True,True,True,True,False,2,,False,False,2,,True,False,False,[],public,2,2,2,main,Flash-X,81772802,MDEyOk9yZ2FuaXphdGlvbjgxNzcyODAy,Organization,public,False,False,False,False,False,True,,,,,
393536542,MDEwOlJlcG9zaXRvcnkzOTM1MzY1NDI=,Bittree,Flash-X/Bittree,False,https://github.com/Flash-X/Bittree,,False,https://api.github.com/repos/Flash-X/Bittree,2021-08-07T00:20:20Z,2024-10-05T01:09:11Z,2023-09-19T21:00:06Z,,218,1,1,C++,True,True,True,True,False,False,0,,False,False,1,,True,False,False,[],public,0,1,1,main,Flash-X,81772802,MDEyOk9yZ2FuaXphdGlvbjgxNzcyODAy,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
416471560,R_kgDOGNLaCA,flash-x.io,Flash-X/flash-x.io,False,https://github.com/Flash-X/flash-x.io,,False,https://api.github.com/repos/Flash-X/flash-x.io,2021-10-12T19:29:49Z,2024-09-19T21:54:51Z,2024-09-19T21:54:48Z,https://flash-x.github.io/flash-x.io/,211860,1,1,HTML,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,1,main,Flash-X,81772802,MDEyOk9yZ2FuaXphdGlvbjgxNzcyODAy,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
449881238,R_kgDOGtCklg,Workflows,Flash-X/Workflows,False,https://github.com/Flash-X/Workflows,,False,https://api.github.com/repos/Flash-X/Workflows,2022-01-19T22:54:31Z,2022-05-09T16:52:45Z,2022-09-08T16:22:13Z,,961,0,0,Fortran,True,True,True,True,False,False,3,,False,False,0,,True,False,False,[],public,3,0,0,main,Flash-X,81772802,MDEyOk9yZ2FuaXphdGlvbjgxNzcyODAy,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
454152088,R_kgDOGxHPmA,Flash-X-Test,Flash-X/Flash-X-Test,False,https://github.com/Flash-X/Flash-X-Test,Tools for testing Flash-X,False,https://api.github.com/repos/Flash-X/Flash-X-Test,2022-01-31T20:03:48Z,2023-11-20T04:21:15Z,2023-12-07T04:00:01Z,https://arxiv.org/pdf/2308.16180.pdf,444,0,0,Python,True,True,True,True,False,False,2,,False,False,5,,True,False,False,[],public,2,5,0,main,Flash-X,81772802,MDEyOk9yZ2FuaXphdGlvbjgxNzcyODAy,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
462163907,R_kgDOG4wPww,PARAMESH-for-Flash-X,Flash-X/PARAMESH-for-Flash-X,False,https://github.com/Flash-X/PARAMESH-for-Flash-X,Paramesh4 code adapted for use in Flash-X,False,https://api.github.com/repos/Flash-X/PARAMESH-for-Flash-X,2022-02-22T06:14:38Z,2024-12-14T20:56:39Z,2024-12-14T20:56:35Z,,895,5,5,Fortran,True,True,True,True,False,False,2,,False,False,0,,True,False,False,[],public,2,0,5,main,Flash-X,81772802,MDEyOk9yZ2FuaXphdGlvbjgxNzcyODAy,Organization,public,False,False,False,False,False,True,,,,,
491934868,R_kgDOHVJUlA,Actions,Flash-X/Actions,False,https://github.com/Flash-X/Actions,,False,https://api.github.com/repos/Flash-X/Actions,2022-05-13T14:43:35Z,2022-05-13T14:43:35Z,2023-09-16T01:22:13Z,,5,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,Flash-X,81772802,MDEyOk9yZ2FuaXphdGlvbjgxNzcyODAy,Organization,public,False,False,False,False,False,True,,,,,
677511478,R_kgDOKGIBNg,Performance,Flash-X/Performance,False,https://github.com/Flash-X/Performance,,False,https://api.github.com/repos/Flash-X/Performance,2023-08-11T19:04:30Z,2023-10-04T01:52:03Z,2023-11-07T04:46:50Z,,4,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,Flash-X,81772802,MDEyOk9yZ2FuaXphdGlvbjgxNzcyODAy,Organization,public,False,False,False,False,False,True,,,,,
716364817,R_kgDOKrLcEQ,AMReX-Flash-X-Compatibility,Flash-X/AMReX-Flash-X-Compatibility,False,https://github.com/Flash-X/AMReX-Flash-X-Compatibility,Compatibility Testing Environment for Flash-X + AMReX,False,https://api.github.com/repos/Flash-X/AMReX-Flash-X-Compatibility,2023-11-09T01:28:55Z,2023-11-11T16:59:51Z,2023-11-26T03:35:38Z,,64,0,0,C,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,Flash-X,81772802,MDEyOk9yZ2FuaXphdGlvbjgxNzcyODAy,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
785426279,R_kgDOLtCnZw,.github,Flash-X/.github,False,https://github.com/Flash-X/.github,,False,https://api.github.com/repos/Flash-X/.github,2024-04-11T21:31:51Z,2024-04-11T21:31:51Z,2024-04-11T23:50:09Z,,5,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,Flash-X,81772802,MDEyOk9yZ2FuaXphdGlvbjgxNzcyODAy,Organization,public,False,False,False,False,False,True,,,,,
