id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
59050512,MDEwOlJlcG9zaXRvcnk1OTA1MDUxMg==,identity-dev-docs,GSA-TTS/identity-dev-docs,False,https://github.com/GSA-TTS/identity-dev-docs,Login.gov developer documentation,False,https://api.github.com/repos/GSA-TTS/identity-dev-docs,2016-05-17T18:59:52Z,2024-12-18T19:35:15Z,2024-12-18T19:35:12Z,https://developers.login.gov,5242,38,38,HTML,True,False,True,False,False,False,209,,False,False,3,True,False,False,['login-gov'],public,209,3,38,main,GSA-TTS,96086023,O_kgDOBbooBw,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
84340535,MDEwOlJlcG9zaXRvcnk4NDM0MDUzNQ==,identity-site,GSA-TTS/identity-site,False,https://github.com/GSA-TTS/identity-site,This is the Login.gov main website where the public is able to learn about their one account for government.,False,https://api.github.com/repos/GSA-TTS/identity-site,2017-03-08T16:13:33Z,2024-12-17T20:14:51Z,2024-12-18T18:18:37Z,https://login.gov,32558,41,41,HTML,True,True,True,False,False,False,14,,False,False,3,True,False,False,"['gov', 'identity', 'login-gov']",public,14,3,41,main,GSA-TTS,96086023,O_kgDOBbooBw,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
196464495,MDEwOlJlcG9zaXRvcnkxOTY0NjQ0OTU=,tts-tech-operations,GSA-TTS/tts-tech-operations,False,https://github.com/GSA-TTS/tts-tech-operations,TTS Technology Operations,False,https://api.github.com/repos/GSA-TTS/tts-tech-operations,2019-07-11T20:59:56Z,2024-10-18T17:29:39Z,2024-09-04T19:04:04Z,https://handbook.tts.gsa.gov/tech-operations/,9391,6,6,JavaScript,True,False,True,False,False,True,0,,False,False,80,True,False,False,[],public,0,80,6,main,GSA-TTS,96086023,O_kgDOBbooBw,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
207910954,MDEwOlJlcG9zaXRvcnkyMDc5MTA5NTQ=,touchpoints-site,GSA-TTS/touchpoints-site,False,https://github.com/GSA-TTS/touchpoints-site,Touchpoints product website,False,https://api.github.com/repos/GSA-TTS/touchpoints-site,2019-09-11T21:34:55Z,2024-10-31T18:13:05Z,2024-12-03T20:31:04Z,https://touchpoints.digital.gov,13837,3,3,JavaScript,True,False,True,False,False,False,3,,False,False,3,True,False,True,[],public,3,3,3,main,GSA-TTS,96086023,O_kgDOBbooBw,Organization,public,False,,,,,,False,False,False,False,True,
249534361,MDEwOlJlcG9zaXRvcnkyNDk1MzQzNjE=,identity-reporting,GSA-TTS/identity-reporting,False,https://github.com/GSA-TTS/identity-reporting,,False,https://api.github.com/repos/GSA-TTS/identity-reporting,2020-03-23T20:15:03Z,2024-12-12T21:52:02Z,2024-12-12T21:51:58Z,,1432,0,0,TypeScript,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,main,GSA-TTS,96086023,O_kgDOBbooBw,Organization,public,False,,,,,,False,False,False,False,True,
288519104,MDEwOlJlcG9zaXRvcnkyODg1MTkxMDQ=,identity-handbook,GSA-TTS/identity-handbook,False,https://github.com/GSA-TTS/identity-handbook,The public handbook for the Login.gov program.,False,https://api.github.com/repos/GSA-TTS/identity-handbook,2020-08-18T17:22:15Z,2024-12-17T16:28:43Z,2024-12-17T16:28:41Z,,5650,16,16,HTML,True,True,True,True,False,False,18,,False,False,0,True,False,False,[],public,18,0,16,main,GSA-TTS,96086023,O_kgDOBbooBw,Organization,public,False,,,,,,False,False,False,False,True,
290600351,MDEwOlJlcG9zaXRvcnkyOTA2MDAzNTE=,identity-idva-api-gateway,GSA-TTS/identity-idva-api-gateway,False,https://github.com/GSA-TTS/identity-idva-api-gateway,The IDVA API Gateway cloud.gov application and configuration.,False,https://api.github.com/repos/GSA-TTS/identity-idva-api-gateway,2020-08-26T20:42:07Z,2024-03-12T12:46:38Z,2024-02-14T18:03:50Z,,233,6,6,Shell,True,True,True,True,False,False,4,,False,False,1,True,False,False,[],public,4,1,6,main,GSA-TTS,96086023,O_kgDOBbooBw,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
290600481,MDEwOlJlcG9zaXRvcnkyOTA2MDA0ODE=,identity-idva-usps,GSA-TTS/identity-idva-usps,False,https://github.com/GSA-TTS/identity-idva-usps,,False,https://api.github.com/repos/GSA-TTS/identity-idva-usps,2020-08-26T20:42:48Z,2024-07-03T02:46:53Z,2023-11-20T20:40:09Z,,117,1,1,Python,True,True,True,True,False,False,4,,False,False,7,True,False,False,[],public,4,7,1,main,GSA-TTS,96086023,O_kgDOBbooBw,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
296403774,MDEwOlJlcG9zaXRvcnkyOTY0MDM3NzQ=,all_sorns,GSA-TTS/all_sorns,False,https://github.com/GSA-TTS/all_sorns,Repo for SORN DASH,False,https://api.github.com/repos/GSA-TTS/all_sorns,2020-09-17T18:01:03Z,2024-10-24T19:00:28Z,2024-10-24T19:00:14Z,https://all-sorns.app.cloud.gov,2594,6,6,Ruby,True,True,True,True,False,False,8,,True,False,38,True,False,False,"['18f', 'government', 'government-data', 'privacy', 'rails']",public,8,38,6,main,GSA-TTS,96086023,O_kgDOBbooBw,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
301827709,MDEwOlJlcG9zaXRvcnkzMDE4Mjc3MDk=,datagov-brokerpak-solr,GSA-TTS/datagov-brokerpak-solr,False,https://github.com/GSA-TTS/datagov-brokerpak-solr,An OSBAPI brokerpak that supplies services needed by the datagov team,False,https://api.github.com/repos/GSA-TTS/datagov-brokerpak-solr,2020-10-06T19:03:57Z,2024-09-24T15:52:18Z,2024-05-06T21:02:40Z,,623,8,8,HCL,True,False,True,False,False,False,5,,False,False,27,True,False,False,[],public,5,27,8,main,GSA-TTS,96086023,O_kgDOBbooBw,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
