id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
41374623,MDEwOlJlcG9zaXRvcnk0MTM3NDYyMw==,style,GeoPlatform/style,False,https://github.com/GeoPlatform/style,Repository for maintaining platform-wide style artifacts,False,https://api.github.com/repos/GeoPlatform/style,2015-08-25T16:25:23Z,2019-12-09T15:24:09Z,2020-05-29T18:45:14Z,,825,0,0,CSS,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,,,,,
55439935,MDEwOlJlcG9zaXRvcnk1NTQzOTkzNQ==,ng-common,GeoPlatform/ng-common,False,https://github.com/GeoPlatform/ng-common,Angular directives and services for GeoPlatform web applications,False,https://api.github.com/repos/GeoPlatform/ng-common,2016-04-04T19:48:23Z,2020-04-13T01:32:37Z,2021-08-11T12:29:25Z,,4399,1,1,JavaScript,True,True,True,True,False,False,1,,False,False,7,,True,False,False,[],public,1,7,1,master,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,,,,,
78760242,MDEwOlJlcG9zaXRvcnk3ODc2MDI0Mg==,sis,GeoPlatform/sis,False,https://github.com/GeoPlatform/sis,Mirror of Apache SIS,True,https://api.github.com/repos/GeoPlatform/sis,2017-01-12T15:41:32Z,2017-01-12T15:41:43Z,2020-05-27T08:21:38Z,,33854,0,0,Java,False,True,True,False,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,trunk,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
93421032,MDEwOlJlcG9zaXRvcnk5MzQyMTAzMg==,iso-profile,GeoPlatform/iso-profile,False,https://github.com/GeoPlatform/iso-profile,GeoPlatform Profile of ISO 19115-1 Metadata,False,https://api.github.com/repos/GeoPlatform/iso-profile,2017-06-05T15:53:50Z,2024-08-15T16:05:30Z,2020-05-29T17:01:08Z,https://www.geoplatform.gov/gp-profile,5248,2,2,HTML,True,True,True,True,False,False,0,,False,False,5,,True,False,False,[],public,0,5,2,master,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,,,,,
102121007,MDEwOlJlcG9zaXRvcnkxMDIxMjEwMDc=,GeoHealthCheck,GeoPlatform/GeoHealthCheck,False,https://github.com/GeoPlatform/GeoHealthCheck,Service Status and QoS Checker for OGC Web Services,True,https://api.github.com/repos/GeoPlatform/GeoHealthCheck,2017-09-01T14:26:01Z,2017-09-01T14:26:03Z,2020-05-29T16:38:25Z,http://geohealthcheck.org,9408,0,0,Python,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
108310103,MDEwOlJlcG9zaXRvcnkxMDgzMTAxMDM=,node-gpoauth,GeoPlatform/node-gpoauth,False,https://github.com/GeoPlatform/node-gpoauth,,False,https://api.github.com/repos/GeoPlatform/node-gpoauth,2017-10-25T18:33:56Z,2019-12-02T21:50:27Z,2020-07-21T17:03:01Z,,184,0,0,CSS,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,,,,,
119079092,MDEwOlJlcG9zaXRvcnkxMTkwNzkwOTI=,map-core,GeoPlatform/map-core,False,https://github.com/GeoPlatform/map-core,"Provides extensions to Leaflet as well as common functionality used to work with GeoPlatform Map, Layer, and Service objects",False,https://api.github.com/repos/GeoPlatform/map-core,2018-01-26T17:01:04Z,2023-11-29T11:18:28Z,2021-05-08T19:27:36Z,,3896,1,1,TypeScript,True,True,True,True,False,False,1,,False,False,2,,True,False,False,[],public,1,2,1,master,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
119995530,MDEwOlJlcG9zaXRvcnkxMTk5OTU1MzA=,client-api,GeoPlatform/client-api,False,https://github.com/GeoPlatform/client-api,Client-side interfaces for using the GeoPlatform API,False,https://api.github.com/repos/GeoPlatform/client-api,2018-02-02T15:06:42Z,2021-03-29T19:04:10Z,2021-09-01T23:13:59Z,,6832,3,3,TypeScript,True,True,True,True,False,False,0,,False,False,42,,True,False,False,[],public,0,42,3,master,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
128938601,MDEwOlJlcG9zaXRvcnkxMjg5Mzg2MDE=,CCB-Plugins,GeoPlatform/CCB-Plugins,False,https://github.com/GeoPlatform/CCB-Plugins,WordPress plugins and themes created for the GeoPlatform CCB (Community Core Bundle) sites.,False,https://api.github.com/repos/GeoPlatform/CCB-Plugins,2018-04-10T13:38:18Z,2020-06-29T22:30:18Z,2021-10-06T02:08:20Z,,121720,2,2,PHP,True,True,True,True,False,False,1,,False,False,16,,True,False,False,[],public,1,16,2,develop,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,,,,,
165335936,MDEwOlJlcG9zaXRvcnkxNjUzMzU5MzY=,ng-gpoauth,GeoPlatform/ng-gpoauth,False,https://github.com/GeoPlatform/ng-gpoauth,Angular support for GeoPlatform authentication,False,https://api.github.com/repos/GeoPlatform/ng-gpoauth,2019-01-12T02:09:55Z,2019-12-09T16:00:19Z,2021-05-08T19:29:44Z,,1083,0,0,JavaScript,True,True,True,True,False,False,0,,False,False,2,,True,False,False,[],public,0,2,0,master,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,,,,,
189286822,MDEwOlJlcG9zaXRvcnkxODkyODY4MjI=,ng-material2-facet-search,GeoPlatform/ng-material2-facet-search,False,https://github.com/GeoPlatform/ng-material2-facet-search,"An Angular library that contains a facet search bar component, based on Angular team's Material Design components",True,https://api.github.com/repos/GeoPlatform/ng-material2-facet-search,2019-05-29T19:35:38Z,2019-05-29T19:35:40Z,2019-06-04T21:17:20Z,,34,0,0,TypeScript,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,,,,,
295471024,MDEwOlJlcG9zaXRvcnkyOTU0NzEwMjQ=,keycloak-integration-howto,GeoPlatform/keycloak-integration-howto,False,https://github.com/GeoPlatform/keycloak-integration-howto,,False,https://api.github.com/repos/GeoPlatform/keycloak-integration-howto,2020-09-14T16:14:03Z,2020-10-19T15:03:20Z,2020-10-19T15:03:17Z,,32,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,,,,,
366842771,MDEwOlJlcG9zaXRvcnkzNjY4NDI3NzE=,geoplatform-demos,GeoPlatform/geoplatform-demos,False,https://github.com/GeoPlatform/geoplatform-demos,Used for various code snippets and demos of GeoPlatform,False,https://api.github.com/repos/GeoPlatform/geoplatform-demos,2021-05-12T20:17:02Z,2024-12-10T23:08:50Z,2024-12-10T23:08:45Z,,285519,2,2,XSLT,True,True,True,True,True,False,3,,False,False,0,,True,False,False,[],public,3,0,2,main,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
375085762,MDEwOlJlcG9zaXRvcnkzNzUwODU3NjI=,docker-geonetwork,GeoPlatform/docker-geonetwork,False,https://github.com/GeoPlatform/docker-geonetwork,Official Docker image repository for GeoNetwork,True,https://api.github.com/repos/GeoPlatform/docker-geonetwork,2021-06-08T17:05:01Z,2021-06-08T17:07:29Z,2021-06-14T21:08:42Z,,302,0,0,Shell,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,,,,,
377016398,MDEwOlJlcG9zaXRvcnkzNzcwMTYzOTg=,justice40-tool,GeoPlatform/justice40-tool,False,https://github.com/GeoPlatform/justice40-tool,,True,https://api.github.com/repos/GeoPlatform/justice40-tool,2021-06-15T02:48:02Z,2023-06-07T13:48:11Z,2023-09-19T16:47:58Z,,108808,0,0,Jupyter Notebook,False,True,True,False,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=
419799227,R_kgDOGQWguw,stac-browser,GeoPlatform/stac-browser,False,https://github.com/GeoPlatform/stac-browser,A Vue-based STAC browser for static catalogs and APIs,True,https://api.github.com/repos/GeoPlatform/stac-browser,2021-10-21T16:31:51Z,2024-11-13T14:13:46Z,2024-11-13T14:13:41Z,https://radiantearth.github.io/stac-browser,49560,0,0,Vue,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,isc,ISC License,ISC,https://api.github.com/licenses/isc,MDc6TGljZW5zZTEw
526671732,R_kgDOH2RfdA,stac-fastapi,GeoPlatform/stac-fastapi,False,https://github.com/GeoPlatform/stac-fastapi,STAC API implementation with FastAPI. ,True,https://api.github.com/repos/GeoPlatform/stac-fastapi,2022-08-19T16:08:04Z,2024-08-14T04:37:57Z,2024-10-30T02:24:35Z,https://stac-utils.github.io/stac-fastapi/,1660,0,0,Python,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,GeoPlatform,3342484,MDEyOk9yZ2FuaXphdGlvbjMzNDI0ODQ=,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
