id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
82336637,MDEwOlJlcG9zaXRvcnk4MjMzNjYzNw==,ga,GlobalArrays/ga,False,https://github.com/GlobalArrays/ga,Partitioned Global Address Space (PGAS) library for distributed arrays,False,https://api.github.com/repos/GlobalArrays/ga,2017-02-17T20:48:30Z,2024-12-17T19:13:33Z,2024-12-17T19:13:29Z,http://hpc.pnl.gov/globalarrays/,24537,101,101,C,True,True,True,True,False,False,39,,False,False,32,True,False,False,[],public,39,32,101,develop,GlobalArrays,6491098,MDEyOk9yZ2FuaXphdGlvbjY0OTEwOTg=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
82591555,MDEwOlJlcG9zaXRvcnk4MjU5MTU1NQ==,ga4py,GlobalArrays/ga4py,False,https://github.com/GlobalArrays/ga4py,Global Arrays Python bindings and distributed NumPy module GAiN,False,https://api.github.com/repos/GlobalArrays/ga4py,2017-02-20T18:58:00Z,2022-04-14T22:07:10Z,2019-10-10T18:44:49Z,,7824,8,8,Python,True,True,True,True,False,False,0,,False,False,3,True,False,False,[],public,0,3,8,master,GlobalArrays,6491098,MDEyOk9yZ2FuaXphdGlvbjY0OTEwOTg=,Organization,public,False,,,,,,False,False,False,False,True,
82594053,MDEwOlJlcG9zaXRvcnk4MjU5NDA1Mw==,gfutex,GlobalArrays/gfutex,False,https://github.com/GlobalArrays/gfutex,Global Futures,False,https://api.github.com/repos/GlobalArrays/gfutex,2017-02-20T19:26:29Z,2017-02-20T19:27:20Z,2017-02-20T19:27:17Z,,404,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,GlobalArrays,6491098,MDEyOk9yZ2FuaXphdGlvbjY0OTEwOTg=,Organization,public,False,,,,,,False,False,False,False,True,
82595432,MDEwOlJlcG9zaXRvcnk4MjU5NTQzMg==,tascel,GlobalArrays/tascel,False,https://github.com/GlobalArrays/tascel,Task Scheduling Library,False,https://api.github.com/repos/GlobalArrays/tascel,2017-02-20T19:42:20Z,2017-02-20T19:44:45Z,2017-02-20T19:44:39Z,,674,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,GlobalArrays,6491098,MDEyOk9yZ2FuaXphdGlvbjY0OTEwOTg=,Organization,public,False,,,,,,False,False,False,False,True,
89532268,MDEwOlJlcG9zaXRvcnk4OTUzMjI2OA==,autotools,GlobalArrays/autotools,False,https://github.com/GlobalArrays/autotools,Container for specific autotools needed for GA's autogen.sh script.,False,https://api.github.com/repos/GlobalArrays/autotools,2017-04-26T22:30:15Z,2024-04-28T20:23:21Z,2024-04-28T20:23:18Z,,18462,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,GlobalArrays,6491098,MDEyOk9yZ2FuaXphdGlvbjY0OTEwOTg=,Organization,public,False,,,,,,False,False,False,False,True,
96931124,MDEwOlJlcG9zaXRvcnk5NjkzMTEyNA==,ga-api,GlobalArrays/ga-api,False,https://github.com/GlobalArrays/ga-api,Global Arrays API,False,https://api.github.com/repos/GlobalArrays/ga-api,2017-07-11T19:50:37Z,2024-12-09T19:49:56Z,2024-12-09T19:49:52Z,,685,0,0,TeX,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,GlobalArrays,6491098,MDEyOk9yZ2FuaXphdGlvbjY0OTEwOTg=,Organization,public,False,,,,,,False,False,False,False,True,
96931281,MDEwOlJlcG9zaXRvcnk5NjkzMTI4MQ==,armci-specification,GlobalArrays/armci-specification,False,https://github.com/GlobalArrays/armci-specification,Aggregate Remote Memory Copy Interface (ARMCI) -- Specification,False,https://api.github.com/repos/GlobalArrays/armci-specification,2017-07-11T19:51:55Z,2017-07-11T19:52:15Z,2017-07-11T19:52:14Z,,16,0,0,TeX,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,GlobalArrays,6491098,MDEyOk9yZ2FuaXphdGlvbjY0OTEwOTg=,Organization,public,False,,,,,,False,False,False,False,True,
96931424,MDEwOlJlcG9zaXRvcnk5NjkzMTQyNA==,ga-manual,GlobalArrays/ga-manual,False,https://github.com/GlobalArrays/ga-manual,Global Arrays User Manual,False,https://api.github.com/repos/GlobalArrays/ga-manual,2017-07-11T19:53:04Z,2024-07-30T12:35:26Z,2024-07-26T17:30:57Z,,445,2,2,TeX,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,2,master,GlobalArrays,6491098,MDEyOk9yZ2FuaXphdGlvbjY0OTEwOTg=,Organization,public,False,,,,,,False,False,False,False,True,
96931564,MDEwOlJlcG9zaXRvcnk5NjkzMTU2NA==,ga-tutorial,GlobalArrays/ga-tutorial,False,https://github.com/GlobalArrays/ga-tutorial,Global Arrays Tutorial Code,False,https://api.github.com/repos/GlobalArrays/ga-tutorial,2017-07-11T19:54:11Z,2024-12-12T01:47:38Z,2017-07-11T19:54:18Z,,35,2,2,C,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,2,master,GlobalArrays,6491098,MDEyOk9yZ2FuaXphdGlvbjY0OTEwOTg=,Organization,public,False,,,,,,False,False,False,False,True,
113093084,MDEwOlJlcG9zaXRvcnkxMTMwOTMwODQ=,spack,GlobalArrays/spack,False,https://github.com/GlobalArrays/spack,"A flexible package manager that supports multiple versions, configurations, platforms, and compilers.",True,https://api.github.com/repos/GlobalArrays/spack,2017-12-04T20:45:57Z,2017-12-04T20:46:05Z,2017-12-04T19:36:13Z,https://spack.io,33856,0,0,Python,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,develop,GlobalArrays,6491098,MDEyOk9yZ2FuaXphdGlvbjY0OTEwOTg=,Organization,public,False,lgpl-2.1,GNU Lesser General Public License v2.1,LGPL-2.1,https://api.github.com/licenses/lgpl-2.1,MDc6TGljZW5zZTEx,False,False,False,False,True,
