id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
427729,MDEwOlJlcG9zaXRvcnk0Mjc3Mjk=,pillbox_docs,HHS/pillbox_docs,False,https://github.com/HHS/pillbox_docs,Pillbox at the National Library of Medicine,False,https://api.github.com/repos/HHS/pillbox_docs,2009-12-12T22:07:22Z,2024-05-10T05:06:45Z,2014-04-08T14:22:08Z,pillbox.nlm.nih.gov,5381,45,45,Ruby,True,True,True,True,False,False,15,,False,False,3,,True,False,False,[],public,15,3,45,master,HHS,1470878,MDEyOk9yZ2FuaXphdGlvbjE0NzA4Nzg=,Organization,public,False,False,False,False,False,True,,,,,
3701186,MDEwOlJlcG9zaXRvcnkzNzAxMTg2,healthdata.gov,HHS/healthdata.gov,False,https://github.com/HHS/healthdata.gov,,False,https://api.github.com/repos/HHS/healthdata.gov,2012-03-12T23:16:11Z,2020-12-09T04:51:17Z,2014-07-16T15:56:00Z,,12796,15,15,JavaScript,True,True,True,True,False,False,12,,False,False,5,,True,False,False,[],public,12,5,15,master,HHS,1470878,MDEyOk9yZ2FuaXphdGlvbjE0NzA4Nzg=,Organization,public,False,False,False,False,False,True,,,,,
5560972,MDEwOlJlcG9zaXRvcnk1NTYwOTcy,ckan,HHS/ckan,False,https://github.com/HHS/ckan,"CKAN is an open-source DMS (data management system) for powering data hubs and data portals. CKAN makes it easy to publish, share and use data. It powers the http://thedatahub.org/ and http://data.gov.uk/ among many other sites.",True,https://api.github.com/repos/HHS/ckan,2012-08-26T15:08:43Z,2021-04-15T20:42:11Z,2014-09-23T17:08:46Z,http://ckan.org/,56998,6,6,Python,False,True,True,False,False,False,3,,False,False,0,,True,False,False,[],public,3,0,6,master,HHS,1470878,MDEyOk9yZ2FuaXphdGlvbjE0NzA4Nzg=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
7041950,MDEwOlJlcG9zaXRvcnk3MDQxOTUw,voc-public,HHS/voc-public,False,https://github.com/HHS/voc-public,,False,https://api.github.com/repos/HHS/voc-public,2012-12-06T19:55:53Z,2018-01-26T15:18:49Z,2018-01-26T15:18:47Z,,0,2,2,,True,True,True,True,False,False,6,,False,False,0,,True,False,False,[],public,6,0,2,master,HHS,1470878,MDEyOk9yZ2FuaXphdGlvbjE0NzA4Nzg=,Organization,public,False,False,False,False,False,True,,,,,
7444376,MDEwOlJlcG9zaXRvcnk3NDQ0Mzc2,voc-admin,HHS/voc-admin,False,https://github.com/HHS/voc-admin,,False,https://api.github.com/repos/HHS/voc-admin,2013-01-04T17:35:10Z,2018-01-26T15:16:40Z,2018-01-26T15:16:39Z,,0,1,1,,True,True,True,True,False,False,6,,False,False,0,,True,False,False,[],public,6,0,1,master,HHS,1470878,MDEyOk9yZ2FuaXphdGlvbjE0NzA4Nzg=,Organization,public,False,False,False,False,False,True,,,,,
9894552,MDEwOlJlcG9zaXRvcnk5ODk0NTUy,syndication,HHS/syndication,False,https://github.com/HHS/syndication,This repos was managed by HHS/ASPA Digital,False,https://api.github.com/repos/HHS/syndication,2013-05-06T19:11:10Z,2024-11-08T14:54:33Z,2019-11-01T21:21:18Z,,79593,8,8,Groovy,True,True,True,True,False,False,8,,False,False,3,,True,False,False,[],public,8,3,8,master,HHS,1470878,MDEyOk9yZ2FuaXphdGlvbjE0NzA4Nzg=,Organization,public,False,False,False,False,False,True,,,,,
10336546,MDEwOlJlcG9zaXRvcnkxMDMzNjU0Ng==,ckanext-datajson,HHS/ckanext-datajson,False,https://github.com/HHS/ckanext-datajson,Custom CKAN extension for Healthdata.gov,False,https://api.github.com/repos/HHS/ckanext-datajson,2013-05-28T13:42:19Z,2024-03-12T12:37:35Z,2022-09-06T19:13:13Z,http://hub.healthdata.gov/data.json,872,19,19,Python,True,True,True,True,False,False,72,,False,False,7,,True,False,False,[],public,72,7,19,master,HHS,1470878,MDEyOk9yZ2FuaXphdGlvbjE0NzA4Nzg=,Organization,public,False,False,False,False,False,True,,,,,
15012265,MDEwOlJlcG9zaXRvcnkxNTAxMjI2NQ==,hhs.github.io,HHS/hhs.github.io,False,https://github.com/HHS/hhs.github.io,HHS Organization Page,False,https://api.github.com/repos/HHS/hhs.github.io,2013-12-07T20:19:55Z,2021-07-07T10:55:03Z,2014-08-04T17:55:51Z,,3499,4,4,CSS,True,True,True,True,True,False,4,,False,False,2,,True,False,False,[],public,4,2,4,master,HHS,1470878,MDEyOk9yZ2FuaXphdGlvbjE0NzA4Nzg=,Organization,public,False,False,False,False,False,True,,,,,
16514696,MDEwOlJlcG9zaXRvcnkxNjUxNDY5Ng==,pillbox,HHS/pillbox,False,https://github.com/HHS/pillbox,Pillbox for Developers homepage,False,https://api.github.com/repos/HHS/pillbox,2014-02-04T14:49:01Z,2023-08-17T22:32:14Z,2014-07-18T15:16:07Z,https://hhs.github.io/pillbox/,25277,3,3,CSS,True,True,True,True,True,False,7,,False,False,1,,True,False,False,[],public,7,1,3,gh-pages,HHS,1470878,MDEyOk9yZ2FuaXphdGlvbjE0NzA4Nzg=,Organization,public,False,False,False,False,False,True,,,,,
16514831,MDEwOlJlcG9zaXRvcnkxNjUxNDgzMQ==,pillbox-data-process,HHS/pillbox-data-process,False,https://github.com/HHS/pillbox-data-process,Pillbox for Developers data processing code,False,https://api.github.com/repos/HHS/pillbox-data-process,2014-02-04T14:53:01Z,2024-10-05T06:07:53Z,2024-03-05T23:08:32Z,https://hhs.github.io/pillbox/,9164,56,56,Python,True,True,True,True,False,False,16,,False,False,2,,True,False,False,[],public,16,2,56,master,HHS,1470878,MDEyOk9yZ2FuaXphdGlvbjE0NzA4Nzg=,Organization,public,False,False,False,False,False,True,,,,,
