id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull
10211907,MDEwOlJlcG9zaXRvcnkxMDIxMTkwNw==,Feedback,HistoryAtState/Feedback,False,https://github.com/HistoryAtState/Feedback,"Do you have feedback or requests for the Office of the Historian's website, datasets, or APIs? Use this feedback tracker to start the discussion. Click on the ""issues"" tab to start a discussion.",False,https://api.github.com/repos/HistoryAtState/Feedback,2013-05-22T04:43:01Z,2024-09-01T10:43:43Z,2014-06-10T12:43:10Z,http://history.state.gov/,132,2,2,,True,True,True,True,False,False,4,,False,False,2,,True,False,False,[],public,4,2,2,master,HistoryAtState,4379724,MDEyOk9yZ2FuaXphdGlvbjQzNzk3MjQ=,Organization,public,False,False,False,False,False,True
11208105,MDEwOlJlcG9zaXRvcnkxMTIwODEwNQ==,frus,HistoryAtState/frus,False,https://github.com/HistoryAtState/frus,Foreign Relations of the United States - TEI XML source files,False,https://api.github.com/repos/HistoryAtState/frus,2013-07-05T20:41:06Z,2024-12-17T14:09:01Z,2024-12-17T15:19:12Z,https://history.state.gov/historicaldocuments,13365003,36,36,XSLT,True,True,True,True,False,False,14,,False,False,54,,True,False,False,[],public,14,54,36,master,HistoryAtState,4379724,MDEyOk9yZ2FuaXphdGlvbjQzNzk3MjQ=,Organization,public,False,False,False,False,False,True
38976205,MDEwOlJlcG9zaXRvcnkzODk3NjIwNQ==,hsg-shell,HistoryAtState/hsg-shell,False,https://github.com/HistoryAtState/hsg-shell,Source code for the history.state.gov website,False,https://api.github.com/repos/HistoryAtState/hsg-shell,2015-07-12T20:07:49Z,2024-12-06T11:21:27Z,2024-12-18T22:07:57Z,https://history.state.gov,18481,9,9,XQuery,True,True,True,True,False,False,13,,False,False,59,,True,False,False,[],public,13,59,9,master,HistoryAtState,4379724,MDEyOk9yZ2FuaXphdGlvbjQzNzk3MjQ=,Organization,public,False,False,False,False,False,True
42958750,MDEwOlJlcG9zaXRvcnk0Mjk1ODc1MA==,pocom,HistoryAtState/pocom,False,https://github.com/HistoryAtState/pocom,Source data for Principal Officers & Chiefs of Mission,False,https://api.github.com/repos/HistoryAtState/pocom,2015-09-22T20:22:35Z,2024-05-13T21:37:25Z,2024-04-09T13:48:44Z,https://history.state.gov/departmenthistory/people/principals-chiefs,6244,6,6,XQuery,True,True,True,True,False,False,11,,False,False,6,,True,False,False,[],public,11,6,6,master,HistoryAtState,4379724,MDEyOk9yZ2FuaXphdGlvbjQzNzk3MjQ=,Organization,public,False,False,False,False,False,True
43322675,MDEwOlJlcG9zaXRvcnk0MzMyMjY3NQ==,travels,HistoryAtState/travels,False,https://github.com/HistoryAtState/travels,Source data for Foreign Travels of the President and Secretary of State,False,https://api.github.com/repos/HistoryAtState/travels,2015-09-28T19:38:03Z,2024-09-19T13:13:29Z,2024-09-19T13:19:31Z,https://history.state.gov/departmenthistory/travels,809,10,10,XQuery,True,True,True,True,False,False,8,,False,False,1,,True,False,False,[],public,8,1,10,master,HistoryAtState,4379724,MDEyOk9yZ2FuaXphdGlvbjQzNzk3MjQ=,Organization,public,False,False,False,False,False,True
43514827,MDEwOlJlcG9zaXRvcnk0MzUxNDgyNw==,visits,HistoryAtState/visits,False,https://github.com/HistoryAtState/visits,Source data for Visits by Foreign Leaders and Heads of State,False,https://api.github.com/repos/HistoryAtState/visits,2015-10-01T18:54:46Z,2024-11-16T00:30:39Z,2024-11-16T01:02:23Z,https://history.state.gov/departmenthistory/visits,477,8,8,Shell,True,True,True,True,False,False,7,,False,False,0,,True,False,False,[],public,7,0,8,master,HistoryAtState,4379724,MDEyOk9yZ2FuaXphdGlvbjQzNzk3MjQ=,Organization,public,False,False,False,False,False,True
43560507,MDEwOlJlcG9zaXRvcnk0MzU2MDUwNw==,hsg-project,HistoryAtState/hsg-project,False,https://github.com/HistoryAtState/hsg-project,"Get, build, and deploy hsg3",False,https://api.github.com/repos/HistoryAtState/hsg-project,2015-10-02T15:28:00Z,2024-12-06T13:54:01Z,2024-12-06T13:53:56Z,,686,15,15,XQuery,True,True,True,True,False,False,12,,False,False,7,,True,False,False,[],public,12,7,15,master,HistoryAtState,4379724,MDEyOk9yZ2FuaXphdGlvbjQzNzk3MjQ=,Organization,public,False,False,False,False,False,True
43621342,MDEwOlJlcG9zaXRvcnk0MzYyMTM0Mg==,rdcr,HistoryAtState/rdcr,False,https://github.com/HistoryAtState/rdcr,"Source data for A Guide to the United States' History of Recognition, Diplomatic, and Consular Relations, by Country, since 1776",False,https://api.github.com/repos/HistoryAtState/rdcr,2015-10-04T01:41:46Z,2024-12-17T20:20:32Z,2024-12-17T20:22:05Z,https://history.state.gov/countries,908,4,4,XQuery,True,True,True,True,False,False,9,,False,False,1,,True,False,False,[],public,9,1,4,master,HistoryAtState,4379724,MDEyOk9yZ2FuaXphdGlvbjQzNzk3MjQ=,Organization,public,False,False,False,False,False,True
44404126,MDEwOlJlcG9zaXRvcnk0NDQwNDEyNg==,wwdai,HistoryAtState/wwdai,False,https://github.com/HistoryAtState/wwdai,Source data for World Wide Diplomatic Archives Index,False,https://api.github.com/repos/HistoryAtState/wwdai,2015-10-16T18:39:51Z,2024-05-02T20:47:00Z,2024-05-02T20:48:35Z,https://history.state.gov/countries/archives,161,1,1,Shell,True,True,True,True,False,False,6,,False,False,1,,True,False,False,[],public,6,1,1,master,HistoryAtState,4379724,MDEyOk9yZ2FuaXphdGlvbjQzNzk3MjQ=,Organization,public,False,False,False,False,False,True
44559274,MDEwOlJlcG9zaXRvcnk0NDU1OTI3NA==,milestones,HistoryAtState/milestones,False,https://github.com/HistoryAtState/milestones,Source data for Milestones in the History of U.S. Foreign Relations,False,https://api.github.com/repos/HistoryAtState/milestones,2015-10-19T19:43:26Z,2023-04-10T20:08:12Z,2024-04-07T22:50:03Z,https://history.state.gov/milestones,630,3,3,XQuery,True,True,True,True,False,False,7,,False,False,0,,True,False,False,[],public,7,0,3,master,HistoryAtState,4379724,MDEyOk9yZ2FuaXphdGlvbjQzNzk3MjQ=,Organization,public,False,False,False,False,False,True
