id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull
95927227,MDEwOlJlcG9zaXRvcnk5NTkyNzIyNw==,CIACS,IdahoLabResearch/CIACS,False,https://github.com/IdahoLabResearch/CIACS,,False,https://api.github.com/repos/IdahoLabResearch/CIACS,2017-06-30T22:06:39Z,2022-05-24T08:42:26Z,2017-06-30T22:07:54Z,,2740,1,1,LabVIEW,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,1,master,IdahoLabResearch,25393811,MDEyOk9yZ2FuaXphdGlvbjI1MzkzODEx,Organization,public,False,mpl-2.0,Mozilla Public License 2.0,MPL-2.0,https://api.github.com/licenses/mpl-2.0,MDc6TGljZW5zZTE0,False,False,False,False,True
137372699,MDEwOlJlcG9zaXRvcnkxMzczNzI2OTk=,DREEM,IdahoLabResearch/DREEM,False,https://github.com/IdahoLabResearch/DREEM,"A System Dynamics Model for Assessing  Dynamic Rare Earth Production, Demand and U.S. Wind Energy Demand",False,https://api.github.com/repos/IdahoLabResearch/DREEM,2018-06-14T14:56:58Z,2023-06-22T18:30:39Z,2018-06-14T14:59:26Z,,4970,2,2,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,2,master,IdahoLabResearch,25393811,MDEyOk9yZ2FuaXphdGlvbjI1MzkzODEx,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True
181977899,MDEwOlJlcG9zaXRvcnkxODE5Nzc4OTk=,WOODCOM,IdahoLabResearch/WOODCOM,False,https://github.com/IdahoLabResearch/WOODCOM,Woody Biomass Companion Markets Model ,False,https://api.github.com/repos/IdahoLabResearch/WOODCOM,2019-04-17T22:35:03Z,2023-06-22T18:29:24Z,2019-04-18T19:07:55Z,,738,1,1,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,IdahoLabResearch,25393811,MDEyOk9yZ2FuaXphdGlvbjI1MzkzODEx,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True
313776620,MDEwOlJlcG9zaXRvcnkzMTM3NzY2MjA=,TAPsolver,IdahoLabResearch/TAPsolver,False,https://github.com/IdahoLabResearch/TAPsolver,"TAPsolver is a python package, which automates TAP simulation and analysis routines. TAPsolver is built around the python packages FEniCS and Dolfin-Adjoint, which help take advantage of model adjoints to provide automatic derivatives. TAPsolver is flexible, with reaction mechanisms and rate constants that can be set through input files that allow users to take advantage of the different functionalities, which include sensitivity analyses, parameter optimization and uncertainty quantification.",False,https://api.github.com/repos/IdahoLabResearch/TAPsolver,2020-11-18T00:15:32Z,2020-11-18T00:29:43Z,2020-11-18T00:29:42Z,,9,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,IdahoLabResearch,25393811,MDEyOk9yZ2FuaXphdGlvbjI1MzkzODEx,Organization,public,False,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=,False,False,False,False,True
341324587,MDEwOlJlcG9zaXRvcnkzNDEzMjQ1ODc=,HEA_Code,IdahoLabResearch/HEA_Code,False,https://github.com/IdahoLabResearch/HEA_Code,This code describes the process to estimate material properties using elemental properties and machine learning.,False,https://api.github.com/repos/IdahoLabResearch/HEA_Code,2021-02-22T20:13:14Z,2021-08-16T22:20:28Z,2021-08-16T22:20:26Z,,10,0,0,,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,main,IdahoLabResearch,25393811,MDEyOk9yZ2FuaXphdGlvbjI1MzkzODEx,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True
370397029,MDEwOlJlcG9zaXRvcnkzNzAzOTcwMjk=,CoCuNi,IdahoLabResearch/CoCuNi,False,https://github.com/IdahoLabResearch/CoCuNi,,False,https://api.github.com/repos/IdahoLabResearch/CoCuNi,2021-05-24T15:19:34Z,2021-05-24T16:57:46Z,2021-05-24T16:57:43Z,,835,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,IdahoLabResearch,25393811,MDEyOk9yZ2FuaXphdGlvbjI1MzkzODEx,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True
376141974,MDEwOlJlcG9zaXRvcnkzNzYxNDE5NzQ=,MFSCO,IdahoLabResearch/MFSCO,False,https://github.com/IdahoLabResearch/MFSCO,"This Multi-feedstock Supply Chain Optimization (MFSCO) tool can be used to determine a least-cost feedstock mix from crop residue, energy crop and MSW to meet conversion specifications, while also identifying appropriate depot locations and size, given that depot can be co-located with the biorefinery or can be located in any counties in the biofinery’s supply shed.",False,https://api.github.com/repos/IdahoLabResearch/MFSCO,2021-06-11T21:04:17Z,2023-06-22T18:04:55Z,2021-08-11T17:46:31Z,,1938,1,1,C,True,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,1,main,IdahoLabResearch,25393811,MDEyOk9yZ2FuaXphdGlvbjI1MzkzODEx,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True
381415221,MDEwOlJlcG9zaXRvcnkzODE0MTUyMjE=,LISA,IdahoLabResearch/LISA,False,https://github.com/IdahoLabResearch/LISA,This model was developed to assess the viability of US Lithium supply from geothermal brine and the potential supply chain impact of extracting Lithium from this source. This model links global demand and supply of lithium (Li) considering different electric vehicle (EV) demand scenarios. We seek to answer the following questions: • What is the economic potential of Li extraction from US geothermal sources? • Is geothermal Li extraction technology a viable investment in the US? • What is the potential supply chain impact of Li supply from US geothermal sources?,False,https://api.github.com/repos/IdahoLabResearch/LISA,2021-06-29T15:35:42Z,2023-06-22T18:07:16Z,2021-07-10T16:30:48Z,,103,1,1,Roff,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,main,IdahoLabResearch,25393811,MDEyOk9yZ2FuaXphdGlvbjI1MzkzODEx,Organization,public,False,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=,False,False,False,False,True
393443173,MDEwOlJlcG9zaXRvcnkzOTM0NDMxNzM=,PowDDeR-Python,IdahoLabResearch/PowDDeR-Python,False,https://github.com/IdahoLabResearch/PowDDeR-Python,"The number of power outages have been on the rise as extreme weather patterns have been occurring more frequently due to climate change. These outages have an economic impact in the billions of dollar. The modernization of the power grid and adoption of high penetration of distributed generation such as wind and solar have the potential to reduce the number and length of time of these power outages. However, planners and operators need a way to value the resilience the distributed assets provide to the grid. PowDDeR is a tool that allows them to evaluate the resilience each asset provides as well as how they provide resilience over the connected network.",False,https://api.github.com/repos/IdahoLabResearch/PowDDeR-Python,2021-08-06T16:55:52Z,2024-07-05T02:24:30Z,2021-08-30T15:46:59Z,,52,5,5,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,5,main,IdahoLabResearch,25393811,MDEyOk9yZ2FuaXphdGlvbjI1MzkzODEx,Organization,public,False,gpl-2.0,GNU General Public License v2.0,GPL-2.0,https://api.github.com/licenses/gpl-2.0,MDc6TGljZW5zZTg=,False,False,False,False,True
393498994,MDEwOlJlcG9zaXRvcnkzOTM0OTg5OTQ=,PyEmission,IdahoLabResearch/PyEmission,False,https://github.com/IdahoLabResearch/PyEmission,"PyEmission is a Python library for estimation of vehicular emissions and fuel consumption. This tool covers a wide range of light duty motor vehicles including passenger car, SUV, passenger truck, and light commercial truck. The tool only takes second-by-second driving cycle and vehicle characteristics data as inputs and generate results of vehicular emissions (CO2, CO, NOx, and HC) and fuel consumption.",False,https://api.github.com/repos/IdahoLabResearch/PyEmission,2021-08-06T20:46:11Z,2024-03-18T19:23:07Z,2022-08-13T21:01:21Z,,534,5,5,Python,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,5,main,IdahoLabResearch,25393811,MDEyOk9yZ2FuaXphdGlvbjI1MzkzODEx,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True
