id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
20114074,MDEwOlJlcG9zaXRvcnkyMDExNDA3NA==,RCMIP5,JGCRI/RCMIP5,False,https://github.com/JGCRI/RCMIP5,R scripts for processing CMIP5 data,False,https://api.github.com/repos/JGCRI/RCMIP5,2014-05-23T21:07:42Z,2023-01-03T18:55:12Z,2018-03-21T10:25:38Z,,177189,32,32,R,True,True,True,True,False,False,10,,False,False,17,True,False,False,[],public,10,17,32,master,JGCRI,8431983,MDEyOk9yZ2FuaXphdGlvbjg0MzE5ODM=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
22892935,MDEwOlJlcG9zaXRvcnkyMjg5MjkzNQ==,hector,JGCRI/hector,False,https://github.com/JGCRI/hector,The Hector Simple Climate Model,False,https://api.github.com/repos/JGCRI/hector,2014-08-12T21:20:53Z,2024-12-10T17:03:33Z,2024-12-04T18:36:38Z,http://jgcri.github.io/hector/,67343,114,114,C++,True,True,True,False,True,False,47,,False,False,50,True,False,False,"['climate', 'climate-change', 'climate-model', 'hector', 'science']",public,47,50,114,main,JGCRI,8431983,MDEyOk9yZ2FuaXphdGlvbjg0MzE5ODM=,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
23433033,MDEwOlJlcG9zaXRvcnkyMzQzMzAzMw==,HESfire_model,JGCRI/HESfire_model,False,https://github.com/JGCRI/HESfire_model,,True,https://api.github.com/repos/JGCRI/HESfire_model,2014-08-28T15:26:23Z,2014-08-20T18:23:25Z,2014-08-23T16:59:47Z,,356,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,JGCRI,8431983,MDEyOk9yZ2FuaXphdGlvbjg0MzE5ODM=,Organization,public,False,,,,,,False,False,False,False,True,
27547433,MDEwOlJlcG9zaXRvcnkyNzU0NzQzMw==,cassandra,JGCRI/cassandra,False,https://github.com/JGCRI/cassandra,Human-earth system multi-scale model coupling framework,False,https://api.github.com/repos/JGCRI/cassandra,2014-12-04T15:48:06Z,2024-11-05T09:43:20Z,2020-06-12T20:03:37Z,,6745,6,6,Python,True,True,True,True,False,False,3,,False,False,18,True,False,False,"['climate', 'coupled-human-natural-systems', 'human-earth-system', 'model-coupling']",public,3,18,6,master,JGCRI,8431983,MDEyOk9yZ2FuaXphdGlvbjg0MzE5ODM=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
34920387,MDEwOlJlcG9zaXRvcnkzNDkyMDM4Nw==,GCAMLU,JGCRI/GCAMLU,False,https://github.com/JGCRI/GCAMLU,Downscaling of GCAM's landuse from Region/AEZ scale to a grid.,False,https://api.github.com/repos/JGCRI/GCAMLU,2015-05-01T19:37:40Z,2024-09-09T02:06:32Z,2016-11-16T09:17:52Z,,37814,3,3,Python,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,3,master,JGCRI,8431983,MDEyOk9yZ2FuaXphdGlvbjg0MzE5ODM=,Organization,public,False,,,,,,False,False,False,False,True,
42535956,MDEwOlJlcG9zaXRvcnk0MjUzNTk1Ng==,JGCRIutils,JGCRI/JGCRIutils,False,https://github.com/JGCRI/JGCRIutils,Common utilities for JGCRI work,False,https://api.github.com/repos/JGCRI/JGCRIutils,2015-09-15T17:43:28Z,2015-09-17T12:56:01Z,2015-09-17T12:50:38Z,,294,1,1,R,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,1,master,JGCRI,8431983,MDEyOk9yZ2FuaXphdGlvbjg0MzE5ODM=,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
45069511,MDEwOlJlcG9zaXRvcnk0NTA2OTUxMQ==,LAMP-SummaryStats,JGCRI/LAMP-SummaryStats,False,https://github.com/JGCRI/LAMP-SummaryStats,Creating summary statistics of CMIP5 temperature and runoff,False,https://api.github.com/repos/JGCRI/LAMP-SummaryStats,2015-10-27T20:56:38Z,2020-11-05T20:08:42Z,2015-11-12T22:45:26Z,,1160,0,0,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,JGCRI,8431983,MDEyOk9yZ2FuaXphdGlvbjg0MzE5ODM=,Organization,public,False,,,,,,False,False,False,False,True,
50672978,MDEwOlJlcG9zaXRvcnk1MDY3Mjk3OA==,gcam-core,JGCRI/gcam-core,False,https://github.com/JGCRI/gcam-core,GCAM -- The Global Change Analysis Model,False,https://api.github.com/repos/JGCRI/gcam-core,2016-01-29T15:57:28Z,2024-12-18T09:30:54Z,2024-10-23T20:19:25Z,http://jgcri.github.io/gcam-doc/,1394130,302,302,R,True,True,True,False,False,True,173,,False,False,202,True,False,False,"['climate', 'coupled-human-natural-systems', 'economics', 'energy', 'gcam', 'human-earth-system', 'integrated-assessment', 'land', 'water']",public,173,202,302,master,JGCRI,8431983,MDEyOk9yZ2FuaXphdGlvbjg0MzE5ODM=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
59048576,MDEwOlJlcG9zaXRvcnk1OTA0ODU3Ng==,gcam-doc,JGCRI/gcam-doc,False,https://github.com/JGCRI/gcam-doc,Documentation for the GCAM model,False,https://api.github.com/repos/JGCRI/gcam-doc,2016-05-17T18:31:44Z,2024-12-16T16:06:27Z,2024-12-16T16:06:24Z,http://jgcri.github.io/gcam-doc/,100185,31,31,CSS,True,True,True,True,True,False,14,,False,False,35,True,False,False,[],public,14,35,31,gh-pages,JGCRI,8431983,MDEyOk9yZ2FuaXphdGlvbjg0MzE5ODM=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
68618599,MDEwOlJlcG9zaXRvcnk2ODYxODU5OQ==,CMIP5_patterns,JGCRI/CMIP5_patterns,False,https://github.com/JGCRI/CMIP5_patterns,,False,https://api.github.com/repos/JGCRI/CMIP5_patterns,2016-09-19T15:22:54Z,2024-05-17T18:13:18Z,2017-05-09T14:04:57Z,,444652,9,9,NCL,True,True,True,True,True,False,5,,False,False,0,True,False,False,[],public,5,0,9,master,JGCRI,8431983,MDEyOk9yZ2FuaXphdGlvbjg0MzE5ODM=,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
