id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
107606111,MDEwOlJlcG9zaXRvcnkxMDc2MDYxMTE=,COSMIC,JPLMLIA/COSMIC,False,https://github.com/JPLMLIA/COSMIC,Content-based Onboard Summarization to Monitor Infrequent Change,False,https://api.github.com/repos/JPLMLIA/COSMIC,2017-10-19T22:42:36Z,2017-10-19T22:42:36Z,2017-10-19T22:42:38Z,,14,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,JPLMLIA,32943695,MDEyOk9yZ2FuaXphdGlvbjMyOTQzNjk1,Organization,public,False,agpl-3.0,GNU Affero General Public License v3.0,AGPL-3.0,https://api.github.com/licenses/agpl-3.0,MDc6TGljZW5zZTE=,False,False,False,False,True,
107606461,MDEwOlJlcG9zaXRvcnkxMDc2MDY0NjE=,Barefoot_Rover,JPLMLIA/Barefoot_Rover,False,https://github.com/JPLMLIA/Barefoot_Rover,Software developed for the Barefoot Rover research program at NASA-JPL. More information about this project is available here: https://ml.jpl.nasa.gov/projects/barefoot/barefoot.html,False,https://api.github.com/repos/JPLMLIA/Barefoot_Rover,2017-10-19T22:47:52Z,2023-06-25T18:22:50Z,2021-07-16T20:56:31Z,,395439,3,3,C++,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,3,master,JPLMLIA,32943695,MDEyOk9yZ2FuaXphdGlvbjMyOTQzNjk1,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
225980461,MDEwOlJlcG9zaXRvcnkyMjU5ODA0NjE=,NEAScout-Science,JPLMLIA/NEAScout-Science,False,https://github.com/JPLMLIA/NEAScout-Science,Onboard science commands created for the Near Earth Asteroid Scout (NEAScout) CubeSat Space Mission,False,https://api.github.com/repos/JPLMLIA/NEAScout-Science,2019-12-05T00:10:09Z,2023-05-15T21:12:26Z,2023-02-07T18:07:07Z,,40508,0,0,C++,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,JPLMLIA,32943695,MDEyOk9yZ2FuaXphdGlvbjMyOTQzNjk1,Organization,public,False,,,,,,False,False,False,False,True,
230013311,MDEwOlJlcG9zaXRvcnkyMzAwMTMzMTE=,pdsc,JPLMLIA/pdsc,False,https://github.com/JPLMLIA/pdsc,Planetary Data System Coincidences,False,https://api.github.com/repos/JPLMLIA/pdsc,2019-12-24T23:21:05Z,2023-04-03T11:46:11Z,2023-06-15T03:50:42Z,https://jplmlia.github.io/pdsc/,6922,3,3,Python,True,True,True,True,True,False,2,,False,False,11,True,False,False,[],public,2,11,3,master,JPLMLIA,32943695,MDEyOk9yZ2FuaXphdGlvbjMyOTQzNjk1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
251616657,MDEwOlJlcG9zaXRvcnkyNTE2MTY2NTc=,mastcam-noveltydet,JPLMLIA/mastcam-noveltydet,False,https://github.com/JPLMLIA/mastcam-noveltydet,Methods for novelty detection in Mastcam multispectral images of the Mars surface,False,https://api.github.com/repos/JPLMLIA/mastcam-noveltydet,2020-03-31T13:50:15Z,2023-03-14T08:15:02Z,2020-03-31T13:58:12Z,,1937,5,5,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,5,master,JPLMLIA,32943695,MDEyOk9yZ2FuaXphdGlvbjMyOTQzNjk1,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
257392125,MDEwOlJlcG9zaXRvcnkyNTczOTIxMjU=,MLIB,JPLMLIA/MLIB,False,https://github.com/JPLMLIA/MLIB,,False,https://api.github.com/repos/JPLMLIA/MLIB,2020-04-20T20:09:50Z,2020-04-20T23:49:14Z,2022-12-08T01:52:16Z,,22769,0,0,Python,True,True,True,True,False,False,0,,False,False,7,True,False,False,[],public,0,7,0,master,JPLMLIA,32943695,MDEyOk9yZ2FuaXphdGlvbjMyOTQzNjk1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
282633169,MDEwOlJlcG9zaXRvcnkyODI2MzMxNjk=,CAPS-ELS-Transition-Detection,JPLMLIA/CAPS-ELS-Transition-Detection,False,https://github.com/JPLMLIA/CAPS-ELS-Transition-Detection,Time-series methods for detecting magnetic field transitions in CAPS ELS data.,False,https://api.github.com/repos/JPLMLIA/CAPS-ELS-Transition-Detection,2020-07-26T11:12:45Z,2021-04-11T11:19:18Z,2020-10-26T05:31:35Z,,137,2,2,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,2,master,JPLMLIA,32943695,MDEyOk9yZ2FuaXphdGlvbjMyOTQzNjk1,Organization,public,False,,,,,,False,False,False,False,True,
307519520,MDEwOlJlcG9zaXRvcnkzMDc1MTk1MjA=,OWLS-Autonomy,JPLMLIA/OWLS-Autonomy,False,https://github.com/JPLMLIA/OWLS-Autonomy,Autonomy tools to support life detection aboard the Ocean Worlds Life Surveyor (OWLS) instrument suite.,False,https://api.github.com/repos/JPLMLIA/OWLS-Autonomy,2020-10-26T22:23:36Z,2024-11-25T21:44:01Z,2024-06-30T22:45:36Z,,283564,4,4,Python,True,True,True,True,False,False,1,,False,False,1,True,False,False,[],public,1,1,4,master,JPLMLIA,32943695,MDEyOk9yZ2FuaXphdGlvbjMyOTQzNjk1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
336058422,MDEwOlJlcG9zaXRvcnkzMzYwNTg0MjI=,bitflips,JPLMLIA/bitflips,False,https://github.com/JPLMLIA/bitflips,BITFLIPS: Basic Instrumentation Tool for Fault Localized Injection of Probabilistic SEUs,False,https://api.github.com/repos/JPLMLIA/bitflips,2021-02-04T19:18:21Z,2024-08-16T03:06:49Z,2021-02-08T19:51:09Z,,54,2,2,C,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,2,master,JPLMLIA,32943695,MDEyOk9yZ2FuaXphdGlvbjMyOTQzNjk1,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
336418397,MDEwOlJlcG9zaXRvcnkzMzY0MTgzOTc=,libeos,JPLMLIA/libeos,False,https://github.com/JPLMLIA/libeos,Library for Europa Onboard Science Algorithms,False,https://api.github.com/repos/JPLMLIA/libeos,2021-02-06T00:04:19Z,2021-09-02T03:56:14Z,2021-09-02T03:56:11Z,,14732,0,0,C,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,JPLMLIA,32943695,MDEyOk9yZ2FuaXphdGlvbjMyOTQzNjk1,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
