id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
43715657,MDEwOlJlcG9zaXRvcnk0MzcxNTY1Nw==,loadshape,LBNL-ETA/loadshape,False,https://github.com/LBNL-ETA/loadshape,A Python module containing tools for analyzing electric load shapes,False,https://api.github.com/repos/LBNL-ETA/loadshape,2015-10-05T21:47:35Z,2024-01-24T18:34:36Z,2015-11-13T00:01:39Z,,1516,17,17,Python,True,True,True,False,False,False,12,,False,False,3,True,False,False,[],public,12,3,17,master,LBNL-ETA,14825882,MDEyOk9yZ2FuaXphdGlvbjE0ODI1ODgy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
54597431,MDEwOlJlcG9zaXRvcnk1NDU5NzQzMQ==,Windows-CalcEngine,LBNL-ETA/Windows-CalcEngine,False,https://github.com/LBNL-ETA/Windows-CalcEngine,Thermal and optical routines for modeling properties of window and shading systems,False,https://api.github.com/repos/LBNL-ETA/Windows-CalcEngine,2016-03-23T22:31:42Z,2024-12-03T18:02:13Z,2024-12-05T21:02:52Z,,5789,4,4,C++,True,True,True,True,False,False,2,,False,False,37,True,False,False,[],public,2,37,4,main,LBNL-ETA,14825882,MDEyOk9yZ2FuaXphdGlvbjE0ODI1ODgy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
75671496,MDEwOlJlcG9zaXRvcnk3NTY3MTQ5Ng==,LPDM-Drivers,LBNL-ETA/LPDM-Drivers,False,https://github.com/LBNL-ETA/LPDM-Drivers,Hardware drivers for the LPDM energy management system,False,https://api.github.com/repos/LBNL-ETA/LPDM-Drivers,2016-12-05T22:20:47Z,2018-12-11T23:09:41Z,2018-03-29T20:18:08Z,,63,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,LBNL-ETA,14825882,MDEyOk9yZ2FuaXphdGlvbjE0ODI1ODgy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
75673824,MDEwOlJlcG9zaXRvcnk3NTY3MzgyNA==,LPDM,LBNL-ETA/LPDM,False,https://github.com/LBNL-ETA/LPDM,Local Power Distribution Manager (LPDM),False,https://api.github.com/repos/LBNL-ETA/LPDM,2016-12-05T22:57:11Z,2024-09-25T21:47:31Z,2024-09-25T21:47:27Z,,3853,5,5,Python,True,True,True,True,False,False,1,,False,False,7,True,False,False,[],public,1,7,5,CBERD,LBNL-ETA,14825882,MDEyOk9yZ2FuaXphdGlvbjE0ODI1ODgy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
76280767,MDEwOlJlcG9zaXRvcnk3NjI4MDc2Nw==,CyDER,LBNL-ETA/CyDER,False,https://github.com/LBNL-ETA/CyDER,# CyDER,False,https://api.github.com/repos/LBNL-ETA/CyDER,2016-12-12T17:45:39Z,2023-08-08T08:41:10Z,2018-11-02T18:12:45Z,,129139,12,12,Python,True,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,12,master,LBNL-ETA,14825882,MDEyOk9yZ2FuaXphdGlvbjE0ODI1ODgy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
84492936,MDEwOlJlcG9zaXRvcnk4NDQ5MjkzNg==,LPDM-Volttron,LBNL-ETA/LPDM-Volttron,False,https://github.com/LBNL-ETA/LPDM-Volttron,LPDM interfaces to run in the VOLTTRON agent environment,False,https://api.github.com/repos/LBNL-ETA/LPDM-Volttron,2017-03-09T22:05:19Z,2018-12-11T20:55:52Z,2018-12-11T20:54:32Z,,9914,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,volttron_dev,LBNL-ETA,14825882,MDEyOk9yZ2FuaXphdGlvbjE0ODI1ODgy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
89032195,MDEwOlJlcG9zaXRvcnk4OTAzMjE5NQ==,SimulatorToFMU,LBNL-ETA/SimulatorToFMU,False,https://github.com/LBNL-ETA/SimulatorToFMU,,False,https://api.github.com/repos/LBNL-ETA/SimulatorToFMU,2017-04-21T23:52:21Z,2024-09-01T14:57:31Z,2022-12-23T12:28:36Z,,181787,42,42,Python,True,True,True,True,False,False,10,,False,False,14,True,False,False,[],public,10,14,42,master,LBNL-ETA,14825882,MDEyOk9yZ2FuaXphdGlvbjE0ODI1ODgy,Organization,public,False,,,,,,False,False,False,False,True,
110508552,MDEwOlJlcG9zaXRvcnkxMTA1MDg1NTI=,RMV2.0,LBNL-ETA/RMV2.0,False,https://github.com/LBNL-ETA/RMV2.0,RMV2.0 is an open-source R package for performing advanced measurement and verification 2.0 (M&V 2.0),False,https://api.github.com/repos/LBNL-ETA/RMV2.0,2017-11-13T06:24:40Z,2024-08-11T15:56:43Z,2021-01-26T23:33:04Z,https://lbnl-eta.github.io/RMV2.0/,23254,32,32,HTML,True,True,True,True,True,False,13,,False,False,10,True,False,False,[],public,13,10,32,master,LBNL-ETA,14825882,MDEyOk9yZ2FuaXphdGlvbjE0ODI1ODgy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
122663736,MDEwOlJlcG9zaXRvcnkxMjI2NjM3MzY=,SolarPlus-Optimizer,LBNL-ETA/SolarPlus-Optimizer,False,https://github.com/LBNL-ETA/SolarPlus-Optimizer,This repository is for the development of the Solar+ Optimization software.,False,https://api.github.com/repos/LBNL-ETA/SolarPlus-Optimizer,2018-02-23T19:26:59Z,2024-11-01T07:44:08Z,2022-10-24T22:00:37Z,,16603,6,6,Jupyter Notebook,True,True,True,True,False,False,2,,False,False,17,True,False,False,[],public,2,17,6,main,LBNL-ETA,14825882,MDEyOk9yZ2FuaXphdGlvbjE0ODI1ODgy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
131924671,MDEwOlJlcG9zaXRvcnkxMzE5MjQ2NzE=,fmi-for-power-system,LBNL-ETA/fmi-for-power-system,False,https://github.com/LBNL-ETA/fmi-for-power-system,FMI for Power System,False,https://api.github.com/repos/LBNL-ETA/fmi-for-power-system,2018-05-03T01:25:25Z,2023-04-05T17:09:42Z,2019-09-06T17:01:57Z,,112061,8,8,Jupyter Notebook,True,True,True,True,False,False,4,,False,False,3,True,False,False,[],public,4,3,8,master,LBNL-ETA,14825882,MDEyOk9yZ2FuaXphdGlvbjE0ODI1ODgy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
142367378,MDEwOlJlcG9zaXRvcnkxNDIzNjczNzg=,nre,LBNL-ETA/nre,False,https://github.com/LBNL-ETA/nre,Non-Routine Event (NRE) detection and adjustment tool,False,https://api.github.com/repos/LBNL-ETA/nre,2018-07-26T00:25:47Z,2023-10-27T07:09:52Z,2020-02-26T02:09:00Z,,3371,11,11,R,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,11,master,LBNL-ETA,14825882,MDEyOk9yZ2FuaXphdGlvbjE0ODI1ODgy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
