id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
25605743,MDEwOlJlcG9zaXRvcnkyNTYwNTc0Mw==,lforms,LHNCBC/lforms,False,https://github.com/LHNCBC/lforms,"See the project website at http://lhncbc.github.io/lforms/, or view the demo website at https://lhcforms.nlm.nih.gov/lhcforms.",False,https://api.github.com/repos/LHNCBC/lforms,2014-10-22T21:39:35Z,2024-12-16T16:50:26Z,2024-12-16T16:50:21Z,,18274,108,108,JavaScript,True,True,True,True,True,False,56,,False,False,37,True,False,False,"['fhir', 'javascript']",public,56,37,108,master,LHNCBC,9272238,MDEyOk9yZ2FuaXphdGlvbjkyNzIyMzg=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
27149273,MDEwOlJlcG9zaXRvcnkyNzE0OTI3Mw==,autocomplete-lhc,LHNCBC/autocomplete-lhc,False,https://github.com/LHNCBC/autocomplete-lhc,An autocompleter package used by the PHR project and lforms widget,False,https://api.github.com/repos/LHNCBC/autocomplete-lhc,2014-11-25T22:31:37Z,2024-12-14T09:00:40Z,2024-11-19T20:10:32Z,,3926,18,18,JavaScript,True,True,True,True,True,False,4,,False,False,1,True,False,False,[],public,4,1,18,master,LHNCBC,9272238,MDEyOk9yZ2FuaXphdGlvbjkyNzIyMzg=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
38125584,MDEwOlJlcG9zaXRvcnkzODEyNTU4NA==,phr,LHNCBC/phr,False,https://github.com/LHNCBC/phr,Personal Health Record system,False,https://api.github.com/repos/LHNCBC/phr,2015-06-26T17:54:08Z,2024-05-08T11:13:55Z,2022-03-10T16:30:51Z,,27987,31,31,Ruby,True,True,True,True,True,False,12,,False,False,8,True,False,False,[],public,12,8,31,master,LHNCBC,9272238,MDEyOk9yZ2FuaXphdGlvbjkyNzIyMzg=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
46143574,MDEwOlJlcG9zaXRvcnk0NjE0MzU3NA==,lforms-converter,LHNCBC/lforms-converter,False,https://github.com/LHNCBC/lforms-converter,Converts NIH CDE forms into LForms definitions,False,https://api.github.com/repos/LHNCBC/lforms-converter,2015-11-13T19:46:24Z,2024-01-11T05:23:05Z,2019-02-01T18:51:25Z,,217,1,1,JavaScript,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,1,master,LHNCBC,9272238,MDEyOk9yZ2FuaXphdGlvbjkyNzIyMzg=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
56325746,MDEwOlJlcG9zaXRvcnk1NjMyNTc0Ng==,example-code,LHNCBC/example-code,False,https://github.com/LHNCBC/example-code,Shared code for use as examples,False,https://api.github.com/repos/LHNCBC/example-code,2016-04-15T14:21:46Z,2016-04-15T14:35:12Z,2016-04-15T14:37:36Z,,4,0,0,JavaScript,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,LHNCBC,9272238,MDEyOk9yZ2FuaXphdGlvbjkyNzIyMzg=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
57145984,MDEwOlJlcG9zaXRvcnk1NzE0NTk4NA==,ucum-lhc,LHNCBC/ucum-lhc,False,https://github.com/LHNCBC/ucum-lhc,LHC implementation of UCUM validation and conversion services,False,https://api.github.com/repos/LHNCBC/ucum-lhc,2016-04-26T16:52:14Z,2024-12-07T11:44:52Z,2024-12-06T18:35:11Z,,12893,54,54,JavaScript,True,True,True,True,True,False,14,,False,False,0,True,False,False,"['javascript', 'ucum', 'units-of-measure']",public,14,0,54,master,LHNCBC,9272238,MDEyOk9yZ2FuaXphdGlvbjkyNzIyMzg=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
67811828,MDEwOlJlcG9zaXRvcnk2NzgxMTgyOA==,r-snippets-bmi,LHNCBC/r-snippets-bmi,False,https://github.com/LHNCBC/r-snippets-bmi,,False,https://api.github.com/repos/LHNCBC/r-snippets-bmi,2016-09-09T15:47:27Z,2023-04-23T01:56:10Z,2022-08-12T14:54:46Z,,158833,6,6,HTML,True,True,True,True,True,False,5,,False,False,0,True,False,False,[],public,5,0,6,master,LHNCBC,9272238,MDEyOk9yZ2FuaXphdGlvbjkyNzIyMzg=,Organization,public,False,,,,,,False,False,False,False,True,
71272392,MDEwOlJlcG9zaXRvcnk3MTI3MjM5Mg==,lforms-validator,LHNCBC/lforms-validator,False,https://github.com/LHNCBC/lforms-validator,JSON Schema for validating form definition files for LHC-Forms (lforms).,False,https://api.github.com/repos/LHNCBC/lforms-validator,2016-10-18T17:14:22Z,2022-09-12T17:31:33Z,2022-09-14T20:26:55Z,,387,2,2,JavaScript,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,2,master,LHNCBC,9272238,MDEyOk9yZ2FuaXphdGlvbjkyNzIyMzg=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
80741257,MDEwOlJlcG9zaXRvcnk4MDc0MTI1Nw==,clin-table-search,LHNCBC/clin-table-search,False,https://github.com/LHNCBC/clin-table-search,For reporting issues with the Clinical Table Search Service,False,https://api.github.com/repos/LHNCBC/clin-table-search,2017-02-02T15:58:34Z,2024-05-09T13:50:16Z,2017-02-02T16:01:20Z,,0,3,3,,True,True,True,True,False,False,1,,False,False,1,True,False,False,"['fhir', 'terminology']",public,1,1,3,master,LHNCBC,9272238,MDEyOk9yZ2FuaXphdGlvbjkyNzIyMzg=,Organization,public,False,,,,,,False,False,False,False,True,
82819602,MDEwOlJlcG9zaXRvcnk4MjgxOTYwMg==,CDE,LHNCBC/CDE,False,https://github.com/LHNCBC/CDE,Common Data Elements (CDEs) are providing standard data elements for collecting research data,False,https://api.github.com/repos/LHNCBC/CDE,2017-02-22T15:21:55Z,2024-03-12T12:41:37Z,2021-07-12T21:38:37Z,,25061,6,6,HTML,True,True,True,True,True,False,3,,False,False,0,True,False,False,['medicine'],public,3,0,6,master,LHNCBC,9272238,MDEyOk9yZ2FuaXphdGlvbjkyNzIyMzg=,Organization,public,False,,,,,,False,False,False,False,True,
