id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
7803611,MDEwOlJlcG9zaXRvcnk3ODAzNjEx,mt3d-usgs,MODFLOW-USGS/mt3d-usgs,False,https://github.com/MODFLOW-USGS/mt3d-usgs,MT3D-USGS Repository,False,https://api.github.com/repos/MODFLOW-USGS/mt3d-usgs,2013-01-24T17:52:49Z,2024-10-28T22:47:58Z,2022-01-24T17:55:24Z,,56358,24,24,Fortran,True,True,True,True,False,False,12,,False,False,12,,True,False,False,"['groundwater-modelling', 'groundwater-remediation', 'modflow', 'solute-transport']",public,12,12,24,develop,MODFLOW-USGS,34482102,MDEyOk9yZ2FuaXphdGlvbjM0NDgyMTAy,Organization,public,False,False,False,False,False,True,,,,,
7803694,MDEwOlJlcG9zaXRvcnk3ODAzNjk0,mfusg,MODFLOW-USGS/mfusg,False,https://github.com/MODFLOW-USGS/mfusg,Public repository for MODFLOW-USG,False,https://api.github.com/repos/MODFLOW-USGS/mfusg,2013-01-24T17:58:38Z,2024-03-20T07:05:57Z,2022-09-06T16:14:07Z,https://water.usgs.gov/ogw/mfusg/,49685,7,7,BASIC,True,True,True,True,False,False,4,,False,False,7,,True,False,False,[],public,4,7,7,develop,MODFLOW-USGS,34482102,MDEyOk9yZ2FuaXphdGlvbjM0NDgyMTAy,Organization,public,False,False,False,False,False,True,,,,,
38306129,MDEwOlJlcG9zaXRvcnkzODMwNjEyOQ==,mf2005,MODFLOW-USGS/mf2005,False,https://github.com/MODFLOW-USGS/mf2005,MODFLOW-2005 development repository,False,https://api.github.com/repos/MODFLOW-USGS/mf2005,2015-06-30T11:46:05Z,2024-05-29T05:24:04Z,2022-08-05T21:30:16Z,,87996,7,7,BASIC,True,True,True,True,False,False,3,,False,False,13,,True,False,False,[],public,3,13,7,develop,MODFLOW-USGS,34482102,MDEyOk9yZ2FuaXphdGlvbjM0NDgyMTAy,Organization,public,False,False,False,False,False,True,,,,,
48376018,MDEwOlJlcG9zaXRvcnk0ODM3NjAxOA==,zonebudget,MODFLOW-USGS/zonebudget,False,https://github.com/MODFLOW-USGS/zonebudget,Contains zonebudget and zonebudgetusg,False,https://api.github.com/repos/MODFLOW-USGS/zonebudget,2015-12-21T14:27:15Z,2022-01-17T22:49:00Z,2016-03-16T20:17:23Z,,421,1,1,FORTRAN,True,True,True,True,False,False,0,,False,False,3,,True,False,False,[],public,0,3,1,develop,MODFLOW-USGS,34482102,MDEyOk9yZ2FuaXphdGlvbjM0NDgyMTAy,Organization,public,False,False,False,False,False,True,,,,,
114139697,MDEwOlJlcG9zaXRvcnkxMTQxMzk2OTc=,modflow6-largetestmodels,MODFLOW-USGS/modflow6-largetestmodels,False,https://github.com/MODFLOW-USGS/modflow6-largetestmodels,Large Tests for MODFLOW 6,False,https://api.github.com/repos/MODFLOW-USGS/modflow6-largetestmodels,2017-12-13T15:50:17Z,2024-11-13T13:43:58Z,2023-04-18T22:56:51Z,,101999,2,2,BASIC,True,True,True,True,False,False,5,,False,False,0,,True,False,False,[],public,5,0,2,master,MODFLOW-USGS,34482102,MDEyOk9yZ2FuaXphdGlvbjM0NDgyMTAy,Organization,public,False,False,False,False,False,True,,,,,
114806820,MDEwOlJlcG9zaXRvcnkxMTQ4MDY4MjA=,modpath-v7,MODFLOW-USGS/modpath-v7,False,https://github.com/MODFLOW-USGS/modpath-v7,"MODPATH version 7 -- Particle tracking for MODFLOW-2005, MODFLOW-USG, and MODFLOW-6",False,https://api.github.com/repos/MODFLOW-USGS/modpath-v7,2017-12-19T20:11:30Z,2023-10-08T12:18:06Z,2023-10-16T03:41:27Z,,18853,11,11,Fortran,True,True,True,True,False,False,5,,False,False,19,,True,False,False,[],public,5,19,11,develop,MODFLOW-USGS,34482102,MDEyOk9yZ2FuaXphdGlvbjM0NDgyMTAy,Organization,public,False,False,False,False,False,True,,,,,
114900606,MDEwOlJlcG9zaXRvcnkxMTQ5MDA2MDY=,modflow6-testmodels,MODFLOW-USGS/modflow6-testmodels,False,https://github.com/MODFLOW-USGS/modflow6-testmodels,MODFLOW 6 example problems,False,https://api.github.com/repos/MODFLOW-USGS/modflow6-testmodels,2017-12-20T15:07:33Z,2024-12-19T22:52:21Z,2024-12-19T22:52:10Z,,32275,7,7,FreeBASIC,True,True,True,True,False,False,14,,False,False,0,,True,False,False,[],public,14,0,7,master,MODFLOW-USGS,34482102,MDEyOk9yZ2FuaXphdGlvbjM0NDgyMTAy,Organization,public,False,False,False,False,False,True,,,,,
115732188,MDEwOlJlcG9zaXRvcnkxMTU3MzIxODg=,pumatools,MODFLOW-USGS/pumatools,False,https://github.com/MODFLOW-USGS/pumatools,Microsoft Windows .NET component libraries and applications for MODFLOW data pre- and post-processing.,False,https://api.github.com/repos/MODFLOW-USGS/pumatools,2017-12-29T15:15:48Z,2019-04-04T00:05:35Z,2018-01-06T00:51:21Z,,3861,1,1,C#,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,MODFLOW-USGS,34482102,MDEyOk9yZ2FuaXphdGlvbjM0NDgyMTAy,Organization,public,False,False,False,False,False,True,,,,,
116149490,MDEwOlJlcG9zaXRvcnkxMTYxNDk0OTA=,modflow6,MODFLOW-USGS/modflow6,False,https://github.com/MODFLOW-USGS/modflow6,USGS Modular Hydrologic Model,False,https://api.github.com/repos/MODFLOW-USGS/modflow6,2018-01-03T15:00:55Z,2024-12-20T01:43:11Z,2024-12-20T01:43:06Z,https://modflow6.readthedocs.io/,28766,258,258,Fortran,True,True,True,True,True,True,117,,False,False,45,,True,False,False,"['earth-science', 'groundwater', 'modflow']",public,117,45,258,develop,MODFLOW-USGS,34482102,MDEyOk9yZ2FuaXphdGlvbjM0NDgyMTAy,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
161840491,MDEwOlJlcG9zaXRvcnkxNjE4NDA0OTE=,executables,MODFLOW-USGS/executables,False,https://github.com/MODFLOW-USGS/executables,"MODFLOW and related program executables for Windows, Mac, and Linux",False,https://api.github.com/repos/MODFLOW-USGS/executables,2018-12-14T21:07:09Z,2024-12-17T11:33:34Z,2024-06-21T12:24:43Z,,49,43,43,Python,True,True,True,True,False,False,8,,False,False,2,,True,False,False,[],public,8,2,43,master,MODFLOW-USGS,34482102,MDEyOk9yZ2FuaXphdGlvbjM0NDgyMTAy,Organization,public,False,False,False,False,False,True,,,,,
