id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
2980040,MDEwOlJlcG9zaXRvcnkyOTgwMDQw,health-data-standards,MeasureAuthoringTool/health-data-standards,False,https://github.com/MeasureAuthoringTool/health-data-standards,,False,https://api.github.com/repos/MeasureAuthoringTool/health-data-standards,2011-12-14T13:26:30Z,2023-07-27T13:14:45Z,2021-05-17T20:59:02Z,https://rubygems.org/gems/health-data-standards,34646,94,94,Ruby,True,True,True,True,False,False,93,,True,False,31,True,False,False,[],public,93,31,94,master,MeasureAuthoringTool,55894823,MDEyOk9yZ2FuaXphdGlvbjU1ODk0ODIz,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
12958279,MDEwOlJlcG9zaXRvcnkxMjk1ODI3OQ==,bonnie,MeasureAuthoringTool/bonnie,False,https://github.com/MeasureAuthoringTool/bonnie,Clinical Quality Measure Testing Tool,False,https://api.github.com/repos/MeasureAuthoringTool/bonnie,2013-09-19T20:11:14Z,2024-06-28T14:22:55Z,2024-06-28T14:22:27Z,,217235,35,35,CoffeeScript,True,True,True,True,False,False,27,,True,False,0,True,False,False,[],public,27,0,35,master,MeasureAuthoringTool,55894823,MDEyOk9yZ2FuaXphdGlvbjU1ODk0ODIz,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
13953367,MDEwOlJlcG9zaXRvcnkxMzk1MzM2Nw==,bonnie_bundler,MeasureAuthoringTool/bonnie_bundler,False,https://github.com/MeasureAuthoringTool/bonnie_bundler,Gem to create and manage bonnie bundles,False,https://api.github.com/repos/MeasureAuthoringTool/bonnie_bundler,2013-10-29T10:56:36Z,2023-01-28T06:46:46Z,2021-09-03T14:14:50Z,,3908,0,0,Ruby,True,True,True,True,False,False,10,,True,False,3,True,False,False,[],public,10,3,0,master,MeasureAuthoringTool,55894823,MDEyOk9yZ2FuaXphdGlvbjU1ODk0ODIz,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
14151433,MDEwOlJlcG9zaXRvcnkxNDE1MTQzMw==,MeasureAuthoringTool_Release,MeasureAuthoringTool/MeasureAuthoringTool_Release,False,https://github.com/MeasureAuthoringTool/MeasureAuthoringTool_Release,A repo for latest release code for MAT. ,False,https://api.github.com/repos/MeasureAuthoringTool/MeasureAuthoringTool_Release,2013-11-05T19:23:35Z,2023-01-28T16:25:24Z,2019-12-10T17:13:12Z,,366931,7,7,JavaScript,True,True,True,True,False,False,9,,True,False,3,True,False,False,[],public,9,3,7,master,MeasureAuthoringTool,55894823,MDEyOk9yZ2FuaXphdGlvbjU1ODk0ODIz,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
14151459,MDEwOlJlcG9zaXRvcnkxNDE1MTQ1OQ==,MeasureAuthoringTool_LatestSprint,MeasureAuthoringTool/MeasureAuthoringTool_LatestSprint,False,https://github.com/MeasureAuthoringTool/MeasureAuthoringTool_LatestSprint,A repo for the latest Sprint of MAT tool.,False,https://api.github.com/repos/MeasureAuthoringTool/MeasureAuthoringTool_LatestSprint,2013-11-05T19:24:31Z,2023-01-28T16:25:24Z,2019-12-10T17:13:35Z,,456883,5,5,JavaScript,True,True,True,True,False,False,3,,True,False,3,True,False,False,[],public,3,3,5,master,MeasureAuthoringTool,55894823,MDEyOk9yZ2FuaXphdGlvbjU1ODk0ODIz,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
19325807,MDEwOlJlcG9zaXRvcnkxOTMyNTgwNw==,MAT_Framework_For_VSAC,MeasureAuthoringTool/MAT_Framework_For_VSAC,False,https://github.com/MeasureAuthoringTool/MAT_Framework_For_VSAC,A repository for MAT VSAC communication code. This is used as 'vsac_framework.jar' inside MAT Tool.,False,https://api.github.com/repos/MeasureAuthoringTool/MAT_Framework_For_VSAC,2014-04-30T20:10:49Z,2023-01-28T12:08:24Z,2020-06-23T18:37:19Z,,6325,0,0,Java,True,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,0,master,MeasureAuthoringTool,55894823,MDEyOk9yZ2FuaXphdGlvbjU1ODk0ODIz,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
24610224,MDEwOlJlcG9zaXRvcnkyNDYxMDIyNA==,VSAC-Groovy-Framework,MeasureAuthoringTool/VSAC-Groovy-Framework,False,https://github.com/MeasureAuthoringTool/VSAC-Groovy-Framework,New repo for MAT framework for VSAC using Groovy.,False,https://api.github.com/repos/MeasureAuthoringTool/VSAC-Groovy-Framework,2014-09-29T19:46:30Z,2023-01-28T12:08:24Z,2020-09-04T19:42:20Z,,2544,0,0,Groovy,True,True,True,True,False,False,0,,True,False,1,True,False,False,[],public,0,1,0,master,MeasureAuthoringTool,55894823,MDEyOk9yZ2FuaXphdGlvbjU1ODk0ODIz,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
55510934,MDEwOlJlcG9zaXRvcnk1NTUxMDkzNA==,CQL_POC,MeasureAuthoringTool/CQL_POC,False,https://github.com/MeasureAuthoringTool/CQL_POC,This is a POC/reference implementation of ACE editor based CQL Editor.,True,https://api.github.com/repos/MeasureAuthoringTool/CQL_POC,2016-04-05T13:40:05Z,2023-01-28T12:08:24Z,2020-06-16T16:41:04Z,,58972,0,0,JavaScript,False,True,True,True,False,False,0,,True,False,1,True,False,False,[],public,0,1,0,master,MeasureAuthoringTool,55894823,MDEyOk9yZ2FuaXphdGlvbjU1ODk0ODIz,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
58647109,MDEwOlJlcG9zaXRvcnk1ODY0NzEwOQ==,cql_qdm_patientapi,MeasureAuthoringTool/cql_qdm_patientapi,False,https://github.com/MeasureAuthoringTool/cql_qdm_patientapi,Interface from HDS patient model to QDM CQL execution engine,False,https://api.github.com/repos/MeasureAuthoringTool/cql_qdm_patientapi,2016-05-12T14:08:00Z,2023-01-28T06:46:47Z,2021-05-19T07:16:25Z,,1841,2,2,CoffeeScript,True,True,True,True,False,False,5,,True,False,5,True,False,False,[],public,5,5,2,master,MeasureAuthoringTool,55894823,MDEyOk9yZ2FuaXphdGlvbjU1ODk0ODIz,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
96575495,MDEwOlJlcG9zaXRvcnk5NjU3NTQ5NQ==,clinical_quality_language,MeasureAuthoringTool/clinical_quality_language,False,https://github.com/MeasureAuthoringTool/clinical_quality_language,Clinical Quality Language (CQL) is an HL7 specification for the expression of clinical knowledge that can be used within both the Clinical Decision Support (CDS) and Clinical Quality Measurement (CQM) domains. This repository contains complementary tooling in support of that specification.,True,https://api.github.com/repos/MeasureAuthoringTool/clinical_quality_language,2017-07-07T20:47:45Z,2023-10-24T17:27:12Z,2020-08-06T15:17:11Z,http://wiki.hl7.org/index.php?title=Clinical_Quality_Language,12993,3,3,CoffeeScript,False,True,True,True,False,False,2,,True,False,4,True,False,False,[],public,2,4,3,master,MeasureAuthoringTool,55894823,MDEyOk9yZ2FuaXphdGlvbjU1ODk0ODIz,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
