id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
408913550,R_kgDOGF-Gjg,prev_project_1,MolEvolEpid/prev_project_1,False,https://github.com/MolEvolEpid/prev_project_1,"This could be the code for an already-published paper, now public.",False,https://api.github.com/repos/MolEvolEpid/prev_project_1,2021-09-21T17:29:56Z,2021-10-05T18:49:49Z,2021-10-05T18:49:47Z,,5,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,"['grant1', 'grant2']",public,0,0,0,main,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
412177460,R_kgDOGJFUNA,General_Info,MolEvolEpid/General_Info,False,https://github.com/MolEvolEpid/General_Info,Information about this collection of work.,False,https://api.github.com/repos/MolEvolEpid/General_Info,2021-09-30T18:23:37Z,2021-12-08T15:35:05Z,2022-08-09T21:02:26Z,,10,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,,,,,,False,False,False,False,True,
430994571,R_kgDOGbB0iw,MachineLearningModelforHIVOutbreaks,MolEvolEpid/MachineLearningModelforHIVOutbreaks,False,https://github.com/MolEvolEpid/MachineLearningModelforHIVOutbreaks,"Code from Kupperman et al ""A deep learning approach to real-time HIV outbreak detection using genetic data"" in PLOS Comp Biol 2022 18(10):e1010598",False,https://api.github.com/repos/MolEvolEpid/MachineLearningModelforHIVOutbreaks,2021-11-23T06:58:24Z,2023-04-10T00:34:29Z,2022-11-28T15:01:32Z,,15798,3,3,PureBasic,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,3,main,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
435979988,R_kgDOGfyG1A,biophybreak,MolEvolEpid/biophybreak,False,https://github.com/MolEvolEpid/biophybreak,"Code from Lundgren et al ""Combining biomarker and virus phylogenetic models improves epidemiological source identification"" in PLOS Computational Biology 2022 Aug 26;18(8):e1009741",True,https://api.github.com/repos/MolEvolEpid/biophybreak,2021-12-07T18:04:25Z,2024-08-01T00:46:49Z,2024-02-24T00:37:55Z,,15734,1,1,R,True,True,True,True,True,False,1,,False,False,1,True,False,False,[],public,1,1,1,master,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
454542240,R_kgDOGxfDoA,ARG_simul-decomp,MolEvolEpid/ARG_simul-decomp,False,https://github.com/MolEvolEpid/ARG_simul-decomp,"Code from Castro et al ""Recombination smooths the time-signal disrupted by latency in within-host HIV phylogenies""",False,https://api.github.com/repos/MolEvolEpid/ARG_simul-decomp,2022-02-01T20:34:51Z,2022-02-22T22:41:38Z,2022-02-15T20:51:46Z,,292,0,0,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
506793296,R_kgDOHjUNUA,git_practice,MolEvolEpid/git_practice,False,https://github.com/MolEvolEpid/git_practice,Practice collaborating with git,False,https://api.github.com/repos/MolEvolEpid/git_practice,2022-06-23T21:13:54Z,2022-06-23T21:13:54Z,2022-06-28T20:06:58Z,,11,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,,,,,,False,False,False,False,True,
524239481,R_kgDOHz9CeQ,SEEPS,MolEvolEpid/SEEPS,False,https://github.com/MolEvolEpid/SEEPS,SEEPS: Sequence Evolution and Epidemiological Process Simulator,False,https://api.github.com/repos/MolEvolEpid/SEEPS,2022-08-12T22:25:21Z,2024-09-25T17:36:17Z,2024-09-30T22:09:10Z,,220,1,1,R,True,True,True,False,False,False,0,,False,False,0,True,False,True,"['biological-sequences', 'epidemiology', 'evolution', 'hiv', 'r-package', 'simulation-framework']",public,0,0,1,main,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
644497710,R_kgDOJmpBLg,timeslice,MolEvolEpid/timeslice,False,https://github.com/MolEvolEpid/timeslice,Time-slice Markov model for phylogenetic inference of transmission time,False,https://api.github.com/repos/MolEvolEpid/timeslice,2023-05-23T16:32:07Z,2023-06-27T15:03:30Z,2023-06-27T15:01:40Z,,14,0,0,Python,False,False,True,False,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,main,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
682228954,R_kgDOKKn82g,ContactTracingForPhylogenies,MolEvolEpid/ContactTracingForPhylogenies,False,https://github.com/MolEvolEpid/ContactTracingForPhylogenies,"Code from Kupperman et al_ ""Predicting Impacts of Contact Tracing on Epidemiological Inference from Phylogenetic Data"" (2023).",False,https://api.github.com/repos/MolEvolEpid/ContactTracingForPhylogenies,2023-08-23T18:12:44Z,2024-09-06T17:58:04Z,2024-09-06T17:58:00Z,,337,1,1,Jupyter Notebook,True,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,main,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
718349426,R_kgDOKtEkcg,coinfection_cotransmission_cofeeding_in_ticks,MolEvolEpid/coinfection_cotransmission_cofeeding_in_ticks,False,https://github.com/MolEvolEpid/coinfection_cotransmission_cofeeding_in_ticks,"Code from Belluccini et al. ""A story of viral co-infection, co-transmission and co-feeding in ticks: how to compute an invasion reproduction number""",False,https://api.github.com/repos/MolEvolEpid/coinfection_cotransmission_cofeeding_in_ticks,2023-11-13T22:39:40Z,2023-11-14T16:34:03Z,2023-11-13T23:20:14Z,,920,0,0,Mathematica,True,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
730905252,R_kgDOK5C6pA,sweden-incidence,MolEvolEpid/sweden-incidence,False,https://github.com/MolEvolEpid/sweden-incidence,"Code from ""Sweden surpasses the UNAIDS 95-95-95 Target: Estimating HIV-1 incidence between 2003-2022""",False,https://api.github.com/repos/MolEvolEpid/sweden-incidence,2023-12-12T23:48:22Z,2024-10-17T18:22:04Z,2024-10-17T18:22:01Z,,39,0,0,R,True,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
746823878,R_kgDOLIOgxg,novel_hcv_subtypes,MolEvolEpid/novel_hcv_subtypes,False,https://github.com/MolEvolEpid/novel_hcv_subtypes,"Code and data from Mbisa et al. ""Identification of two novel subtypes of hepatitis C virus genotype 8 and a potential new genotype in the UK successfully treated with direct acting antivirals.""",False,https://api.github.com/repos/MolEvolEpid/novel_hcv_subtypes,2024-01-22T18:40:19Z,2024-05-20T14:41:59Z,2024-05-20T14:41:55Z,,6783,0,0,HTML,True,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,,,,,,False,False,False,False,True,
787067427,R_kgDOLumyIw,HIV_pipeline,MolEvolEpid/HIV_pipeline,False,https://github.com/MolEvolEpid/HIV_pipeline,End-to-End computational pipeline for nationwide HIV outbreak monitoring.,False,https://api.github.com/repos/MolEvolEpid/HIV_pipeline,2024-04-15T20:33:38Z,2024-05-10T19:48:26Z,2024-05-10T19:48:23Z,,108847,0,0,HTML,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,main,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,,,,,,False,False,False,False,True,
787176791,R_kgDOLutdVw,SimReassort,MolEvolEpid/SimReassort,False,https://github.com/MolEvolEpid/SimReassort,"Code from Lin et al., ""The number and pattern of viral genomic reassortments are not necessarily identifiable from segment trees"", 2024; msae078.",False,https://api.github.com/repos/MolEvolEpid/SimReassort,2024-04-16T03:08:33Z,2024-10-18T19:23:27Z,2024-05-16T22:33:22Z,,1086,2,2,R,True,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,2,main,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
809952006,R_kgDOMEbjBg,hypermut3,MolEvolEpid/hypermut3,False,https://github.com/MolEvolEpid/hypermut3,Find hypermutations or other patterns in nucleotide sequences,False,https://api.github.com/repos/MolEvolEpid/hypermut3,2024-06-03T19:05:51Z,2024-10-30T17:29:18Z,2024-10-30T17:29:14Z,,2136,0,0,Python,True,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
863047666,R_kgDOM3EP8g,MolEvolEpid.r-universe.dev,MolEvolEpid/MolEvolEpid.r-universe.dev,False,https://github.com/MolEvolEpid/MolEvolEpid.r-universe.dev,Build and deployment toolchain for r-universe,False,https://api.github.com/repos/MolEvolEpid/MolEvolEpid.r-universe.dev,2024-09-25T16:14:17Z,2024-09-25T16:31:04Z,2024-09-25T16:31:01Z,,1,0,0,,True,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,MolEvolEpid,91150709,MDEyOk9yZ2FuaXphdGlvbjkxMTUwNzA5,Organization,public,False,,,,,,False,False,False,False,True,
