id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
591011077,R_kgDOIzodBQ,LBL-MF-Scicat-backend,MolecularFoundry/LBL-MF-Scicat-backend,False,https://github.com/MolecularFoundry/LBL-MF-Scicat-backend,SciCat Data Catalogue  Backend,True,https://api.github.com/repos/MolecularFoundry/LBL-MF-Scicat-backend,2023-01-19T18:18:48Z,2023-01-27T00:33:19Z,2023-03-24T20:27:37Z,https://scicatproject.github.io/documentation/,16723,0,0,JavaScript,True,True,True,True,False,False,0,,False,False,4,True,False,False,[],public,0,4,0,master,MolecularFoundry,117781761,O_kgDOBwU1AQ,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
591011482,R_kgDOIzoemg,LBL-MF-Scicat-frontend,MolecularFoundry/LBL-MF-Scicat-frontend,False,https://github.com/MolecularFoundry/LBL-MF-Scicat-frontend,SciCat open data catalogue web client,True,https://api.github.com/repos/MolecularFoundry/LBL-MF-Scicat-frontend,2023-01-19T18:19:58Z,2023-03-20T17:14:37Z,2023-03-24T20:28:42Z,https://scicatproject.github.io,29267,0,0,TypeScript,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,MolecularFoundry,117781761,O_kgDOBwU1AQ,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
677451100,R_kgDOKGEVXA,ScopeFoundry,MolecularFoundry/ScopeFoundry,False,https://github.com/MolecularFoundry/ScopeFoundry,ScopeFoundry: A Python platform for controlling custom laboratory experiments and visualizing scientific data,True,https://api.github.com/repos/MolecularFoundry/ScopeFoundry,2023-08-11T15:52:54Z,2023-08-11T15:52:54Z,2023-08-03T23:59:46Z,http://www.scopefoundry.org,1069,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,MolecularFoundry,117781761,O_kgDOBwU1AQ,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
677451279,R_kgDOKGEWDw,openNCEM,MolecularFoundry/openNCEM,False,https://github.com/MolecularFoundry/openNCEM,A collection of packages and tools for electron microscopy data analysis supported by the National Center for Electron Microscopy facility of the Molecular Foundry,True,https://api.github.com/repos/MolecularFoundry/openNCEM,2023-08-11T15:53:29Z,2024-01-27T01:24:22Z,2024-01-27T01:24:16Z,,93692,0,0,Jupyter Notebook,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,MolecularFoundry,117781761,O_kgDOBwU1AQ,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
677483702,R_kgDOKGGUtg,py4DSTEM,MolecularFoundry/py4DSTEM,False,https://github.com/MolecularFoundry/py4DSTEM,,True,https://api.github.com/repos/MolecularFoundry/py4DSTEM,2023-08-11T17:27:59Z,2024-01-27T01:24:40Z,2024-01-27T01:23:43Z,,256292,0,0,Python,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,dev,MolecularFoundry,117781761,O_kgDOBwU1AQ,Organization,public,False,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=,False,False,False,False,True,
682751901,R_kgDOKLH3nQ,pyscicat,MolecularFoundry/pyscicat,False,https://github.com/MolecularFoundry/pyscicat,A python client library for interacting with the SciCat data catalog backend. ,True,https://api.github.com/repos/MolecularFoundry/pyscicat,2023-08-24T21:10:07Z,2024-05-21T20:46:40Z,2024-05-21T20:46:36Z,,4302,0,0,Python,False,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,main,MolecularFoundry,117781761,O_kgDOBwU1AQ,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
697961749,R_kgDOKZoNFQ,molecularfoundry.github.io,MolecularFoundry/molecularfoundry.github.io,False,https://github.com/MolecularFoundry/molecularfoundry.github.io,,False,https://api.github.com/repos/MolecularFoundry/molecularfoundry.github.io,2023-09-28T20:50:37Z,2023-09-28T20:56:53Z,2023-09-28T20:53:23Z,,0,0,0,HTML,True,True,True,True,True,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,MolecularFoundry,117781761,O_kgDOBwU1AQ,Organization,public,False,,,,,,False,False,False,False,True,
744757551,R_kgDOLGQZLw,crucible-website,MolecularFoundry/crucible-website,False,https://github.com/MolecularFoundry/crucible-website,,False,https://api.github.com/repos/MolecularFoundry/crucible-website,2024-01-18T00:11:29Z,2024-09-04T21:14:58Z,2024-09-04T21:14:54Z,,28127,0,0,HTML,True,True,True,False,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,MolecularFoundry,117781761,O_kgDOBwU1AQ,Organization,public,False,,,,,,False,False,False,False,True,
747021064,R_kgDOLIajCA,HyperspecAnalysis,MolecularFoundry/HyperspecAnalysis,False,https://github.com/MolecularFoundry/HyperspecAnalysis,,False,https://api.github.com/repos/MolecularFoundry/HyperspecAnalysis,2024-01-23T05:18:06Z,2024-10-24T15:54:49Z,2024-10-24T15:54:45Z,,5112,0,0,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,MolecularFoundry,117781761,O_kgDOBwU1AQ,Organization,public,False,,,,,,False,False,False,False,True,
755296438,R_kgDOLQTotg,crucible-analysis-notebooks,MolecularFoundry/crucible-analysis-notebooks,False,https://github.com/MolecularFoundry/crucible-analysis-notebooks,,False,https://api.github.com/repos/MolecularFoundry/crucible-analysis-notebooks,2024-02-09T20:43:45Z,2024-09-05T18:05:07Z,2024-09-05T18:05:04Z,,3504,0,0,Jupyter Notebook,True,True,True,False,False,False,2,,False,False,0,True,False,False,[],public,2,0,0,main,MolecularFoundry,117781761,O_kgDOBwU1AQ,Organization,public,False,,,,,,False,False,False,False,True,
