id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
202804692,MDEwOlJlcG9zaXRvcnkyMDI4MDQ2OTI=,Offline,Mu2e/Offline,False,https://github.com/Mu2e/Offline,Offline software for the Mu2e experiment,False,https://api.github.com/repos/Mu2e/Offline,2019-08-16T22:03:57Z,2024-12-13T23:41:14Z,2024-12-17T23:02:07Z,,65789,8,8,C++,True,True,True,True,False,False,82,,False,False,111,True,False,False,[],public,82,111,8,main,Mu2e,45213714,MDEyOk9yZ2FuaXphdGlvbjQ1MjEzNzE0,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
218061235,MDEwOlJlcG9zaXRvcnkyMTgwNjEyMzU=,Stntuple,Mu2e/Stntuple,False,https://github.com/Mu2e/Stntuple,Stntuple,False,https://api.github.com/repos/Mu2e/Stntuple,2019-10-28T14:07:19Z,2024-10-04T23:24:26Z,2024-11-23T00:19:52Z,,3721,0,0,C++,True,True,True,True,False,False,11,,False,False,1,True,False,False,[],public,11,1,0,main,Mu2e,45213714,MDEyOk9yZ2FuaXphdGlvbjQ1MjEzNzE0,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
218061450,MDEwOlJlcG9zaXRvcnkyMTgwNjE0NTA=,TrackerMCTune,Mu2e/TrackerMCTune,False,https://github.com/Mu2e/TrackerMCTune,Code for tuning the simulation and response of the tracker.,False,https://api.github.com/repos/Mu2e/TrackerMCTune,2019-10-28T14:08:10Z,2021-11-23T17:10:24Z,2021-11-24T15:42:41Z,,176,0,0,C++,True,True,True,True,False,False,2,,False,False,1,True,False,False,[],public,2,1,0,master,Mu2e,45213714,MDEyOk9yZ2FuaXphdGlvbjQ1MjEzNzE0,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
218091878,MDEwOlJlcG9zaXRvcnkyMTgwOTE4Nzg=,G4BeamlineScripts,Mu2e/G4BeamlineScripts,False,https://github.com/Mu2e/G4BeamlineScripts,Scripts for running G4Beamline,False,https://api.github.com/repos/Mu2e/G4BeamlineScripts,2019-10-28T16:14:32Z,2023-07-20T01:56:01Z,2021-02-18T19:18:44Z,,306,1,1,Python,True,True,True,True,False,False,4,,False,False,0,True,False,False,[],public,4,0,1,master,Mu2e,45213714,MDEyOk9yZ2FuaXphdGlvbjQ1MjEzNzE0,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
242864530,MDEwOlJlcG9zaXRvcnkyNDI4NjQ1MzA=,codetools,Mu2e/codetools,False,https://github.com/Mu2e/codetools,code management scripts,False,https://api.github.com/repos/Mu2e/codetools,2020-02-24T23:16:26Z,2024-08-15T12:41:44Z,2024-08-15T12:41:40Z,,569,0,0,Shell,True,True,True,True,False,False,5,,False,False,5,True,False,False,[],public,5,5,0,main,Mu2e,45213714,MDEyOk9yZ2FuaXphdGlvbjQ1MjEzNzE0,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
242865680,MDEwOlJlcG9zaXRvcnkyNDI4NjU2ODA=,dhtools,Mu2e/dhtools,False,https://github.com/Mu2e/dhtools,data handling tools,False,https://api.github.com/repos/Mu2e/dhtools,2020-02-24T23:25:10Z,2022-06-22T22:48:29Z,2023-06-02T14:34:34Z,,99,0,0,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,main,Mu2e,45213714,MDEyOk9yZ2FuaXphdGlvbjQ1MjEzNzE0,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
246368566,MDEwOlJlcG9zaXRvcnkyNDYzNjg1NjY=,DCS,Mu2e/DCS,False,https://github.com/Mu2e/DCS,Detector Control System software for the Mu2e experiment,False,https://api.github.com/repos/Mu2e/DCS,2020-03-10T17:44:43Z,2020-08-04T15:32:38Z,2022-03-26T21:07:58Z,https://mu2e.github.io/DCS,362,0,0,,True,True,True,True,True,False,1,,False,False,0,True,False,False,[],public,1,0,0,main,Mu2e,45213714,MDEyOk9yZ2FuaXphdGlvbjQ1MjEzNzE0,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
257340126,MDEwOlJlcG9zaXRvcnkyNTczNDAxMjY=,STMDAQ,Mu2e/STMDAQ,False,https://github.com/Mu2e/STMDAQ,STM DAQ software. Migrated from https://cdcvs.fnal.gov/projects/stmdaq,False,https://api.github.com/repos/Mu2e/STMDAQ,2020-04-20T16:27:08Z,2021-07-15T15:24:44Z,2021-07-15T15:24:41Z,,5444,1,1,C,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,1,master,Mu2e,45213714,MDEyOk9yZ2FuaXphdGlvbjQ1MjEzNzE0,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
284247705,MDEwOlJlcG9zaXRvcnkyODQyNDc3MDU=,epics-base,Mu2e/epics-base,False,https://github.com/Mu2e/epics-base,Mirror of https://git.launchpad.net/epics-base * PRs and Bugs are also on Launchpad,True,https://api.github.com/repos/Mu2e/epics-base,2020-08-01T11:35:05Z,2020-08-01T11:35:07Z,2020-07-31T21:03:24Z,https://launchpad.net/epics-base,103264,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,7.0,Mu2e,45213714,MDEyOk9yZ2FuaXphdGlvbjQ1MjEzNzE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
287366268,MDEwOlJlcG9zaXRvcnkyODczNjYyNjg=,CI,Mu2e/CI,False,https://github.com/Mu2e/CI,GitHub comments-based interface to CI actions in Jenkins. Based on CMS-BOT.,False,https://api.github.com/repos/Mu2e/CI,2020-08-13T19:43:12Z,2022-01-10T16:58:45Z,2024-10-07T21:34:35Z,,222,2,2,Python,True,True,True,False,False,False,7,,False,False,2,True,False,False,[],public,7,2,2,main,Mu2e,45213714,MDEyOk9yZ2FuaXphdGlvbjQ1MjEzNzE0,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
