id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
40249185,MDEwOlJlcG9zaXRvcnk0MDI0OTE4NQ==,test_data_gen,NAL-i5K/test_data_gen,False,https://github.com/NAL-i5K/test_data_gen,Used to generate test data by renaming features in an existing dataset.  This can be used to generate large numbers of datasets based on real data.,False,https://api.github.com/repos/NAL-i5K/test_data_gen,2015-08-05T14:17:00Z,2017-06-14T20:01:26Z,2018-09-25T16:11:21Z,,3,0,0,Python,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,master,NAL-i5K,13661181,MDEyOk9yZ2FuaXphdGlvbjEzNjYxMTgx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
40252826,MDEwOlJlcG9zaXRvcnk0MDI1MjgyNg==,django-blast,NAL-i5K/django-blast,False,https://github.com/NAL-i5K/django-blast,NCBI-BLAST web service with python backend and HTML5 frontend.,True,https://api.github.com/repos/NAL-i5K/django-blast,2015-08-05T15:19:21Z,2021-05-24T14:33:19Z,2018-09-25T16:14:26Z,,321103,2,2,JavaScript,False,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,2,master,NAL-i5K,13661181,MDEyOk9yZ2FuaXphdGlvbjEzNjYxMTgx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
40499744,MDEwOlJlcG9zaXRvcnk0MDQ5OTc0NA==,tripal_features,NAL-i5K/tripal_features,False,https://github.com/NAL-i5K/tripal_features,,False,https://api.github.com/repos/NAL-i5K/tripal_features,2015-08-10T18:48:09Z,2022-06-21T13:57:17Z,2015-08-12T17:31:41Z,,160,2,2,PHP,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,2,master,NAL-i5K,13661181,MDEyOk9yZ2FuaXphdGlvbjEzNjYxMTgx,Organization,public,False,,,,,,False,False,False,False,True,
45868018,MDEwOlJlcG9zaXRvcnk0NTg2ODAxOA==,GFF3toolkit,NAL-i5K/GFF3toolkit,False,https://github.com/NAL-i5K/GFF3toolkit,Python programs for processing GFF3 files,False,https://api.github.com/repos/NAL-i5K/GFF3toolkit,2015-11-09T21:29:30Z,2024-12-01T08:18:42Z,2024-03-27T20:40:36Z,,33417,96,96,Python,True,True,True,True,False,False,27,,False,False,18,True,False,False,"['bioinformatics', 'gff', 'gff3', 'gff3-format']",public,27,18,96,master,NAL-i5K,13661181,MDEyOk9yZ2FuaXphdGlvbjEzNjYxMTgx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
46424788,MDEwOlJlcG9zaXRvcnk0NjQyNDc4OA==,wiggle-tools,NAL-i5K/wiggle-tools,False,https://github.com/NAL-i5K/wiggle-tools,,True,https://api.github.com/repos/NAL-i5K/wiggle-tools,2015-11-18T14:41:14Z,2021-01-07T16:56:17Z,2021-01-07T16:56:14Z,,1623,0,0,Python,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NAL-i5K,13661181,MDEyOk9yZ2FuaXphdGlvbjEzNjYxMTgx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
51951529,MDEwOlJlcG9zaXRvcnk1MTk1MTUyOQ==,bam_to_bigwig,NAL-i5K/bam_to_bigwig,False,https://github.com/NAL-i5K/bam_to_bigwig,Convert your alignment files in BAM format into coverage files in bigWig format,True,https://api.github.com/repos/NAL-i5K/bam_to_bigwig,2016-02-17T20:05:51Z,2023-01-17T17:26:41Z,2023-01-17T20:07:39Z,,41,0,0,Python,False,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,0,master,NAL-i5K,13661181,MDEyOk9yZ2FuaXphdGlvbjEzNjYxMTgx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
53141978,MDEwOlJlcG9zaXRvcnk1MzE0MTk3OA==,I5KNAL_OGS,NAL-i5K/I5KNAL_OGS,False,https://github.com/NAL-i5K/I5KNAL_OGS,"NOTE: This repo is no longer maintained, please refer to https://github.com/NAL-i5K/GFF3toolkit/. This project is to develop python tools for generating official gene set (OGS) by integrating manually curated and predicted gene annotations (GFF3 format). There are two phases involved: (1) QC phase and (2) Merge phase.",True,https://api.github.com/repos/NAL-i5K/I5KNAL_OGS,2016-03-04T14:46:25Z,2023-01-28T20:48:10Z,2016-04-20T17:41:13Z,https://i5k.nal.usda.gov/,2240,1,1,Python,False,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,1,I5KNAL_OGS,NAL-i5K,13661181,MDEyOk9yZ2FuaXphdGlvbjEzNjYxMTgx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
56162495,MDEwOlJlcG9zaXRvcnk1NjE2MjQ5NQ==,reformat_for_tripal,NAL-i5K/reformat_for_tripal,False,https://github.com/NAL-i5K/reformat_for_tripal,,False,https://api.github.com/repos/NAL-i5K/reformat_for_tripal,2016-04-13T15:09:50Z,2016-04-13T15:36:03Z,2018-09-25T16:05:58Z,,4,0,0,Perl,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,master,NAL-i5K,13661181,MDEyOk9yZ2FuaXphdGlvbjEzNjYxMTgx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
64684613,MDEwOlJlcG9zaXRvcnk2NDY4NDYxMw==,AGLA_GB_supp-scripts,NAL-i5K/AGLA_GB_supp-scripts,False,https://github.com/NAL-i5K/AGLA_GB_supp-scripts,"This repository contains scripts used for various sections of the paper ""Genome of the Asian longhorned beetle (Anoplophora glabripennis), a globally significant invasive species, reveals key functional and evolutionary innovations at the beetle-plant interface"". ",False,https://api.github.com/repos/NAL-i5K/AGLA_GB_supp-scripts,2016-08-01T16:47:29Z,2021-06-21T00:48:36Z,2018-03-20T14:17:00Z,,6226,3,3,Perl,True,True,True,True,False,False,1,,False,False,1,True,False,False,[],public,1,1,3,master,NAL-i5K,13661181,MDEyOk9yZ2FuaXphdGlvbjEzNjYxMTgx,Organization,public,False,,,,,,False,False,False,False,True,
72758632,MDEwOlJlcG9zaXRvcnk3Mjc1ODYzMg==,genomics-workspace,NAL-i5K/genomics-workspace,False,https://github.com/NAL-i5K/genomics-workspace,Django website project for common sequence search tools.,False,https://api.github.com/repos/NAL-i5K/genomics-workspace,2016-11-03T15:20:11Z,2024-09-20T12:54:10Z,2024-10-01T13:02:53Z,http://genomics-workspace.readthedocs.io/,466354,17,17,JavaScript,True,True,True,False,False,False,5,,False,False,49,True,False,False,"['bioinformatics', 'blast', 'clustal', 'django', 'django-application', 'django-blast', 'django-clustal', 'django-hmmer', 'genomics', 'genomics-visualization', 'hmmer', 'ncbi-blast', 'sequence-alignment']",public,5,49,17,master,NAL-i5K,13661181,MDEyOk9yZ2FuaXphdGlvbjEzNjYxMTgx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
