id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
127309515,MDEwOlJlcG9zaXRvcnkxMjczMDk1MTU=,AIT-Core,NASA-AMMOS/AIT-Core,False,https://github.com/NASA-AMMOS/AIT-Core,,False,https://api.github.com/repos/NASA-AMMOS/AIT-Core,2018-03-29T15:16:31Z,2024-10-25T18:50:01Z,2024-10-25T18:50:00Z,,6206,45,45,Python,True,True,True,True,False,False,27,,False,False,105,True,False,False,[],public,27,105,45,master,NASA-AMMOS,37851411,MDEyOk9yZ2FuaXphdGlvbjM3ODUxNDEx,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
127312668,MDEwOlJlcG9zaXRvcnkxMjczMTI2Njg=,AIT-GUI,NASA-AMMOS/AIT-GUI,False,https://github.com/NASA-AMMOS/AIT-GUI,,False,https://api.github.com/repos/NASA-AMMOS/AIT-GUI,2018-03-29T15:41:19Z,2023-09-05T13:43:02Z,2024-01-19T00:27:41Z,,3959,24,24,JavaScript,True,True,True,True,False,False,12,,False,False,66,True,False,False,[],public,12,66,24,master,NASA-AMMOS,37851411,MDEyOk9yZ2FuaXphdGlvbjM3ODUxNDEx,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
127347490,MDEwOlJlcG9zaXRvcnkxMjczNDc0OTA=,AIT-DSN,NASA-AMMOS/AIT-DSN,False,https://github.com/NASA-AMMOS/AIT-DSN,,False,https://api.github.com/repos/NASA-AMMOS/AIT-DSN,2018-03-29T21:07:16Z,2024-04-30T22:24:54Z,2024-04-30T22:24:55Z,,4500,19,19,Python,True,True,True,True,False,False,10,,False,False,40,True,False,False,[],public,10,40,19,master,NASA-AMMOS,37851411,MDEyOk9yZ2FuaXphdGlvbjM3ODUxNDEx,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
127347504,MDEwOlJlcG9zaXRvcnkxMjczNDc1MDQ=,AIT-CFS,NASA-AMMOS/AIT-CFS,False,https://github.com/NASA-AMMOS/AIT-CFS,,False,https://api.github.com/repos/NASA-AMMOS/AIT-CFS,2018-03-29T21:07:27Z,2023-09-06T17:33:20Z,2024-01-19T00:26:55Z,,29,5,5,HTML,True,True,True,True,False,False,2,,False,False,4,True,False,False,[],public,2,4,5,master,NASA-AMMOS,37851411,MDEyOk9yZ2FuaXphdGlvbjM3ODUxNDEx,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
178263007,MDEwOlJlcG9zaXRvcnkxNzgyNjMwMDc=,MMGIS,NASA-AMMOS/MMGIS,False,https://github.com/NASA-AMMOS/MMGIS,Multi-Mission Geographical Information System - Web-based Mapping and Spatial Data Infrastructure for Planetary Science Operations - https://nasa-ammos.github.io/MMGIS/,False,https://api.github.com/repos/NASA-AMMOS/MMGIS,2019-03-28T18:42:08Z,2024-12-17T17:50:37Z,2024-12-17T17:50:33Z,,103399,149,149,JavaScript,True,True,True,True,True,True,46,,False,False,67,True,False,False,[],public,46,67,149,development,NASA-AMMOS,37851411,MDEyOk9yZ2FuaXphdGlvbjM3ODUxNDEx,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
179168586,MDEwOlJlcG9zaXRvcnkxNzkxNjg1ODY=,Unity3DTiles,NASA-AMMOS/Unity3DTiles,False,https://github.com/NASA-AMMOS/Unity3DTiles,A 3D Tiles implementation in Unity,False,https://api.github.com/repos/NASA-AMMOS/Unity3DTiles,2019-04-02T22:31:46Z,2024-11-21T12:15:16Z,2024-01-19T00:30:15Z,,20933,230,230,C#,True,True,True,True,False,False,63,,False,False,24,True,False,False,[],public,63,24,230,master,NASA-AMMOS,37851411,MDEyOk9yZ2FuaXphdGlvbjM3ODUxNDEx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
212461709,MDEwOlJlcG9zaXRvcnkyMTI0NjE3MDk=,CODEX,NASA-AMMOS/CODEX,False,https://github.com/NASA-AMMOS/CODEX,Complex Data Explorer,False,https://api.github.com/repos/NASA-AMMOS/CODEX,2019-10-02T23:34:02Z,2024-02-16T21:37:45Z,2024-01-09T20:11:08Z,,376431,11,11,JavaScript,True,True,True,True,False,False,4,,False,False,40,True,False,False,[],public,4,40,11,main,NASA-AMMOS,37851411,MDEyOk9yZ2FuaXphdGlvbjM3ODUxNDEx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
212674023,MDEwOlJlcG9zaXRvcnkyMTI2NzQwMjM=,timecraftjs,NASA-AMMOS/timecraftjs,False,https://github.com/NASA-AMMOS/timecraftjs,Time conversion using NAIF CSPICE Toolkit in JavaScript via Emscripten.,False,https://api.github.com/repos/NASA-AMMOS/timecraftjs,2019-10-03T20:29:49Z,2024-05-15T18:14:23Z,2024-01-19T00:37:57Z,https://nasa-ammos.github.io/timecraftjs/example/,15298,7,7,HCL,True,False,True,False,True,False,6,,False,False,10,True,False,False,"['conversion', 'cspice', 'emscripten', 'naif', 'naif-cspice', 'spice', 'time']",public,6,10,7,master,NASA-AMMOS,37851411,MDEyOk9yZ2FuaXphdGlvbjM3ODUxNDEx,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
237272544,MDEwOlJlcG9zaXRvcnkyMzcyNzI1NDQ=,3DTilesRendererJS,NASA-AMMOS/3DTilesRendererJS,False,https://github.com/NASA-AMMOS/3DTilesRendererJS,Renderer for 3D Tiles in Javascript using three.js,False,https://api.github.com/repos/NASA-AMMOS/3DTilesRendererJS,2020-01-30T17:59:39Z,2024-12-18T15:56:04Z,2024-12-19T03:09:06Z,https://nasa-ammos.github.io/3DTilesRendererJS/example/bundle/mars.html,55389,1651,1651,JavaScript,True,True,True,True,True,False,297,,False,False,97,True,False,False,"['3d-tiles', '3dtiles', 'b3dm', 'cesium', 'geometry', 'gis', 'gltf', 'graphics', 'rendering', 'terrain', 'threejs', 'tile-set', 'tileset']",public,297,97,1651,master,NASA-AMMOS,37851411,MDEyOk9yZ2FuaXphdGlvbjM3ODUxNDEx,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
300371461,MDEwOlJlcG9zaXRvcnkzMDAzNzE0NjE=,common-workflow-service,NASA-AMMOS/common-workflow-service,False,https://github.com/NASA-AMMOS/common-workflow-service,,False,https://api.github.com/repos/NASA-AMMOS/common-workflow-service,2020-10-01T17:50:15Z,2024-11-25T21:43:20Z,2024-12-18T01:38:23Z,,553016,16,16,JavaScript,True,True,True,True,False,True,11,,False,False,21,True,False,False,[],public,11,21,16,develop,NASA-AMMOS,37851411,MDEyOk9yZ2FuaXphdGlvbjM3ODUxNDEx,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
