id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
84491609,MDEwOlJlcG9zaXRvcnk4NDQ5MTYwOQ==,PLAID,NASA-PDS/PLAID,False,https://github.com/NASA-PDS/PLAID,APPS PDS Label Assistant for Interactive Design (PLAID). See an overview of the software on YouTube. https://www.youtube.com/watch?v=WCo8erW_rL8,False,https://api.github.com/repos/NASA-PDS/PLAID,2017-03-09T21:46:17Z,2023-01-13T11:39:51Z,2023-11-21T15:47:35Z,https://plaid.jpl.nasa.gov,5445,9,9,JavaScript,True,True,True,True,False,False,0,,False,False,7,True,False,False,['pds'],public,0,7,9,main,NASA-PDS,46757714,MDEyOk9yZ2FuaXphdGlvbjQ2NzU3NzE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
170207812,MDEwOlJlcG9zaXRvcnkxNzAyMDc4MTI=,pds-view,NASA-PDS/pds-view,False,https://github.com/NASA-PDS/pds-view,PDSView provides support for visualizing PDS3 and PDS4 data products.,False,https://api.github.com/repos/NASA-PDS/pds-view,2019-02-11T21:48:32Z,2024-08-29T20:27:56Z,2022-11-14T16:47:08Z,https://github.com/NASA-PDS/pds-view/#pdsview,299109,21,21,Python,True,True,True,True,True,False,7,,False,False,19,True,False,False,"['nasa', 'pds', 'pds3', 'pds4', 'python', 'visualization']",public,7,19,21,main,NASA-PDS,46757714,MDEyOk9yZ2FuaXphdGlvbjQ2NzU3NzE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
186914179,MDEwOlJlcG9zaXRvcnkxODY5MTQxNzk=,feedback-widget,NASA-PDS/feedback-widget,False,https://github.com/NASA-PDS/feedback-widget,Javascript widget for user feedback,False,https://api.github.com/repos/NASA-PDS/feedback-widget,2019-05-15T23:01:53Z,2024-12-16T17:44:57Z,2024-12-16T17:44:53Z,https://github.com/NASA-PDS/feedback-widget#pds-feedback-widget,169,2,2,JavaScript,True,True,True,True,False,False,1,,False,False,4,True,False,False,"['javascript-widget', 'pds']",public,1,4,2,main,NASA-PDS,46757714,MDEyOk9yZ2FuaXphdGlvbjQ2NzU3NzE0,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
190789452,MDEwOlJlcG9zaXRvcnkxOTA3ODk0NTI=,archive-viewer,NASA-PDS/archive-viewer,False,https://github.com/NASA-PDS/archive-viewer,Frontend React app for searching and viewing archived datasets,False,https://api.github.com/repos/NASA-PDS/archive-viewer,2019-06-07T18:16:42Z,2024-11-21T22:21:58Z,2024-11-21T22:21:54Z,,3490,0,0,JavaScript,True,True,True,True,False,False,0,,False,False,17,True,False,False,"['archive', 'big-data', 'nasa-pds', 'pds']",public,0,17,0,main,NASA-PDS,46757714,MDEyOk9yZ2FuaXphdGlvbjQ2NzU3NzE0,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
192617533,MDEwOlJlcG9zaXRvcnkxOTI2MTc1MzM=,nasa-pds.github.io,NASA-PDS/nasa-pds.github.io,False,https://github.com/NASA-PDS/nasa-pds.github.io,Site for https://nasa-pds.github.io and NASA PDS Wiki,False,https://api.github.com/repos/NASA-PDS/nasa-pds.github.io,2019-06-18T21:54:12Z,2024-12-13T02:00:07Z,2024-12-13T02:00:04Z,https://nasa-pds.github.io/,15570,2,2,HTML,True,True,True,True,True,True,3,,False,False,4,True,False,False,"['nasa', 'nasa-pds']",public,3,4,2,main,NASA-PDS,46757714,MDEyOk9yZ2FuaXphdGlvbjQ2NzU3NzE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
193560281,MDEwOlJlcG9zaXRvcnkxOTM1NjAyODE=,validate,NASA-PDS/validate,False,https://github.com/NASA-PDS/validate,"Validates PDS4 product labels, data and PDS3 Volumes",False,https://api.github.com/repos/NASA-PDS/validate,2019-06-24T18:42:47Z,2024-12-16T17:46:35Z,2024-12-18T23:50:20Z,https://nasa-pds.github.io/validate/,189503,16,16,Java,True,True,True,True,True,True,11,,False,False,81,True,False,False,"['nasa', 'nasa-pds', 'pds', 'pds4', 'validation']",public,11,81,16,main,NASA-PDS,46757714,MDEyOk9yZ2FuaXphdGlvbjQ2NzU3NzE0,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
193572640,MDEwOlJlcG9zaXRvcnkxOTM1NzI2NDA=,pds3-product-tools,NASA-PDS/pds3-product-tools,False,https://github.com/NASA-PDS/pds3-product-tools,"Library supporting the design/generation, validation and submission of PDS3 archival products.",False,https://api.github.com/repos/NASA-PDS/pds3-product-tools,2019-06-24T20:12:13Z,2024-12-16T20:39:00Z,2024-12-16T20:38:58Z,https://nasa-pds.github.io/pds3-product-tools/,5376,0,0,Java,True,True,True,False,True,False,1,,False,False,5,True,False,False,"['parser', 'pds3']",public,1,5,0,main,NASA-PDS,46757714,MDEyOk9yZ2FuaXphdGlvbjQ2NzU3NzE0,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
193800615,MDEwOlJlcG9zaXRvcnkxOTM4MDA2MTU=,pds4-jparser,NASA-PDS/pds4-jparser,False,https://github.com/NASA-PDS/pds4-jparser,"Java Library providing APIs for parsing and exporting information on PDS4 products, including table and image objects to various formats including CSV, PNG, VICAR, FITs, etc.",False,https://api.github.com/repos/NASA-PDS/pds4-jparser,2019-06-26T00:16:21Z,2024-12-16T17:29:24Z,2024-12-16T17:29:22Z,https://nasa-pds.github.io/pds4-jparser/,38452,3,3,HTML,True,True,True,True,True,False,3,,False,False,11,True,False,False,"['nasa', 'nasa-pds', 'pds4']",public,3,11,3,main,NASA-PDS,46757714,MDEyOk9yZ2FuaXphdGlvbjQ2NzU3NzE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
198517222,MDEwOlJlcG9zaXRvcnkxOTg1MTcyMjI=,transform,NASA-PDS/transform,False,https://github.com/NASA-PDS/transform,Transforms PDS3 and PDS4 product labels and data into various formats.,False,https://api.github.com/repos/NASA-PDS/transform,2019-07-23T22:25:25Z,2024-12-16T17:23:33Z,2024-12-16T17:23:05Z,https://nasa-pds.github.io/transform/,51245,14,14,Java,True,True,True,True,True,True,1,,False,False,18,True,False,False,"['pds3', 'pds4', 'transformations']",public,1,18,14,main,NASA-PDS,46757714,MDEyOk9yZ2FuaXphdGlvbjQ2NzU3NzE0,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
198717028,MDEwOlJlcG9zaXRvcnkxOTg3MTcwMjg=,pds4-information-model,NASA-PDS/pds4-information-model,False,https://github.com/NASA-PDS/pds4-information-model,"The software tools and data necessary for generating the Information Model including PDS4 ontology, data, and information model.",False,https://api.github.com/repos/NASA-PDS/pds4-information-model,2019-07-24T22:19:57Z,2024-12-18T19:28:12Z,2024-12-19T01:03:49Z,https://nasa-pds.github.io/pds4-information-model/,60647,11,11,HTML,True,True,True,True,True,True,7,,False,False,40,True,False,False,"['data-model', 'nasa', 'nasa-pds', 'pds', 'pds4']",public,7,40,11,main,NASA-PDS,46757714,MDEyOk9yZ2FuaXphdGlvbjQ2NzU3NzE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
