id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull
337856651,MDEwOlJlcG9zaXRvcnkzMzc4NTY2NTE=,tropess_compression,NASA-TROPESS/tropess_compression,False,https://github.com/NASA-TROPESS/tropess_compression,,False,https://api.github.com/repos/NASA-TROPESS/tropess_compression,2021-02-10T21:18:40Z,2024-10-22T22:58:15Z,2024-12-12T17:38:43Z,,526,0,0,Python,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,main,NASA-TROPESS,77759893,MDEyOk9yZ2FuaXphdGlvbjc3NzU5ODkz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True
348858282,MDEwOlJlcG9zaXRvcnkzNDg4NTgyODI=,tropess-tools-idl,NASA-TROPESS/tropess-tools-idl,False,https://github.com/NASA-TROPESS/tropess-tools-idl,How to use TROPESS products from IDL,False,https://api.github.com/repos/NASA-TROPESS/tropess-tools-idl,2021-03-17T21:34:53Z,2024-04-22T23:41:52Z,2024-04-22T23:41:50Z,,37,0,0,IDL,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,NASA-TROPESS,77759893,MDEyOk9yZ2FuaXphdGlvbjc3NzU5ODkz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True
350509631,MDEwOlJlcG9zaXRvcnkzNTA1MDk2MzE=,tropess-tools-python,NASA-TROPESS/tropess-tools-python,False,https://github.com/NASA-TROPESS/tropess-tools-python,How to use TROPESS products from Python,False,https://api.github.com/repos/NASA-TROPESS/tropess-tools-python,2021-03-22T22:37:05Z,2024-04-22T23:42:26Z,2024-04-22T23:42:23Z,,18,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,NASA-TROPESS,77759893,MDEyOk9yZ2FuaXphdGlvbjc3NzU5ODkz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True
575971371,R_kgDOIlSgKw,py-sonde-comparison,NASA-TROPESS/py-sonde-comparison,False,https://github.com/NASA-TROPESS/py-sonde-comparison,"Tool to allow for generic comparison of satellite ozone products with ozonesondes, for the TOAR project.",False,https://api.github.com/repos/NASA-TROPESS/py-sonde-comparison,2022-12-08T17:59:17Z,2024-04-22T23:41:15Z,2024-04-22T23:41:12Z,,75,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,NASA-TROPESS,77759893,MDEyOk9yZ2FuaXphdGlvbjc3NzU5ODkz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True
651649658,R_kgDOJtdieg,tutorials_notebooks,NASA-TROPESS/tutorials_notebooks,False,https://github.com/NASA-TROPESS/tutorials_notebooks,This repo contains open-source tools and tutorials developed by scientists and engineers funded by the NASA TROPESS project.,False,https://api.github.com/repos/NASA-TROPESS/tutorials_notebooks,2023-06-09T18:11:17Z,2024-11-05T16:54:55Z,2024-09-04T20:33:06Z,https://tes.jpl.nasa.gov/tropess/,23115,2,2,Jupyter Notebook,True,True,True,False,False,False,4,,False,False,2,True,False,False,"['air-quality', 'atmospheric-chemistry', 'atmospheric-science', 'binder', 'cloud', 'earth-science', 'earthaccess', 'earthdata', 'jpl', 'jupyter', 'jupyter-notebook', 'nasa', 'notebook', 'open-science', 'open-source', 'pollution', 'remote-sensing', 'tropess', 'troposphere', 'wildfires']",public,4,2,2,main,NASA-TROPESS,77759893,MDEyOk9yZ2FuaXphdGlvbjc3NzU5ODkz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True
790460723,R_kgDOLx15Mw,.github,NASA-TROPESS/.github,False,https://github.com/NASA-TROPESS/.github,,False,https://api.github.com/repos/NASA-TROPESS/.github,2024-04-22T23:19:16Z,2024-04-22T23:36:36Z,2024-04-22T23:36:32Z,,12,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,NASA-TROPESS,77759893,MDEyOk9yZ2FuaXphdGlvbjc3NzU5ODkz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True
803403781,R_kgDOL-L4BQ,tropess-notes-python,NASA-TROPESS/tropess-notes-python,False,https://github.com/NASA-TROPESS/tropess-notes-python,,False,https://api.github.com/repos/NASA-TROPESS/tropess-notes-python,2024-05-20T16:52:06Z,2024-08-29T19:16:59Z,2024-08-29T19:16:55Z,,18069,0,0,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,main,NASA-TROPESS,77759893,MDEyOk9yZ2FuaXphdGlvbjc3NzU5ODkz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True
804417486,R_kgDOL_Jvzg,tropess-notes,NASA-TROPESS/tropess-notes,False,https://github.com/NASA-TROPESS/tropess-notes,,False,https://api.github.com/repos/NASA-TROPESS/tropess-notes,2024-05-22T14:46:53Z,2024-07-08T02:34:05Z,2024-05-22T14:58:58Z,,18128,1,1,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,1,main,NASA-TROPESS,77759893,MDEyOk9yZ2FuaXphdGlvbjc3NzU5ODkz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True
804419543,R_kgDOL_J31w,tropess-plots,NASA-TROPESS/tropess-plots,False,https://github.com/NASA-TROPESS/tropess-plots,,False,https://api.github.com/repos/NASA-TROPESS/tropess-plots,2024-05-22T14:51:11Z,2024-05-22T15:02:15Z,2024-05-22T15:02:12Z,,3897,0,0,Python,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,main,NASA-TROPESS,77759893,MDEyOk9yZ2FuaXphdGlvbjc3NzU5ODkz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True
845228596,R_kgDOMmEqNA,IGAC-ShortCourse,NASA-TROPESS/IGAC-ShortCourse,False,https://github.com/NASA-TROPESS/IGAC-ShortCourse,,False,https://api.github.com/repos/NASA-TROPESS/IGAC-ShortCourse,2024-08-20T20:55:25Z,2024-09-26T16:12:45Z,2024-09-26T16:12:42Z,,33385,1,1,Jupyter Notebook,True,True,True,True,False,False,2,,False,False,0,True,False,False,[],public,2,0,1,main,NASA-TROPESS,77759893,MDEyOk9yZ2FuaXphdGlvbjc3NzU5ODkz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True
