id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
9032015,MDEwOlJlcG9zaXRvcnk5MDMyMDE1,coeci-cms-mpsp,NASA-Tournament-Lab/coeci-cms-mpsp,False,https://github.com/NASA-Tournament-Lab/coeci-cms-mpsp,Welcome to the Medicaid Provider Enrollment Screening Portal,False,https://api.github.com/repos/NASA-Tournament-Lab/coeci-cms-mpsp,2013-03-26T14:21:18Z,2024-03-14T15:06:01Z,2016-08-24T21:22:44Z,http://nasa.github.io/coeci-cms-mpsp/,194464,11,11,Java,True,True,True,True,True,False,40,,False,False,55,,True,False,False,[],public,40,55,11,master,NASA-Tournament-Lab,12897307,MDEyOk9yZ2FuaXphdGlvbjEyODk3MzA3,Organization,public,False,False,False,False,False,True,,,,,
14043643,MDEwOlJlcG9zaXRvcnkxNDA0MzY0Mw==,NTL-ISS-Food-Intake-Tracker,NASA-Tournament-Lab/NTL-ISS-Food-Intake-Tracker,False,https://github.com/NASA-Tournament-Lab/NTL-ISS-Food-Intake-Tracker,NASA Tournament Lab (NTL) International Space Station (ISS) Food Intake Tracker (FIT) app for ISS crew to use on their iPads.,False,https://api.github.com/repos/NASA-Tournament-Lab/NTL-ISS-Food-Intake-Tracker,2013-11-01T13:26:32Z,2023-04-02T22:10:17Z,2018-06-21T20:35:38Z,,451870,2,2,Objective-C,True,True,True,True,False,False,0,,False,False,1,,True,False,False,[],public,0,1,2,master,NASA-Tournament-Lab,12897307,MDEyOk9yZ2FuaXphdGlvbjEyODk3MzA3,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
14147473,MDEwOlJlcG9zaXRvcnkxNDE0NzQ3Mw==,CoECI-USAID-Atrocity-Prevention-Model,NASA-Tournament-Lab/CoECI-USAID-Atrocity-Prevention-Model,False,https://github.com/NASA-Tournament-Lab/CoECI-USAID-Atrocity-Prevention-Model,Code from the United States Agency for International Development (USAID) and Humanity United (HU) challenge for Atrocity Prevention Modeling in collaboration with NASA’s Center of Excellence for Collaboration (CoECI).,False,https://api.github.com/repos/NASA-Tournament-Lab/CoECI-USAID-Atrocity-Prevention-Model,2013-11-05T16:46:19Z,2021-04-22T03:30:48Z,2013-12-03T22:04:31Z,,172,9,9,C,True,True,True,True,False,False,12,,False,False,0,,True,False,False,[],public,12,0,9,master,NASA-Tournament-Lab,12897307,MDEyOk9yZ2FuaXphdGlvbjEyODk3MzA3,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
14172498,MDEwOlJlcG9zaXRvcnkxNDE3MjQ5OA==,CoECI-CMS-Healthcare-Fraud-Prevention,NASA-Tournament-Lab/CoECI-CMS-Healthcare-Fraud-Prevention,False,https://github.com/NASA-Tournament-Lab/CoECI-CMS-Healthcare-Fraud-Prevention,"The Healthcare Fraud Prevention Partnership (HFPP) through United States Centers for Medicare & Medicaid Services (CMS) in collaboration with NASA’s Center of Excellence for Collaboration (CoECI), Harvard, and TopCoder developed software that supports a data exchange network that enables healthcare insurance-paying entities in both the public and private sector to safely and securely share information for purposes of prevention and detection of fraud, waste and abuse across partners.",False,https://api.github.com/repos/NASA-Tournament-Lab/CoECI-CMS-Healthcare-Fraud-Prevention,2013-11-06T12:57:45Z,2024-11-30T16:16:11Z,2014-02-07T21:56:39Z,,39028,14,14,JavaScript,True,True,True,True,False,False,11,,False,False,0,,True,False,False,[],public,11,0,14,master,NASA-Tournament-Lab,12897307,MDEyOk9yZ2FuaXphdGlvbjEyODk3MzA3,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
14905310,MDEwOlJlcG9zaXRvcnkxNDkwNTMxMA==,NTL-ISS-Robonaut-2-Vision-Algorithm-Challenge,NASA-Tournament-Lab/NTL-ISS-Robonaut-2-Vision-Algorithm-Challenge,False,https://github.com/NASA-Tournament-Lab/NTL-ISS-Robonaut-2-Vision-Algorithm-Challenge,"The NASA Tournament Lab (NTL) challenge to create an algorithm to help Robonaut ""see"" objects and recognize them.  This repository contains the set of winning algorithms that are being used to develop the next generation Robonaut control software.",False,https://api.github.com/repos/NASA-Tournament-Lab/NTL-ISS-Robonaut-2-Vision-Algorithm-Challenge,2013-12-03T20:45:23Z,2021-01-21T15:12:12Z,2014-01-09T18:02:42Z,,37384,0,0,C++,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NASA-Tournament-Lab,12897307,MDEyOk9yZ2FuaXphdGlvbjEyODk3MzA3,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
17408946,MDEwOlJlcG9zaXRvcnkxNzQwODk0Ng==,CoECI-OPM-Service-Credit-Redeposit-Deposit-Application,NASA-Tournament-Lab/CoECI-OPM-Service-Credit-Redeposit-Deposit-Application,False,https://github.com/NASA-Tournament-Lab/CoECI-OPM-Service-Credit-Redeposit-Deposit-Application,This repository houses code for the United States Office of Personnel Management Service Credit Re-deposit/Deposit (SCRD) Application.,False,https://api.github.com/repos/NASA-Tournament-Lab/CoECI-OPM-Service-Credit-Redeposit-Deposit-Application,2014-03-04T16:37:51Z,2024-10-07T12:55:33Z,2014-07-30T22:44:51Z,,607268,6,6,Java,True,True,True,True,False,False,9,,False,False,24,,True,False,False,[],public,9,24,6,master,NASA-Tournament-Lab,12897307,MDEyOk9yZ2FuaXphdGlvbjEyODk3MzA3,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
19785686,MDEwOlJlcG9zaXRvcnkxOTc4NTY4Ng==,NTL-Solution-Mechanism-Guide,NASA-Tournament-Lab/NTL-Solution-Mechanism-Guide,False,https://github.com/NASA-Tournament-Lab/NTL-Solution-Mechanism-Guide,The Solution Mechanism Guide (SMG) is a tool to educate our scientists and managers about what tools are available for them to utilize in order to solve the challenges of spaceflight.,False,https://api.github.com/repos/NASA-Tournament-Lab/NTL-Solution-Mechanism-Guide,2014-05-14T15:45:45Z,2023-04-02T22:03:43Z,2016-07-13T19:09:37Z,,67651,2,2,JavaScript,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,2,master,NASA-Tournament-Lab,12897307,MDEyOk9yZ2FuaXphdGlvbjEyODk3MzA3,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
33318390,MDEwOlJlcG9zaXRvcnkzMzMxODM5MA==,CoECI-CMS-Provider-Enrollment,NASA-Tournament-Lab/CoECI-CMS-Provider-Enrollment,False,https://github.com/NASA-Tournament-Lab/CoECI-CMS-Provider-Enrollment,CMS Provider enrollment application developed via CoECI.,False,https://api.github.com/repos/NASA-Tournament-Lab/CoECI-CMS-Provider-Enrollment,2015-04-02T16:04:18Z,2015-06-19T14:22:54Z,2015-09-04T21:25:58Z,,6764,0,0,,True,True,True,True,False,False,6,,False,False,0,,True,False,False,[],public,6,0,0,master,NASA-Tournament-Lab,12897307,MDEyOk9yZ2FuaXphdGlvbjEyODk3MzA3,Organization,public,False,False,False,False,False,True,,,,,
78032940,MDEwOlJlcG9zaXRvcnk3ODAzMjk0MA==,NTL-ISS-Robonaut-2-Vision-Tool-Manipulation-Algorithm-Challenge,NASA-Tournament-Lab/NTL-ISS-Robonaut-2-Vision-Tool-Manipulation-Algorithm-Challenge,False,https://github.com/NASA-Tournament-Lab/NTL-ISS-Robonaut-2-Vision-Tool-Manipulation-Algorithm-Challenge,This algorithm is used on NASA's Robonaut 2 to localize a set of tools using stereo vision data.  This data will ultimately be reported back to the robot to inform grasp planning.,False,https://api.github.com/repos/NASA-Tournament-Lab/NTL-ISS-Robonaut-2-Vision-Tool-Manipulation-Algorithm-Challenge,2017-01-04T16:30:34Z,2021-01-21T15:15:44Z,2017-01-04T16:30:35Z,,4,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NASA-Tournament-Lab,12897307,MDEyOk9yZ2FuaXphdGlvbjEyODk3MzA3,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
79369426,MDEwOlJlcG9zaXRvcnk3OTM2OTQyNg==,NTL-Partnership-Agreement-Maker-GUI,NASA-Tournament-Lab/NTL-Partnership-Agreement-Maker-GUI,False,https://github.com/NASA-Tournament-Lab/NTL-Partnership-Agreement-Maker-GUI,,False,https://api.github.com/repos/NASA-Tournament-Lab/NTL-Partnership-Agreement-Maker-GUI,2017-01-18T18:17:22Z,2023-04-02T22:10:34Z,2017-04-24T16:41:27Z,,19058,1,1,CSS,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,1,master,NASA-Tournament-Lab,12897307,MDEyOk9yZ2FuaXphdGlvbjEyODk3MzA3,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
