id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
38774707,MDEwOlJlcG9zaXRvcnkzODc3NDcwNw==,FurryRobot,NASADatanauts/FurryRobot,False,https://github.com/NASADatanauts/FurryRobot,Test repo for robot universe,False,https://api.github.com/repos/NASADatanauts/FurryRobot,2015-07-08T19:17:31Z,2015-07-08T19:17:31Z,2015-07-08T19:40:30Z,,112,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NASADatanauts,13242850,MDEyOk9yZ2FuaXphdGlvbjEzMjQyODUw,Organization,public,False,False,False,False,False,True,,,,,
63538526,MDEwOlJlcG9zaXRvcnk2MzUzODUyNg==,JasonsOutgassingDBClient,NASADatanauts/JasonsOutgassingDBClient,False,https://github.com/NASADatanauts/JasonsOutgassingDBClient,a repo to build a front-end for the NASA Outgassing dataset using APIs,False,https://api.github.com/repos/NASADatanauts/JasonsOutgassingDBClient,2016-07-17T15:22:21Z,2016-07-17T15:22:21Z,2016-07-17T16:41:35Z,,8,0,0,,True,True,True,True,True,False,3,,False,False,0,,True,False,False,[],public,3,0,0,master,NASADatanauts,13242850,MDEyOk9yZ2FuaXphdGlvbjEzMjQyODUw,Organization,public,False,False,False,False,False,True,,,,,
63619655,MDEwOlJlcG9zaXRvcnk2MzYxOTY1NQ==,testing,NASADatanauts/testing,False,https://github.com/NASADatanauts/testing,Trying out GH pages lesson,False,https://api.github.com/repos/NASADatanauts/testing,2016-07-18T16:35:29Z,2016-07-18T16:35:29Z,2016-07-18T17:47:21Z,,23,0,0,,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NASADatanauts,13242850,MDEyOk9yZ2FuaXphdGlvbjEzMjQyODUw,Organization,public,False,False,False,False,False,True,,,,,
63624955,MDEwOlJlcG9zaXRvcnk2MzYyNDk1NQ==,Learn2CodeGH-Page,NASADatanauts/Learn2CodeGH-Page,False,https://github.com/NASADatanauts/Learn2CodeGH-Page,The incredible Jason Duley of NASA created this how-to guide for beginners to GitHub.,False,https://api.github.com/repos/NASADatanauts/Learn2CodeGH-Page,2016-07-18T17:53:44Z,2024-04-23T01:45:27Z,2016-07-18T18:37:14Z,,9,4,4,CSS,True,True,True,True,True,False,1,,False,False,0,,True,False,False,[],public,1,0,4,gh-pages,NASADatanauts,13242850,MDEyOk9yZ2FuaXphdGlvbjEzMjQyODUw,Organization,public,False,False,False,False,False,True,,,,,
63810139,MDEwOlJlcG9zaXRvcnk2MzgxMDEzOQ==,alexisylchan,NASADatanauts/alexisylchan,False,https://github.com/NASADatanauts/alexisylchan,,False,https://api.github.com/repos/NASADatanauts/alexisylchan,2016-07-20T19:54:20Z,2024-04-23T01:44:47Z,2016-08-27T12:50:07Z,,796,7,7,Jupyter Notebook,True,True,True,True,False,False,3,,False,False,0,,True,False,False,[],public,3,0,7,master,NASADatanauts,13242850,MDEyOk9yZ2FuaXphdGlvbjEzMjQyODUw,Organization,public,False,False,False,False,False,True,,,,,
63900948,MDEwOlJlcG9zaXRvcnk2MzkwMDk0OA==,tabinfl,NASADatanauts/tabinfl,False,https://github.com/NASADatanauts/tabinfl,,False,https://api.github.com/repos/NASADatanauts/tabinfl,2016-07-21T20:40:20Z,2016-08-03T17:09:09Z,2016-08-03T17:09:08Z,,61,0,0,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NASADatanauts,13242850,MDEyOk9yZ2FuaXphdGlvbjEzMjQyODUw,Organization,public,False,False,False,False,False,True,,,,,
63903304,MDEwOlJlcG9zaXRvcnk2MzkwMzMwNA==,theSiberman,NASADatanauts/theSiberman,False,https://github.com/NASADatanauts/theSiberman,,False,https://api.github.com/repos/NASADatanauts/theSiberman,2016-07-21T21:23:20Z,2016-07-21T21:23:20Z,2016-07-21T21:23:20Z,,0,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NASADatanauts,13242850,MDEyOk9yZ2FuaXphdGlvbjEzMjQyODUw,Organization,public,False,False,False,False,False,True,,,,,
63903866,MDEwOlJlcG9zaXRvcnk2MzkwMzg2Ng==,hd23408,NASADatanauts/hd23408,False,https://github.com/NASADatanauts/hd23408,,False,https://api.github.com/repos/NASADatanauts/hd23408,2016-07-21T21:35:23Z,2016-07-21T21:35:23Z,2016-07-21T21:35:24Z,,0,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NASADatanauts,13242850,MDEyOk9yZ2FuaXphdGlvbjEzMjQyODUw,Organization,public,False,False,False,False,False,True,,,,,
63954964,MDEwOlJlcG9zaXRvcnk2Mzk1NDk2NA==,jknight001,NASADatanauts/jknight001,False,https://github.com/NASADatanauts/jknight001,,False,https://api.github.com/repos/NASADatanauts/jknight001,2016-07-22T13:21:53Z,2016-07-22T13:21:53Z,2016-07-22T13:21:54Z,,0,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NASADatanauts,13242850,MDEyOk9yZ2FuaXphdGlvbjEzMjQyODUw,Organization,public,False,False,False,False,False,True,,,,,
64038187,MDEwOlJlcG9zaXRvcnk2NDAzODE4Nw==,brianavecchione,NASADatanauts/brianavecchione,False,https://github.com/NASADatanauts/brianavecchione,,False,https://api.github.com/repos/NASADatanauts/brianavecchione,2016-07-23T22:16:24Z,2016-07-23T22:16:24Z,2016-07-24T15:58:22Z,,10,0,0,,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NASADatanauts,13242850,MDEyOk9yZ2FuaXphdGlvbjEzMjQyODUw,Organization,public,False,False,False,False,False,True,,,,,
