id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
22852450,MDEwOlJlcG9zaXRvcnkyMjg1MjQ1MA==,cdisutils,NCI-GDC/cdisutils,False,https://github.com/NCI-GDC/cdisutils,Utility modules for GDC functionality,False,https://api.github.com/repos/NCI-GDC/cdisutils,2014-08-11T19:47:48Z,2024-08-12T20:53:39Z,2024-08-12T20:54:21Z,,422,1,1,Python,False,True,True,True,False,False,2,,False,False,14,,True,False,False,"['core', 'library']",public,2,14,1,develop,NCI-GDC,7882952,MDEyOk9yZ2FuaXphdGlvbjc4ODI5NTI=,Organization,public,False,False,False,False,False,True,,,,,
24725091,MDEwOlJlcG9zaXRvcnkyNDcyNTA5MQ==,portal-ui,NCI-GDC/portal-ui,False,https://github.com/NCI-GDC/portal-ui,GDC Data Portal UI,False,https://api.github.com/repos/NCI-GDC/portal-ui,2014-10-02T15:39:36Z,2024-07-09T21:18:53Z,2024-07-09T21:18:11Z,https://portal.gdc.cancer.gov/,33381,18,18,JavaScript,False,False,True,False,False,False,10,,True,False,0,,True,False,False,"['core', 'd3', 'flow', 'frontend', 'jest', 'react', 'recompose', 'redux', 'relay']",public,10,0,18,develop,NCI-GDC,7882952,MDEyOk9yZ2FuaXphdGlvbjc4ODI5NTI=,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
24822528,MDEwOlJlcG9zaXRvcnkyNDgyMjUyOA==,gdcdatamodel,NCI-GDC/gdcdatamodel,False,https://github.com/NCI-GDC/gdcdatamodel,Translation layer between the GDC Data Dictionary and psqlgraph,False,https://api.github.com/repos/NCI-GDC/gdcdatamodel,2014-10-05T18:18:38Z,2024-08-13T02:42:07Z,2024-03-22T20:54:59Z,https://gdc.cancer.gov/developers/gdc-data-model,13166,28,28,Python,False,True,True,True,False,False,3,,False,False,14,,True,False,False,"['core', 'library']",public,3,14,28,develop,NCI-GDC,7882952,MDEyOk9yZ2FuaXphdGlvbjc4ODI5NTI=,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
27442291,MDEwOlJlcG9zaXRvcnkyNzQ0MjI5MQ==,psqlgraph,NCI-GDC/psqlgraph,False,https://github.com/NCI-GDC/psqlgraph,Library for graph-like storage in postgresql using sqlalchemy,False,https://api.github.com/repos/NCI-GDC/psqlgraph,2014-12-02T16:45:42Z,2024-07-29T19:05:30Z,2024-12-18T22:26:21Z,,6061,21,21,Python,False,True,True,True,False,False,6,,False,False,9,,True,False,False,"['core', 'library']",public,6,9,21,develop,NCI-GDC,7882952,MDEyOk9yZ2FuaXphdGlvbjc4ODI5NTI=,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
39018009,MDEwOlJlcG9zaXRvcnkzOTAxODAwOQ==,gdcdictionary,NCI-GDC/gdcdictionary,False,https://github.com/NCI-GDC/gdcdictionary,Data dictionary for the GDC,False,https://api.github.com/repos/NCI-GDC/gdcdictionary,2015-07-13T14:45:06Z,2024-08-30T15:24:02Z,2024-09-17T15:36:22Z,https://docs.gdc.cancer.gov/Data_Dictionary/viewer/,7717,50,50,Python,True,True,True,True,False,False,37,,False,False,12,,True,False,False,"['core', 'library']",public,37,12,50,develop,NCI-GDC,7882952,MDEyOk9yZ2FuaXphdGlvbjc4ODI5NTI=,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
40255930,MDEwOlJlcG9zaXRvcnk0MDI1NTkzMA==,gdc-client,NCI-GDC/gdc-client,False,https://github.com/NCI-GDC/gdc-client,GDC Data Transfer Tool,False,https://api.github.com/repos/NCI-GDC/gdc-client,2015-08-05T16:22:22Z,2024-12-11T11:40:10Z,2024-09-11T17:30:33Z,https://gdc.cancer.gov/access-data/gdc-data-transfer-tool,6275,147,147,Python,False,True,True,True,False,False,40,,False,False,48,,True,False,False,[],public,40,48,147,develop,NCI-GDC,7882952,MDEyOk9yZ2FuaXphdGlvbjc4ODI5NTI=,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
46375484,MDEwOlJlcG9zaXRvcnk0NjM3NTQ4NA==,picard-docker,NCI-GDC/picard-docker,False,https://github.com/NCI-GDC/picard-docker,,False,https://api.github.com/repos/NCI-GDC/picard-docker,2015-11-17T21:07:02Z,2023-04-19T18:10:26Z,2023-04-14T15:48:53Z,,47,0,0,Shell,False,False,True,False,False,False,1,,False,False,0,,True,False,False,"['bioinformatics', 'docker']",public,1,0,0,master,NCI-GDC,7882952,MDEyOk9yZ2FuaXphdGlvbjc4ODI5NTI=,Organization,public,False,False,False,False,False,True,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=
46740095,MDEwOlJlcG9zaXRvcnk0Njc0MDA5NQ==,merge-sqlite,NCI-GDC/merge-sqlite,False,https://github.com/NCI-GDC/merge-sqlite,,False,https://api.github.com/repos/NCI-GDC/merge-sqlite,2015-11-23T18:35:17Z,2023-05-25T21:31:02Z,2023-10-18T03:04:11Z,,79,0,0,Python,False,False,True,False,False,False,1,,False,False,3,,True,False,False,"['bioinformatics', 'docker', 'workflow-tool']",public,1,3,0,main,NCI-GDC,7882952,MDEyOk9yZ2FuaXphdGlvbjc4ODI5NTI=,Organization,public,False,False,False,False,False,True,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=
47355871,MDEwOlJlcG9zaXRvcnk0NzM1NTg3MQ==,biobambam-docker,NCI-GDC/biobambam-docker,False,https://github.com/NCI-GDC/biobambam-docker,,False,https://api.github.com/repos/NCI-GDC/biobambam-docker,2015-12-03T19:42:52Z,2023-05-25T21:29:34Z,2023-07-24T20:20:19Z,,47,0,0,Dockerfile,False,False,True,False,False,False,3,,False,False,1,,True,False,False,"['bioinformatics', 'docker']",public,3,1,0,master,NCI-GDC,7882952,MDEyOk9yZ2FuaXphdGlvbjc4ODI5NTI=,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
47422677,MDEwOlJlcG9zaXRvcnk0NzQyMjY3Nw==,fastqc-docker,NCI-GDC/fastqc-docker,False,https://github.com/NCI-GDC/fastqc-docker,,False,https://api.github.com/repos/NCI-GDC/fastqc-docker,2015-12-04T18:47:42Z,2023-05-25T21:30:08Z,2021-02-19T16:25:34Z,,32,0,0,Makefile,False,False,True,False,False,False,0,,False,False,0,,True,False,False,"['bioinformatics', 'docker']",public,0,0,0,main,NCI-GDC,7882952,MDEyOk9yZ2FuaXphdGlvbjc4ODI5NTI=,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
