id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
7133860,MDEwOlJlcG9zaXRvcnk3MTMzODYw,ncip.github.com,NCIP/ncip.github.com,False,https://github.com/NCIP/ncip.github.com,This is the repository for the NCIP channel page.  It hosts the wiki pages and the issue tracker related to the migration activity. ,False,https://api.github.com/repos/NCIP/ncip.github.com,2012-12-12T16:51:17Z,2023-01-28T13:49:33Z,2014-01-30T17:37:40Z,,2170,2,2,Ruby,True,True,True,True,True,False,7,,True,False,11,,True,False,False,[],public,7,11,2,master,NCIP,2387173,MDEyOk9yZ2FuaXphdGlvbjIzODcxNzM=,Organization,public,False,False,False,False,False,True,,,,,
7276325,MDEwOlJlcG9zaXRvcnk3Mjc2MzI1,c3pr,NCIP/c3pr,False,https://github.com/NCIP/c3pr,C3PR is a web-based application that can be used for end-to-end registration of patients in clinical trials.,False,https://api.github.com/repos/NCIP/c3pr,2012-12-21T16:50:06Z,2023-01-28T13:49:33Z,2013-04-24T20:26:04Z,,1785956,2,2,Groovy,True,True,True,True,True,False,1,,True,False,0,,True,False,False,[],public,1,0,2,master,NCIP,2387173,MDEyOk9yZ2FuaXphdGlvbjIzODcxNzM=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
7276330,MDEwOlJlcG9zaXRvcnk3Mjc2MzMw,c3pr-docs,NCIP/c3pr-docs,False,https://github.com/NCIP/c3pr-docs,This is the document repository of the c3pr project under the NCIP channel.,False,https://api.github.com/repos/NCIP/c3pr-docs,2012-12-21T16:50:33Z,2023-01-28T13:49:34Z,2013-03-08T19:59:04Z,,1992004,1,1,Logos,True,True,True,True,False,False,0,,True,False,0,,True,False,False,[],public,0,0,1,master,NCIP,2387173,MDEyOk9yZ2FuaXphdGlvbjIzODcxNzM=,Organization,public,False,False,False,False,False,True,,,,,
7276334,MDEwOlJlcG9zaXRvcnk3Mjc2MzM0,psc,NCIP/psc,False,https://github.com/NCIP/psc,Patient Study Calendar is a web application for tracking patients in clinical trials.,False,https://api.github.com/repos/NCIP/psc,2012-12-21T16:50:54Z,2023-01-28T14:00:17Z,2013-04-18T15:16:02Z,,239595,3,3,Java,False,True,True,False,True,False,1,,True,False,0,,True,False,False,[],public,1,0,3,master,NCIP,2387173,MDEyOk9yZ2FuaXphdGlvbjIzODcxNzM=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
7276339,MDEwOlJlcG9zaXRvcnk3Mjc2MzM5,psc-docs,NCIP/psc-docs,False,https://github.com/NCIP/psc-docs,This is the documentation repository for the Patient Study Calendar (PSC) Project that is under the NCIP channel.,False,https://api.github.com/repos/NCIP/psc-docs,2012-12-21T16:51:25Z,2023-01-28T13:49:33Z,2013-03-08T20:02:26Z,,627560,0,0,Logos,False,True,True,False,False,False,0,,True,False,0,,True,False,False,[],public,0,0,0,master,NCIP,2387173,MDEyOk9yZ2FuaXphdGlvbjIzODcxNzM=,Organization,public,False,False,False,False,False,True,,,,,
7414618,MDEwOlJlcG9zaXRvcnk3NDE0NjE4,cagwas,NCIP/cagwas,False,https://github.com/NCIP/cagwas,"Cancer Genome-Wide Association Studies (caGWAS) allows researchers to integrate, query, report, and analyze significant associations between genetic variations and disease, drug response or other clinical outcomes",False,https://api.github.com/repos/NCIP/cagwas,2013-01-02T22:39:44Z,2023-01-28T13:49:33Z,2013-05-06T17:53:23Z,,140936,0,0,JavaScript,True,True,True,True,True,False,1,,True,False,0,,True,False,False,[],public,1,0,0,master,NCIP,2387173,MDEyOk9yZ2FuaXphdGlvbjIzODcxNzM=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
7429253,MDEwOlJlcG9zaXRvcnk3NDI5MjUz,cab2b,NCIP/cab2b,False,https://github.com/NCIP/cab2b,cancer Bench-to-Beside (caB2B) is an open-source query tool that permits translational research scientists to search and combine data from virtually any caGrid data service.,False,https://api.github.com/repos/NCIP/cab2b,2013-01-03T19:53:09Z,2024-03-12T12:37:22Z,2013-05-06T17:50:47Z,,464241,1,1,Java,True,True,True,True,True,False,2,,True,False,0,,True,False,False,[],public,2,0,1,master,NCIP,2387173,MDEyOk9yZ2FuaXphdGlvbjIzODcxNzM=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
7501624,MDEwOlJlcG9zaXRvcnk3NTAxNjI0,caintegrator,NCIP/caintegrator,False,https://github.com/NCIP/caintegrator,"caIntegrator brings together clinical, microarray and medical imaging data for integrative data query and analysis.",False,https://api.github.com/repos/NCIP/caintegrator,2013-01-08T13:10:39Z,2023-01-28T13:49:33Z,2018-02-13T21:37:59Z,,4324983,2,2,Java,True,True,True,True,True,False,0,,True,False,0,,True,False,False,[],public,0,0,2,master,NCIP,2387173,MDEyOk9yZ2FuaXphdGlvbjIzODcxNzM=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
7501638,MDEwOlJlcG9zaXRvcnk3NTAxNjM4,caarray,NCIP/caarray,False,https://github.com/NCIP/caarray,"caArray is a web-based application supporting the storage, annotation, and sharing of microarray data.",False,https://api.github.com/repos/NCIP/caarray,2013-01-08T13:11:18Z,2023-01-28T13:49:34Z,2018-02-20T18:46:32Z,,4842449,2,2,Mathematica,True,True,True,True,True,False,1,,True,False,0,,True,False,False,[],public,1,0,2,master,NCIP,2387173,MDEyOk9yZ2FuaXphdGlvbjIzODcxNzM=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
7501754,MDEwOlJlcG9zaXRvcnk3NTAxNzU0,caarray-docs,NCIP/caarray-docs,False,https://github.com/NCIP/caarray-docs,This is the documentation repository for caArray project that is under the NCIP channel.,False,https://api.github.com/repos/NCIP/caarray-docs,2013-01-08T13:20:55Z,2023-01-28T13:49:34Z,2014-01-21T15:03:38Z,,1418836,0,0,Java,True,True,True,True,False,False,0,,True,False,0,,True,False,False,[],public,0,0,0,master,NCIP,2387173,MDEyOk9yZ2FuaXphdGlvbjIzODcxNzM=,Organization,public,False,False,False,False,False,True,,,,,
