id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
77162017,MDEwOlJlcG9zaXRvcnk3NzE2MjAxNw==,READ-EDAB-neusAtlantis,NEFSC/READ-EDAB-neusAtlantis,False,https://github.com/NEFSC/READ-EDAB-neusAtlantis,https://github.com/NEFSC/READ-EDAB-neusAtlantis/wiki,False,https://api.github.com/repos/NEFSC/READ-EDAB-neusAtlantis,2016-12-22T17:04:20Z,2024-12-11T15:06:18Z,2024-12-11T21:05:51Z,https://github.com/NEFSC/READ-EDAB-neusAtlantis/wiki,1104239,6,6,TypeScript,True,True,True,True,True,False,0,,False,False,16,True,False,False,[],public,0,16,6,master,NEFSC,68607162,MDEyOk9yZ2FuaXphdGlvbjY4NjA3MTYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
80762020,MDEwOlJlcG9zaXRvcnk4MDc2MjAyMA==,READ-PDB-CPERRETTI-index_methods,NEFSC/READ-PDB-CPERRETTI-index_methods,False,https://github.com/NEFSC/READ-PDB-CPERRETTI-index_methods,Code for paper on index-based stock assessments,False,https://api.github.com/repos/NEFSC/READ-PDB-CPERRETTI-index_methods,2017-02-02T19:44:13Z,2023-10-18T13:26:43Z,2021-05-13T20:31:02Z,,18121,0,0,R,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,NEFSC,68607162,MDEyOk9yZ2FuaXphdGlvbjY4NjA3MTYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
89493949,MDEwOlJlcG9zaXRvcnk4OTQ5Mzk0OQ==,READ-PDB-JDeroba-SPASAM,NEFSC/READ-PDB-JDeroba-SPASAM,False,https://github.com/NEFSC/READ-PDB-JDeroba-SPASAM,SPATIAL MODELS CODE,True,https://api.github.com/repos/NEFSC/READ-PDB-JDeroba-SPASAM,2017-04-26T14:59:22Z,2023-10-18T13:26:43Z,2024-03-18T21:56:16Z,,21789,0,0,TeX,False,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,master,NEFSC,68607162,MDEyOk9yZ2FuaXphdGlvbjY4NjA3MTYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
116714089,MDEwOlJlcG9zaXRvcnkxMTY3MTQwODk=,READ-PDB-CPERRETTI-soe_trends,NEFSC/READ-PDB-CPERRETTI-soe_trends,False,https://github.com/NEFSC/READ-PDB-CPERRETTI-soe_trends,Code to compare methods for detecting trends in time series,False,https://api.github.com/repos/NEFSC/READ-PDB-CPERRETTI-soe_trends,2018-01-08T18:42:03Z,2023-10-18T13:26:44Z,2021-05-13T20:30:32Z,,1572,0,0,R,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,master,NEFSC,68607162,MDEyOk9yZ2FuaXphdGlvbjY4NjA3MTYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
128395448,MDEwOlJlcG9zaXRvcnkxMjgzOTU0NDg=,READ-SSB-metadata,NEFSC/READ-SSB-metadata,False,https://github.com/NEFSC/READ-SSB-metadata,"metadata, tips, tricks for databases.",False,https://api.github.com/repos/NEFSC/READ-SSB-metadata,2018-04-06T13:02:34Z,2024-12-03T17:03:33Z,2024-12-03T17:03:02Z,,13266,1,1,Stata,True,True,True,True,False,False,4,,False,False,10,True,False,False,[],public,4,10,1,master,NEFSC,68607162,MDEyOk9yZ2FuaXphdGlvbjY4NjA3MTYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
151282934,MDEwOlJlcG9zaXRvcnkxNTEyODI5MzQ=,READ-PDB-CPERRETTI-state-space-tests,NEFSC/READ-PDB-CPERRETTI-state-space-tests,False,https://github.com/NEFSC/READ-PDB-CPERRETTI-state-space-tests,Simulation tests of a state space assessment model,False,https://api.github.com/repos/NEFSC/READ-PDB-CPERRETTI-state-space-tests,2018-10-02T16:02:18Z,2023-10-18T13:26:45Z,2021-05-13T20:32:51Z,,173741,0,0,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NEFSC,68607162,MDEyOk9yZ2FuaXphdGlvbjY4NjA3MTYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
153655789,MDEwOlJlcG9zaXRvcnkxNTM2NTU3ODk=,READ-PDB-JDeroba-AGEPRO,NEFSC/READ-PDB-JDeroba-AGEPRO,False,https://github.com/NEFSC/READ-PDB-JDeroba-AGEPRO,,False,https://api.github.com/repos/NEFSC/READ-PDB-JDeroba-AGEPRO,2018-10-18T16:38:52Z,2023-10-18T13:26:45Z,2022-07-06T19:37:54Z,,625,0,0,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NEFSC,68607162,MDEyOk9yZ2FuaXphdGlvbjY4NjA3MTYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
167258370,MDEwOlJlcG9zaXRvcnkxNjcyNTgzNzA=,READ-PSB-LWT-narwss_rwsas_apps,NEFSC/READ-PSB-LWT-narwss_rwsas_apps,False,https://github.com/NEFSC/READ-PSB-LWT-narwss_rwsas_apps,,False,https://api.github.com/repos/NEFSC/READ-PSB-LWT-narwss_rwsas_apps,2019-01-23T21:39:22Z,2024-11-18T17:15:39Z,2024-10-18T21:52:42Z,,12425,12,12,R,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,12,master,NEFSC,68607162,MDEyOk9yZ2FuaXphdGlvbjY4NjA3MTYy,Organization,public,False,cc0-1.0,Creative Commons Zero v1.0 Universal,CC0-1.0,https://api.github.com/licenses/cc0-1.0,MDc6TGljZW5zZTY=,False,False,False,False,True,
173199607,MDEwOlJlcG9zaXRvcnkxNzMxOTk2MDc=,READ-PDB-SAM,NEFSC/READ-PDB-SAM,False,https://github.com/NEFSC/READ-PDB-SAM,,False,https://api.github.com/repos/NEFSC/READ-PDB-SAM,2019-02-28T22:52:19Z,2023-10-18T13:26:46Z,2021-05-13T20:32:15Z,,52259,0,0,R,True,True,True,True,False,False,0,,True,False,0,True,False,False,[],public,0,0,0,master,NEFSC,68607162,MDEyOk9yZ2FuaXphdGlvbjY4NjA3MTYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
191782438,MDEwOlJlcG9zaXRvcnkxOTE3ODI0Mzg=,READ-PSB-LWT-DFO_NARW_trigger,NEFSC/READ-PSB-LWT-DFO_NARW_trigger,False,https://github.com/NEFSC/READ-PSB-LWT-DFO_NARW_trigger,,False,https://api.github.com/repos/NEFSC/READ-PSB-LWT-DFO_NARW_trigger,2019-06-13T14:50:44Z,2023-10-18T13:26:47Z,2021-05-11T21:40:57Z,,16690,2,2,R,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,2,master,NEFSC,68607162,MDEyOk9yZ2FuaXphdGlvbjY4NjA3MTYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
192930933,MDEwOlJlcG9zaXRvcnkxOTI5MzA5MzM=,READ-PDB-JDeroba-SAM,NEFSC/READ-PDB-JDeroba-SAM,False,https://github.com/NEFSC/READ-PDB-JDeroba-SAM,Some code for running SAM and creating diagnostics,False,https://api.github.com/repos/NEFSC/READ-PDB-JDeroba-SAM,2019-06-20T14:05:01Z,2023-10-18T13:26:47Z,2022-07-06T19:23:29Z,,139,0,0,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NEFSC,68607162,MDEyOk9yZ2FuaXphdGlvbjY4NjA3MTYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
193498833,MDEwOlJlcG9zaXRvcnkxOTM0OTg4MzM=,Shiny-User-Group,NEFSC/Shiny-User-Group,False,https://github.com/NEFSC/Shiny-User-Group,,False,https://api.github.com/repos/NEFSC/Shiny-User-Group,2019-06-24T12:13:59Z,2023-10-18T13:26:47Z,2023-03-28T16:22:03Z,,66173,3,3,HTML,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,3,master,NEFSC,68607162,MDEyOk9yZ2FuaXphdGlvbjY4NjA3MTYy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
