id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
318012652,MDEwOlJlcG9zaXRvcnkzMTgwMTI2NTI=,MacaqueColorCategories,NEI-LSR/MacaqueColorCategories,False,https://github.com/NEI-LSR/MacaqueColorCategories,,False,https://api.github.com/repos/NEI-LSR/MacaqueColorCategories,2020-12-02T22:51:13Z,2024-12-01T12:01:04Z,2024-12-01T12:01:00Z,,323600,0,0,TeX,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,NEI-LSR,92123312,O_kgDOBX2wsA,Organization,public,False,False,False,False,False,True,,,,,
358388927,MDEwOlJlcG9zaXRvcnkzNTgzODg5Mjc=,Kofiko,NEI-LSR/Kofiko,False,https://github.com/NEI-LSR/Kofiko,,True,https://api.github.com/repos/NEI-LSR/Kofiko,2021-04-15T20:48:50Z,2022-10-20T18:54:49Z,2023-04-25T17:51:32Z,,334455,0,0,MATLAB,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,Josh-branch,NEI-LSR,92123312,O_kgDOBX2wsA,Organization,public,False,False,False,False,False,True,,,,,
398315744,MDEwOlJlcG9zaXRvcnkzOTgzMTU3NDQ=,fMRI-Stimuli,NEI-LSR/fMRI-Stimuli,False,https://github.com/NEI-LSR/fMRI-Stimuli,Psychtoolbox Scripts for fMRI Presentation,False,https://api.github.com/repos/NEI-LSR/fMRI-Stimuli,2021-08-20T15:10:25Z,2024-11-26T14:43:54Z,2024-11-26T14:43:39Z,,22705702,4,4,MATLAB,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,4,main,NEI-LSR,92123312,O_kgDOBX2wsA,Organization,public,False,False,False,False,False,True,,,,,
470313382,R_kgDOHAhppg,Section-on-Perception-Cognition-and-Action,NEI-LSR/Section-on-Perception-Cognition-and-Action,False,https://github.com/NEI-LSR/Section-on-Perception-Cognition-and-Action,,False,https://api.github.com/repos/NEI-LSR/Section-on-Perception-Cognition-and-Action,2022-03-15T19:59:17Z,2023-06-26T14:41:28Z,2023-03-11T08:32:17Z,,3712,1,1,SCSS,True,True,True,True,True,False,3,,False,False,0,,True,False,False,[],public,3,0,1,master,NEI-LSR,92123312,O_kgDOBX2wsA,Organization,public,False,False,False,False,False,True,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz
483804611,R_kgDOHNZFww,MRI-ResponseBox,NEI-LSR/MRI-ResponseBox,False,https://github.com/NEI-LSR/MRI-ResponseBox,,False,https://api.github.com/repos/NEI-LSR/MRI-ResponseBox,2022-04-20T20:32:14Z,2022-05-06T16:30:28Z,2022-05-06T17:45:21Z,,681,0,0,C++,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,main,NEI-LSR,92123312,O_kgDOBX2wsA,Organization,public,False,False,False,False,False,True,,,,,
545707777,R_kgDOIIbXAQ,NEI-LSR.github.io,NEI-LSR/NEI-LSR.github.io,False,https://github.com/NEI-LSR/NEI-LSR.github.io,,False,https://api.github.com/repos/NEI-LSR/NEI-LSR.github.io,2022-10-04T21:02:29Z,2022-10-04T21:02:29Z,2022-11-08T17:17:13Z,,1,0,0,,True,True,True,True,True,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,NEI-LSR,92123312,O_kgDOBX2wsA,Organization,public,False,False,False,False,False,True,,,,,
583052078,R_kgDOIsCrLg,ProjectorFilterHolder,NEI-LSR/ProjectorFilterHolder,False,https://github.com/NEI-LSR/ProjectorFilterHolder,Paper filter holder for projector in MRI.  Includes fastening ring.  FreeCad and STL format.,False,https://api.github.com/repos/NEI-LSR/ProjectorFilterHolder,2022-12-28T16:10:05Z,2022-12-28T16:10:05Z,2022-12-28T16:11:01Z,,2027,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,NEI-LSR,92123312,O_kgDOBX2wsA,Organization,public,False,False,False,False,False,True,,,,,
610811143,R_kgDOJGg9Bw,TCC_AFC,NEI-LSR/TCC_AFC,False,https://github.com/NEI-LSR/TCC_AFC,,False,https://api.github.com/repos/NEI-LSR/TCC_AFC,2023-03-07T14:29:11Z,2024-07-27T13:31:45Z,2024-07-27T13:31:42Z,,61,0,0,MATLAB,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,NEI-LSR,92123312,O_kgDOBX2wsA,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
703268585,R_kgDOKesG6Q,PMO,NEI-LSR/PMO,False,https://github.com/NEI-LSR/PMO,,False,https://api.github.com/repos/NEI-LSR/PMO,2023-10-10T23:35:23Z,2024-05-16T11:04:10Z,2024-05-16T11:04:06Z,,149588,0,0,MATLAB,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,NEI-LSR,92123312,O_kgDOBX2wsA,Organization,public,False,False,False,False,False,True,,,,,
845161130,R_kgDOMmAiqg,mturk2_automatic_switching,NEI-LSR/mturk2_automatic_switching,False,https://github.com/NEI-LSR/mturk2_automatic_switching,,False,https://api.github.com/repos/NEI-LSR/mturk2_automatic_switching,2024-08-20T17:44:09Z,2024-10-02T19:27:49Z,2024-10-02T19:27:46Z,,3407,0,0,JavaScript,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,NEI-LSR,92123312,O_kgDOBX2wsA,Organization,public,False,False,False,False,False,True,,,,,
