id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
5503003,MDEwOlJlcG9zaXRvcnk1NTAzMDAz,Hadoop-on-Demand,NERSC/Hadoop-on-Demand,False,https://github.com/NERSC/Hadoop-on-Demand,Scripts for running Hadoop on demand on NERSC systems.,False,https://api.github.com/repos/NERSC/Hadoop-on-Demand,2012-08-22T00:50:30Z,2023-12-06T17:09:48Z,2014-09-25T18:19:27Z,,276,2,2,Shell,True,True,True,True,False,False,1,,True,False,0,,True,False,False,[],public,1,0,2,master,NERSC,1380484,MDEyOk9yZ2FuaXphdGlvbjEzODA0ODQ=,Organization,public,False,False,False,False,False,True,,,,,
10180849,MDEwOlJlcG9zaXRvcnkxMDE4MDg0OQ==,giveandtake,NERSC/giveandtake,False,https://github.com/NERSC/giveandtake,Give and Take Command at NERSC,False,https://api.github.com/repos/NERSC/giveandtake,2013-05-20T20:04:18Z,2023-07-17T23:51:57Z,2022-02-16T22:18:40Z,,18,2,2,Shell,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,2,master,NERSC,1380484,MDEyOk9yZ2FuaXphdGlvbjEzODA0ODQ=,Organization,public,False,False,False,False,False,True,,,,,
23481796,MDEwOlJlcG9zaXRvcnkyMzQ4MTc5Ng==,newt-2.0,NERSC/newt-2.0,False,https://github.com/NERSC/newt-2.0,NEWT - REST API for HPC,True,https://api.github.com/repos/NERSC/newt-2.0,2014-08-30T00:57:19Z,2024-01-22T16:26:05Z,2019-08-19T22:15:08Z,,487,11,11,Python,True,True,True,True,False,False,3,,True,False,3,,True,False,False,[],public,3,3,11,master,NERSC,1380484,MDEyOk9yZ2FuaXphdGlvbjEzODA0ODQ=,Organization,public,False,False,False,False,False,True,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=
25167338,MDEwOlJlcG9zaXRvcnkyNTE2NzMzOA==,chos,NERSC/chos,False,https://github.com/NERSC/chos,CHOS: The CHroot OS that lets users choose their OS.,False,https://api.github.com/repos/NERSC/chos,2014-10-13T16:36:48Z,2024-01-22T15:12:05Z,2015-01-24T01:29:00Z,,518,3,3,C,True,True,True,True,False,False,2,,True,False,1,,True,False,False,[],public,2,1,3,master,NERSC,1380484,MDEyOk9yZ2FuaXphdGlvbjEzODA0ODQ=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
29363973,MDEwOlJlcG9zaXRvcnkyOTM2Mzk3Mw==,avs_image_mgr,NERSC/avs_image_mgr,False,https://github.com/NERSC/avs_image_mgr,Auto-Versioning Systems Image Manager,True,https://api.github.com/repos/NERSC/avs_image_mgr,2015-01-16T19:23:11Z,2024-01-22T16:10:37Z,2015-02-04T21:22:01Z,,256,0,0,Shell,False,True,True,True,False,False,0,,True,False,0,,True,False,False,[],public,0,0,0,master,NERSC,1380484,MDEyOk9yZ2FuaXphdGlvbjEzODA0ODQ=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
29363998,MDEwOlJlcG9zaXRvcnkyOTM2Mzk5OA==,minimond,NERSC/minimond,False,https://github.com/NERSC/minimond,Collect many statistics and send them to many aggregators,True,https://api.github.com/repos/NERSC/minimond,2015-01-16T19:23:36Z,2024-01-22T16:07:53Z,2014-07-29T22:04:20Z,,264,0,0,C,False,True,True,True,False,False,1,,True,False,0,,True,False,False,[],public,1,0,0,master,NERSC,1380484,MDEyOk9yZ2FuaXphdGlvbjEzODA0ODQ=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
30373926,MDEwOlJlcG9zaXRvcnkzMDM3MzkyNg==,training,NERSC/training,False,https://github.com/NERSC/training,Repository used for NERSC training,False,https://api.github.com/repos/NERSC/training,2015-02-05T19:28:09Z,2024-01-22T15:12:32Z,2015-02-18T23:25:34Z,,212,0,0,FORTRAN,True,True,True,True,False,False,1,,True,False,1,,True,False,False,[],public,1,1,0,master,NERSC,1380484,MDEyOk9yZ2FuaXphdGlvbjEzODA0ODQ=,Organization,public,False,False,False,False,False,True,,,,,
36456441,MDEwOlJlcG9zaXRvcnkzNjQ1NjQ0MQ==,CompactCori,NERSC/CompactCori,False,https://github.com/NERSC/CompactCori,Setup and simulation scripts for CompactCori,False,https://api.github.com/repos/NERSC/CompactCori,2015-05-28T18:00:59Z,2024-01-22T16:16:04Z,2017-05-31T19:55:56Z,,81331,5,5,Python,False,True,True,True,True,False,1,,True,False,1,,True,False,False,[],public,1,1,5,master,NERSC,1380484,MDEyOk9yZ2FuaXphdGlvbjEzODA0ODQ=,Organization,public,False,False,False,False,False,True,,,,,
50857878,MDEwOlJlcG9zaXRvcnk1MDg1Nzg3OA==,BB-unit-tests,NERSC/BB-unit-tests,False,https://github.com/NERSC/BB-unit-tests,A suite of unit tests for the Burst Buffer,False,https://api.github.com/repos/NERSC/BB-unit-tests,2016-02-01T17:40:33Z,2024-01-22T15:13:30Z,2016-07-25T17:31:15Z,,23,2,2,Shell,True,True,True,True,False,False,2,,True,False,4,,True,False,False,[],public,2,4,2,master,NERSC,1380484,MDEyOk9yZ2FuaXphdGlvbjEzODA0ODQ=,Organization,public,False,False,False,False,False,True,,,,,
51423581,MDEwOlJlcG9zaXRvcnk1MTQyMzU4MQ==,pydap,NERSC/pydap,False,https://github.com/NERSC/pydap,NERSC fork of the PyDAP and related tools,False,https://api.github.com/repos/NERSC/pydap,2016-02-10T05:53:14Z,2024-01-22T15:13:48Z,2016-06-01T21:22:00Z,,3077,0,0,Python,True,True,True,True,False,False,0,,True,False,1,,True,False,False,[],public,0,1,0,master,NERSC,1380484,MDEyOk9yZ2FuaXphdGlvbjEzODA0ODQ=,Organization,public,False,False,False,False,False,True,,,,,
