id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
29203610,MDEwOlJlcG9zaXRvcnkyOTIwMzYxMA==,conda-recipes-bird-house,NESII/conda-recipes-bird-house,False,https://github.com/NESII/conda-recipes-bird-house,Additional or customized conda recipes used by birdhouse components,True,https://api.github.com/repos/NESII/conda-recipes-bird-house,2015-01-13T18:10:07Z,2016-01-12T21:38:48Z,2015-05-06T17:38:38Z,,387,0,0,Shell,True,True,True,True,False,False,3,,False,False,1,True,False,False,[],public,3,1,0,master,NESII,10067813,MDEyOk9yZ2FuaXphdGlvbjEwMDY3ODEz,Organization,public,False,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=,False,False,False,False,True,
29881755,MDEwOlJlcG9zaXRvcnkyOTg4MTc1NQ==,conda-recipes-nesii,NESII/conda-recipes-nesii,False,https://github.com/NESII/conda-recipes-nesii,,False,https://api.github.com/repos/NESII/conda-recipes-nesii,2015-01-26T21:10:41Z,2017-06-21T18:24:13Z,2019-02-21T20:23:08Z,,155,1,1,Shell,False,True,True,True,False,False,5,,False,False,5,True,False,False,[],public,5,5,1,master,NESII,10067813,MDEyOk9yZ2FuaXphdGlvbjEwMDY3ODEz,Organization,public,False,,,,,,False,False,False,False,True,
29926164,MDEwOlJlcG9zaXRvcnkyOTkyNjE2NA==,icclim,NESII/icclim,False,https://github.com/NESII/icclim,Python library for climate indices calculation,True,https://api.github.com/repos/NESII/icclim,2015-01-27T17:41:59Z,2018-02-27T01:10:00Z,2018-03-07T17:41:16Z,,20934,0,0,Python,True,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,0,master,NESII,10067813,MDEyOk9yZ2FuaXphdGlvbjEwMDY3ODEz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
29992192,MDEwOlJlcG9zaXRvcnkyOTk5MjE5Mg==,conda-recipes-conda,NESII/conda-recipes-conda,False,https://github.com/NESII/conda-recipes-conda,build and test recipes for conda,True,https://api.github.com/repos/NESII/conda-recipes-conda,2015-01-28T22:42:51Z,2021-11-18T10:28:17Z,2015-01-28T22:01:05Z,,4715,0,0,Shell,False,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,0,master,NESII,10067813,MDEyOk9yZ2FuaXphdGlvbjEwMDY3ODEz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
35622449,MDEwOlJlcG9zaXRvcnkzNTYyMjQ0OQ==,esmf-proj4,NESII/esmf-proj4,False,https://github.com/NESII/esmf-proj4,,False,https://api.github.com/repos/NESII/esmf-proj4,2015-05-14T16:27:56Z,2015-05-14T22:13:54Z,2015-10-09T20:54:53Z,,320,0,0,C,True,True,True,True,False,False,4,,False,False,0,True,False,False,[],public,4,0,0,dev,NESII,10067813,MDEyOk9yZ2FuaXphdGlvbjEwMDY3ODEz,Organization,public,False,,,,,,False,False,False,False,True,
38065616,MDEwOlJlcG9zaXRvcnkzODA2NTYxNg==,rtree,NESII/rtree,False,https://github.com/NESII/rtree,Rtree: spatial index for Python GIS ¶,True,https://api.github.com/repos/NESII/rtree,2015-06-25T18:09:43Z,2015-06-25T18:09:43Z,2015-06-25T18:50:42Z,http://toblerity.github.com/rtree/,419,0,0,Python,False,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,0,master,NESII,10067813,MDEyOk9yZ2FuaXphdGlvbjEwMDY3ODEz,Organization,public,False,lgpl-2.1,GNU Lesser General Public License v2.1,LGPL-2.1,https://api.github.com/licenses/lgpl-2.1,MDc6TGljZW5zZTEx,False,False,False,False,True,
41047383,MDEwOlJlcG9zaXRvcnk0MTA0NzM4Mw==,uvcdat,NESII/uvcdat,False,https://github.com/NESII/uvcdat,Ultrascale Visualization Climate Data Analysis Tools,True,https://api.github.com/repos/NESII/uvcdat,2015-08-19T16:54:43Z,2015-08-19T16:54:55Z,2015-08-18T18:14:05Z,,295238,0,0,Python,False,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,0,master,NESII,10067813,MDEyOk9yZ2FuaXphdGlvbjEwMDY3ODEz,Organization,public,False,,,,,,False,False,False,False,True,
45696880,MDEwOlJlcG9zaXRvcnk0NTY5Njg4MA==,cupid,NESII/cupid,False,https://github.com/NESII/cupid,Cupid IDE and Code Generation Tool for Earth System Models,True,https://api.github.com/repos/NESII/cupid,2015-11-06T17:33:44Z,2015-11-06T17:33:53Z,2015-11-06T06:24:22Z,,205634,0,0,Java,False,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,0,master,NESII,10067813,MDEyOk9yZ2FuaXphdGlvbjEwMDY3ODEz,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
46131356,MDEwOlJlcG9zaXRvcnk0NjEzMTM1Ng==,conda-recipes-ioos,NESII/conda-recipes-ioos,False,https://github.com/NESII/conda-recipes-ioos,conda-recipes for IOOS packages,True,https://api.github.com/repos/NESII/conda-recipes-ioos,2015-11-13T15:51:12Z,2016-02-23T21:50:46Z,2016-03-09T19:59:42Z,,3577,0,0,Jupyter Notebook,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NESII,10067813,MDEyOk9yZ2FuaXphdGlvbjEwMDY3ODEz,Organization,public,False,,,,,,False,False,False,False,True,
46804396,MDEwOlJlcG9zaXRvcnk0NjgwNDM5Ng==,cf_units,NESII/cf_units,False,https://github.com/NESII/cf_units,Iris units module,True,https://api.github.com/repos/NESII/cf_units,2015-11-24T16:33:55Z,2015-11-24T16:33:56Z,2015-12-14T16:14:51Z,,96,0,0,Python,False,True,True,True,False,False,3,,False,False,0,True,False,False,[],public,3,0,0,master,NESII,10067813,MDEyOk9yZ2FuaXphdGlvbjEwMDY3ODEz,Organization,public,False,lgpl-3.0,GNU Lesser General Public License v3.0,LGPL-3.0,https://api.github.com/licenses/lgpl-3.0,MDc6TGljZW5zZTEy,False,False,False,False,True,
