id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
47725250,MDEwOlJlcG9zaXRvcnk0NzcyNTI1MA==,fates,NGEET/fates,False,https://github.com/NGEET/fates,repository for the Functionally Assembled Terrestrial Ecosystem Simulator (FATES),False,https://api.github.com/repos/NGEET/fates,2015-12-09T23:18:30Z,2024-12-09T19:27:10Z,2024-12-09T19:34:57Z,,53325,106,106,Fortran,True,True,True,True,False,True,92,,False,False,260,True,False,False,[],public,92,260,106,main,NGEET,14792952,MDEyOk9yZ2FuaXphdGlvbjE0NzkyOTUy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
53632552,MDEwOlJlcG9zaXRvcnk1MzYzMjU1Mg==,ngt-archive,NGEET/ngt-archive,False,https://github.com/NGEET/ngt-archive,The NGEE-Tropics archive service supports the NGEE Tropics project. It is a place to upload datasets and metadata. Generated documentation  (http://ngeet.github.io/ngt-archive/),False,https://api.github.com/repos/NGEET/ngt-archive,2016-03-11T02:14:06Z,2024-11-21T22:30:27Z,2024-11-21T22:30:50Z,http://ngee-tropics.lbl.gov/,4432,8,8,Python,True,True,True,True,True,False,3,,False,False,0,True,False,False,"['dataset', 'django-application', 'lbl', 'metadata', 'ngt-archive', 'tropics']",public,3,0,8,main,NGEET,14792952,MDEyOk9yZ2FuaXphdGlvbjE0NzkyOTUy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
54680262,MDEwOlJlcG9zaXRvcnk1NDY4MDI2Mg==,ed-misc-tools,NGEET/ed-misc-tools,False,https://github.com/NGEET/ed-misc-tools,"Repository for miscellaneous tools related to the ED model.  May include testing, prototypes, unit-tests, etc.",False,https://api.github.com/repos/NGEET/ed-misc-tools,2016-03-24T23:14:15Z,2020-02-26T19:48:37Z,2016-07-13T17:30:18Z,,11,1,1,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,1,master,NGEET,14792952,MDEyOk9yZ2FuaXphdGlvbjE0NzkyOTUy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
90494937,MDEwOlJlcG9zaXRvcnk5MDQ5NDkzNw==,fates-release,NGEET/fates-release,False,https://github.com/NGEET/fates-release,This read-only public repository holds release versions of the FATES model.,False,https://api.github.com/repos/NGEET/fates-release,2017-05-06T22:32:09Z,2023-06-05T14:10:28Z,2018-06-10T21:52:43Z,,2929,11,11,Fortran,True,True,True,True,False,False,12,,True,False,1,True,False,False,[],public,12,1,11,master,NGEET,14792952,MDEyOk9yZ2FuaXphdGlvbjE0NzkyOTUy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
101233481,MDEwOlJlcG9zaXRvcnkxMDEyMzM0ODE=,acre,NGEET/acre,False,https://github.com/NGEET/acre,Answer Changing Regression Evaluator: A python toolset that evaluates land-model output (a la ALM/CLM) for regression testing,False,https://api.github.com/repos/NGEET/acre,2017-08-23T23:30:40Z,2023-08-23T16:29:55Z,2020-03-24T20:15:01Z,,140,3,3,Python,True,True,True,True,False,False,2,,False,False,1,True,False,False,[],public,2,1,3,master,NGEET,14792952,MDEyOk9yZ2FuaXphdGlvbjE0NzkyOTUy,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
134771231,MDEwOlJlcG9zaXRvcnkxMzQ3NzEyMzE=,testbeds,NGEET/testbeds,False,https://github.com/NGEET/testbeds,This is a repository for storing testbed infrastructure for initializing and analysing FATES model runs,False,https://api.github.com/repos/NGEET/testbeds,2018-05-24T21:35:47Z,2020-06-28T18:47:35Z,2020-05-04T23:19:42Z,,397890,3,3,Jupyter Notebook,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,3,master,NGEET,14792952,MDEyOk9yZ2FuaXphdGlvbjE0NzkyOTUy,Organization,public,False,,,,,,False,False,False,False,True,
146812405,MDEwOlJlcG9zaXRvcnkxNDY4MTI0MDU=,fates-docs,NGEET/fates-docs,False,https://github.com/NGEET/fates-docs,Documentation source code for the FATES model,False,https://api.github.com/repos/NGEET/fates-docs,2018-08-30T22:18:53Z,2024-08-22T18:13:04Z,2024-08-22T18:13:00Z,,14488,10,10,,True,True,True,True,False,True,14,,False,False,22,True,False,False,[],public,14,22,10,main,NGEET,14792952,MDEyOk9yZ2FuaXphdGlvbjE0NzkyOTUy,Organization,public,False,bsd-3-clause,"BSD 3-Clause ""New"" or ""Revised"" License",BSD-3-Clause,https://api.github.com/licenses/bsd-3-clause,MDc6TGljZW5zZTU=,False,False,False,False,True,
209411412,MDEwOlJlcG9zaXRvcnkyMDk0MTE0MTI=,fates-containers,NGEET/fates-containers,False,https://github.com/NGEET/fates-containers,Repository for containerized version of fates for use in future tutorials,False,https://api.github.com/repos/NGEET/fates-containers,2019-09-18T22:01:25Z,2024-01-12T19:39:02Z,2024-01-12T20:01:00Z,,100,6,6,Dockerfile,True,True,True,True,False,False,7,,False,False,16,True,False,False,[],public,7,16,6,main,NGEET,14792952,MDEyOk9yZ2FuaXphdGlvbjE0NzkyOTUy,Organization,public,False,,,,,,False,False,False,False,True,
217377585,MDEwOlJlcG9zaXRvcnkyMTczNzc1ODU=,easysperry,NGEET/easysperry,False,https://github.com/NGEET/easysperry,(under construction) R and Python interfaces for John Sperry's 2017 optimization model,True,https://api.github.com/repos/NGEET/easysperry,2019-10-24T19:22:47Z,2020-02-26T19:47:14Z,2019-10-24T23:21:07Z,,789,3,3,C++,False,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,3,master,NGEET,14792952,MDEyOk9yZ2FuaXphdGlvbjE0NzkyOTUy,Organization,public,False,,,,,,False,False,False,False,True,
227920988,MDEwOlJlcG9zaXRvcnkyMjc5MjA5ODg=,CTSM,NGEET/CTSM,False,https://github.com/NGEET/CTSM,Community Terrestrial Systems Model (includes the Community Land Model of CESM),True,https://api.github.com/repos/NGEET/CTSM,2019-12-13T20:57:15Z,2021-02-23T20:16:35Z,2019-12-13T17:40:08Z,http://www.cesm.ucar.edu/models/cesm2.0/land/,22429,1,1,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,NGEET,14792952,MDEyOk9yZ2FuaXphdGlvbjE0NzkyOTUy,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
