id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
395662872,MDEwOlJlcG9zaXRvcnkzOTU2NjI4NzI=,REShAPE,NIH-NEI/REShAPE,False,https://github.com/NIH-NEI/REShAPE,Image Analysis and Cell Morphometry Measurements on Retinal Pigment Epithelium cells.,False,https://api.github.com/repos/NIH-NEI/REShAPE,2021-08-13T13:21:30Z,2024-06-03T16:03:11Z,2023-12-05T16:59:38Z,,94583,4,4,MATLAB,True,True,True,True,False,False,2,,False,False,2,True,False,False,[],public,2,2,4,main,NIH-NEI,75450368,MDEyOk9yZ2FuaXphdGlvbjc1NDUwMzY4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
399832902,MDEwOlJlcG9zaXRvcnkzOTk4MzI5MDI=,oct-image-segmentation-models,NIH-NEI/oct-image-segmentation-models,False,https://github.com/NIH-NEI/oct-image-segmentation-models,Automatic retinal OCT image segmentation for NEI OSIO projects,False,https://api.github.com/repos/NIH-NEI/oct-image-segmentation-models,2021-08-25T13:40:27Z,2024-12-02T18:06:59Z,2024-09-04T22:00:13Z,,5017,0,0,Python,False,True,True,True,False,False,0,,False,False,0,True,False,False,"['ai', 'artificial-intelligence', 'machine-learning', 'ml', 'neural-network']",public,0,0,0,master,NIH-NEI,75450368,MDEyOk9yZ2FuaXphdGlvbjc1NDUwMzY4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
404106876,MDEwOlJlcG9zaXRvcnk0MDQxMDY4NzY=,oct-segmenter,NIH-NEI/oct-segmenter,False,https://github.com/NIH-NEI/oct-segmenter,Image processing scripts for automated mouse retinal OCT image segmentation,False,https://api.github.com/repos/NIH-NEI/oct-segmenter,2021-09-07T19:59:30Z,2024-12-02T16:18:32Z,2024-09-04T22:02:28Z,,134013,0,0,Python,True,True,True,True,False,False,0,,False,False,1,True,False,False,"['ai', 'artificial-intelligence', 'machine-learning', 'ml']",public,0,1,0,master,NIH-NEI,75450368,MDEyOk9yZ2FuaXphdGlvbjc1NDUwMzY4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
408004758,MDEwOlJlcG9zaXRvcnk0MDgwMDQ3NTg=,cmast-genome-assembly,NIH-NEI/cmast-genome-assembly,False,https://github.com/NIH-NEI/cmast-genome-assembly,Methods and tools used for assembling the C. mast RC genome,False,https://api.github.com/repos/NIH-NEI/cmast-genome-assembly,2021-09-19T01:27:26Z,2022-02-25T15:18:11Z,2024-02-21T04:50:31Z,,16,0,0,Shell,True,True,True,True,False,False,2,,False,False,0,True,False,False,"['bioinformatics', 'genomics']",public,2,0,0,main,NIH-NEI,75450368,MDEyOk9yZ2FuaXphdGlvbjc1NDUwMzY4,Organization,public,False,,,,,,False,False,False,False,True,
517923665,R_kgDOHt7jUQ,LipidUnet,NIH-NEI/LipidUnet,False,https://github.com/NIH-NEI/LipidUnet,Machine Learning suite for training a U-Net model to perform semantic segmentation of biomedical images.,False,https://api.github.com/repos/NIH-NEI/LipidUnet,2022-07-26T05:21:09Z,2023-05-08T17:48:41Z,2023-08-07T13:16:06Z,,2387,0,0,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,NIH-NEI,75450368,MDEyOk9yZ2FuaXphdGlvbjc1NDUwMzY4,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
540568449,R_kgDOIDhrgQ,NGS_genotype_calling,NIH-NEI/NGS_genotype_calling,False,https://github.com/NIH-NEI/NGS_genotype_calling,,True,https://api.github.com/repos/NIH-NEI/NGS_genotype_calling,2022-09-23T18:25:34Z,2022-10-12T12:31:11Z,2022-09-19T15:34:01Z,,17879,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NIH-NEI,75450368,MDEyOk9yZ2FuaXphdGlvbjc1NDUwMzY4,Organization,public,False,,,,,,False,False,False,False,True,
540568637,R_kgDOIDhsPQ,variant_prioritization,NIH-NEI/variant_prioritization,False,https://github.com/NIH-NEI/variant_prioritization,Workflows taking Exome/WGS fastq files to prioritized variants,True,https://api.github.com/repos/NIH-NEI/variant_prioritization,2022-09-23T18:26:01Z,2022-10-12T12:29:57Z,2022-09-22T20:32:25Z,,30767,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NIH-NEI,75450368,MDEyOk9yZ2FuaXphdGlvbjc1NDUwMzY4,Organization,public,False,,,,,,False,False,False,False,True,
564365537,R_kgDOIaOI4Q,ctcf-scRNA-seq,NIH-NEI/ctcf-scRNA-seq,False,https://github.com/NIH-NEI/ctcf-scRNA-seq,ctcf-scRNA-seq,False,https://api.github.com/repos/NIH-NEI/ctcf-scRNA-seq,2022-11-10T15:04:48Z,2024-05-01T15:05:43Z,2022-11-10T15:05:37Z,,8,0,0,R,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,NIH-NEI,75450368,MDEyOk9yZ2FuaXphdGlvbjc1NDUwMzY4,Organization,public,False,,,,,,False,False,False,False,True,
665606593,R_kgDOJ6xZwQ,abx-eau,NIH-NEI/abx-eau,False,https://github.com/NIH-NEI/abx-eau,Extended duration of gut microbiota depletion reverses protection from experimental autoimmune uveitis,False,https://api.github.com/repos/NIH-NEI/abx-eau,2023-07-12T15:16:39Z,2023-11-17T20:21:55Z,2024-02-21T04:58:05Z,,23,0,0,Shell,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,NIH-NEI,75450368,MDEyOk9yZ2FuaXphdGlvbjc1NDUwMzY4,Organization,public,False,,,,,,False,False,False,False,True,
690205672,R_kgDOKSOz6A,osio-tools,NIH-NEI/osio-tools,False,https://github.com/NIH-NEI/osio-tools,Tools used by OSIO IT group,False,https://api.github.com/repos/NIH-NEI/osio-tools,2023-09-11T18:32:09Z,2024-12-17T18:46:54Z,2024-12-17T18:46:50Z,,123,0,0,Python,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,0,main,NIH-NEI,75450368,MDEyOk9yZ2FuaXphdGlvbjc1NDUwMzY4,Organization,public,False,,,,,,False,False,False,False,True,
