id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
12565599,MDEwOlJlcG9zaXRvcnkxMjU2NTU5OQ==,OpenSeadragonScalebar,NIST-ISG/OpenSeadragonScalebar,False,https://github.com/NIST-ISG/OpenSeadragonScalebar,OpenSeadragon scalebar plugin,False,https://api.github.com/repos/NIST-ISG/OpenSeadragonScalebar,2013-09-03T14:13:50Z,2024-01-29T08:07:24Z,2016-04-13T15:36:55Z,,24,5,5,,True,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,5,master,NIST-ISG,5373590,MDEyOk9yZ2FuaXphdGlvbjUzNzM1OTA=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
13753809,MDEwOlJlcG9zaXRvcnkxMzc1MzgwOQ==,OpenSeadragonPixelColor,NIST-ISG/OpenSeadragonPixelColor,False,https://github.com/NIST-ISG/OpenSeadragonPixelColor,,False,https://api.github.com/repos/NIST-ISG/OpenSeadragonPixelColor,2013-10-21T20:14:00Z,2016-04-13T18:06:35Z,2016-04-13T18:09:52Z,,4,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NIST-ISG,5373590,MDEyOk9yZ2FuaXphdGlvbjUzNzM1OTA=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
20498051,MDEwOlJlcG9zaXRvcnkyMDQ5ODA1MQ==,WebDeepZoomToolkit,NIST-ISG/WebDeepZoomToolkit,False,https://github.com/NIST-ISG/WebDeepZoomToolkit,An extensible JavaScript framework for analysis of deep zoom images on the web.,False,https://api.github.com/repos/NIST-ISG/WebDeepZoomToolkit,2014-06-04T20:03:53Z,2016-04-14T13:13:07Z,2016-04-14T13:13:05Z,,24588,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NIST-ISG,5373590,MDEyOk9yZ2FuaXphdGlvbjUzNzM1OTA=,Organization,public,False,,,,,,False,False,False,False,True,
24605956,MDEwOlJlcG9zaXRvcnkyNDYwNTk1Ng==,EigenTextures,NIST-ISG/EigenTextures,False,https://github.com/NIST-ISG/EigenTextures,This project is about decomposing texture images to primitives ,False,https://api.github.com/repos/NIST-ISG/EigenTextures,2014-09-29T17:48:57Z,2016-06-09T13:49:18Z,2016-06-09T13:49:12Z,,136587,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NIST-ISG,5373590,MDEyOk9yZ2FuaXphdGlvbjUzNzM1OTA=,Organization,public,False,,,,,,False,False,False,False,True,
24845585,MDEwOlJlcG9zaXRvcnkyNDg0NTU4NQ==,ImageRepresentation,NIST-ISG/ImageRepresentation,False,https://github.com/NIST-ISG/ImageRepresentation,This project is about discovering image characteristics (image representation) of biological cells from microscopy images,False,https://api.github.com/repos/NIST-ISG/ImageRepresentation,2014-10-06T12:53:46Z,2016-06-09T13:30:47Z,2016-06-09T13:30:46Z,,2599,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,master,NIST-ISG,5373590,MDEyOk9yZ2FuaXphdGlvbjUzNzM1OTA=,Organization,public,False,,,,,,False,False,False,False,True,
29701439,MDEwOlJlcG9zaXRvcnkyOTcwMTQzOQ==,MIST,NIST-ISG/MIST,False,https://github.com/NIST-ISG/MIST,Microscopy Image Stitching Tool for Fiji and standalone,False,https://api.github.com/repos/NIST-ISG/MIST,2015-01-22T21:34:18Z,2018-10-29T16:15:23Z,2016-04-15T16:28:01Z,,13941,2,2,,True,True,True,True,False,False,3,,False,False,2,True,False,False,[],public,3,2,2,master,NIST-ISG,5373590,MDEyOk9yZ2FuaXphdGlvbjUzNzM1OTA=,Organization,public,False,,,,,,False,False,False,False,True,
42665223,MDEwOlJlcG9zaXRvcnk0MjY2NTIyMw==,Lineage-Mapper,NIST-ISG/Lineage-Mapper,False,https://github.com/NIST-ISG/Lineage-Mapper,Lineage Mapper Fiji plugin and MATLAB source code,False,https://api.github.com/repos/NIST-ISG/Lineage-Mapper,2015-09-17T15:41:42Z,2018-10-29T16:15:23Z,2016-04-15T16:30:20Z,,9312,1,1,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,NIST-ISG,5373590,MDEyOk9yZ2FuaXphdGlvbjUzNzM1OTA=,Organization,public,False,,,,,,False,False,False,False,True,
44821944,MDEwOlJlcG9zaXRvcnk0NDgyMTk0NA==,OpenSeadragonFiltering,NIST-ISG/OpenSeadragonFiltering,False,https://github.com/NIST-ISG/OpenSeadragonFiltering,OpenSeadragon filtering plugin,False,https://api.github.com/repos/NIST-ISG/OpenSeadragonFiltering,2015-10-23T15:35:02Z,2016-04-13T15:34:28Z,2016-04-13T15:35:08Z,,22,2,2,,True,True,True,True,False,False,1,,False,False,0,True,False,False,[],public,1,0,2,master,NIST-ISG,5373590,MDEyOk9yZ2FuaXphdGlvbjUzNzM1OTA=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
44973302,MDEwOlJlcG9zaXRvcnk0NDk3MzMwMg==,pyramidio,NIST-ISG/pyramidio,False,https://github.com/NIST-ISG/pyramidio,Image pyramid reader and writer,False,https://api.github.com/repos/NIST-ISG/pyramidio,2015-10-26T14:22:19Z,2016-04-14T02:10:01Z,2016-04-13T20:57:13Z,,73,4,4,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,4,master,NIST-ISG,5373590,MDEyOk9yZ2FuaXphdGlvbjUzNzM1OTA=,Organization,public,False,,,,,,False,False,False,False,True,
75402486,MDEwOlJlcG9zaXRvcnk3NTQwMjQ4Ng==,RPEcellAnalyses,NIST-ISG/RPEcellAnalyses,False,https://github.com/NIST-ISG/RPEcellAnalyses,This repository is created to capture all bugs and issues related to analyzing RPE cell images,False,https://api.github.com/repos/NIST-ISG/RPEcellAnalyses,2016-12-02T14:28:21Z,2016-12-02T14:28:21Z,2016-12-02T14:28:21Z,,0,0,0,,True,True,True,True,False,False,0,,False,False,1,True,False,False,[],public,0,1,0,master,NIST-ISG,5373590,MDEyOk9yZ2FuaXphdGlvbjUzNzM1OTA=,Organization,public,False,,,,,,False,False,False,False,True,
