id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
1983988,MDEwOlJlcG9zaXRvcnkxOTgzOTg4,Crash-Test-Dummy,NMML/Crash-Test-Dummy,False,https://github.com/NMML/Crash-Test-Dummy,a testing ground for NMML users to learn more about git and github,False,https://api.github.com/repos/NMML/Crash-Test-Dummy,2011-07-01T15:32:23Z,2015-01-15T17:23:11Z,2015-01-15T17:23:11Z,,152,1,1,R,True,True,True,True,False,False,3,,False,False,0,,True,False,False,[],public,3,0,1,master,NMML,872044,MDEyOk9yZ2FuaXphdGlvbjg3MjA0NA==,Organization,public,False,False,False,False,False,True,,,,,
1984207,MDEwOlJlcG9zaXRvcnkxOTg0MjA3,R-User-Meetings,NMML/R-User-Meetings,False,https://github.com/NMML/R-User-Meetings,A repository and wiki in support of the R User meetings coordinated by Jeff Laake,False,https://api.github.com/repos/NMML/R-User-Meetings,2011-07-01T16:21:05Z,2019-08-13T14:47:13Z,2016-05-24T22:51:22Z,,3718,4,4,R,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,4,master,NMML,872044,MDEyOk9yZ2FuaXphdGlvbjg3MjA0NA==,Organization,public,False,False,False,False,False,True,,,,,
2014127,MDEwOlJlcG9zaXRvcnkyMDE0MTI3,sunFuncs,NMML/sunFuncs,False,https://github.com/NMML/sunFuncs,,False,https://api.github.com/repos/NMML/sunFuncs,2011-07-07T19:25:40Z,2014-06-05T19:50:02Z,2014-06-05T19:50:02Z,,168,1,1,R,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,1,master,NMML,872044,MDEyOk9yZ2FuaXphdGlvbjg3MjA0NA==,Organization,public,False,False,False,False,False,True,,,,,
2014287,MDEwOlJlcG9zaXRvcnkyMDE0Mjg3,crawlHelper,NMML/crawlHelper,False,https://github.com/NMML/crawlHelper,Additional useful functions when modeling animal movement with crawl,False,https://api.github.com/repos/NMML/crawlHelper,2011-07-07T19:56:07Z,2023-09-08T08:44:53Z,2017-11-15T20:36:09Z,,56,2,2,R,True,True,True,True,False,False,4,,False,False,1,,True,False,False,[],public,4,1,2,master,NMML,872044,MDEyOk9yZ2FuaXphdGlvbjg3MjA0NA==,Organization,public,False,False,False,False,False,True,,,,,
2014296,MDEwOlJlcG9zaXRvcnkyMDE0Mjk2,crawl,NMML/crawl,False,https://github.com/NMML/crawl,R package for modeling animal movement with continuous-time correlated random walk models,False,https://api.github.com/repos/NMML/crawl,2011-07-07T19:58:07Z,2024-10-03T17:52:14Z,2024-10-03T17:52:41Z,,12965,18,18,R,True,True,True,True,False,False,7,,False,False,0,,True,False,False,[],public,7,0,18,master,NMML,872044,MDEyOk9yZ2FuaXphdGlvbjg3MjA0NA==,Organization,public,False,False,False,False,False,True,,,,,
2037574,MDEwOlJlcG9zaXRvcnkyMDM3NTc0,TempOcc,NMML/TempOcc,False,https://github.com/NMML/TempOcc,Temporal occupancy R package,False,https://api.github.com/repos/NMML/TempOcc,2011-07-12T18:12:12Z,2014-02-19T21:54:45Z,2012-02-24T20:10:47Z,,200,2,2,R,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,2,master,NMML,872044,MDEyOk9yZ2FuaXphdGlvbjg3MjA0NA==,Organization,public,False,False,False,False,False,True,,,,,
2464023,MDEwOlJlcG9zaXRvcnkyNDY0MDIz,Hierarchical_DS,NMML/Hierarchical_DS,False,https://github.com/NMML/Hierarchical_DS,hierachical distance sampling ,False,https://api.github.com/repos/NMML/Hierarchical_DS,2011-09-26T23:06:22Z,2014-04-12T20:48:39Z,2013-07-16T00:27:49Z,,23844,1,1,R,True,True,True,True,True,False,4,,False,False,0,,True,False,False,[],public,4,0,1,master,NMML,872044,MDEyOk9yZ2FuaXphdGlvbjg3MjA0NA==,Organization,public,False,False,False,False,False,True,,,,,
4644694,MDEwOlJlcG9zaXRvcnk0NjQ0Njk0,bass,NMML/bass,False,https://github.com/NMML/bass,Tools and analysis procedures related to the Bering-Arctic Seal Surveys,False,https://api.github.com/repos/NMML/bass,2012-06-13T00:23:52Z,2016-03-08T17:04:13Z,2016-03-08T17:22:36Z,,25719,1,1,R,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,1,master,NMML,872044,MDEyOk9yZ2FuaXphdGlvbjg3MjA0NA==,Organization,public,False,False,False,False,False,True,,,,,
8592075,MDEwOlJlcG9zaXRvcnk4NTkyMDc1,agTrend,NMML/agTrend,False,https://github.com/NMML/agTrend,R package for Bayesian inference of abundance trends,False,https://api.github.com/repos/NMML/agTrend,2013-03-06T00:00:21Z,2023-04-26T23:35:18Z,2018-01-26T22:33:36Z,,408,3,3,R,True,True,True,True,True,False,4,,False,False,0,,True,False,False,[],public,4,0,3,master,NMML,872044,MDEyOk9yZ2FuaXphdGlvbjg3MjA0NA==,Organization,public,False,False,False,False,False,True,,,,,
8592308,MDEwOlJlcG9zaXRvcnk4NTkyMzA4,Trend-Estimation-paper,NMML/Trend-Estimation-paper,False,https://github.com/NMML/Trend-Estimation-paper,,False,https://api.github.com/repos/NMML/Trend-Estimation-paper,2013-03-06T00:16:07Z,2015-08-19T19:20:10Z,2013-09-19T22:09:40Z,,256,0,0,R,True,True,True,True,False,False,4,,False,False,0,,True,False,False,[],public,4,0,0,master,NMML,872044,MDEyOk9yZ2FuaXphdGlvbjg3MjA0NA==,Organization,public,False,False,False,False,False,True,,,,,
