id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
127435157,MDEwOlJlcG9zaXRvcnkxMjc0MzUxNTc=,fv3gfs,NOAA-EMC/fv3gfs,False,https://github.com/NOAA-EMC/fv3gfs,The public home of NOAA EMC's FV3GFS Modeling System.,False,https://api.github.com/repos/NOAA-EMC/fv3gfs,2018-03-30T14:08:35Z,2024-10-16T16:50:18Z,2022-04-22T14:31:08Z,,33771,57,57,Fortran,True,True,True,True,False,False,31,,False,False,1,,True,False,False,[],public,31,1,57,main,NOAA-EMC,37810995,MDEyOk9yZ2FuaXphdGlvbjM3ODEwOTk1,Organization,public,False,False,False,False,False,True,,,,,
176347220,MDEwOlJlcG9zaXRvcnkxNzYzNDcyMjA=,HAFS,NOAA-EMC/HAFS,False,https://github.com/NOAA-EMC/HAFS,Hurricane Analysis and Forecast System,True,https://api.github.com/repos/NOAA-EMC/HAFS,2019-03-18T18:33:03Z,2021-11-06T10:18:08Z,2023-01-08T05:24:07Z,,35316,5,5,C,True,True,True,True,False,False,3,,False,False,10,,True,False,False,[],public,3,10,5,develop,NOAA-EMC,37810995,MDEyOk9yZ2FuaXphdGlvbjM3ODEwOTk1,Organization,public,False,False,False,False,False,True,,,,,
176582812,MDEwOlJlcG9zaXRvcnkxNzY1ODI4MTI=,WW3,NOAA-EMC/WW3,False,https://github.com/NOAA-EMC/WW3,WAVEWATCH III,False,https://api.github.com/repos/NOAA-EMC/WW3,2019-03-19T19:17:58Z,2024-12-18T01:01:46Z,2024-12-13T20:34:28Z,,84173,270,270,Fortran,True,True,True,True,True,True,548,,False,False,216,,True,False,False,[],public,548,216,270,develop,NOAA-EMC,37810995,MDEyOk9yZ2FuaXphdGlvbjM3ODEwOTk1,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
177590164,MDEwOlJlcG9zaXRvcnkxNzc1OTAxNjQ=,drift_grumbine,NOAA-EMC/drift_grumbine,False,https://github.com/NOAA-EMC/drift_grumbine,,False,https://api.github.com/repos/NOAA-EMC/drift_grumbine,2019-03-25T13:18:14Z,2022-05-13T12:42:00Z,2023-08-30T17:39:01Z,,218,0,0,Fortran,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,main,NOAA-EMC,37810995,MDEyOk9yZ2FuaXphdGlvbjM3ODEwOTk1,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
177597227,MDEwOlJlcG9zaXRvcnkxNzc1OTcyMjc=,seaice-concentration,NOAA-EMC/seaice-concentration,False,https://github.com/NOAA-EMC/seaice-concentration,Sea ice concentration analysis at NCEP,False,https://api.github.com/repos/NOAA-EMC/seaice-concentration,2019-03-25T13:58:16Z,2024-12-10T02:23:24Z,2024-10-02T15:35:02Z,,294,2,2,C,True,True,True,True,False,True,1,,False,False,8,,True,False,False,[],public,1,8,2,develop,NOAA-EMC,37810995,MDEyOk9yZ2FuaXphdGlvbjM3ODEwOTk1,Organization,public,False,False,False,False,False,True,apache-2.0,Apache License 2.0,Apache-2.0,https://api.github.com/licenses/apache-2.0,MDc6TGljZW5zZTI=
183085482,MDEwOlJlcG9zaXRvcnkxODMwODU0ODI=,NOAA-EMC.github.io,NOAA-EMC/NOAA-EMC.github.io,False,https://github.com/NOAA-EMC/NOAA-EMC.github.io,EMC Documentation,False,https://api.github.com/repos/NOAA-EMC/NOAA-EMC.github.io,2019-04-23T19:47:07Z,2024-10-01T16:07:34Z,2021-08-18T15:19:22Z,https://noaa-emc.github.io,55082,8,8,HTML,True,True,True,True,True,True,4,,False,False,2,,True,False,False,[],public,4,2,8,master,NOAA-EMC,37810995,MDEyOk9yZ2FuaXphdGlvbjM3ODEwOTk1,Organization,public,False,False,False,False,False,True,,,,,
190450741,MDEwOlJlcG9zaXRvcnkxOTA0NTA3NDE=,genes_gmd,NOAA-EMC/genes_gmd,False,https://github.com/NOAA-EMC/genes_gmd,Package for determining GMD parameters for use in WAVEWATCH III ,False,https://api.github.com/repos/NOAA-EMC/genes_gmd,2019-06-05T18:49:54Z,2024-05-30T15:17:41Z,2022-04-22T18:32:00Z,,132054,1,1,Shell,True,True,True,True,False,False,3,,False,False,0,,True,False,False,[],public,3,0,1,main,NOAA-EMC,37810995,MDEyOk9yZ2FuaXphdGlvbjM3ODEwOTk1,Organization,public,False,False,False,False,False,True,,,,,
190451019,MDEwOlJlcG9zaXRvcnkxOTA0NTEwMTk=,gridgen,NOAA-EMC/gridgen,False,https://github.com/NOAA-EMC/gridgen,Package for generating grids for WAVEWATCH III ,False,https://api.github.com/repos/NOAA-EMC/gridgen,2019-06-05T18:52:02Z,2024-11-14T16:26:26Z,2024-01-23T00:26:37Z,,4721,17,17,MATLAB,True,True,True,True,False,False,27,,False,False,7,,True,False,False,[],public,27,7,17,main,NOAA-EMC,37810995,MDEyOk9yZ2FuaXphdGlvbjM3ODEwOTk1,Organization,public,False,False,False,False,False,True,,,,,
194147316,MDEwOlJlcG9zaXRvcnkxOTQxNDczMTY=,hybrid-godas,NOAA-EMC/hybrid-godas,False,https://github.com/NOAA-EMC/hybrid-godas,MOM6 hybrid global ocean data assimilation system,True,https://api.github.com/repos/NOAA-EMC/hybrid-godas,2019-06-27T18:50:27Z,2019-06-27T18:50:30Z,2019-08-07T19:09:09Z,,643,0,0,Fortran,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,dev,NOAA-EMC,37810995,MDEyOk9yZ2FuaXphdGlvbjM3ODEwOTk1,Organization,public,False,False,False,False,False,True,,,,,
194322784,MDEwOlJlcG9zaXRvcnkxOTQzMjI3ODQ=,CROW,NOAA-EMC/CROW,False,https://github.com/NOAA-EMC/CROW,Configurator/Configuration manager of Research and Operational Workflows,False,https://api.github.com/repos/NOAA-EMC/CROW,2019-06-28T19:14:07Z,2023-06-28T13:58:00Z,2021-07-15T08:46:20Z,https://noaa-emc.github.io/CROW/,1717,4,4,Python,True,True,True,True,True,False,4,,False,False,9,,True,False,False,[],public,4,9,4,develop,NOAA-EMC,37810995,MDEyOk9yZ2FuaXphdGlvbjM3ODEwOTk1,Organization,public,False,False,False,False,False,True,,,,,
