id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
16698815,MDEwOlJlcG9zaXRvcnkxNjY5ODgxNQ==,SIS2,NOAA-GFDL/SIS2,False,https://github.com/NOAA-GFDL/SIS2,NOAA-GFDL's Sea Ice Simulator version 2,False,https://api.github.com/repos/NOAA-GFDL/SIS2,2014-02-10T15:06:39Z,2024-08-14T22:19:02Z,2024-11-27T16:21:22Z,,4594,16,16,Fortran,True,True,True,True,False,False,43,,False,False,17,True,False,False,[],public,43,17,16,dev/gfdl,NOAA-GFDL,11219395,MDEyOk9yZ2FuaXphdGlvbjExMjE5Mzk1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
18886042,MDEwOlJlcG9zaXRvcnkxODg4NjA0Mg==,FMS,NOAA-GFDL/FMS,False,https://github.com/NOAA-GFDL/FMS,GFDL's Flexible Modeling System,False,https://api.github.com/repos/NOAA-GFDL/FMS,2014-04-17T16:49:09Z,2024-12-18T20:25:45Z,2024-12-18T20:25:41Z,,69542,98,98,Fortran,True,True,True,True,True,True,137,,False,False,70,True,False,False,"['climate', 'climate-model', 'fms', 'fortran', 'gfdl', 'infrastructure', 'netcdf']",public,137,70,98,main,NOAA-GFDL,11219395,MDEyOk9yZ2FuaXphdGlvbjExMjE5Mzk1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
24510911,MDEwOlJlcG9zaXRvcnkyNDUxMDkxMQ==,MOM6-examples,NOAA-GFDL/MOM6-examples,False,https://github.com/NOAA-GFDL/MOM6-examples,Example configurations for MOM6 and SIS2,False,https://api.github.com/repos/NOAA-GFDL/MOM6-examples,2014-09-26T18:34:19Z,2024-12-12T14:54:45Z,2024-12-12T14:54:39Z,,71269,89,89,Jupyter Notebook,True,True,True,True,False,False,148,,False,False,53,True,False,False,[],public,148,53,89,dev/gfdl,NOAA-GFDL,11219395,MDEyOk9yZ2FuaXphdGlvbjExMjE5Mzk1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
31391889,MDEwOlJlcG9zaXRvcnkzMTM5MTg4OQ==,icebergs,NOAA-GFDL/icebergs,False,https://github.com/NOAA-GFDL/icebergs,GFDL Climate Model Icebergs,False,https://api.github.com/repos/NOAA-GFDL/icebergs,2015-02-26T22:20:20Z,2024-12-06T15:44:17Z,2024-08-21T16:43:22Z,,2513,6,6,Fortran,True,True,True,True,False,False,19,,False,False,14,True,False,False,[],public,19,14,6,dev/gfdl,NOAA-GFDL,11219395,MDEyOk9yZ2FuaXphdGlvbjExMjE5Mzk1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
34922585,MDEwOlJlcG9zaXRvcnkzNDkyMjU4NQ==,FUDGE,NOAA-GFDL/FUDGE,False,https://github.com/NOAA-GFDL/FUDGE,,False,https://api.github.com/repos/NOAA-GFDL/FUDGE,2015-05-01T20:28:07Z,2023-01-10T08:46:25Z,2024-07-30T11:54:03Z,,46407,3,3,R,True,True,True,True,False,False,9,,False,False,0,True,False,False,[],public,9,0,3,main,NOAA-GFDL,11219395,MDEyOk9yZ2FuaXphdGlvbjExMjE5Mzk1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
36701409,MDEwOlJlcG9zaXRvcnkzNjcwMTQwOQ==,FMScoupler,NOAA-GFDL/FMScoupler,False,https://github.com/NOAA-GFDL/FMScoupler,,False,https://api.github.com/repos/NOAA-GFDL/FMScoupler,2015-06-02T02:02:23Z,2024-09-27T14:58:37Z,2024-09-27T14:58:32Z,,3534,13,13,Fortran,True,True,True,True,True,False,55,,False,False,15,True,False,False,[],public,55,15,13,main,NOAA-GFDL,11219395,MDEyOk9yZ2FuaXphdGlvbjExMjE5Mzk1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
36701419,MDEwOlJlcG9zaXRvcnkzNjcwMTQxOQ==,mkmf,NOAA-GFDL/mkmf,False,https://github.com/NOAA-GFDL/mkmf,,False,https://api.github.com/repos/NOAA-GFDL/mkmf,2015-06-02T02:02:40Z,2024-12-16T15:33:35Z,2024-12-16T15:33:23Z,,214,10,10,Makefile,True,True,True,True,False,False,51,,False,False,7,True,False,False,"['build', 'fortran', 'gfdl', 'make']",public,51,7,10,main,NOAA-GFDL,11219395,MDEyOk9yZ2FuaXphdGlvbjExMjE5Mzk1,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
41519930,MDEwOlJlcG9zaXRvcnk0MTUxOTkzMA==,land_null,NOAA-GFDL/land_null,False,https://github.com/NOAA-GFDL/land_null,land_null,False,https://api.github.com/repos/NOAA-GFDL/land_null,2015-08-28T01:27:21Z,2021-06-04T13:52:25Z,2024-07-31T11:32:26Z,,51,0,0,Fortran,True,True,True,True,False,False,8,,False,False,2,True,False,False,[],public,8,2,0,main,NOAA-GFDL,11219395,MDEyOk9yZ2FuaXphdGlvbjExMjE5Mzk1,Organization,public,False,lgpl-3.0,GNU Lesser General Public License v3.0,LGPL-3.0,https://api.github.com/licenses/lgpl-3.0,MDc6TGljZW5zZTEy,False,False,False,False,True,
41573196,MDEwOlJlcG9zaXRvcnk0MTU3MzE5Ng==,ice_null,NOAA-GFDL/ice_null,False,https://github.com/NOAA-GFDL/ice_null,ice_null,False,https://api.github.com/repos/NOAA-GFDL/ice_null,2015-08-28T23:18:10Z,2023-06-30T17:24:22Z,2024-07-31T11:32:03Z,,48,0,0,Fortran,True,True,True,True,False,False,5,,False,False,0,True,False,False,[],public,5,0,0,main,NOAA-GFDL,11219395,MDEyOk9yZ2FuaXphdGlvbjExMjE5Mzk1,Organization,public,False,lgpl-3.0,GNU Lesser General Public License v3.0,LGPL-3.0,https://api.github.com/licenses/lgpl-3.0,MDc6TGljZW5zZTEy,False,False,False,False,True,
41573204,MDEwOlJlcG9zaXRvcnk0MTU3MzIwNA==,atmos_null,NOAA-GFDL/atmos_null,False,https://github.com/NOAA-GFDL/atmos_null,atmos_null,False,https://api.github.com/repos/NOAA-GFDL/atmos_null,2015-08-28T23:18:35Z,2024-09-27T14:06:15Z,2024-09-27T14:06:11Z,,80,0,0,Fortran,True,True,True,True,False,False,10,,False,False,3,True,False,False,[],public,10,3,0,main,NOAA-GFDL,11219395,MDEyOk9yZ2FuaXphdGlvbjExMjE5Mzk1,Organization,public,False,lgpl-3.0,GNU Lesser General Public License v3.0,LGPL-3.0,https://api.github.com/licenses/lgpl-3.0,MDc6TGljZW5zZTEy,False,False,False,False,True,
