id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
161527249,MDEwOlJlcG9zaXRvcnkxNjE1MjcyNDk=,GLRRM,NOAA-GLERL/GLRRM,False,https://github.com/NOAA-GLERL/GLRRM,Great Lakes Regulation and Routing Model (data handler only),False,https://api.github.com/repos/NOAA-GLERL/GLRRM,2018-12-12T18:13:55Z,2018-12-12T18:15:09Z,2018-12-12T18:15:05Z,,989,0,0,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NOAA-GLERL,45825878,MDEyOk9yZ2FuaXphdGlvbjQ1ODI1ODc4,Organization,public,False,False,False,False,False,True,,,,,
161528764,MDEwOlJlcG9zaXRvcnkxNjE1Mjg3NjQ=,GLSHFS,NOAA-GLERL/GLSHFS,False,https://github.com/NOAA-GLERL/GLSHFS,Great Lakes Seasonal Hydrology Forecasting System,False,https://api.github.com/repos/NOAA-GLERL/GLSHFS,2018-12-12T18:28:36Z,2024-11-27T22:01:17Z,2024-11-27T22:01:13Z,,90555,0,0,Fortran,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,NOAA-GLERL,45825878,MDEyOk9yZ2FuaXphdGlvbjQ1ODI1ODc4,Organization,public,False,False,False,False,False,True,,,,,
179576704,MDEwOlJlcG9zaXRvcnkxNzk1NzY3MDQ=,L2SWBM,NOAA-GLERL/L2SWBM,False,https://github.com/NOAA-GLERL/L2SWBM,Large Lake Statistical Water Balance Model as applied to the Laurentian Great Lakes,False,https://api.github.com/repos/NOAA-GLERL/L2SWBM,2019-04-04T21:01:50Z,2024-12-17T20:44:30Z,2022-06-03T19:13:52Z,,3339,8,8,R,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,8,master,NOAA-GLERL,45825878,MDEyOk9yZ2FuaXphdGlvbjQ1ODI1ODc4,Organization,public,False,False,False,False,False,True,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=
237091838,MDEwOlJlcG9zaXRvcnkyMzcwOTE4Mzg=,icegridresampling,NOAA-GLERL/icegridresampling,False,https://github.com/NOAA-GLERL/icegridresampling,Scripts used to convert historical ice cover 510 x 516 grids to 1024 x 1024 grids.,False,https://api.github.com/repos/NOAA-GLERL/icegridresampling,2020-01-29T22:06:19Z,2024-12-17T20:44:48Z,2024-12-16T17:55:32Z,,412,4,4,R,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,4,master,NOAA-GLERL,45825878,MDEyOk9yZ2FuaXphdGlvbjQ1ODI1ODc4,Organization,public,False,False,False,False,False,True,gpl-3.0,GNU General Public License v3.0,GPL-3.0,https://api.github.com/licenses/gpl-3.0,MDc6TGljZW5zZTk=
373884928,MDEwOlJlcG9zaXRvcnkzNzM4ODQ5Mjg=,gllbrm-boundaries,NOAA-GLERL/gllbrm-boundaries,False,https://github.com/NOAA-GLERL/gllbrm-boundaries,Great Lakes region basin and subbasin boundaries for the Large Basin Runoff Model (LBRM) developed by the NOAA Great Lakes Environmental Research Laboratory,False,https://api.github.com/repos/NOAA-GLERL/gllbrm-boundaries,2021-06-04T15:28:21Z,2021-06-04T15:34:46Z,2021-06-04T15:34:43Z,,1609,0,0,,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,NOAA-GLERL,45825878,MDEyOk9yZ2FuaXphdGlvbjQ1ODI1ODc4,Organization,public,False,False,False,False,False,True,,,,,
380301894,MDEwOlJlcG9zaXRvcnkzODAzMDE4OTQ=,wrfhydro_scripts,NOAA-GLERL/wrfhydro_scripts,False,https://github.com/NOAA-GLERL/wrfhydro_scripts,,False,https://api.github.com/repos/NOAA-GLERL/wrfhydro_scripts,2021-06-25T16:53:19Z,2021-06-29T16:39:40Z,2021-06-29T16:39:37Z,,25,0,0,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,NOAA-GLERL,45825878,MDEyOk9yZ2FuaXphdGlvbjQ1ODI1ODc4,Organization,public,False,False,False,False,False,True,,,,,
530765414,R_kgDOH6LWZg,LBRM,NOAA-GLERL/LBRM,False,https://github.com/NOAA-GLERL/LBRM,Stand-alone Large Basin Runoff Model,False,https://api.github.com/repos/NOAA-GLERL/LBRM,2022-08-30T17:42:08Z,2024-08-19T15:42:57Z,2024-08-19T15:42:53Z,,591,0,0,Fortran,True,True,True,True,False,False,2,,False,False,0,,True,False,False,[],public,2,0,0,master,NOAA-GLERL,45825878,MDEyOk9yZ2FuaXphdGlvbjQ1ODI1ODc4,Organization,public,False,False,False,False,False,True,,,,,
562922900,R_kgDOIY2FlA,NOAA-GLERL.github.io,NOAA-GLERL/NOAA-GLERL.github.io,False,https://github.com/NOAA-GLERL/NOAA-GLERL.github.io,,False,https://api.github.com/repos/NOAA-GLERL/NOAA-GLERL.github.io,2022-11-07T14:40:20Z,2022-11-16T17:30:20Z,2023-05-23T20:15:05Z,,99914,0,0,HTML,True,True,True,True,True,False,1,,False,False,0,,True,False,False,[],public,1,0,0,main,NOAA-GLERL,45825878,MDEyOk9yZ2FuaXphdGlvbjQ1ODI1ODc4,Organization,public,False,False,False,False,False,True,,,,,
613436871,R_kgDOJJBNxw,LLTM,NOAA-GLERL/LLTM,False,https://github.com/NOAA-GLERL/LLTM,standalone Large Lake Thermodynamic Model,False,https://api.github.com/repos/NOAA-GLERL/LLTM,2023-03-13T15:09:13Z,2023-03-13T15:12:56Z,2023-07-27T21:49:20Z,,1693,0,0,Fortran,True,True,True,True,False,False,0,,False,False,1,,True,False,False,[],public,0,1,0,main,NOAA-GLERL,45825878,MDEyOk9yZ2FuaXphdGlvbjQ1ODI1ODc4,Organization,public,False,False,False,False,False,True,,,,,
808773069,R_kgDOMDTlzQ,CLM-Lake-offline,NOAA-GLERL/CLM-Lake-offline,False,https://github.com/NOAA-GLERL/CLM-Lake-offline,tools and processed lake-wide data for CLM-Lake offline runs ,False,https://api.github.com/repos/NOAA-GLERL/CLM-Lake-offline,2024-05-31T19:35:04Z,2024-12-19T16:07:05Z,2024-12-19T16:06:58Z,,36528,0,0,R,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,main,NOAA-GLERL,45825878,MDEyOk9yZ2FuaXphdGlvbjQ1ODI1ODc4,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
