id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
11485891,MDEwOlJlcG9zaXRvcnkxMTQ4NTg5MQ==,hazpy.unit_conversion,NOAA-ORR-ERD/hazpy.unit_conversion,False,https://github.com/NOAA-ORR-ERD/hazpy.unit_conversion,Unit conversion code developed by NOAA Emergency Response division -- focused on Oil Spill Response needs.,False,https://api.github.com/repos/NOAA-ORR-ERD/hazpy.unit_conversion,2013-07-17T19:47:30Z,2023-01-28T13:47:35Z,2020-07-09T16:34:32Z,,31,0,0,Python,True,True,True,True,False,False,4,,True,False,0,True,False,False,[],public,4,0,0,master,NOAA-ORR-ERD,4809476,MDEyOk9yZ2FuaXphdGlvbjQ4MDk0NzY=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
11513966,MDEwOlJlcG9zaXRvcnkxMTUxMzk2Ng==,py_gd,NOAA-ORR-ERD/py_gd,False,https://github.com/NOAA-ORR-ERD/py_gd,python wrappers for libgd graphics drawing lib,False,https://api.github.com/repos/NOAA-ORR-ERD/py_gd,2013-07-18T21:15:34Z,2024-07-18T16:56:49Z,2024-07-18T16:56:45Z,http://noaa-orr-erd.github.io/py_gd/,879,7,7,Python,True,True,True,True,True,False,4,,False,False,10,True,False,False,[],public,4,10,7,main,NOAA-ORR-ERD,4809476,MDEyOk9yZ2FuaXphdGlvbjQ4MDk0NzY=,Organization,public,False,,,,,,False,False,False,False,True,
12117348,MDEwOlJlcG9zaXRvcnkxMjExNzM0OA==,GnomeTools,NOAA-ORR-ERD/GnomeTools,False,https://github.com/NOAA-ORR-ERD/GnomeTools,Assorted libraries and scripts for working with the General NOAA Operational Modeling Environment,False,https://api.github.com/repos/NOAA-ORR-ERD/GnomeTools,2013-08-14T19:18:48Z,2021-10-13T17:25:40Z,2023-08-15T17:56:14Z,,43053,3,3,Python,True,True,True,True,False,False,14,,False,False,2,True,False,False,[],public,14,2,3,master,NOAA-ORR-ERD,4809476,MDEyOk9yZ2FuaXphdGlvbjQ4MDk0NzY=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
12492401,MDEwOlJlcG9zaXRvcnkxMjQ5MjQwMQ==,PyGnome,NOAA-ORR-ERD/PyGnome,False,https://github.com/NOAA-ORR-ERD/PyGnome,The General NOAA Operational Modeling Environment,False,https://api.github.com/repos/NOAA-ORR-ERD/PyGnome,2013-08-30T18:00:57Z,2024-12-18T02:49:20Z,2024-11-26T22:53:17Z,https://gnome.orr.noaa.gov/doc/pygnome/index.html,202133,60,60,C,True,True,True,True,True,False,44,,False,False,75,True,False,False,[],public,44,75,60,main,NOAA-ORR-ERD,4809476,MDEyOk9yZ2FuaXphdGlvbjQ4MDk0NzY=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
18607041,MDEwOlJlcG9zaXRvcnkxODYwNzA0MQ==,ol3,NOAA-ORR-ERD/ol3,False,https://github.com/NOAA-ORR-ERD/ol3,OpenLayers 3,True,https://api.github.com/repos/NOAA-ORR-ERD/ol3,2014-04-09T17:51:32Z,2023-12-17T08:29:00Z,2016-04-12T20:35:53Z,http://ol3js.org/,56912,1,1,JavaScript,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,master,NOAA-ORR-ERD,4809476,MDEyOk9yZ2FuaXphdGlvbjQ4MDk0NzY=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
19358684,MDEwOlJlcG9zaXRvcnkxOTM1ODY4NA==,WebGnomeAPI,NOAA-ORR-ERD/WebGnomeAPI,False,https://github.com/NOAA-ORR-ERD/WebGnomeAPI,The API service that interfaces with py_gnome,False,https://api.github.com/repos/NOAA-ORR-ERD/WebGnomeAPI,2014-05-01T21:40:08Z,2024-12-09T19:28:16Z,2024-12-09T19:30:40Z,,51289,1,1,Python,True,True,True,True,False,False,9,,False,False,0,True,False,False,[],public,9,0,1,main,NOAA-ORR-ERD,4809476,MDEyOk9yZ2FuaXphdGlvbjQ4MDk0NzY=,Organization,public,False,,,,,,False,False,False,False,True,
19358763,MDEwOlJlcG9zaXRvcnkxOTM1ODc2Mw==,WebGnomeClient,NOAA-ORR-ERD/WebGnomeClient,False,https://github.com/NOAA-ORR-ERD/WebGnomeClient,Javascript client that uses the WebGnomeAPI to create and run py_gnome models.,False,https://api.github.com/repos/NOAA-ORR-ERD/WebGnomeClient,2014-05-01T21:43:07Z,2021-10-08T01:33:04Z,2023-06-21T23:37:30Z,,26327,3,3,JavaScript,True,True,True,True,False,False,9,,False,False,12,True,False,False,[],public,9,12,3,main,NOAA-ORR-ERD,4809476,MDEyOk9yZ2FuaXphdGlvbjQ4MDk0NzY=,Organization,public,False,,,,,,False,False,False,False,True,
20692913,MDEwOlJlcG9zaXRvcnkyMDY5MjkxMw==,compass-rose-ui,NOAA-ORR-ERD/compass-rose-ui,False,https://github.com/NOAA-ORR-ERD/compass-rose-ui,Compass Rose UI - a javascript control for selecting velocity and direction for wind and water.,False,https://api.github.com/repos/NOAA-ORR-ERD/compass-rose-ui,2014-06-10T16:32:50Z,2024-04-29T04:42:47Z,2022-03-14T23:22:51Z,,55,13,13,JavaScript,True,True,True,True,False,False,6,,False,False,0,True,False,False,[],public,6,0,13,master,NOAA-ORR-ERD,4809476,MDEyOk9yZ2FuaXphdGlvbjQ4MDk0NzY=,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
22773598,MDEwOlJlcG9zaXRvcnkyMjc3MzU5OA==,OilLibraryAPI,NOAA-ORR-ERD/OilLibraryAPI,False,https://github.com/NOAA-ORR-ERD/OilLibraryAPI,A web-based querying api for the oil library,False,https://api.github.com/repos/NOAA-ORR-ERD/OilLibraryAPI,2014-08-08T22:44:26Z,2021-04-16T00:52:16Z,2021-04-16T00:52:12Z,,391,2,2,Python,True,True,True,True,False,False,8,,False,False,1,True,False,False,[],public,8,1,2,master,NOAA-ORR-ERD,4809476,MDEyOk9yZ2FuaXphdGlvbjQ4MDk0NzY=,Organization,public,False,,,,,,False,False,False,False,True,
25315546,MDEwOlJlcG9zaXRvcnkyNTMxNTU0Ng==,jsNUCOS,NOAA-ORR-ERD/jsNUCOS,False,https://github.com/NOAA-ORR-ERD/jsNUCOS,NOAA Unit Conversion for Oil Spills,False,https://api.github.com/repos/NOAA-ORR-ERD/jsNUCOS,2014-10-16T18:26:20Z,2021-09-29T01:28:24Z,2021-09-29T01:56:18Z,,110,2,2,JavaScript,True,True,True,True,False,False,4,,False,False,4,True,False,False,[],public,4,4,2,master,NOAA-ORR-ERD,4809476,MDEyOk9yZ2FuaXphdGlvbjQ4MDk0NzY=,Organization,public,False,,,,,,False,False,False,False,True,
