id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
241694339,MDEwOlJlcG9zaXRvcnkyNDE2OTQzMzk=,owp-open-source-project-template,NOAA-OWP/owp-open-source-project-template,False,https://github.com/NOAA-OWP/owp-open-source-project-template,Template repo for new OWP open source projects to start from.,False,https://api.github.com/repos/NOAA-OWP/owp-open-source-project-template,2020-02-19T18:30:30Z,2024-11-06T17:22:30Z,2024-11-06T17:22:26Z,,730,11,11,,True,True,True,True,False,False,6,,False,False,1,True,True,False,[],public,6,1,11,master,NOAA-OWP,60660814,MDEyOk9yZ2FuaXphdGlvbjYwNjYwODE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
241711422,MDEwOlJlcG9zaXRvcnkyNDE3MTE0MjI=,ngen,NOAA-OWP/ngen,False,https://github.com/NOAA-OWP/ngen,Next Generation Water Modeling Engine and Framework Prototype,False,https://api.github.com/repos/NOAA-OWP/ngen,2020-02-19T19:52:57Z,2024-12-11T17:22:09Z,2024-10-16T15:40:59Z,,265497,85,85,C++,True,True,True,True,True,False,63,,False,False,175,True,False,False,[],public,63,175,85,master,NOAA-OWP,60660814,MDEyOk9yZ2FuaXphdGlvbjYwNjYwODE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
250253821,MDEwOlJlcG9zaXRvcnkyNTAyNTM4MjE=,t-route,NOAA-OWP/t-route,False,https://github.com/NOAA-OWP/t-route,Tree based hydrologic and hydraulic routing,False,https://api.github.com/repos/NOAA-OWP/t-route,2020-03-26T12:34:57Z,2024-10-09T19:22:51Z,2024-09-23T19:59:51Z,,68053,44,44,Python,True,True,True,True,False,False,51,,False,False,145,True,False,False,[],public,51,145,44,master,NOAA-OWP,60660814,MDEyOk9yZ2FuaXphdGlvbjYwNjYwODE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
251475689,MDEwOlJlcG9zaXRvcnkyNTE0NzU2ODk=,DMOD,NOAA-OWP/DMOD,False,https://github.com/NOAA-OWP/DMOD,Distributed Model on Demand infrastructure for OWP's Model as a Service,False,https://api.github.com/repos/NOAA-OWP/DMOD,2020-03-31T02:02:07Z,2024-10-07T20:16:50Z,2024-12-18T00:58:16Z,,11252,7,7,Python,True,True,True,True,False,False,15,,False,False,206,True,False,False,[],public,15,206,7,master,NOAA-OWP,60660814,MDEyOk9yZ2FuaXphdGlvbjYwNjYwODE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
263979513,MDEwOlJlcG9zaXRvcnkyNjM5Nzk1MTM=,inundation-mapping,NOAA-OWP/inundation-mapping,False,https://github.com/NOAA-OWP/inundation-mapping,Flood inundation mapping and evaluation software configured to work with U.S. National Water Model.,False,https://api.github.com/repos/NOAA-OWP/inundation-mapping,2020-05-14T17:21:09Z,2024-12-17T23:40:06Z,2024-12-19T01:08:41Z,,33267,97,97,Python,True,True,True,True,False,False,30,,False,False,222,True,False,False,"['evaluation', 'flood-inundation-maps', 'gis', 'hydrology', 'inundation', 'mapping', 'national-hydrography-dataset', 'national-water-center', 'noaa']",public,30,222,97,dev,NOAA-OWP,60660814,MDEyOk9yZ2FuaXphdGlvbjYwNjYwODE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
295468359,MDEwOlJlcG9zaXRvcnkyOTU0NjgzNTk=,hypy,NOAA-OWP/hypy,False,https://github.com/NOAA-OWP/hypy,,False,https://api.github.com/repos/NOAA-OWP/hypy,2020-09-14T16:04:18Z,2024-10-21T16:17:28Z,2024-07-26T19:45:09Z,,795,3,3,Python,True,True,True,True,False,False,4,,False,False,6,True,False,False,[],public,4,6,3,master,NOAA-OWP,60660814,MDEyOk9yZ2FuaXphdGlvbjYwNjYwODE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
295535157,MDEwOlJlcG9zaXRvcnkyOTU1MzUxNTc=,ngen-cal,NOAA-OWP/ngen-cal,False,https://github.com/NOAA-OWP/ngen-cal,Tools for calibrating and configuring NextGen,False,https://api.github.com/repos/NOAA-OWP/ngen-cal,2020-09-14T20:47:39Z,2024-10-16T15:41:18Z,2024-10-16T15:41:14Z,https://github.com/NOAA-OWP/ngen-cal/wiki,1473,9,9,Python,True,True,True,True,False,False,18,,False,False,71,True,False,False,[],public,18,71,9,master,NOAA-OWP,60660814,MDEyOk9yZ2FuaXphdGlvbjYwNjYwODE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
299628382,MDEwOlJlcG9zaXRvcnkyOTk2MjgzODI=,gh-train,NOAA-OWP/gh-train,False,https://github.com/NOAA-OWP/gh-train,training material and playground for getting familiar with github,False,https://api.github.com/repos/NOAA-OWP/gh-train,2020-09-29T13:37:35Z,2020-11-25T20:08:35Z,2020-12-04T14:03:45Z,,2651,0,0,,True,True,True,True,False,False,2,,False,False,1,True,False,False,[],public,2,1,0,master,NOAA-OWP,60660814,MDEyOk9yZ2FuaXphdGlvbjYwNjYwODE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
319963685,MDEwOlJlcG9zaXRvcnkzMTk5NjM2ODU=,hydrotools,NOAA-OWP/hydrotools,False,https://github.com/NOAA-OWP/hydrotools,Suite of tools for retrieving USGS NWIS observations and evaluating National Water Model (NWM) data.,False,https://api.github.com/repos/NOAA-OWP/hydrotools,2020-12-09T13:23:45Z,2024-12-03T16:29:50Z,2024-12-03T20:28:21Z,,16019,54,54,Python,True,True,True,True,True,False,14,,False,False,6,True,False,False,"['evaluation', 'forecasting', 'hydrology', 'modeling', 'noaa', 'observations', 'pandas', 'python', 'simulation', 'validation', 'verification']",public,14,6,54,main,NOAA-OWP,60660814,MDEyOk9yZ2FuaXphdGlvbjYwNjYwODE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
341888829,MDEwOlJlcG9zaXRvcnkzNDE4ODg4Mjk=,noah-owp-modular,NOAA-OWP/noah-owp-modular,False,https://github.com/NOAA-OWP/noah-owp-modular,Modularized version of the NOAH-MP land surface model.,False,https://api.github.com/repos/NOAA-OWP/noah-owp-modular,2021-02-24T12:11:03Z,2024-09-19T13:21:57Z,2024-09-09T11:55:55Z,,7687,9,9,Fortran,True,True,True,True,False,False,20,,False,False,15,True,False,False,[],public,20,15,9,main,NOAA-OWP,60660814,MDEyOk9yZ2FuaXphdGlvbjYwNjYwODE0,Organization,public,False,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=,False,False,False,False,True,
