id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,license.key,license.name,license.spdx_id,license.url,license.node_id,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license
516057694,R_kgDOHsJqXg,.github,NOAA-OceanExploration/.github,False,https://github.com/NOAA-OceanExploration/.github,readme,False,https://api.github.com/repos/NOAA-OceanExploration/.github,2022-07-20T16:32:47Z,2022-07-20T16:40:36Z,2023-07-17T13:57:14Z,,7,0,0,,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,NOAA-OceanExploration,109681574,O_kgDOBombpg,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
520561667,R_kgDOHwckAw,navigation-extractor,NOAA-OceanExploration/navigation-extractor,False,https://github.com/NOAA-OceanExploration/navigation-extractor,Script for extracting navigation data from the data products of a cruise and generating a single navigation file.,False,https://api.github.com/repos/NOAA-OceanExploration/navigation-extractor,2022-08-02T15:56:14Z,2022-08-12T14:34:48Z,2022-08-12T14:33:39Z,,5,1,1,,True,True,True,True,True,False,0,,False,False,0,True,False,False,[],public,0,0,1,main,NOAA-OceanExploration,109681574,O_kgDOBombpg,Organization,public,False,unlicense,The Unlicense,Unlicense,https://api.github.com/licenses/unlicense,MDc6TGljZW5zZTE1,False,False,False,False,True,
593644878,R_kgDOI2JNTg,ocean_exploration_data_tutorial,NOAA-OceanExploration/ocean_exploration_data_tutorial,False,https://github.com/NOAA-OceanExploration/ocean_exploration_data_tutorial,"A tutorial on how to clean, analyze, and visualize data using ocean exploration data as an example.",True,https://api.github.com/repos/NOAA-OceanExploration/ocean_exploration_data_tutorial,2023-01-26T14:20:16Z,2022-12-28T16:04:50Z,2023-01-05T23:30:46Z,,514,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,NOAA-OceanExploration,109681574,O_kgDOBombpg,Organization,public,False,,,,,,False,False,False,False,True,
681296632,R_kgDOKJvC-A,NOFO-Fiscal-Report-Automation,NOAA-OceanExploration/NOFO-Fiscal-Report-Automation,False,https://github.com/NOAA-OceanExploration/NOFO-Fiscal-Report-Automation,"An automation suite built using Google Apps Script for handling fiscal reports within Google Documents. It allows streamlined management of figures, graphs, tables, and other elements by interacting with Google Sheets, significantly enhancing report generation and customization.",False,https://api.github.com/repos/NOAA-OceanExploration/NOFO-Fiscal-Report-Automation,2023-08-21T17:48:30Z,2023-09-05T01:42:57Z,2023-09-15T19:14:35Z,,51,1,1,JavaScript,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,main,NOAA-OceanExploration,109681574,O_kgDOBombpg,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
681766114,R_kgDOKKLs4g,NCEI-Dive-Summary-Generation,NOAA-OceanExploration/NCEI-Dive-Summary-Generation,False,https://github.com/NOAA-OceanExploration/NCEI-Dive-Summary-Generation,,False,https://api.github.com/repos/NOAA-OceanExploration/NCEI-Dive-Summary-Generation,2023-08-22T17:59:52Z,2023-08-22T18:02:34Z,2023-08-22T18:02:31Z,,7,0,0,JavaScript,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,NOAA-OceanExploration,109681574,O_kgDOBombpg,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
682292315,R_kgDOKKr0Ww,EE-Cruise-Report-Automation,NOAA-OceanExploration/EE-Cruise-Report-Automation,False,https://github.com/NOAA-OceanExploration/EE-Cruise-Report-Automation,,False,https://api.github.com/repos/NOAA-OceanExploration/EE-Cruise-Report-Automation,2023-08-23T21:27:02Z,2023-08-23T21:33:38Z,2023-08-23T21:39:52Z,,7,0,0,JavaScript,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,NOAA-OceanExploration,109681574,O_kgDOBombpg,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
685679126,R_kgDOKN6iFg,Seabot,NOAA-OceanExploration/Seabot,False,https://github.com/NOAA-OceanExploration/Seabot,"SeaBot is an integrated machine learning pipeline designed for underwater video classification and annotation. It employs a two-pronged approach, training both an image classification model and a text generation model simultaneously. The image model classifies underwater entities, while the text model generates human-readable annotations.",False,https://api.github.com/repos/NOAA-OceanExploration/Seabot,2023-08-31T19:03:08Z,2024-11-27T05:12:02Z,2024-10-10T21:22:20Z,,307,3,3,Jupyter Notebook,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,3,main,NOAA-OceanExploration,109681574,O_kgDOBombpg,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
751011601,R_kgDOLMOHEQ,OER_Shiny_Demo,NOAA-OceanExploration/OER_Shiny_Demo,False,https://github.com/NOAA-OceanExploration/OER_Shiny_Demo,NOAA Ocean Exploration demonstration shiny app for internal scoping purposes,True,https://api.github.com/repos/NOAA-OceanExploration/OER_Shiny_Demo,2024-01-31T19:01:02Z,2024-01-31T19:01:02Z,2024-01-24T16:55:57Z,,91526,0,0,,False,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,0,main,NOAA-OceanExploration,109681574,O_kgDOBombpg,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
753966139,R_kgDOLPCcOw,WaterColumnHighlighter,NOAA-OceanExploration/WaterColumnHighlighter,False,https://github.com/NOAA-OceanExploration/WaterColumnHighlighter,,False,https://api.github.com/repos/NOAA-OceanExploration/WaterColumnHighlighter,2024-02-07T06:02:10Z,2024-12-12T15:57:33Z,2024-12-12T15:57:28Z,,28306,1,1,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,main,NOAA-OceanExploration,109681574,O_kgDOBombpg,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
832238468,R_kgDOMZrzhA,CritterDetectorServer,NOAA-OceanExploration/CritterDetectorServer,False,https://github.com/NOAA-OceanExploration/CritterDetectorServer,"This project is a web application for uploading videos and annotation files to detect and compare unique organisms in the video using a PyTorch model, with results displayed on an intuitive interface.",False,https://api.github.com/repos/NOAA-OceanExploration/CritterDetectorServer,2024-07-22T15:45:26Z,2024-12-12T16:01:13Z,2024-12-12T16:01:09Z,,30226,1,1,Python,True,True,True,True,False,False,0,,False,False,0,True,False,False,[],public,0,0,1,main,NOAA-OceanExploration,109681574,O_kgDOBombpg,Organization,public,False,mit,MIT License,MIT,https://api.github.com/licenses/mit,MDc6TGljZW5zZTEz,False,False,False,False,True,
