id,node_id,name,full_name,private,html_url,description,fork,url,created_at,updated_at,pushed_at,homepage,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,forks_count,mirror_url,archived,disabled,open_issues_count,license,allow_forking,is_template,web_commit_signoff_required,topics,visibility,forks,open_issues,watchers,default_branch,owner.login,owner.id,owner.node_id,owner.type,owner.user_view_type,owner.site_admin,permissions.admin,permissions.maintain,permissions.push,permissions.triage,permissions.pull,license.key,license.name,license.spdx_id,license.url,license.node_id
13398650,MDEwOlJlcG9zaXRvcnkxMzM5ODY1MA==,CableDatabase,NSLS-II-CSX/CableDatabase,False,https://github.com/NSLS-II-CSX/CableDatabase,,False,https://api.github.com/repos/NSLS-II-CSX/CableDatabase,2013-10-07T23:37:11Z,2014-01-18T12:11:44Z,2013-11-11T12:07:33Z,,449,0,0,Python,True,True,True,True,False,False,1,,False,False,0,,True,False,False,[],public,1,0,0,master,NSLS-II-CSX,6436775,MDEyOk9yZ2FuaXphdGlvbjY0MzY3NzU=,Organization,public,False,False,False,False,False,True,,,,,
16070039,MDEwOlJlcG9zaXRvcnkxNjA3MDAzOQ==,qcinview,NSLS-II-CSX/qcinview,False,https://github.com/NSLS-II-CSX/qcinview,,False,https://api.github.com/repos/NSLS-II-CSX/qcinview,2014-01-20T12:28:44Z,2014-04-11T11:48:18Z,2014-04-11T11:48:21Z,,200,0,0,C++,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NSLS-II-CSX,6436775,MDEyOk9yZ2FuaXphdGlvbjY0MzY3NzU=,Organization,public,False,False,False,False,False,True,,,,,
16139977,MDEwOlJlcG9zaXRvcnkxNjEzOTk3Nw==,NSLS-II-CSX.github.io,NSLS-II-CSX/NSLS-II-CSX.github.io,False,https://github.com/NSLS-II-CSX/NSLS-II-CSX.github.io,,False,https://api.github.com/repos/NSLS-II-CSX/NSLS-II-CSX.github.io,2014-01-22T13:29:20Z,2016-02-12T18:59:39Z,2019-03-26T19:21:49Z,http://nsls-ii-csx.github.io/,7817,0,0,HTML,True,True,True,True,True,False,1,,False,False,2,,True,False,False,[],public,1,2,0,master,NSLS-II-CSX,6436775,MDEyOk9yZ2FuaXphdGlvbjY0MzY3NzU=,Organization,public,False,False,False,False,False,True,,,,,
17346616,MDEwOlJlcG9zaXRvcnkxNzM0NjYxNg==,CAAutoConfig,NSLS-II-CSX/CAAutoConfig,False,https://github.com/NSLS-II-CSX/CAAutoConfig,EPICS Channel Archiver Auto Config Utilities,False,https://api.github.com/repos/NSLS-II-CSX/CAAutoConfig,2014-03-02T20:50:07Z,2014-11-02T16:36:34Z,2014-11-11T18:30:15Z,,192,0,0,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NSLS-II-CSX,6436775,MDEyOk9yZ2FuaXphdGlvbjY0MzY3NzU=,Organization,public,False,False,False,False,False,True,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=
22285870,MDEwOlJlcG9zaXRvcnkyMjI4NTg3MA==,pyVLSPGM,NSLS-II-CSX/pyVLSPGM,False,https://github.com/NSLS-II-CSX/pyVLSPGM,,False,https://api.github.com/repos/NSLS-II-CSX/pyVLSPGM,2014-07-26T12:14:00Z,2014-07-26T12:15:04Z,2014-07-28T13:16:01Z,,140,0,0,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NSLS-II-CSX,6436775,MDEyOk9yZ2FuaXphdGlvbjY0MzY3NzU=,Organization,public,False,False,False,False,False,True,bsd-2-clause,"BSD 2-Clause ""Simplified"" License",BSD-2-Clause,https://api.github.com/licenses/bsd-2-clause,MDc6TGljZW5zZTQ=
26217316,MDEwOlJlcG9zaXRvcnkyNjIxNzMxNg==,undcontrol,NSLS-II-CSX/undcontrol,False,https://github.com/NSLS-II-CSX/undcontrol,Undulator Interpolation for CSX,False,https://api.github.com/repos/NSLS-II-CSX/undcontrol,2014-11-05T11:51:17Z,2019-07-26T00:36:07Z,2019-08-15T14:23:15Z,,107,1,1,C,True,True,True,True,False,False,0,,False,False,2,,True,False,False,[],public,0,2,1,master,NSLS-II-CSX,6436775,MDEyOk9yZ2FuaXphdGlvbjY0MzY3NzU=,Organization,public,False,False,False,False,False,True,,,,,
26727661,MDEwOlJlcG9zaXRvcnkyNjcyNzY2MQ==,pyepics,NSLS-II-CSX/pyepics,False,https://github.com/NSLS-II-CSX/pyepics,Python interface to Epics Channel Access,True,https://api.github.com/repos/NSLS-II-CSX/pyepics,2014-11-16T20:54:46Z,2014-11-16T20:54:48Z,2014-11-14T18:14:58Z,http://pyepics.github.io/pyepics/,15253,0,0,Python,False,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NSLS-II-CSX,6436775,MDEyOk9yZ2FuaXphdGlvbjY0MzY3NzU=,Organization,public,False,False,False,False,False,True,other,Other,NOASSERTION,,MDc6TGljZW5zZTA=
26728506,MDEwOlJlcG9zaXRvcnkyNjcyODUwNg==,lupit,NSLS-II-CSX/lupit,False,https://github.com/NSLS-II-CSX/lupit,,False,https://api.github.com/repos/NSLS-II-CSX/lupit,2014-11-16T21:23:47Z,2023-01-28T20:07:35Z,2014-11-24T17:28:58Z,,236,0,0,Python,True,True,True,True,False,False,0,,True,False,1,,True,False,False,[],public,0,1,0,master,NSLS-II-CSX,6436775,MDEyOk9yZ2FuaXphdGlvbjY0MzY3NzU=,Organization,public,False,False,False,False,False,True,,,,,
26968148,MDEwOlJlcG9zaXRvcnkyNjk2ODE0OA==,calibration,NSLS-II-CSX/calibration,False,https://github.com/NSLS-II-CSX/calibration,,False,https://api.github.com/repos/NSLS-II-CSX/calibration,2014-11-21T16:38:43Z,2014-11-21T16:42:36Z,2014-11-21T16:42:36Z,,132,0,0,Python,True,True,True,True,False,False,0,,False,False,0,,True,False,False,[],public,0,0,0,master,NSLS-II-CSX,6436775,MDEyOk9yZ2FuaXphdGlvbjY0MzY3NzU=,Organization,public,False,False,False,False,False,True,,,,,
27033219,MDEwOlJlcG9zaXRvcnkyNzAzMzIxOQ==,lakeshore336,NSLS-II-CSX/lakeshore336,False,https://github.com/NSLS-II-CSX/lakeshore336,IOC for the Lakeshore 336 controller. ,False,https://api.github.com/repos/NSLS-II-CSX/lakeshore336,2014-11-23T13:26:58Z,2021-01-05T00:47:34Z,2021-01-05T00:47:31Z,,243,0,0,Makefile,True,True,True,True,False,False,1,,False,False,1,,True,False,False,[],public,1,1,0,master,NSLS-II-CSX,6436775,MDEyOk9yZ2FuaXphdGlvbjY0MzY3NzU=,Organization,public,False,False,False,False,False,True,,,,,
